word,count
de,31617
la,16477
et,12948
lo,11009
du,10045
en,9609
est,8959
un,3746
des,3711
les,3674
comena,3414
los,2964
que,2956
notes,2656
na,2548
dens,2300
rèferences,2175
francês,2141
le,1974
una,1824
an,1812
avouéc,1773
sè,1747
qu,1706
pués,1591
savouè,1591
per,1498
arpetan,1425
ou,1404
vela,1404
règ,1366
dedens,1322
at,1269
rôno,1232
por,1226
sont,1222
ben,1220
il,1218
arpetana,1204
trôve,1202
ion,1190
cultura,1163
suisse,1131
quenton,1110
france,1095
velâjo,1091
payis,1087
francêsa,1036
ârpes,1035
defôr,999
politica,973
histouère,969
lims,958
dèpartament,933
lengoua,918
sent,871
canton,832
calendriér,831
èvènements,829
grègorien,808
geneva,796
dês,794
ôvèrgne,793
égllése,786
liyon,782
jorn,760
sant,749
son,714
habitents,686
sus,668
més,653
môrt,638
valês,634
eografia,630
el,622
suisso,609
bibliografia,605
pèrsonalitât,603
vint,598
nom,597
lêre,595
ére,593
aoûta,586
entre,579
vâl,571
vêre,557
sur,548
vôd,548
nèssu,546
môrts,546
seto,535
ceta,527
science,521
district,507
ch,501
paris,500
sa,497
nèssences,485
arpetania,467
tant,467
mié,467
èconomia,464
pâge,455
comenes,438
vocabulèro,436
vers,434
concèrne,433
ècriven,432
patrimouèno,431
coment,416
partia,415
ètats,412
aprés,407
tot,404
asse,398
noms,397
tèrritouèro,396
fribôrg,390
monuments,389
sociètât,387
janviér,384
apelâs,380
rê,375
fèna,375
populacion,371
louis,371
capitâla,368
toponimia,363
endrêts,360
unis,358
on,354
câs,347
eropa,342
pèrsonalitâts,338
pas,337
suissa,335
lista,325
ii,323
endrêt,321
lengoues,317
nôchâtél,317
gâra,315
in,313
jean,313
étâ,309
bissèxtilo,306
mârs,304
articllos,303
grant,300
étalia,299
jian,297
fât,296
avril,292
principâles,291
homo,291
avâl,290
doux,288
administracion,287
amèrica,287
châtél,287
losena,286
règion,281
ôvres,278
liyês,277
isera,277
varianta,277
legne,276
guèrra,275
di,274
ux,274
èducacion,273
bise,272
mas,267
arch,267
amont,264
dèmografia,263
dèpartement,263
domba,260
vêde,259
jura,257
actor,256
ârts,255
comuna,255
ans,254
mê,254
chiéra,253
pont,253
se,252
sport,252
fut,251
fevriér,250
latin,249
mondo,245
nèssua,245
cllimat,244
temps,243
granta,243
politico,241
urben,241
dècembro,238
três,236
ètimologia,236
apèlont,232
amèriquen,230
grenoblo,229
lengouisto,229
diens,227
ètat,227
lèc,227
alemand,223
oût,222
rèpublica,221
arpetanna,221
mont,220
fesica,220
africa,220
premiér,219
organisacion,219
siècllo,218
patouès,217
nèssances,216
arpetans,214
the,214
sud,212
pierro,212
occitan,211
étalien,210
tuche,209
univèrsitât,208
of,206
èvèco,205
rouanês,204
duc,204
mèdias,203
bona,202
refèrences,202
religions,201
historico,200
musê,200
loire,198
maria,198
novembro,197
octobro,197
marie,196
patois,196
geografia,196
val,195
nord,194
principâls,194
qui,193
forês,193
lenguoues,193
fin,192
liyens,190
égoua,190
èf,190
litèratura,189
moyen,189
dé,189
bèrna,188
vielye,188
bôrg,188
turin,188
prèsident,187
chârlo,186
lou,186
septembro,185
sot,185
fondacion,185
rouanârda,185
pierre,182
pariér,182
ant,181
yô,181
iii,181
joseph,181
ples,180
der,180
reyômo,178
levant,177
mar,176
dècès,175
ulyèt,171
riva,170
ses,169
empiro,169
cen,169
velèta,166
lieux,166
dessus,165
lor,165
une,165
transpôrt,165
saint,164
asia,164
catolica,164
môrta,161
calço,160
novèla,159
desot,159
étre,158
môrièna,158
mêson,158
victor,158
âjo,157
suissèssa,157
piemont,155
lèman,155
hôta,154
dictionnaire,153
cors,153
comtât,152
romen,152
tsurique,151
èxtèrnos,151
col,151
luè,150
roma,150
savoyârda,149
chambèri,148
pendent,148
ils,148
savoyârd,147
lengouistica,147
veles,147
francoprovençal,146
chèrchior,145
pôt,144
locâla,144
ele,144
benda,142
montagne,142
province,141
uni,141
romanda,140
sôl,140
môris,140
cela,140
membro,140
ortodoxe,140
toponymie,140
dôfenât,140
premiére,138
batalye,138
nèssence,138
au,137
grafia,136
romana,135
hiôt,134
musica,134
diccionèro,134
étot,133
èspagne,133
liyen,132
yon,132
histoire,131
sion,131
èmanuèl,131
jouen,131
da,129
actrice,129
ôtres,128
doves,127
bâs,126
amèdê,126
ârt,126
andré,125
und,125
forez,125
chemin,124
fèr,124
franc,124
via,124
origina,123
reviére,123
bâla,123
prix,123
sona,122
dou,122
houé,121
émâges,121
brêsse,121
famelye,121
prés,121
charles,121
fondâ,119
fondâye,119
henri,119
ceti,119
centro,118
martin,117
li,117
dans,117
massis,117
françois,117
comba,116
mouél,115
ôtros,115
del,115
jouin,115
iér,114
arpitan,113
français,113
ècrit,113
occitana,113
vilâjo,113
pouent,112
von,112
stacion,112
union,111
situâ,111
center,111
cumena,111
liyonês,110
franche,110
depués,110
consèly,109
cél,109
eropèèna,109
vouèbe,108
oficièl,108
hivèrn,108
alemagne,108
emperor,107
chantosa,107
nicolas,106
associacion,106
borgogne,106
cuchient,106
viely,106
fêt,105
pintro,105
ér,104
politicien,104
sovent,103
ensemblo,103
quand,103
comunôtât,103
mâcon,102
monument,102
destrict,101
provence,101
and,101
entèrnacionâla,100
km,100
paul,100
romanes,99
lé,99
montagnes,99
biôjolês,99
mot,99
ense,98
parti,98
cfl,98
sos,97
surtot,97
hèraldica,97
vièna,97
sardègne,97
itèctura,97
ora,96
crèacion,96
frontiére,96
tèrra,96
devant,96
drêt,96
côps,95
sciences,95
suer,95
align,95
côp,94
construit,94
rèfèrences,94
anciana,93
tèxto,93
pour,92
ne,92
droma,92
mémo,91
blanc,90
ila,90
chapèla,90
fôrma,90
pape,90
francêse,90
lyonnais,89
ions,89
prononciacion,88
ina,88
ôtonoma,88
come,88
adonc,87
par,87
rêna,87
ancian,86
mês,86
tôs,86
historien,86
