word,count
faan,38761
uun,38078
det,28371
en,26544
as,25781
an,19061
di,17813
at,16681
uk,13857
diar,12775
üüb,8855
de,8383
prowins,8172
hee,7324
luke,7295
tu,7124
san,6588
kwelen,6427
lidj,6130
leit,6106
mä,5382
hoodsteed,5289
steed,4980
of,4938
wiar,4908
önj,4798
fan,4754
regiuun,4557
foon,4142
county,4096
wat,4041
wurd,4002
ön,3817
hi,3515
dön,3380
üs,3378
lun,3358
distrikt,3215
dit,3121
bi,3006
es,2939
dåt,2931
ian,2823
geografii,2584
hat,2431
komuun,2400
da,2397
slacher,2383
bundesstoot,2360
me,2219
efter,2165
dat,2161
department,2154
än,2087
jo,2083
fuar,2042
man,2035
jü,1984
nuurd,1977
sin,1881
för,1863
süüd,1845
woort,1816
bit,1785
juar,1780
heet,1733
km,1713
kris,1705
et,1704
em,1685
gemiine,1650
uur,1631
steeden,1616
stää,1523
famile,1491
tö,1477
waast,1462
wan,1455
uast,1430
hää,1399
spriaken,1394
struum,1388
haa,1375
sa,1372
tau,1370
am,1369
eilunen,1340
des,1336
önjt,1322
kwäle,1310
auer,1288
der,1285
dial,1276
ferwalting,1272
eilun,1247
sant,1241
ei,1221
muar,1217
republiik,1215
sen,1208
gratst,1198
grat,1187
skööl,1166
ken,1158
ek,1156
stääd,1155
iin,1143
wurden,1141
hiar,1115
us,1114
bilen,1108
üp,1098
läit,1058
heer,1050
futnuuten,1035
bäären,1026
oober,1006
in,1000
juarhunert,997
jaft,990
minsken,984
nööm,971
lunkreis,962
rüs,949
hiart,947
waar,941
inboogere,921
janewoore,919
stoot,908
amanbi,907
trii,902
sia,889
iarst,878
üüs,866
bejewenhaiden,866
ameerikoons,862
tjiin,861
åmt,855
histoore,842
ingelun,842
und,838
noch,838
do,838
aur,828
kreis,825
al,824
jit,823
fraansöösk,820
störwen,818
sköölen,807
nuurdwaast,807
süüdwaast,805
miast,802
nuurduast,801
prowinsen,794
föör,783
so,781
dü,780
süüduast,780
ham,765
kalender,759
april,757
indialing,755
spriak,744
order,742
la,739
hoodstää,737
distrikten,737
august,730
köning,728
komt,727
foont,715
die,713
hoodstääd,711
frankrik,705
ii,694
september,681
forfåle,677
fuarfalen,677
lei,672
stürwen,669
hör,668
een,667
ütj,664
lönjkris,661
bēren,658
tuläid,655
euroopa,653
skriiwer,652
enkelt,638
ingelsk,636
ferianigt,635
mei,632
brükt,632
bütjen,630
nai,630
aw,629
nofember,628
söl,622
daalang,621
president,620
oktuuber,619
feerfaole,619
gemeend,618
ual,617
maden,617
stääden,614
marts,613
tjiisk,612
ööder,611
aafrikoons,608
fööraal,606
ingels,605
kliima,591
jüüle,584
aanj,584
hur,582
febrewoore,581
tolaid,581
huar,578
iinwenern,577
het,576
sweeden,575
nü,570
ap,558
lung,553
skel,553
wel,552
the,551
iso,549
politiik,536
nei,531
jüüne,531
lewe,526
snaaket,526
tld,523
stooten,521
sturwen,521
föl,520
letj,514
ma,513
tesken,513
sjiisk,513
fögler,512
begand,503
komuunen,503
jaar,502
rik,500
fiiw,491
beniin,489
gemeen,479
von,475
deetsember,471
kür,468
son,466
koon,461
üt,460
manschne,458
ja,457
slach,456
ombi,454
amtelk,453
twesken,446
köningrik,445
iindialang,442
regiuunen,441
jen,438
troch,437
iindialing,437
ferwisang,432
diiljstoot,431
her,431
sweedsk,428
keiser,426
kaam,425
grens,425
and,423
jeft,423
spaans,420
saint,419
guinea,419
prefektüür,418
rocht,416
rüslun,415
iar,414
oomram,414
for,412
deer,412
bluat,412
mosambik,412
amt,409
aacht,405
luki,404
st,404
maaket,401
spriik,401
kr,397
kumt,396
portugiisk,395
spriiken,392
kongo,391
wene,385
öön,382
oun,381
nian,380
denemark,379
departmenten,377
holstian,376
gemeenen,374
lewet,373
kön,372
gud,370
kām,369
oner,368
fjauer,368
tjüsch,366
ameerikoo,366
is,365
uasten,364
maaget,364
colorado,364
hed,362
trinjam,362
arrondissement,360
lunen,359
berig,359
city,357
ment,355
grünjlaanjen,355
wus,353
latiinsk,352
uuren,351
uf,351
taal,348
iii,347
eerd,347
wörd,345
eeđer,344
tidj,337
nuurden,336
new,333
nuurdfresklun,333
aurdat,331
sööwen,331
juaren,330
befölkring,329
flook,329
graafskap,329
becht,327
krais,326
stant,325
jir,324
sleeswich,324
menst,324
skraft,323
kommun,319
gur,317
öler,317
schleswig,313
familin,313
spräke,312
iir,310
jaaren,310
giar,310
bluas,310
britisk,310
er,305
fuul,304
däänsk,304
burkiina,304
faaso,304
bai,303
sodenang,303
feer,302
snaake,302
leewent,300
sölring,299
ferwaltang,299
wurt,298
türkei,298
mensken,296
berger,296
sjiisklun,295
tuup,294
skep,294
witjrüs,294
miist,292
spreegern,292
aasien,291
plaanten,290
fransöösk,290
sent,289
berag,287
spriakwiisen,286
ruslun,286
sat,285
huuchst,285
lauenborj,285
nii,284
friisk,283
hans,283
witjruslun,283
peter,282
element,281
hiirtuuchdoom,281
röömsk,281
diarfan,280
domain,280
miljuun,278
bundeslönj,277
poolen,277
sect,277
bekäänd,276
weesten,275
sarkspal,275
naist,274
klas,273
top,273
level,272
süüdelk,270
jest,270
unitary,270
äs,269
hentö,269
üđer,269
hialer,269
weeder,267
jens,266
skul,266
lönj,265
norden,265
christian,265
austraalien,265
waasten,264
aal,263
näämd,263
skotlun,263
el,263
guwernement,263
hüs,262
itaalien,261
sööden,260
bayern,260
madel,260
seeks,259
nuurdelk,259
ååsten,258
dütsk,258
süüden,258
suwereen,258
für,257
skrewen,257
wi,256
kanada,255
poliitiker,255
slaswik,254
org,254
div,252
steedkreis,251
iansagst,250
dithmjarsche,250
nordfriisk,249
john,249
atlantik,249
ai,248
ging,248
ländercodes,248
dånsch,247
schiina,247
füsiik,246
lunkreiser,246
referenztabelle,246
stääse,242
ring,242
kantoon,242
eegentelk,241
diarfaan,240
south,239
öömrang,239
minsk,239
london,239
berlin,238
fering,238
un,238
krich,238
masi,237
autonoom,237
tsd,237
das,236
deensk,236
mit,236
gregoriaans,236
du,235
suart,235
wårt,234
wai,234
döör,233
eefter,233
niin,233
wiis,233
sowat,232
diarfuar,232
plaantenslach,231
plaantenskööl,229
gemeenden,229
maaki,228
pasiifik,227
dootem,227
sjauer,226
echt,226
lunskap,226
gurt,225
jin,225
tir,225
list,224
diarten,224
afrikoo,224
witj,223
njüügen,223
hen,223
früchten,223
borough,223
kum,222
nigeeria,222
cheemisk,221
ruad,221
north,220
huuch,220
friedrich,220
dachter,220
taarpen,220
ünbekäänd,220
arrondissementen,218
authority,218
weđer,217
nordfraschlönj,217
waaks,217
georgia,217
fuaral,215
aafrika,214
könang,214
elektrisk,213
tjiisklun,213
wales,212
höm,212
ouers,211
wjarn,211
ark,210
könangrik,210
stroom,210
baterii,210
italjeens,210
hüsem,209
arke,209
nuurdfresk,209
weder,207
iv,207
toogo,207
provincia,207
ään,206
dan,205
ik,205
bei,205
wjetnam,205
histoori,204
folksteeling,204
usa,204
höör,204
mal,203
konstmooler,203
fo,203
dai,202
diaram,202
salew,202
kolumbien,202
komponist,201
futnooten,201
greks,201
river,200
knaap,199
si,199
noordfreeschloun,199
struumer,199
jam,198
im,198
stäänt,198
sjiina,198
welt,198
naa,198
frasch,197
osmaans,197
baden,196
saarpen,196
angoola,196
groofskap,196
sunt,195
diarbi,195
kwh,195
noom,195
holstiinj,194
letst,194
sh,194
forskelig,194
leept,194
spriakwiis,193
jodiar,192
kem,192
dialen,192
araabsk,191
literatuur,190
grater,190
energii,188
widjer,188
den,188
hansen,188
ünlik,188
dütsklön,187
dring,186
muun,185
west,185
partei,185
koreaans,185
diilj,184
tschechien,184
ju,183
töhop,183
fing,183
mya,183
weeter,181
florida,181
ferianagt,181
swärik,180
counties,180
werk,180
lik,180
taalen,179
instituut,179
ukraine,179
kurt,179
kw,179
spreegen,179
detdiar,178
rä,178
to,178
bulgaarien,178
arkansas,178
bundeslun,178
leeste,177
twuntig,177
wilhelm,177
gongt,176
plaantenfamile,176
sowjetunioon,176
belgien,175
green,175
madlunsia,175
numer,175
lääpt,175
east,175
chemii,175
holuns,174
indoneesien,174
jüst,173
detsember,173
pennsylvania,173
wil,173
skeepen,173
rajón,173
regiiringsdistrikt,172
om,172
amrum,172
kariibik,172
bal,172
le,172
george,172
bloosenplaanten,172
rajon,172
min,171
meksiko,171
türkisk,171
ufkörtang,170
california,170
krölemoune,170
sü,169
nord,167
finlun,167
subg,167
unti,166
ans,166
minister,166
saksen,166
bedüüdang,166
alabama,166
medesiin,166
dr,165
foriining,165
poolsk,165
lait,164
montana,164
deling,164
na,164
twaalew,164
ferwis,163
wüf,163
plaant,163
diarme,163
ghaana,163
waastfresk,163
distrito,163
hok,162
neemd,162
filosoof,162
holstiin,162
karl,162
indisk,162
meetern,162
koord,161
jert,161
auto,161
ianselefterwisen,161
duas,160
neederlunen,160
wie,160
fulk,160
wichtag,159
troopen,159
irlun,159
namiibia,159
ferwaltangsteed,159
gebiit,158
leeder,157
madagaskar,157
bundesstooten,157
demokraatisk,156
kreiser,156
aaftinoch,155
noorweegen,155
liitauen,155
cm,154
ån,154
fresk,154
komunåålwoole,154
bet,153
naam,153
litj,153
grate,153
premier,153
tiin,152
began,152
jil,152
mut,152
ponkt,152
subsp,152
sultaan,152
sääks,151
departamento,151
hü,150
persöönelkhaiden,150
küd,150
area,150
åw,149
ütjstürwen,149
meeter,148
spoonien,148
bundesdistrikt,148
booge,147
bispalen,147
letjer,147
golf,147
salev,147
werden,147
indien,146
ludwig,146
onerfamile,146
uwe,146
jude,146
sok,145
leewen,145
kiik,144
portugal,144
onerslacher,144
süüdkorea,144
spoonsk,144
bocht,144
centre,144
vi,143
sie,143
regiaring,143
süüdaafrika,143
bispal,142
verlag,142
eestlun,142
mio,142
ütjspriik,142
