word,count
di,28067
al,18759
la,13826
dal,13179
il,11887
che,10630
de,9321
in,8056
par,6591
un,6407
une,4769
si,4244
tal,4172
dai,4038
lis,3873
je,3540
ancje,3133
an,2666
plui,2657
cun,2504
son,2501
friûl,2190
no,1738
des,1726
come,1693
mont,1565
te,1509
stât,1455
le,1428
da,1386
vie,1362
ven,1328
pal,1316
vuê,1294
jere,1272
ma,1230
fo,1220
pe,1202
fin,1157
intal,1154
storie,1147
ai,1096
inte,1093
su,1086
comun,1054
chest,1048
sô,1043
se,1032
udin,1010
so,981
muarts,951
acjadiments,911
nassûts,901
lenghe,891
comuns,890
part,887
secul,866
furlan,860
prime,853
provincie,842
cul,826
chel,818
ae,811
abitants,794
cu,794
non,738
citât,738
cheste,736
talian,718
altris,705
agns,688
jessi,673
chê,672
slov,657
distret,655
paîs,654
furlane,646
lôr,645
vuere,623
italie,614
cjale,612
tai,593
lui,589
vore,586
tant,585
cuant,582
prin,574
dulà,574
veve,572
nol,567
dut,566
ducj,556
fâs,551
tra,550
cui,547
dome,538
romans,536
dopo,534
leams,529
stâts,523
san,508
dì,505
fat,502
chei,499
doi,498
fûr,498
daspò,497
àn,494
simpri,479
timp,478
dongje,478
lu,478
sôs,476
fâ,469
numars,467
calendari,462
numar,454
sul,442
mieç,440
zornade,437
volte,436
jerin,436
sant,428
vignesie,423
sot,418
cronologjie,418
glesie,417
regjon,416
fiestis,411
rome,408
zornadis,408
esempli,405
mai,404
cussì,403
parcè,402
nord,396
grande,394
religjosis,393
austrie,392
lenghis,392
gregorian,392
musiche,389
logât,383
esternis,383
internazionâls,381
austriac,380
bisest,374
cjate,372
mancjin,370
pues,368
ben,366
po,366
vite,356
stade,355
grant,354
soredut,351
cence,351
bande,349
vê,346
sedi,342
peraule,332
tod,329
opare,327
oparis,323
citâts,322
secont,320
sud,317
dôs,315
cuintri,315
ch,315
teritori,314
pai,308
muart,307
tiere,305
trê,305
cualchi,304
the,301
seconde,301
simbul,301
dentri,299
dutis,293
tes,288
là,288
latin,286
ancjemò,286
del,286
republiche,285
gnûf,285
câs,284
famee,283
daûr,282
pape,281
zenâr,281
dîs,280
dî,279
mondiâl,278
mût,277
ogni,277
ream,275
sankt,275
za,273
jenfri,273
periodi,272
elements,272
chescj,272
europe,271
invezit,268
novembar,268
maniere,266
alte,265
mês,265
gurize,262
am,259
forme,258
fra,258
francês,258
viôt,256
culture,254
fevrâr,254
todesc,253
otubar,251
vegnin,250
frazions,249
aquilee,248
grum,248
chestis,246
cjargne,245
sisteme,244
nassût,244
mâr,243
chês,242
pari,241
març,241
taliane,240
uficiâl,239
setembar,239
zuan,237
ce,235
siei,234
dute,232
france,231
clamât,231
forin,231
grup,231
doprât,230
int,230
pui,230
tancj,229
mancul,228
der,228
ca,227
intai,226
pordenon,224
avrîl,224
dicembar,223
pôc,221
sù,221
americhe,220
puedin,216
inglês,214
va,213
cjâf,213
re,213
roman,211
gnove,211
jugn,211
prins,210
politiche,210
diviers,209
sei,209
avost,208
cjatin,206
est,202
lûc,202
altri,201
val,201
intune,201
masse,201
zone,199
economie,198
element,197
capitâl,196
altre,196
gjermanie,196
federâl,196
sît,196
furlans,195
della,195
stes,195
ii,194
om,193
stâi,192
intes,192
viers,192
marcjât,192
of,192
flum,191
rive,191
doprade,188
lavôr,187
imperi,187
sante,185
basse,185
popolazion,185
cirche,184
dale,184
intun,182
letare,182
vevin,182
podê,181
leç,181
diviersis,180
particolâr,180
cuntun,180
lâ,180
cuntune,179
leterature,178
peraulis,178
impuartant,177
storia,177
nome,177
carintie,175
puest,175
federât,175
scrit,174
diu,174
centri,173
cjase,173
sloven,172
cuatri,172
libri,171
societât,171
pes,171
atôr,171
solit,170
fate,169
politic,169
cognossût,169
cumò,167
imperadôr,167
president,167
poete,166
studi,166
devente,165
scritôr,165
milan,164
pont,164
origjin,163
union,162
orientâl,162
pieri,162
man,162
antîcs,162
aghe,162
fasin,162
atomic,162
im,162
liste,161
ator,161
clamade,161
idiu,161
vôs,160
pauli,160
universitât,160
insiemi,160
miôr,160
unîts,159
internazionâl,159
spagne,159
premi,158
scuele,157
però,157
personis,156
frazion,156
cjape,155
crist,155
conte,154
gjenerâl,152
vût,152
femine,152
derit,152
dopre,151
venit,151
duncje,151
alpins,151
scomence,150
poesie,149
alfabet,149
etât,149
and,148
voltis,148
parsore,148
balon,148
art,148
pâs,147
viodi,147
it,147
famôs,145
doprâ,145
dâ,145
popul,144
km,143
ûs,143
musicâl,143
grêc,143
libris,143
julie,142
tradizion,142
li,142
meti,142
centrâl,141
xviii,141
storic,140
bibliografie,140
bon,140
nazionâl,140
jesus,140
friuli,139
soreli,139
xix,138
impuartants,137
tantis,136
poetis,136
jè,133
gjenar,132
cjamp,132
furlanis,131
cont,131
triest,131
rivâ,130
inizi,129
vivaldi,129
scrivi,128
ocidentâl,128
talians,128
robis,128
chimics,128
europeane,127
milions,127
produzion,127
ativitât,127
fi,127
gjeografie,126
ultime,126
variis,126
religjon,126
lûs,126
paolo,125
moment,125
con,125
antîc,125
chimic,125
regjons,124
fisiche,124
ovest,123
bologne,123
cine,122
definizion,122
moviment,122
puarte,121
soi,120
giovanni,119
dilunc,119
loc,119
unitât,119
scrivè,119
nus,118
stîl,118
marc,118
cuarp,118
vile,117
sociâl,117
antighe,117
nobel,117
sui,116
latine,116
grafie,116
valôr,116
propite,116
oms,115
ete,115
teritoris,114
tu,114
militâr,114
vûl,114
antoni,114
guvier,114
stesse,114
udine,113
cjanâl,113
aree,113
misure,113
matematiche,112
grancj,112
slovenie,111
cividât,111
timps,111
spes,111
romane,111
biografie,111
ordin,110
nas,110
metris,110
palaç,110
for,109
grandis,109
epoche,109
cinc,109
strade,108
esercit,108
biel,108
scuasit,107
patriarcje,107
toc,107
base,107
aur,107
mari,107
regjonâl,107
dât,106
indenant,106
pitôr,106
primis,105
xx,105
alps,105
aes,105
alt,105
autôr,105
tiermin,105
land,105
lunc,104
per,104
van,104
napoli,104
vorarlberg,104
antonio,103
comunitât,103
sun,103
amôr,103
piçul,102
impuartance,102
siencis,102
cjatâ,102
chi,102
ju,102
egjit,102
colôr,102
capele,102
vin,101
puart,101
monts,101
isule,101
clame,100
jù,100
nivel,100
gnovis,100
impuartantis,100
serie,100
catoliche,100
lât,100
cognossude,99
buine,99
bas,99
reste,99
forsit,99
fevele,98
marie,98
nassude,98
sens,98
cemût,98
situazion,98
principâl,97
fasè,97
idee,97
fuarte,97
progjet,96
to,96
fieste,96
scrite,96
logade,95
confin,95
partît,95
stâ,95
bataie,95
cuâl,95
distrets,95
test,95
patrie,94
inn,94
titul,94
tornâ,94
sarès,94
uniche,94
vivi,94
teatri,93
adun,93
consei,93
torne,93
sede,92
chimiche,92
borc,92
mûr,92
studiôs,92
radio,92
probabilmentri,91
organizazion,91
çampe,91
puartât,91
considerât,91
nassite,91
regje,91
sigûr,90
lavôrs,90
tor,90
giuseppe,90
ta,90
cjapâ,90
iii,90
fondade,90
bisugne,90
leadis,90
cualchidun,90
viste,90
version,90
fats,90
me,90
locâl,89
figure,89
ere,89
cjapât,89
chilometris,89
publiche,89
mi,89
stant,89
todescje,88
flums,88
fintremai,88
premis,88
stadis,88
formis,87
talianis,87
deventà,87
ultin,87
polonie,87
grecie,87
teorie,87
rivoluzion,87
vueris,87
latins,87
studis,86
el,86
secui,86
zonis,86
nons,86
notis,86
ricercje,86
fos,86
russie,86
mestri,86
bei,86
vescul,85
poesiis,85
rivà,85
todescs,85
ongjarie,85
unît,85
bal,85
dirit,85
culturâl,85
carli,84
murì,84
neri,84
parlament,84
jevât,84
lussemburc,84
persone,84
dispès,84
unic,84
scritôrs,84
traduzion,84
tiliment,83
sa,83
industriâl,83
nature,83
popolâr,83
doprin,83
personaçs,83
ve,83
treccani,83
meridionâl,82
ladin,82
influence,82
metât,82
asie,82
braunau,82
soria,82
intant,81
standard,81
tumieç,81
bandiere,81
carateristichis,81
varès,81
siet,81
sience,81
cristians,81
rispiet,81
disc,81
testament,81
alore,81
compositôr,81
podeve,81
friulana,80
maria,80
linie,80
piçule,80
public,80
impuartante,80
funzion,80
publicât,80
dialets,79
martin,79
formât,79
studie,79
reâl,79
filosofie,79
robe,79
stele,79
zovin,79
svuizare,78
formazion,78
doprant,78
tierç,78
plan,78
fruts,78
ed,78
drau,78
posizion,78
cjançon,78
seont,78
album,78
ambient,78
biblie,78
colôrs,78
romanç,78
vecjo,78
passe,78
bregenz,78
roma,77
nd,77
date,77
tratât,77
viene,77
crôs,77
clamâts,77
ocean,77
isulis,77
cesar,77
ad,77
bach,77
confine,76
carlo,76
pôcs,76
sta,76
fuarce,76
faseve,76
letaris,76
pagjine,75
superficie,75
division,75
sîs,75
setentrionâl,75
sarà,75
cjamps,75
nuie,75
seguit,75
passât,75
tache,74
segn,74
vîf,74
politics,74
unevore,74
arts,74
fasint,74
scrîf,74
michêlagnul,74
mil,74
xvi,73
dell,73
gran,73
scomençà,73
ultins,73
sore,73
naturâl,73
indaûr,73
marx,73
vignive,72
dividude,72
memorie,72
met,72
presince,72
august,72
johann,72
letteratura,72
cors,71
ex,71
francesc,71
basiliche,71
luigi,71
xvii,71
costruzion,71
struture,71
biografiis,71
tecniche,71
insiemit,70
ideis,70
moderne,70
politichis,70
nissun,70
scrits,70
len,70
fradi,70
riferiment,69
madone,69
jê,69
cuasi,69
isbn,69
front,69
latina,69
sezion,69
reziment,69
canadà,68
indipendence,68
francesco,68
classiche,68
marco,68
daspo,68
nga,68
new,67
vignì,67
dei,67
servizi,67
discografie,67
voleve,67
alc,67
vas,67
ettore,67
nazions,66
iv,66
lei,66
trupis,66
principi,66
contignût,66
savorgnan,66
tabele,66
traspuarts,66
evoluzion,66
rivin,66
cristiane,66
dialet,66
fatis,66
ros,66
virgili,66
bundesland,66
juventus,66
provinciis,65
storics,65
internet,65
wikipedia,65
difat,65
grups,65
scriture,65
tecnichis,65
tescj,65
vignî,65
nestri,65
tradizions,65
fonde,65
uns,65
autôrs,64
tieris,64
deventâ,64
pre,64
vonde,64
leçs,64
metût,64
popolazions,64
direzion,64
unitâts,64
spittal,64
vi,63
glemone,63
padue,63
rapuart,63
tocs,63
ufiziâl,63
scuadre,63
francese,63
bêçs,63
una,63
cristianisim,63
josef,63
lengaç,63
ni,63
almancul,63
scuelis,62
proprietât,62
model,62
economic,62
informazions,62
curt,62
piçui,62
oltri,62
energjie,62
see,62
jo,62
membris,61
bandis,61
elet,61
sport,61
edizion,61
festival,61
derive,61
mostre,61
procès,61
fât,61
parts,61
zuiadôr,61
dirits,61
educazion,61
insieme,61
sanc,61
piture,61
fede,61
cjasis,61
ti,61
dinastie,61
reâi,61
letteraria,61
paratore,61
sansoni,61
fevelade,60
passâ,60
pas,60
cjapà,60
tornât,60
avonde,60
piçulis,60
fuart,60
fûc,60
cort,60
significât,60
ulteriormentri,60
brasîl,59
vignude,59
planure,59
soldâts,59
famose,59
pasche,59
puartâ,59
cîl,59
partant,59
rapresente,59
interval,59
propit,58
sauris,58
metropolitane,58
autonome,58
pratiche,58
feminis,58
tierce,58
vignivin,58
tirôl,58
turisim,58
aeropuart,58
svilup,58
esistence,58
documents,58
aromai,58
jutori,58
na,58
significhe,58
tignî,58
solâr,58
amì,58
cjançons,58
esist,58
gemeinden,58
ciceron,58
makawe,58
disore,57
gonârs,57
bilengâl,57
fradis,57
aministrazion,57
florence,57
viodût,57
john,57
cjanton,57
dopradis,57
jentrade,57
innomenât,57
zonte,57
passaç,57
nobiltât,57
schirie,57
divisibil,57
principâi,56
sientific,56
principâls,56
assemblee,56
control,56
afriche,56
lûcs,56
sistemis,56
insiemis,56
zovins,56
taramot,56
cumierç,56
cjamare,56
monte,56
religjons,56
segnaletiche,56
vadì,56
fedeli,56
ferraro,56
cualsisei,55
storiche,55
nassè,55
stradis,55
cjistiel,55
religjôs,55
merecan,55
ebreus,55
domo,55
superiôr,55
economiche,55
realtât,55
tradizionâl,55
cirî,55
finâl,55
cognossi,55
vâl,55
predi,55
londre,55
nom,55
bludenz,55
onde,55
esemplis,54
en,54
marilenghe,54
napoleon,54
esistin,54
stirie,54
valade,54
von,54
cjantant,54
lungjece,54
sants,54
indicâ,54
campionât,54
mans,54
purpûr,53
domini,53
tornà,53
spagnûl,53
bonât,53
continent,53
greche,53
dan,53
sedin,53
sucès,53
sucessôr,53
disvilup,53
diretôr,53
vinçût,53
marktgemeinden,53
xiii,52
fevelât,52
palme,52
dividût,52
popui,52
ativitâts,52
fameis,52
museu,52
rivade,52
grop,52
prodot,52
vere,52
setôr,52
capî,52
pais,52
tutele,52
lant,52
fondazion,51
creazion,51
lungje,51
puescj,51
minorancis,51
cuei,51
grau,51
passà,51
pietro,51
aldo,51
copât,51
segns,51
film,51
xi,51
interès,51
rapuarts,51
cjapin,51
xii,51
note,51
rose,51
codiç,51
greghe,51
assessôr,51
ponts,50
fevelin,50
lusinç,50
argjentine,50
patriarcjât,50
rivât,50
garibaldi,50
classe,50
pês,50
vêr,50
risultât,50
ebraic,50
baviere,50
origjinâl,50
testemonis,50
pûr,50
contis,50
piu,50
massim,50
bad,50
kick,50
prât,49
vît,49
civîl,49
langobarts,49
confins,49
monarchie,49
dâts,49
tart,49
industrie,49
rest,49
funzions,49
paul,49
vieri,49
minorance,49
sociâls,49
ndi,49
montagne,49
obietîf,49
distance,49
periodiche,49
dius,49
midiant,49
blanc,49
mitologjie,49
omp,49
at,49
castilie,49
comunicazion,48
istitût,48
galarie,48
massime,48
xv,48
david,48
gnûfs,48
cure,48
discors,48
scuadris,48
cause,48
plen,48
font,48
studiâ,48
jentre,48
fîs,48
york,47
sicu,47
difusion,47
villach,47
speciâl,47
contrari,47
luîs,47
lì,47
agriculture,47
turin,47
acuile,47
ains,47
denant,47
cariere,47
vitorie,47
contadins,47
somee,47
locâls,47
cîr,47
doprâts,47
intint,47
compositôrs,47
maiôr,47
vilotis,47
pidade,47
barcelona,47
document,46
viaç,46
codroip,46
nadison,46
vençon,46
clape,46
filologjiche,46
austriacs,46
fier,46
franco,46
rêt,46
setemane,46
diestre,46
totâl,46
ordenadôr,46
problemis,46
indevant,46
dite,46
publicazion,46
frut,46
ten,46
juli,46
drete,46
ongjarês,46
spazi,46
vert,46
vint,46
as,46
pasolini,45
osôf,45
unvier,45
trentin,45
creât,45
european,45
personâl,45
fondamentâl,45
cjapant,45
filosof,45
karl,45
org,45
comunâl,45
podarès,45
ur,45
localitât,45
gnot,45
fevelâ,45
ricordi,45
friulano,44
xiv,44
denêl,44
gardiscje,44
comunitâts,44
deventât,44
omonime,44
indipendent,44
eletriche,44
cûr,44
anime,44
presint,44
vierte,44
ciertis,44
modernis,44
mâl,44
composizion,44
ghitare,44
inter,44
motîf,44
stat,44
león,44
lavorâ,44
altâr,44
efiets,44
utilitât,44
comant,44
feldkirch,44
nancje,43
espression,43
cent,43
libar,43
jacum,43
servizis,43
continue,43
riviste,43
permet,43
gjenars,43
contâ,43
materie,43
architeture,43
pense,43
pueste,43
articul,43
salût,43
spirt,43
umane,43
antighis,43
campagne,43
mussolini,43
rock,43
podin,43
st,43
periodo,43
dulâ,43
tarvos,43
zorç,42
monfalcon,42
ciert,42
monede,42
pît,42
clime,42
burgenland,42
libare,42
wiki,42
templi,42
velocitât,42
tornade,42
components,42
viii,42
traspuart,42
concet,42
vincj,42
signôr,42
windows,42
cjantautôr,42
don,42
estrem,42
mandât,42
catalan,42
sacri,42
comitât,42
www,42
rivant,42
vietnam,42
professôr,42
pinsîr,42
klagenfurt,42
veit,42
spilimberc,41
azion,41
paris,41
associazion,41
slovene,41
adriatic,41
mario,41
basade,41
fotografiche,41
informatiche,41
figuris,41
pensâ,41
astronomie,41
cognossûts,41
leghe,41
musiciscj,41
cjapade,41
universâl,41
istât,41
rus,41
das,41
piere,41
minôr,41
lâc,41
variant,41
cjatât,41
lat,41
vecje,41
critiche,41
antropologjie,41
american,41
biele,41
targhe,41
mandament,40
storichis,40
trate,40
atuâl,40
all,40
tiepolo,40
rossi,40
mozart,40
lee,40
indulà,40
place,40
batiste,40
fas,40
vedi,40
condizions,40
musicâls,40
relazion,40
toponims,40
midisine,40
savìn,40
storiis,40
insegnament,40
cjant,40
formadi,40
fa,40
gjornâl,40
cal,40
ingletiere,40
gjapon,40
valôrs,40
lavore,40
corispuint,40
giotto,40
berlin,39
giorgio,39
cjargnelis,39
francs,39
xxi,39
inglese,39
saint,39
euro,39
aministrative,39
metude,39
altece,39
atlantic,39
formade,39
struments,39
grêcs,39
clamadis,39
risultâts,39
diference,39
lune,39
linux,39
tre,39
nomenât,39
vot,39
protezion,39
umanitât,39
lote,39
studiât,39
publics,39
fonts,39
caratar,39
volum,39
tip,39
ogjet,39
bataion,39
cuardis,39
automobilistiche,39
plante,39
devant,39
sierât,39
ka,39
sogjet,39
concors,39
davâr,38
informazion,38
nestre,38
vescui,38
vita,38
pro,38
pat,38
pussibil,38
via,38
graciis,38
cognossince,38
complès,38
carateristiche,38
divente,38
partî,38
propri,38
puartin,38
esim,38
web,38
domande,38
uman,38
cristian,38
racuelte,38
libertât,38
sindic,38
puartade,38
civiltât,38
pôre,38
partigjans,38
brigade,38
metal,38
scomençât,38
madrid,38
com,38
mateu,38
eroi,38
jacopo,37
disot,37
tombe,37
et,37
hitler,37
elezions,37
fase,37
liberazion,37
international,37
deventade,37
conten,37
discs,37
compagn,37
proprietâts,37
considerade,37
ogjets,37
jessint,37
juste,37
scomençâ,37
tacât,37
http,37
finìs,37
clâr,37
publicade,37
jentrâ,37
belun,37
fasevin,37
tirâ,37
leât,37
ix,37
lidrîs,37
ore,37
medie,37
planets,37
fuarcis,37
pîts,37
sl,37
predis,37
princip,37
metri,37
simon,37
colaborazion,37
gjenerâi,37
nissune,36
metûts,36
militârs,36
mentri,36
planc,36
miedi,36
editore,36
lasse,36
giacomo,36
circul,36
esperience,36
aspiets,36
finide,36
colp,36
cjaulûc,36
glesiis,36
zûcs,36
aghis,36
cetantis,36
arint,36
scjale,36
sene,36
devi,36
prâts,36
glan,36
socialisim,36
pastôr,36
dodis,36
penisule,35
lenghistiche,35
lingua,35
nel,35
contee,35
leade,35
durant,35
progjets,35
durade,35
russe,35
densitât,35
operazions,35
indiche,35
particolârs,35
matematic,35
clapis,35
cirint,35
divît,35
eletroniche,35
articui,35
artiscj,35
andrea,35
checo,35
regjim,35
estension,35
irlandês,35
voli,35
sôl,35
fenomens,35
veretât,35
linguistiche,35
statût,35
stelis,35
mangjâ,35
variazions,35
pericul,35
medici,35
senât,35
fie,35
academie,35
fumut,35
bolzan,35
rai,35
scrituris,35
congregazion,35
comediis,35
atenzion,34
venits,34
areis,34
franc,34
cuel,34
imperiâl,34
patriarcjis,34
milano,34
pa,34
pi,34
autonomie,34
vichipedie,34
creâ,34
pussibilitât,34
program,34
grât,34
citadins,34
nazion,34
podè,34
potence,34
cjarte,34
bute,34
plantis,34
medisine,34
rinassiment,34
restin,34
regulis,34
sabide,34
covente,34
leterarie,34
cuart,34
riforme,34
nadâl,34
suns,34
principis,34
cinês,34
presints,34
apuestui,34
dean,34
ocasion,34
cm,34
definît,34
istituzion,34
bessôl,34
incuintri,34
mancjance,34
viodude,34
significâts,34
podevin,34
conseis,34
ob,34
patrimoni,34
cuestis,34
rês,34
turistiche,34
gno,34
purcit,34
neron,34
vatican,33
scugne,33
cjampfuarmit,33
tarvis,33
manià,33
contat,33
cjargnei,33
lassât,33
moviments,33
roberto,33
jugoslavie,33
traviers,33
nûf,33
leâts,33
sin,33
medaie,33
altitudin,33
ministri,33
componût,33
just,33
stret,33
fisic,33
plurâl,33
personaç,33
benedet,33
dure,33
robert,33
valadis,33
alberto,33
culturis,33
presente,33
artist,33
turchie,33
vanzeli,33
parc,33
vueit,33
es,33
sociologjie,33
judizi,33
simbui,33
puartà,33
scritis,33
voltât,33
teren,33
frescs,33
varietâts,33
ricuarde,33
mediterani,33
cjacare,33
do,33
tacà,33
bens,33
sûr,33
cetancj,33
agjenzie,33
volê,33
fondât,33
emilie,33
imni,33
retoriche,33
luche,33
carboni,33
ko,33
çarvignan,32
australie,32
venezia,32
plene,32
passant,32
restà,32
segne,32
austriache,32
slovachie,32
tirol,32
edizions,32
cule,32
rivâts,32
borcs,32
lombardie,32
ambit,32
sole,32
teoriis,32
sint,32
cjaval,32
analisi,32
savê,32
pene,32
messe,32
cierts,32
dit,32
massimo,32
cjante,32
indie,32
clamin,32
dedicât,32
ognidun,32
pan,32
cusine,32
risultivis,32
peter,32
resistence,32
vision,32
passion,32
tipic,32
pacific,32
ale,32
diferents,32
proverbis,32
membri,32
jude,32
plane,32
locâi,32
fueis,32
disposizion,32
ladins,32
morâl,32
blancje,32
crav,32
bgld,32
vocabolari,31
complete,31
religjose,31
colade,31
italia,31
sports,31
colegaments,31
subit,31
conts,31
polac,31
lâts,31
bretagne,31
sicilie,31
sardegne,31
continents,31
machine,31
ram,31
vinci,31
viodin,31
nûfcent,31
strument,31
orient,31
tignût,31
calendaris,31
angelo,31
vuè,31
cjargnel,31
pò,31
nâs,31
contest,31
bronç,31
notâ,31
temperadure,31
charles,31
declare,31
bat,31
trent,31
tiarç,31
rio,31
gjaponês,31
saran,31
zuie,31
sere,31
musicâi,31
agnul,31
vivin,31
cjatave,31
concuiste,31
gust,31
tastiere,31
tenco,31
indulâ,31
poem,31
colorêt,30
pirona,30
gramatiche,30
anna,30
language,30
guido,30
sandri,30
culì,30
forest,30
finî,30
ceche,30
doprave,30
probleme,30
ospedâl,30
prodots,30
cravuazie,30
curiositâts,30
irlande,30
bogns,30
formin,30
capacitât,30
tacâ,30
comune,30
gjeometrie,30
rapresentazion,30
votcent,30
metodi,30
relazions,30
rosse,30
inmò,30
varessin,30
mauro,30
decim,30
guart,30
leve,30
agricolture,30
arc,30
cope,30
studià,30
atore,30
zoventût,30
turcs,30
sierade,30
cetant,30
materiâi,30
cueste,30
insegnâ,30
statue,30
les,30
metè,30
tâl,30
völkermarkt,30
städte,30
stadt,30
pompeu,30
orazi,30
classic,29
delle,29
alessandro,29
verone,29
istrie,29
rivarin,29
istituto,29
ab,29
cjadene,29
dimensions,29
gracie,29
conflit,29
tecnic,29
tachin,29
lazi,29
organisims,29
direte,29
pâr,29
friedrich,29
james,29
cognossudis,29
deventin,29
domenie,29
imprescj,29
bibie,29
rescj,29
visintin,29
toni,29
pitôrs,29
aleâts,29
ki,29
vegni,29
proprie,29
dificil,29
americhis,29
jeova,29
spetacul,29
mieçs,29
marine,29
facebook,29
mistîr,29
club,29
mm,29
statunitens,29
mia,29
lontan,29
viert,29
civole,29
world,29
andré,29
laurinç,29
bosc,29
cjar,29
realizazion,29
onôr,29
antichitât,29
siôrs,29
cene,29
narative,29
sorte,29
promozion,29
ladine,29
ministrazion,29
engels,29
spedizion,29
hofer,29
salacor,29
gjenue,29
metint,29
sunâ,29
nirvā,29
pokémon,29
ricognossiment,28
pier,28
rivis,28
crisi,28
dominazion,28
dade,28
udinês,28
federazion,28
slargje,28
uficiâls,28
dissiplinis,28
cuantitât,28
cercli,28
derivade,28
formâ,28
insegnant,28
maiorance,28
dj,28
volontât,28
trente,28
istituzions,28
animâi,28
consul,28
scomencin,28
dos,28
toponim,28
aiar,28
television,28
naturâi,28
malatie,28
stave,28
musicist,28
mê,28
romanzis,28
ents,28
oris,28
die,28
linguistichis,28
gjestion,28
puint,28
varietât,28
slovens,28
crôt,28
barbe,28
scomençade,28
nâf,28
leon,28
fotografie,28
grandece,28
interessant,28
diferentis,28
cile,28
voltâ,28
privade,28
prefìs,28
cartei,28
romagne,28
you,28
love,28
varis,27
darte,27
tarcint,27
cjasarse,27
società,27
luca,27
william,27
cjadovri,27
degli,27
feveladis,27
motôr,27
rapresentants,27
cualitâts,27
portugal,27
risorsis,27
ipotesi,27
ocupe,27
enciclopedia,27
cd,27
costituzion,27
portughês,27
cult,27
doprà,27
davide,27
agostini,27
finì,27
medievâl,27
samee,27
europeanis,27
plêf,27
invasion,27
puartâts,27
produsi,27
stefano,27
moments,27
nere,27
cjants,27
comunist,27
emisferi,27
vuelin,27
liende,27
planet,27
materiâl,27
films,27
teatrâl,27
golf,27
duche,27
popolârs,27
compagns,27
nâfs,27
ebraiche,27
difindi,27
moisès,27
insom,27
tour,27
uficiâi,27
zîr,27
cressite,27
messic,27
video,27
fô,27
sôi,27
basc,27
violin,27
razionâi,27
cherokee,27
seneche,27
compagne,26
difese,26
çurçuvint,26
paluce,26
giulia,26
battista,26
frêt,26
patriarcjâl,26
nova,26
daurman,26
federâts,26
cjaurêt,26
austro,26
monuments,26
architet,26
lorenzo,26
linguistic,26
manifestazions,26
cuarte,26
calcul,26
tips,26
minûts,26
erin,26
introduzion,26
naturâls,26
dedicade,26
joseph,26
sigurece,26
azions,26
curte,26
vergjine,26
pierluigi,26
students,26
metin,26
firmât,26
justizie,26
economichis,26
tiare,26
pocjis,26
pioris,26
pratichis,26
zûc,26
mûts,26
dopli,26
merecane,26
sociâi,26
net,26
cuarps,26
categorie,26
durkheim,26
venezian,26
sebastian,26
dave,26
lavoradôrs,26
apuestul,26
ghil,26
zuckermann,26
michele,26
statuis,26
jesù,26
derivadis,26
filip,26
edifici,26
stampe,26
evitâ,26
tango,26
atris,26
muse,26
armis,26
serbie,26
predicazion,26
dolomitis,26
classis,26
arlef,26
omps,26
crodeve,26
oh,26
villa,26
breton,26
mühlkreis,26
real,26
marziâls,26
clero,26
opere,25
ultimis,25
veneto,25
dizionari,25
jentrà,25
citadine,25
gli,25
sergio,25
enrico,25
pagjinis,25
grec,25
biologjie,25
futûr,25
rivuarde,25
george,25
principalmentri,25
divierse,25
rosis,25
cole,25
variants,25
disin,25
cjapave,25
precîs,25
boscs,25
specie,25
farine,25
distruzion,25
insegnaments,25
definî,25
larc,25
nassi,25
terens,25
restade,25
co,25
colpe,25
cualitât,25
normis,25
fuartis,25
singui,25
vincidôr,25
michael,25
liendis,25
fumuts,25
jesu,25
vii,25
assegnât,25
manieris,25
concerts,25
adorazion,25
flabis,25
jerusalem,25
compagnie,25
localitâts,25
pale,25
las,25
realizât,25
complet,25
deputâts,25
feldkirchen,25
piemont,25
live,25
odissee,25
ha,25
stês,25
faraon,25
combatiment,25
caton,25
diferent,24
innomenâts,24
ermes,24
prose,24
dael,24
zuin,24
sulla,24
juliis,24
trevîs,24
vignûts,24
abitât,24
apont,24
vueli,24
tito,24
italiana,24
arte,24
bruno,24
dople,24
comunisim,24
enciclopedie,24
biblioteche,24
daniele,24
ocupazion,24
rom,24
componude,24
riferìs,24
dûr,24
ponte,24
sì,24
interpretazion,24
dalis,24
periodis,24
esploradôr,24
domenico,24
beline,24
manifestazion,24
statâl,24
rapresentâ,24
vocâls,24
oben,24
uficialmentri,24
macedonie,24
internazionâi,24
traviersât,24
pardabon,24
fresc,24
sovietiche,24
canâl,24
vinç,24
plaseve,24
grops,24
regjist,24
scomençant,24
setante,24
mar,24
judâ,24
jean,24
abreviazion,24
diferencis,24
lave,24
