word,count
de,1057585
fan,743317
yn,657340
it,561745
en,480008
in,447969
op,188571
mei,178845
is,175807
dy,165936
dat,150057
foar,134143
as,132442
te,127681
waard,124769
om,112068
oan,109381
troch,109147
wie,107259
nei,105188
syn,104096
út,97959
er,92505
ek,84513
by,81916
se,65772
der,65355
of,64847
mar,61486
har,57287
dêr,56870
wurdt,54591
net,54104
hat,53104
oer,51141
linear,50491
hy,48395
binne,48045
ta,46476
the,46230
him,43871
persoan,39297
van,39085
wurde,37923
film,32493
oare,31950
noch,31816
hie,31210
oant,30851
ûnder,30692
sa,29586
jier,28941
iuw,27518
ien,27505
earste,27494
waarden,26986
nederlânsk,26608
berne,26543
frysk,26504
doe,26414
amerikaanske,26276
al,26230
harren,26139
lânseigen,25656
namme,25032
tsjerke,24704
septimber,24409
plak,23733
grutte,23688
wol,23273
mear,22399
socorro,22095
stêd,21833
fauna,21713
tusken,20229
letter,20046
hawwe,19859
amerikaansk,19774
wat,19735
twa,19461
gemeente,19353
maart,19127
fryslân,18993
lykwols,18975
oktober,18275
kaam,17843
alle,17832
tiid,17771
makke,17637
tsjin,17426
ôf,17069
wiene,16909
kin,16812
jierren,16685
augustus,16508
fryske,16398
nije,16352
jannewaris,15805
twadde,15507
wer,15351
desimber,15301
sûnt,15244
novimber,15183
krige,14819
utens,14557
april,14245
soe,14067
gjin,13828
leit,13802
febrewaris,13682
skiednis,13613
feriene,13377
komt,13298
wurk,13238
maaie,13155
steaten,13113
sels,12901
trije,12853
neamd,12656
no,12649
hja,12636
lykas,12452
komôf,12289
ferskate,12272
dan,12223
dit,12209
dizze,11788
july,11373
west,11316
bekend,11248
eigen,11208
libben,11169
grut,11163
neffens,11161
kening,11089
minsken,11048
nij,11036
part,11027
ein,11010
diel,10940
lân,10937
oprjochte,10932
brûkt,10872
wylst,10652
ljouwert,10588
doarp,10537
stoarn,10447
stiet,10412
werom,10389
nederlân,10356
steat,10173
nederlânske,10103
ingelsk,9895
center,9802
align,9693
juny,9658
soad,9558
dêrnei,9527
boud,9373
eardere,9132
kinne,9131
lêste,9112
houten,9047
earst,8950
hinne,8828
grutste,8737
liet,8701
man,8685
beide,8666
benammen,8603
gie,8538
wurden,8484
oarloch,8468
bêste,8408
neat,8390
bern,8323
noard,8266
soan,8247
gebiet,8233
âlde,8132
bouwurk,8016
offisjele,8000
die,7933
sjoch,7848
giet,7846
men,7843
komme,7831
keppeling,7827
sy,7799
koe,7795
and,7789
dea,7733
spile,7715
dútske,7700
frou,7687
km,7570
tige,7542
skriuwer,7515
rol,7508
goed,7488
miljoen,7468
earder,7460
moat,7431
wêze,7397
faak,7335
lang,7311
hâlden,7310
hiele,7130
sjen,7127
wei,7116
eilân,7104
wêrby,7076
grins,7067
het,7059
fjouwer,7045
brocht,7043
begjin,7017
jan,6999
hoewol,6990
heit,6969
protte,6966
wetter,6891
bestiet,6856
sint,6853
dútsk,6831
fierders,6800
hûs,6790
sûnder,6747
taal,6731
lytse,6700
súd,6697
likernôch,6688
ryk,6632
tal,6594
politikus,6560
kear,6535
kr,6443
new,6433
leger,6426
guon,6368
meter,6347
list,6342
amsterdam,6326
hiene,6321
ynwenners,6281
wrâld,6276
frankryk,6241
films,6236
dútslân,6210
meast,6209
moast,6192
keppelings,6179
befolking,6161
sil,6148
organisaasje,6145
rivier,6143
provinsje,6140
neitiid,6137
krekt,6116
famylje,6099
john,6082
stie,6050
kleaster,6027
wûn,6002
ii,5991
britske,5985
star,5947
dêrby,5941
fierder,5932
slach,5925
boek,5918
frânsk,5914
lannen,5877
fûn,5875
foarm,5863
folle,5859
dei,5848
soarte,5817
akteur,5738
groep,5736
lid,5679
album,5659
mooglik,5600
frânske,5600
oaren,5586
museum,5571
haadstêd,5551
begûn,5495
sadat,5491
rekke,5470
priis,5417
dêrmei,5415
roman,5401
sette,5383
meitsjen,5354
inkeld,5317
ferhaal,5278
willem,5277
webside,5211
joech,5198
lange,5165
fiif,5154
loneos,5138
see,5118
titel,5089
spacewatch,5086
kant,5080
universiteit,5078
gebou,5025
altyd,4993
kommen,4985
hân,4961
gebrûk,4909
krigen,4880
wienen,4854
koarte,4833
skreau,4825
kamen,4819
pear,4817
band,4766
keizer,4760
wa,4745
ingelân,4730
set,4718
under,4712
ingelske,4709
talen,4699
east,4697
folge,4695
mem,4683
la,4675
wurke,4667
foarfallen,4666
deselde,4661
wars,4605
hillige,4569
ruslân,4566
measte,4563
karriêre,4561
jout,4554
keninkryk,4544
skreaun,4512
ferstoarn,4497
wichtichste,4492
plakken,4487
presidint,4486
jonge,4475
olympyske,4456
literatuer,4446
bleau,4417
boppe,4393
aktrise,4391
sadwaande,4385
oargel,4366
himsels,4361
lei,4350
skoalle,4338
tsjintwurdich,4333
allinnich,4310
dêrom,4297
leden,4297
dochter,4293
