word,count
an,345197
na,215490
agus,199458
ar,170343
is,120543
sa,81796
le,81355
go,76514
ag,72038
sé,63079
bhí,62396
de,60671
in,57046
mar,52188
tá,44813
ina,39013
tagairtí,37212
bhliain,34478
leis,30523
sin,28625
seo,27861
nó,27716
the,26868
den,26553
as,26164
daoine,25411
ach,24834
ann,24832
atá,22431
ba,21572
san,20964
raibh,20377
rugadh,20327
chun,19865
do,19213
ea,19109
eile,18516
chuid,18030
iad,16457
faoi,16000
of,15628
suite,15293
baile,15195
sí,14676
ní,14421
sna,14092
gur,14086
féin,14082
contae,14033
duine,13992
nuair,13874
siad,13838
ná,13695
bhfuil,13628
chéad,13492
don,13432
freisin,13256
mac,13034
ón,12488
dá,12112
amach,12089
mó,12082
níos,11772
héireann,11680
air,11472
tháinig,11449
idir,10911
nua,10474
dtí,10464
mór,10265
éireannach,10255
aontaithe,10164
gcontae,9802
fómhair,9424
átha,9317
nach,9282
meiriceánach,8812
aon,8766
básanna,8595
deireadh,8557
bás,8456
trí,8435
chuir,8385
chomh,8380
cliath,8373
acu,8329
and,8325
lá,8318
ainm,8206
rí,8204
aige,8134
naisc,8026
fuair,7972
tar,7817
bailte,7812
éis,7810
rinne,7607
gaeilge,7544
chéile,7407
amháin,7328
féidir,7314
sheachtracha,7259
chur,7088
stáit,7070
áit,7031
éirinn,7018
baill,7002
ab,6961
maith,6957
polaiteoir,6881
am,6789
dhá,6766
aisteoir,6759
féach,6594
réir,6562
bheith,6363
uí,6251
gach,6214
isteach,6175
dara,6154
stair,6149
cuid,6109
beo,6055
ceann,5925
cuireadh,5877
chuaigh,5874
thug,5852
mí,5812
leabhar,5778
bíonn,5768
lena,5752
dhéanamh,5635
linn,5635
rud,5603
fáil,5554
dó,5542
cathracha,5526
haois,5442
meán,5429
cé,5382
bliana,5331
aghaidh,5294
gan,5285
bhaile,5271
gcónaí,5265
john,5231
chontae,5217
teanga,5202
béarla,5195
thosaigh,5169
eanáir,5157
stát,5096
roinnt,5074
blianta,5064
lucht,4839
bealtaine,4829
bliain,4809
úsáid,4796
orthu,4777
dáil,4770
ansin,4754
daonra,4733
iúil,4710
lúnasa,4695
scríobh,4671
faoin,4652
chathair,4640
tír,4588
uair,4586
thuaidh,4583
éirigh,4580
márta,4578
dhiaidh,4557
sasana,4492
taobh,4486
nollaig,4479
measc,4456
timpeall,4454
dul,4424
mhór,4405
ndiaidh,4399
leith,4373
feabhra,4322
ard,4321
bhain,4316
aibreán,4269
meitheamh,4112
comhairle,4110
samhain,4016
cosúil,4005
imreoir,3999
bhuaigh,3965
cur,3928
breataine,3923
éireann,3865
inniu,3834
sraith,3809
níor,3808
saol,3746
oileán,3733
theas,3721
scríbhneoir,3708
déag,3690
shampla,3679
áfach,3671
domhain,3658
eachtraí,3640
fear,3602
cathair,3595
beag,3577
sasanach,3569
náisiúnta,3562
obair,3518
domhanda,3517
roimh,3492
níl,3464
tíre,3456
londain,3451
rinneadh,3440
ghaeilge,3418
síos,3411
bharr,3400
ollscoil,3382
rialtas,3376
feadh,3369
cheann,3368
scéal,3361
loch,3340
irish,3330
cinn,3323
leor,3312
mheiriceá,3283
albain,3254
minic,3228
aois,3213
arís,3198
thabhairt,3191
éagsúla,3190
uirthi,3181
lár,3176
cogadh,3176
sean,3150
dlí,3145
breitheanna,3140
ríocht,3137
teilifíse,3134
teacht,3123
thiar,3119
dtús,3074
ghlac,3069
bunaithe,3060
lán,3057
mbaile,3049
anois,3022
thar,3017
scannáin,3010
scannán,3009
bhíonn,2994
céanna,2947
naomh,2925
uisce,2920
fad,2906
tugtar,2895
leo,2879
bunaíodh,2873
gcuid,2850
háirithe,2847
simpsons,2847
suíomh,2845
halban,2841
nós,2838
fearr,2813
úsáidtear,2784
aici,2776
eipeasóid,2765
haghaidh,2760
mhic,2760
gheall,2743
maidir,2734
to,2725
siar,2708
tús,2700
scoil,2696
bheag,2687
athair,2686
rith,2684
meiriceánacha,2676
tugadh,2662
fud,2658
bhaint,2647
láthair,2624
éireannacha,2605
fós,2587
km,2582
oibre,2581
dtugtar,2563
carachtair,2556
ban,2537
milliún,2532
sacair,2526
oifigiúil,2526
uachtarán,2518
james,2515
shasana,2511
ríthe,2508
la,2502
heorpa,2500
pháirtí,2483
chill,2482
thart,2438
ghnáth,2427
óg,2404
teangacha,2404
di,2400
idí,2399
mhaith,2395
baint,2394
eo,2388
iar,2369
gceist,2358
domhan,2358
amhránaí,2355
áirithe,2349
éirí,2343
mhaigh,2337
gcoinne,2316
ábhar,2310
éard,2306
chuig,2304
bhunaigh,2298
seán,2297
léir,2283
déanaí,2282
céad,2281
chaith,2277
bhall,2275
fada,2272
thaobh,2264
mbeadh,2262
bhreatain,2258
idirnáisiúnta,2256
eaglais,2251
tharla,2230
fir,2229
liosta,2226
ais,2212
ireland,2199
má,2196
os,2195
arm,2195
curtha,2191
cill,2191
william,2159
leagan,2153
suas,2149
airde,2145
dóibh,2140
ionad,2133
craobh,2129
mbliain,2125
aire,2113
bhfeidhm,2110
fearainn,2109
riamh,2098
dúirt,2091
abhainn,2078
séasúr,2078
ceoil,2075
fháil,2058
aisteoirí,2051
sráidbhaile,2048
tríú,2028
gàidhealtachd,2028
chorcaí,2020
fraince,2014
gurbh,2008
ceithre,2008
teach,2003
club,1998
eabhrac,1991
ball,1984
press,1984
michael,1978
son,1971
maraíodh,1957
bun,1956
aice,1953
fhéidir,1950
páirt,1947
tréimhse,1934
roimhe,1910
iomlán,1905
ceantar,1887
rá,1887
aithne,1883
scríbhneoirí,1880
uladh,1875
siúd,1870
deirtear,1869
iarthar,1867
eolas,1864
úd,1863
file,1859
tógadh,1859
tíreolaíocht,1857
new,1849
iarraidh,1848
siúl,1847
cathrach,1845
bith,1842
staidéar,1838
cath,1827
amhrán,1825
díreach,1818
thoir,1809
dhún,1806
saothar,1804
muintir,1800
páirtí,1797
fhoireann,1795
on,1794
fhág,1789
ríochta,1782
chineál,1777
gaillimhe,1777
réigiún,1776
texas,1771
bhíodh,1768
grúpa,1764
speiceas,1759
bhfad,1751
cluichí,1745
luath,1741
focal,1736
mhí,1734
duais,1733
briotanach,1731
córas,1729
craoladh,1722
gcomhairle,1720
foinsí,1719
dtuaisceart,1713
isbn,1713
lú,1710
móra,1706
stáisiún,1706
gurb,1702
fiú,1700
francach,1696
annála,1695
gael,1694
luimnigh,1694
for,1692
roinn,1688
labhairt,1687
mhuintir,1683
robert,1680
éigin,1672
nár,1665
uimhir,1652
ré,1646
toisc,1642
london,1639
raidió,1634
david,1626
gearmánach,1626
chéanna,1623
déanta,1620
mná,1619
thoradh,1613
bheadh,1613
tríd,1613
chogadh,1610
cúig,1607
coitianta,1606
rúise,1605
uaireanta,1604
eorpach,1599
leabhair,1588
rc,1586
charles,1586
fhrainc,1586
thomas,1583
ros,1580
ii,1579
dún,1577
george,1572
eoraip,1568
cúpla,1567
gceannas,1563
méid,1559
árann,1559
iarracht,1553
teideal,1551
foireann,1550
lárionaid,1547
cineál,1544
comórtas,1541
mbíonn,1538
bhean,1537
láidir,1536
cumann,1536
fhine,1531
gearmáine,1530
cáil,1529
albam,1528
mhó,1527
dar,1524
líne,1523
oileáin,1521
plandaí,1516
éire,1504
imir,1504
athrú,1495
téarma,1491
pádraig,1487
tionchar,1486
ionann,1472
um,1472
dhuine,1471
oirthear,1469
mhac,1467
litríocht,1462
peile,1462
tagann,1458
thír,1457
úrscéal,1454
néill,1453
dé,1453
déanamh,1452
dornálaí,1449
bhaineann,1446
thóg,1446
bige,1445
áireamh,1443
bean,1442
nádúrtha,1438
ghearmáin,1437
chiarraí,1422
cluiche,1418
leadóige,1417
alabama,1412
coláiste,1411
cúige,1407
ceannairí,1404
cionn,1403
chogaidh,1397
scéalta,1397
rialtais,1391
cónaí,1389
rómhánach,1381
leath,1381
beirt,1381
paul,1378
ceol,1372
mórán,1371
meiriceá,1370
dhaoine,1361
lonnaithe,1355
feirste,1354
lámh,1346
iníon,1345
foilsíodh,1343
cheantar,1337
léi,1337
déanann,1335
mbliana,1334
rúis,1332
chlann,1331
clár,1330
imreoirí,1330
caisleán,1327
imirt,1322
thugtar,1320
dheireadh,1320
tsraith,1314
mbun,1313
brian,1312
fhoilsigh,1311
talamh,1310
ngall,1310
príomh,1308
chainnigh,1307
lean,1305
sasanacha,1302
ionsaí,1298
béal,1296
ord,1294
ríoga,1292
mumhan,1288
istigh,1288
léinn,1288
iontu,1287
fhéach,1286
áirítear,1285
ceannais,1285
corn,1283
líon,1282
chláir,1275
talún,1273
dheas,1266
príomhbhaile,1264
gradam,1263
conradh,1262
tábhachtach,1259
phós,1259
anuas,1258
taighde,1258
borough,1257
ama,1253
áitiúil,1248
éineacht,1245
richard,1244
pápa,1239
impireacht,1239
gcathair,1239
bhéarla,1235
áiteanna,1235
gnó,1234
táirgeadh,1232
cláir,1228
shaol,1228
toghadh,1225
sliabh,1224
polaiteoirí,1221
patrick,1219
eoghain,1213
céim,1213
oiread,1212
shin,1208
eipeasóidí,1208
déantar,1203
bán,1200
cuireann,1199
éin,1199
feiceáil,1198
bia,1198
mharaigh,1193
mbéarla,1191
thuaisceart,1184
university,1180
tíortha,1176
uile,1168
bronnadh,1168
aontas,1165
óna,1165
lae,1163
fhicseanúla,1163
dubh,1160
príomhchathair,1160
gcéad,1159
óige,1159
order,1159
ceapadh,1156
co,1155
scríofa,1151
afraic,1144
poblacht,1142
deir,1142
gar,1141
hoileáin,1140
amuigh,1135
tugann,1133
files,1133
oíche,1131
clann,1131
seacht,1129
dócha,1129
eagraíocht,1127
ua,1126
fiche,1126
nobel,1126
chluiche,1125
sléibhte,1123
seachas,1119
leanas,1118
tuaisceart,1117
plota,1117
astráil,1116
