word,count
hem,3612
bir,2749
da,2627
dili,2255
türkiye,1872
gagauz,1632
bu,1631
kasabalar,1235
türk,1195
bak,1060
en,1035
listasi,816
büük,751
laf,735
dış,703
baalantılar,682
için,623
ve,593
ay,580
de,550
edelir,538
km,535
listesi,524
ani,520
resmi,519
moldova,507
ama,503
wikipedia,503
kasabade,501
turkey,501
kasabasidir,492
görüntüler,490
olaylar,480
türkiyenın,471
kasabasi,467
çok,466
azerbaycan,465
devlet,463
önemli,443
var,422
respublikası,402
ölenler,398
doğanlar,397
sora,389
yıl,382
abd,378
başka,374
baş,371
taa,366
dünya,364
ci,360
the,359
anılmış,356
ne,350
onun,346
kendi,344
devletläri,334
komrat,333
ki,332
halk,324
günler,319
dä,318
yılda,313
amerika,303
rusiya,302
oldu,301
afrika,297
köklü,293
hepsi,289
dil,287
kardaş,287
ayın,287
fran,286
gagauzlar,283
iya,279
insannar,278
leopardı,277
nsannar,275
gün,274
bilim,273
onu,273
evropa,265
pek,254
üülen,242
kiyatlar,241
kasaba,236
kultura,236
gagauziya,234
kullanılmış,228
poyraz,228
rus,226
john,225
kasabası,219
birleşik,217
el,213
olarak,213
bän,212
görä,211
kişi,211
kaplanı,210
al,208
gagauziyanın,207
li,205
insan,204
çocuk,203
ngiliz,199
onnar,198
aaçkakan,197
kara,197
la,194
açan,193
ona,191
eni,189
aziya,189
milli,186
ilk,186
eski,185
nicä,184
kasabaları,181
deyni,181
william,180
gazeta,180
dilleri,177
gagauzların,174
demiş,174
yılın,173
olan,173
iki,171
picus,170
arasında,168
şindi,168
germaniya,168
kedisi,167
adam,165
van,165
britaniya,165
diller,163
içinde,163
avtonom,162
başkanı,161
devletlär,161
ana,158
zengin,158
eder,157
kişiler,156
alfaviti,156
küçük,155
literatura,151
kitay,150
yok,150
birlii,149
kasım,148
daily,148
gazetaları,147
bütün,145
tarafından,139
onnarın,137
ya,136
her,135
uşak,135
yeri,135
yaşamak,134
yıllar,133
com,132
kim,132
karşı,130
news,130
ta,127
din,126
george,125
iş,125
cü,124
gibi,124
te,124
klas,123
biri,122
günü,122
toprak,120
robert,120
ankara,118
su,118
adı,117
ukrayna,117
genä,117
pay,116
mihail,116
bulgar,116
slam,115
gözäl,115
altın,114
para,114
aldı,113
geografiya,113
thomas,113
listası,113
hep,113
sän,113
cı,111
of,111
sayısı,110
moldovada,110
kasabasında,109
kırım,109
klimat,108
hristian,108
çadır,108
uz,107
jan,107
literaturası,106
harman,106
arab,105
burada,105
etnik,105
küü,104
etti,104
deer,104
nobel,104
sade,102
türlü,102
özel,102
içindä,101
ekonomika,101
üüsek,101
üç,101
ii,101
başladı,100
hiç,100
and,100
lääzım,100
taliya,99
varmış,99
yardım,99
komşuları,98
biyaz,98
yakın,98
halkı,98
alt,97
baalı,97
kodu,97
ofiţial,97
james,97
in,97
kadar,97
mi,97
diil,97
gider,97
charles,96
paul,96
kipra,96
azerbaycanın,96
bizim,96
vardı,96
biz,96
dedi,96
kız,95
ile,95
bey,95
adına,94
kadın,94
mı,94
ölä,94
hederlez,94
times,94
ayle,93
kasabalari,93
sa,93
nikolay,93
nin,92
bulgariya,92
milion,92
jean,92
geler,92
county,91
ceviz,91
ran,90
yazıcı,89
ali,89
bin,89
stanbul,88
kaplan,88
alexander,88
yazar,88
onnarı,87
moldovanın,86
joseph,86
kirez,86
artık,85
hayvannar,84
turkiye,84
büünkü,84
başı,83
latin,83
grupalar,83
le,83
kabul,82
geeri,82
orada,82
adaları,82
paşa,82
david,82
yaşeer,81
cu,81
bölä,81
marta,81
spaniya,80
albaniya,80
respublikasının,80
respublika,80
vladimir,80
giovanni,80
duudu,79
english,79
bulunan,79
köroglu,79
kasabadır,78
bölek,78
dinner,78
bana,78
türkiyede,77
dan,77
geldi,77
diy,77
nın,76
olsun,76
henry,76
benim,76
ozaman,76
verdi,76
doğumlar,76
ölümler,76
günbatısı,75
ömür,75
valkaneş,75
dilindä,75
ikinci,75
arhitekturacılar,75
günduusu,74
yıllarda,74
baba,74
sana,74
ilgili,74
free,74
politika,73
ölüm,73
http,73
kerä,72
www,72
baboglu,72
mehmet,72
peter,71
nüfus,70
çiçek,70
sport,70
dünnää,70
vakıt,69
yılında,69
belli,69
olacek,69
romıniya,68
ti,68
yaş,68
evä,68
kuruldu,68
beni,68
dooru,68
tatar,68
oyuncu,68
az,67
büün,67
erkek,67
kişinöv,67
on,67
gitmiş,67
cm,66
storiya,66
lee,66
yaptı,66
kalendarı,66
içinä,66
yaponiya,65
at,65
yolu,65
encyclopedia,65
islää,64
adlı,64
devleti,64
yıldan,64
martin,64
yaşayan,64
boris,64
karl,64
gagauziyada,63
takım,63
ndüstri,63
san,63
richard,63
hani,63
territorial,62
insannarı,62
ın,62
gre,62
nternet,62
küüyündä,62
polşa,61
onnara,61
konstantin,61
asker,61
türküleri,61
seni,61
kimi,60
karar,60
hiv,60
aids,60
yapılan,60
ayında,60
mari,60
von,60
söz,59
uzun,59
aslanı,59
kanada,59
ayı,59
ruslar,59
yapmaa,59
deputatı,59
antonio,59
orta,58
adamı,58
koreya,58
neredä,58
şair,58
bölümlüü,57
bosniya,57
mustafa,57
viliyatı,57
ileri,57
üüredicilik,57
halkın,57
süleyman,57
ahmet,57
maria,57
giuseppe,57
aktyör,57
aktrisalar,57
tepägöz,57
tatiller,57
herald,57
post,57
vasilioglu,56
egovina,56
komşu,56
edward,56
öldü,56
ka,55
yada,55
angısı,55
michael,55
insannarın,54
lafbirleşmeleri,54
biografiyaları,54
bunu,54
todur,54
daniya,54
birisi,54
dilini,54
komratta,54
alman,54
jiří,54
aziyada,53
angıları,53
republıcıı,53
merkez,53
geçti,53
sent,53
çıktı,53
çıfıt,53
georgiy,53
josef,53
altında,53
dilde,53
olmuş,53
onlar,53
journal,53
es,52
aaçkakanı,52
ev,52
verer,52
kg,52
ial,52
carl,52
canavar,52
telefon,52
zaman,52
stepan,52
tatarlar,52
şarap,52
del,52
new,51
avstraliya,51
lafları,51
rusça,51
neçin,51
çimpoeş,51
kişinev,51
almış,51
babu,51
sort,50
yazılı,50
panthera,50
malta,50
ofi,50
web,50
turizma,50
mozambik,50
er,50
almaa,50
gelän,50
tanasoglu,50
bobası,50
fransız,50
yaşêêr,49
louis,49
sayfa,49
aslan,49
dolayında,49
dolayı,49
kısa,49
aldılar,49
dekabri,49
istoriya,49
alban,49
bundan,48
roman,48
ukraina,48
beeri,48
finlandiya,48
verildi,48
serbest,48
gecä,48
hans,48
gazette,48
span,47
evropada,47
herbir,47
yol,47
devletler,47
nd,47
halklararası,47
son,47
birkaç,47
açıldı,47
teklif,47
di,47
biografiya,47
milyard,47
wilhelm,47
noktası,47
oolu,47
han,47
büyük,47
alfred,47
bizä,47
senin,47
ca,47
boy,46
göre,46
dünnä,46
romın,46
na,46
ekincilik,46
küüyün,46
yazı,46
prezident,46
nasıl,46
prezidenti,46
kandidat,46
genel,46
andrey,46
ivan,46
eşil,45
yapon,45
altay,45
çoyu,45
orak,45
yılı,45
dollar,45
press,45
olêr,45
sotsiologi,45
sınırları,44
türkiyenin,44
sovet,44
zor,44
gagauzça,44
albert,44
muzıka,44
girdi,44
muzika,44
saat,44
urum,44
mal,44
erä,44
karı,44
efendi,44
oblastı,44
yuvan,44
star,44
babaloglu,43
babaoglu,43
sonra,43
bengal,43
sözü,43
erkekler,43
mariya,43
neft,43
daa,43
barabar,43
türkü,43
oler,43
gagauzları,43
universiteti,43
şehri,43
kurban,43
nikolai,43
şiir,43
express,43
seçildi,42
bişey,42
lanka,42
bölgesi,42
city,42
mu,42
radio,42
kazahstan,42
niderland,42
dört,42
moldovan,42
genç,42
film,42
francesco,42
arhitektura,42
klası,41
animalia,41
branşa,41
kordalılar,41
chordata,41
picoides,41
eri,41
klimatı,41
birinci,41
tirana,41
göçüm,41
çehiya,41
tarla,41
zerä,41
gitti,41
osmanlı,41
anna,41
ödülü,41
christian,41
aleksander,41
beş,40
horvatiya,40
gündä,40
kıpçak,40
sıklıı,40
bucak,40
kazandı,40
daniel,40
daha,40
şahridir,40
weekly,40
değiştir,40
gr,39
uurunda,39
pakistan,39
div,39
şri,39
senat,39
ristian,39
avstriya,39
grek,39
madrid,39
çoban,39
yortu,39
dr,39
gelmiş,39
kurumu,39
politikacı,39
fizikacılar,39
diario,39
sunday,39
balık,38
sarı,38
protestan,38
st,38
frank,38
yardımcısı,38
açıkladı,38
vengriya,38
argentina,38
arnold,38
küüyü,38
ion,38
büükelçisi,38
başardı,38
alan,38
taliyan,38
okumaa,38
smail,38
juan,38
johann,38
etmiş,38
uzlar,38
dokuz,38
yazıer,38
nl,37
temel,37
adını,37
aeroport,37
başkan,37
çeşitli,37
belgiya,37
angı,37
koyun,37
nekadar,37
üüredici,37
okeaniyası,37
iso,37
padişaa,37
pierre,37
georgi,37
nevzat,37
nci,37
soyundan,37
babil,37
pardus,37
rudolf,37
şehrda,37
