word,count
di,27548
ka,13461
an,11938
sa,7802
ki,7721
ké,6504
roun,5395
dé,5238
ya,4047
so,4033
pa,3817
li,2710
annan,2186
oun,2061
référans,2057
nòt,1978
kò,1916
pou,1856
yan,1799
lannen,1597
oben,1563
yé,1550
atè,1440
asou,1375
té,1351
osi,1264
wè,1030
lyen,992
pli,896
évènman,887
finisman,842
ègstèrn,807
mè,765
kalandriyé,746
kou,735
fè,732
paj,638
de,634
janvyé,614
mars,610
ant,608
kont,593
nò,588
koumansman,577
pronmyé,574
sid,559
julyen,557
avril,529
fika,526
koumansé,510
févriyé,505
tout,502
gran,489
nou,482
lanng,477
bò,475
syèk,468
koumin,453
fransé,452
péy,443
épi,439
jen,434
jouk,431
konsèrné,425
koté,423
pran,417
soulon,412
nouvèl,409
gen,404
anba,401
pouvé,399
léta,397
divini,396
ii,395
règn,385
ròt,379
lanmò,377
moun,377
out,372
rwa,370
don,361
aprè,359
jwiyé,358
menm,350
lavil,347
péyi,341
lafrans,340
sèptanm,338
tiboug,333
sitchwé,330
lagèr,327
léròp,325
non,324
lwès,315
parti,311
lanmérik,311
popilasyon,309
la,309
lanmè,308
lenn,306
itilizé,298
aplé,297
lafrik,294
soultan,293
loséyan,289
km,289
dipi,285
réjyon,284
latè,283
lès,280
kapital,279
zilé,277
khan,276
san,274
zil,272
lagwiyann,269
ensi,267
al,263
fòrm,257
lazi,256
ansanm,255
batay,253
ie,252
nonm,250
répiblik,249
lò,242
lis,242
tèrm,241
jénéral,241
rwè,240
monn,240
dézigné,232
nonmen,229
fondé,228
rwayom,227
trété,226
listwè,226
mété,224
politik,221
nésans,221
lanpir,220
kòd,220
frè,217
désanm,217
zabitan,217
égalman,217
rivé,215
plizyò,212
japon,211
lachin,211
mouri,210
le,209
anglé,207
éropéyen,205
pati,204
bay,202
lanprò,202
pèrmèt,200
britannik,200
alò,199
sistenm,197
èspédisyon,196
kiltir,196
laten,196
iii,194
tchèk,192
tan,191
pòtidjé,190
wonm,189
désè,189
mé,188
ansyen,186
dannyé,182
téritwè,181
gouvèlnò,180
larmé,180
pannan,179
ekstern,179
brézil,179
novanm,178
konsèrnen,177
oryantal,176
divèt,176
souvan,175
jean,174
piti,174
pròch,172
pouvwè,170
lonng,168
ou,168
kour,167
dinasti,166
anparé,166
milyon,165
sen,164
lorijin,162
byen,162
èspangnòl,162
konnèt,161
konstitchwé,160
en,160
romen,159
grégoryen,158
briga,156
sala,156
lyé,155
fondasyon,155
oryan,154
atchwèl,153
