word,count
an,123813
ann,62968
na,53919
tha,38638
agus,38031
air,31844
am,19067
bha,14794
anns,13682
gu,11345
aig,11176
is,9879
alba,9376
chaidh,8880
bho,8430
le,8410
baile,8147
mar,8036
iomraidhean,8030
de,7801
daoine,7292
dh,6904
bailtean,6718
ri,6647
nan,6606
seo,6270
sin,6201
às,6178
airson,6088
bhaile,5992
th,5939
san,5851
beurla,5582
do,5577
eadar,5572
mach,5309
as,4880
ach,4784
neo,4729
ainm,4630
ceanglaichean,4401
iad,4339
mh,4125
mu,4117
the,3961
km,3890
co,3810
fuireach,3783
suidhichte,3446
sa,3436
eilean,3423
neach,3308
bliadhna,3255
gàidhlig,3252
loch,3222
prìomh,3155
robh,3141
leis,3133
eile,3133
roinn,3105
cuideachd,3085
mòr,3046
of,3035
aonaichte,2983
aige,2980
no,2931
iar,2923
fhèin,2906
linn,2893
deas,2840
nuair,2792
duine,2750
poileataigs,2746
ainmeil,2712
den,2694
bheil,2687
tachartasan,2687
dùthcha,2672
gun,2628
tuath,2601
taobh,2572
nam,2554
oilthigh,2551
eachdraidh,2520
stàitean,2454
bàsan,2437
ceann,2427
breithean,2422
bh,2401
far,2389
chiad,2379
rugadh,2368
chuimrigh,2309
àirde,2308
rèir,2301
ear,2283
ris,2274
eil,2211
sgìre,2177
dèidh,2152
àite,2150
chuid,2140
latha,2121
chan,2103
dhan,2090
bhith,2078
dà,2064
mhòr,2014
faisg,2005
os,1986
stèidheachadh,1974
aon,1964
siorrachd,1959
cho,1946
duais,1925
motha,1907
bhon,1877
fhuair,1850
mara,1829
dhe,1826
rinn,1799
cionn,1792
gus,1784
luchd,1784
nuadh,1771
cha,1759
ag,1746
bhliadhna,1721
fo,1718
obair,1665
àm,1641
riaghaltas,1637
nobel,1612
cilemeatair,1597
beag,1593
mi,1589
ìre,1573
nàiseanta,1572
fad,1560
chuir,1551
dùthaich,1549
and,1545
dhen,1537
fear,1535
taigh,1523
sgrìobhadair,1523
nach,1488
falbh,1485
bbc,1430
laideann,1408
gur,1403
math,1393
dùn,1393
rìgh,1387
comhairle,1378
ghearmailt,1371
gach,1350
chur,1325
eileanan,1317
cheangailte,1309
seann,1306
coloimbia,1305
nas,1298
sgoil,1296
ged,1289
thug,1286
ùr,1273
ga,1269
àrd,1256
cuid,1252
còmhla,1234
uisge,1230
lunnainn,1200
diugh,1198
ceimigear,1194
eòlas,1192
inbhir,1186
bhuannaich,1186
ruige,1184
uile,1180
beinn,1168
nis,1156
mac,1156
chaochail,1132
sluagh,1117
aghaidh,1117
dha,1110
roinne,1109
ghàidhlig,1108
la,1086
pàrtaidh,1080
iain,1067
beanntan,1049
suidhe,1046
ath,1045
leth,1040
ipa,1040
dheas,1029
dhùn,1028
dùbhlachd,1026
mòran,1025
naidheachdan,1021
shluaigh,1021
eaglais,1018
faoilleach,1016
abhainn,995
dìreach,994
sgrìobh,993
aca,991
àireamh,991
ciùil,990
oifigeil,989
iuchar,988
bith,982
rìoghachd,979
bu,974
ball,971
in,965
port,961
tro,949
thuath,945
leabhar,943
eòrpa,941
innis,939
meadhan,936
thàinig,934
afraga,920
sasainn,906
lorg,906
ro,903
èideann,901
dealbhan,896
fhraing,895
cogadh,894
bharrachd,879
uair,879
aithris,875
albannach,874
thogail,870
dàrna,865
ciallachadh,862
steach,859
dàmhair,852
bidh,850
èirinn,834
sgrìobhadh,826
spàinn,823
teaghlach,822
obar,820
làrach,820
john,820
cheann,819
suain,818
stàite,806
cuimris,806
cànan,805
màrt,803
glaschu,799
mìle,791
fhathast,791
cur,779
dol,779
canar,777
sultain,775
iomadh,766
bàrd,762
crìochan,761
èireann,757
deireadh,757
thathar,752
trì,751
cèitean,748
feadh,746
thoirt,744
frainge,744
caerdydd,744
làidir,743
chunntais,743
dheathain,739
thaobh,739
contae,739
tìrean,733
don,733
tìle,732
ìsle,732
poblachd,731
ceimigeachd,729
àird,727
samhain,724
bun,723
gabhail,722
giblean,721
sam,720
pàrlamaid,720
dheireadh,720
sgìrean,718
seòrsa,716
rathad,715
ògmhios,711
spàinntis,709
cleachdadh,709
beatha,704
spàinne,703
sgitheanach,702
leum,693
muigh,686
ucràin,686
dhèanamh,684
saidheansail,683
aibhne,683
urrainn,678
sgàth,675
ghabh,674
ainmean,674
gearran,670
chlàradh,668
gleann,668
làithean,668
actair,666
thòisich,665
measg,665
litreachas,664
bheurla,662
sir,661
toirt,659
coltach,646
lìn,644
phrìomh,637
aice,636
thall,635
pàirt,633
