word,count
de,2204924
en,696307
que,607188
do,559120
da,530618
no,291394
un,290571
os,283161
na,265564
unha,232167
como,231871
por,201991
as,193120
para,191842
dos,186232
foi,172109
con,156398
ao,155398
se,152760
tamén,137498
súa,137367
máis,122812
seu,117763
ou,116215
das,111295
non,108146
entre,76313
polo,74142
son,70154
co,61960
véxase,61433
lugares,59552
the,57799
notas,57112
nos,56485
ano,55857
pola,53255
anos,52027
lugar,52010
sobre,51412
outros,50880
coa,49669
concello,48695
nas,47533
durante,47444
seus,46185
parte,45004
ser,43321
está,42286
la,42107
pero,41773
parroquias,40539
galicia,40312
segundo,39754
ligazóns,39623
externas,39603
dun,39127
despois,38672
cando,38468
parroquia,38438
nados,38413
of,37549
era,37030
aínda,36586
onde,36113
primeira,35322
aos,35194
cidade,35035
primeiro,34161
historia,34065
ten,33804
súas,33089
dous,32787
ata,32548
dunha,31977
este,31967
esta,31126
pode,30459
xa,30302
san,30294
nome,30132
desde,30073
el,29916
século,29722
nun,29370
filmes,29363
gran,29239
foron,28989
ás,28893
artigos,28472
mesmo,28403
estados,27911
só,27713
galego,26685
tres,26123
moi,25752
forma,25703
así,25643
todo,25259
tiña,25064
habitantes,24657
nova,24398
sen,24323
dúas,24157
guerra,24027
unidos,23900
nunha,23745
grupo,23535
universidade,22848
españa,22800
lingua,22081
contra,21565
premio,21350
rei,21096
polos,20780
equipo,20664
dende,20617
maior,20611
baixo,20551
estado,20540
hai,20158
vez,20057
vida,19766
norte,19578
poden,19479
traxectoria,19457
poboación,19445
mulleres,19309
tempo,19279
novo,19242
xogadores,18941
segunda,18923
sur,18765
comarca,18617
familia,18577
ademais,18503
mundo,18275
cada,18222
obra,18048
and,18037
nado,17817
eran,17758
están,17756
antes,17634
cos,17442
cunha,17307
outras,17244
provincia,17234
homes,17099
isbn,16864
nacional,16862
cara,16748
mellor,16692
cun,16495
logo,16494
até,16429
del,16426
tanto,16360
illa,16314
tras,16312
goberno,16278
partido,16270
tempada,16218
mentres,16071
madrid,16017
ii,15709
país,15664
bibliografía,15614
banda,15550
oficial,15485
carreira,15450
teñen,15358
número,15342
xunto,15298
río,15213
especies,15121
sistema,15110
santiago,15010
obras,14986
serie,14950
catro,14932
terra,14901
todos,14791
km,14755
sendo,14744
estaba,14708
xullo,14643
galega,14594
varios,14577
tivo,14546
américa,14486
centro,14470
francia,14409
maría,14394
xaneiro,14374
cal,14370
reino,14349
grande,14347
final,14263
internacional,14152
día,14099
in,14040
casa,13999
real,13871
algúns,13840
maio,13828
lle,13803
mais,13723
grandes,13700
filme,13678
club,13621
josé,13568
morte,13468
medio,13466
grupos,13381
xuño,13378
moitos,13293
rexión,13156
debido,13099
marzo,13040
setembro,12989
outubro,12979
exemplo,12941
comezou,12907
estes,12899
coruña,12899
europa,12860
partir,12774
fillo,12713
abril,12652
decembro,12648
mundial,12609
igrexa,12604
quen,12503
isto,12444
xeral,12397
agosto,12301
música,12276
coma,12248
tipo,12243
fútbol,12189
finados,12105
datos,12092
menos,12016
coñecido,11945
santa,11937
imaxes,11922
novembro,11800
veces,11772
eleccións,11770
principal,11767
deste,11728
pouco,11699
maioría,11570
través,11516
febreiro,11433
vigo,11425
auga,11395
xénero,11380
outra,11340
mar,11265
varias,11256
época,11255
especie,11226
política,11224
presidente,11195
estadounidense,11185
illas,11133
países,11093
longo,11067
persoas,11043
primeiros,11026
dentro,10949
edición,10828
unión,10827
ter,10822
manuel,10790
traballo,10780
diferentes,10778
outro,10748
ben,10733
zona,10731
porén,10701
capital,10664
polas,10628
células,10622
orixe,10595
coas,10526
inglés,10477
cales,10435
estas,10431
importante,10411
web,10408
desta,10372
república,10308
cinco,10285
período,10265
entón,10182
pai,10176
liga,10132
barcelona,10012
político,10008
división,9996
seguinte,9993
uso,9955
central,9922
española,9903
poder,9901
desenvolvemento,9885
finado,9869
páxina,9801
mesma,9778
campionato,9767
fixo,9711
moitas,9696
xeito,9634
cultura,9624
uns,9608
orde,9552
membros,9551
algunhas,9526
español,9455
caso,9427
media,9395
televisión,9360
carlos,9233
días,9205
características,9193
york,9177
francés,9164
libro,9161
compostela,9154
estudos,9101
título,9095
idade,9065
case,9052
tarde,9044
toda,9031
finalmente,9024
todas,9014
álbum,8955
finais,8910
los,8900
relación,8896
punto,8877
millóns,8850
instituto,8837
posteriormente,8835
momento,8823
produción,8787
imperio,8776
década,8713
alemaña,8711
principais,8675
conta,8635
total,8618
actual,8605
italia,8569
arte,8510
campo,8505
base,8501
popular,8468
john,8450
información,8403
lista,8391
director,8377
castro,8366
fronte,8343
antonio,8317
membro,8297
premios,8228
iii,8203
parís,8192
hoxe,8189
muller,8186
fórmula,8174
proceso,8162
facer,8136
puntos,8111
preto,8110
pedro,8080
partidos,8058
chamado,8042
pasou,8029
cidades,8027
