word,count
ha,42678
ary,13425
pe,12014
pegua,11025
de,10894
mba,8856
ko,8205
peteĩ,7493
umi,6876
ñe,5665
avei,5214
tetã,4338
táva,3762
ára,3661
tetãvore,3555
va,3518
upe,3392
la,3249
ekue,2998
oĩ,2970
heta,2944
me,2915
hag,2811
ua,2771
reñói,2758
oiko,2736
térã,2383
mandu,2373
guasu,2289
omano,2248
del,2176
joapykuéra,2167
apy,2115
he,2049
rupi,2029
jave,1999
eapohára,1949
joaju,1900
guive,1864
ka,1835
gotyo,1780
yvy,1728
rehegua,1699
ñemano,1694
ikatu,1637
ojapo,1583
paraguái,1578
aty,1548
niko,1538
rire,1517
ta,1497
rehe,1488
ambue,1472
opa,1440
paraguay,1390
reko,1369
mbo,1333
akue,1322
ramo,1313
erã,1303
en,1298
el,1296
chupe,1261
peve,1249
haihára,1236
oguereko,1231
ndive,1222
amo,1181
éva,1166
omba,1159
karai,1139
katu,1134
rupive,1133
upéicha,1122
retãme,1089
ysyry,1081
argentina,1079
hína,1076
apo,1034
heñói,1032
epáña,1022
apytépe,1019
oñepyrũ,1017
hérava,1004
oĩva,998
mymba,990
hikuái,989
kuéra,989
ava,982
vakapipopo,968
porã,960
tapicha,959
josé,950
péicha,916
amérikagua,911
os,909
tenda,907
che,902
guarani,893
san,882
ãva,876
ku,873
vyretáña,869
km,858
ñande,852
yvypóra,846
opurahéiva,840
ñorairõ,832
ãhára,820
gui,815
kóva,812
sa,808
hyãsia,785
yvate,785
mokõi,783
juan,782
tekove,779
upépe,767
ojokuaikuaáva,763
ojejuhu,762
oho,757
ngue,756
peh,755
ohasa,754
ypa,733
hi,729
do,722
retã,720
ho,718
ojejapo,717
ñane,714
asy,711
héra,709
py,693
aja,680
peteĩha,672
jey,671
ambuéva,670
ári,668
espáña,665
haguã,654
ñemby,652
pa,648
opyta,647
tembiapo,641
los,640
jasypoteĩ,631
nacional,631
alemáña,626
ou,624
umíva,620
oje,620
mburuvicha,615
gua,604
tee,604
ra,597
tape,596
yvyra,592
papára,592
purahéi,587
kuarahyres,587
upéi,583
távape,583
hese,582
ohai,571
ipype,568
oike,559
ekuéra,557
kuimba,550
para,547
orekóva,544
oikóva,539
méhiko,539
tapichakuéra,538
carlos,536
karaiñe,533
ichupe,532
tuichavéva,528
tembi,525
pyahu,522
ome,520
itália,519
pindoráma,516
paraguaýpe,513
éichapa,508
kuña,507
ojehecha,498
péva,496
paraguáipe,496
oreko,494
oñe,494
opaite,493
guyra,493
mburuvi,491
imba,485
juehegua,479
opaichagua,479
oguah,479
rio,474
tekoha,472
the,468
tembiasa,466
pedro,463
techapyrã,452
ohechauka,452
antonio,452
óga,447
mano,445
hembiapo,440
maría,440
kuri,438
luis,438
mbohapy,436
ápe,436
nguéra,435
kuarahy,434
joajuha,433
tavayguakuéra,431
ipu,429
rembe,428
tetãnguéra,427
mboyve,427
lópez,427
francisco,425
ohupyty,424
chugui,423
upévare,422
itavusu,422
re,421
avo,419
guarã,418
kuarahyreike,414
anga,411
iñe,409
eva,408
tetãme,407
banda,403
mombe,402
español,397
jasypoapy,397
oipuru,396
las,393
omombe,392
ruvicha,389
jasypokõi,384
asunción,383
angamýi,382
nde,381
ja,381
hembiapokue,381
oúva,381
mokõiha,379
hákatu,379
grande,378
oguerekóva,373
jasypo,373
oñemomba,372
ndaha,372
ojapóva,372
jasyrundy,369
te,367
jepe,367
ehára,367
aguy,365
jasyporundy,363
jasyteĩ,362
mbytépe,360
tava,359
avañe,358
general,357
hetave,355
brasil,354
ijyvy,354
jasypa,354
hagua,354
mitã,353
jasyapy,353
guare,351
meve,350
tavakuairetã,350
amérika,348
tai,348
jasykõi,348
ehína,347
david,344
ymaguare,344
militar,344
hapõ,342
voi,341
vo,341
estadounidense,339
arandu,338
ape,337
chupekuéra,335
