word,count
to,48632
desa,30914
kabupaten,25764
kecamatan,18760
lo,18746
indonesia,17038
yito,15137
provinsi,14323
tuwawu,14095
tala,13835
referensi,12000
sulawesi,11103
jawa,10011
tengah,8526
timur,8245
kelurahan,6421
kota,5003
utara,4927
selatan,4666
wawu,3574
gorontalo,3372
di,3154
barat,2946
dan,2748
tenggara,2734
kalimantan,2106
bone,1938
banggai,1777
yang,1686
bali,1686
botiya,1570
dari,1389
delomo,1269
kepulauan,1268
episode,1123
amerika,1117
ma,1083
dulahe,1042
parigi,1034
una,1010
wau,1005
kebumen,1001
moutong,974
lamongan,974
bolaang,972
mongondow,931
ta,922
kutai,895
dalam,891
morowali,877
wolo,855
serikat,835
bahasa,791
buton,777
tahun,769
konawe,769
south,767
park,767
te,765
presiden,764
pertama,763
perang,759
dengan,759
bondowoso,756
banyumas,729
ke,713
lowali,712
poso,685
ode,682
lonto,674
bolango,669
untuk,663
menjadi,660
kotabaru,659
liyo,650
cilacap,649
medan,627
mo,620
oleh,616
dunia,615
sebagai,610
sigi,605
taawunu,591
inggris,588
kediri,588
ponorogo,559
minahasa,554
tojo,548
gowa,548
de,544
tiyo,544
purbalingga,544
daputari,539
donggala,536
semarang,529
tulungagung,526
da,520
baru,520
ii,502
bandung,498
pada,497
hari,483
olo,479
indramayu,479
mowali,477
negara,476
tawunu,472
kalender,471
kolaka,469
kartanegara,467
meyalo,466
enrekang,455
tawu,446
laut,440
surabaya,440
botiye,437
jerman,437
ibu,435
bulukumba,432
orang,430
yilowali,429
daftar,429
tanggal,427
parker,427
trey,425
sambe,422
buleleng,422
almanak,419
perancis,414
sumatra,413
the,405
bungaliyo,396
maluku,396
makassar,393
menteri,392
gregorian,390
pusat,389
tolitoli,385
uyito,382
odelo,377
buol,377
uwito,373
pohuwato,370
pacitan,370
pilotutuwa,367
bombana,366
km,364
sangihe,363
pemerintahan,361
jakarta,357
paser,353
halmahera,350
ilopateya,349
republik,348
kerinci,344
raya,340
bola,339
eela,337
pasukan,334
trenggalek,334
resmi,331
raja,330
siau,329
pemain,329
