word,count
de,17145
for,11888
of,9789
wey,7184
den,6596
insyd,5767
dey,5520
dem,5228
be,4467
ghana,4242
ein,4027
she,2331
as,2304
am,2208
he,2107
ghanaian,2069
go,1925
region,1700
the,1582
to,1477
plus,1452
from,1447
say,1217
district,1213
school,1146
give,1144
na,1120
and,1085
university,1005
people,991
get,989
african,911
in,895
references,876
africa,875
bi,825
member,806
san,788
women,788
education,755
high,693
dema,691
by,687
sam,682
make,668
national,666
one,666
on,621
west,618
first,609
accra,577
south,567
born,561
part,555
senior,553
inside,548
life,540
edey,513
east,509
th,501
dis,484
coast,482
trade,481
century,473
north,464
parliament,450
demma,431
new,426
municipal,426
town,419
top,405
states,398
year,397
so,392
union,392
ebe,390
capital,381
international,371
central,366
votes,362
st,360
come,360
college,360
districts,354
human,348
eastern,348
countries,344
no,343
party,334
career,332
include,331
awards,325
constituency,320
president,318
government,316
early,313
country,313
area,312
name,304
world,303
bono,302
ashanti,299
take,294
ebi,294
after,293
serve,293
dat,292
politicians,286
alumni,283
population,283
former,282
gey,279
general,272
cape,265
volta,264
city,263
republic,261
all,260
create,258
film,257
minister,257
state,256
award,256
development,254
two,251
kumasi,251
cam,248
united,248
western,247
establish,244
science,242
chaw,239
total,234
nkrumah,233
botswana,230
or,229
december,227
gold,227
at,226
institute,222
most,222
oda,222
committee,221
births,220
assembly,220
northern,219
june,219
turn,218
health,217
years,216
towns,216
nana,215
public,213
do,213
later,212
history,211
nations,211
ghanaians,210
january,210
february,210
pages,210
democratic,210
department,209
about,208
congress,207
maps,206
john,205
british,204
use,202
election,201
with,201
elections,200
political,199
parliamentary,199
three,199
patriotic,198
group,198
kwame,197
komot,195
between,195
start,193
regional,192
work,191
second,191
council,191
you,189
march,189
degree,188
secondary,188
unions,186
best,184
business,184
win,183
day,183
economic,182
burkinabè,181
chief,180
language,180
sanso,178
politician,176
community,175
secof,174
music,172
addo,171
studies,171
tym,169
up,169
local,166
july,165
members,165
akan,163
list,162
arts,162
festival,161
cast,161
see,160
some,160
centre,159
october,159
matter,158
an,158
ego,158
before,157
social,157
chop,156
more,156
august,156
during,155
schools,155
other,155
ahafo,154
mps,153
media,152
management,152
female,151
now,151
bell,151
but,151
girls,150
november,149
director,149
technology,148
house,148
court,147
upper,147
play,146
marry,146
job,146
like,146
museum,146
fi,145
law,145
may,143
traditional,143
major,142
talk,142
time,141
out,140
cup,140
ethnic,140
rep,139
september,139
guinea,139
known,138
since,138
black,137
technical,137
administration,136
wer,135
sake,135
under,135
elect,134
greater,134
french,134
river,133
association,133
hin,132
largest,132
call,132
well,131
current,131
fort,131
academy,129
place,129
deputy,129
church,128
christian,127
southern,127
park,127
american,126
nu,126
league,125
form,125
lyk,125
graduate,124
die,124
tv,123
kiddies,123
service,123
places,123
both,122
lead,122
establishments,121
know,120
television,120
family,120
team,119
represent,119
football,119
footballer,118
forest,118
we,118
among,117
training,117
kingdom,117
executive,117
such,116
art,115
over,115
is,115
way,114
bachelor,114
english,113
vice,113
regions,113
seat,111
footballers,111
level,111
king,110
mills,109
groups,108
living,108
culture,108
tourism,108
show,108
candidate,108
war,107
attend,107
municipality,107
sciences,106
against,106
populated,106
head,106
territories,106
asante,105
nigeria,105
students,105
anaa,105
hospital,104
build,104
april,104
bank,104
join,103
km,103
who,102
players,102
fourth,102
center,102
stubs,102
land,102
main,102
into,102
master,101
four,101
split,101
provide,101
sunyani,101
akufo,101
market,100
too,100
independence,100
study,100
system,100
company,100
areas,99
free,99
number,99
same,98
wen,98
actress,97
ndc,97
receive,97
board,97
water,96
live,95
project,95
akim,95
research,95
home,95
only,94
off,94
through,94
hold,93
post,93
ho,93
military,93
support,93
movie,91
club,91
primary,91
around,91
afta,91
love,90
