word,count
tü,5133
de,2590
wayuu,1972
la,1639
otta,1087
en,1040
el,1018
süpüla,1013
sünain,983
wane,872
shia,861
wanee,807
na,762
naa,740
chi,690
que,656
sulu,652
mma,643
jee,639
eesü,634
los,596
alijunaiki,575
in,572
ipa,570
siia,543
mmakat,542
sutuma,534
se,519
del,504
ma,467
es,441
so,420
müsia,412
eere,409
su,404
süka,386
saa,373
un,351
kasa,349
las,341
con,339
eekai,333
nia,331
ka,327
sunain,326
por,325
shiia,322
je,316
wenesueela,315
sümaa,312
una,310
shi,299
sukua,292
para,285
aka,283
sa,273
tia,270
chaa,267
ipakat,264
sumaa,251
wayuukana,245
no,240
como,232
soou,229
wajiira,224
naya,221
wunu,214
alijuna,211
juyaa,206
supüla,203
anain,196
ein,195
chii,195
yaa,185
cha,183
juya,181
pütchi,178
al,177
marakaaya,177
natuma,172
müin,169
sulü,167
aya,164
kolomwia,161
namüin,160
sukuwaitpaa,155
ja,154
sukuwa,152
suuria,149
jia,146
piama,145
ee,145
sümüin,141
mürülü,139
makaa,138
ne,132
jo,131
sünainjee,130
tu,125
ni,123
suulia,122
jüpüla,119
müinka,119
juyakai,119
kaa,118
wayuunaiki,118
karalo,117
aa,114
wuin,114
sus,113
eeshi,112
wuinka,112
anasü,108
waneepia,107
mmapa,106
jamüin,105
nutuma,102
sünülia,102
jiia,102
jünain,101
nnojotsü,101
sümaiwa,100
miyo,99
ana,98
kai,95
julu,95
mainma,94
alijunaka,94
maka,93
sumüin,93
ya,92
sükajee,92
eein,92
kassa,91
kolompia,91
soo,90
tüü,89
kajamüin,88
sütüma,88
watta,86
son,84
lo,84
sain,83
venezuela,83
guajira,83
más,82
namaa,81
maima,80
wainma,80
jieyuu,79
fue,79
este,79
sukuaippa,78
apünüin,77
pa,76
müsü,76
uta,76
alijunapiapa,76
süma,75
müleka,74
ser,74
wanaa,74
también,74
shiiki,74
estado,74
palajana,73
musia,73
mülo,73
nakua,72
km,72
san,71
ipajee,70
ipaka,70
eekalü,69
tepichi,69
ama,69
süchiki,67
maa,67
sü,67
ameerika,67
suluu,67
le,66
chejee,66
era,65
sunainje,65
süi,64
ulu,64
eküülü,64
paala,64
nümüin,64
ulia,64
kasachiki,63
sumaiwa,63
saakaje,63
sünainje,62
colombia,62
universidad,62
joolü,62
palaaka,61
donde,61
suka,61
entre,60
kashikai,59
suchikeje,59
año,59
palaa,59
toolo,59
main,59
kusina,59
supula,58
upünaa,58
wayuuirua,58
münaka,57
akat,57
antusu,57
parte,56
juyaka,56
itpa,55
süpüshua,55
taya,55
desde,55
wuchiirua,55
ain,55
soü,55
wuchii,54
shikii,54
ko,54
münüsü,54
esta,54
akalü,53
ala,53
leiwa,53
mapan,53
tiene,53
ujee,53
wüin,53
katto,53
ees,52
caribe,52
shiküin,52
nümaa,52
po,52
ira,51
cho,51
eesu,50
hasta,49
uuchimüin,49
akua,48
nnojolüin,48
süchiirua,48
jierü,48
nnojotsu,48
tiaa,48
educación,48
nu,47
irukuu,47
tierra,47
süchikimaajatü,47
niakai,47
familia,47
uin,47
departamento,47
waya,47
kashi,46
nombre,46
juyakat,46
waima,45
amüin,45
agua,45
lapü,45
akatsa,45
jima,45
muy,44
eke,44
jieyuukana,44
namuin,43
waneeirua,43
sünainmüin,43
forma,43
nacional,43
wa,43
color,42
ouktaa,42
ai,42
laa,42
ale,42
cuando,42
süpula,42
uje,42
tepichikana,42
mürüt,41
süpüshi,41
maracaibo,41
jutuma,41
mi,41
joo,41
sobre,40
yala,40
türa,40
mmaka,40
mar,40
así,40
jüka,40
wayúu,40
cual,40
manaure,40
naashin,40
lania,40
tuu,40
ji,39
joolu,39
miichi,39
ichii,39
shii,39
chaamüin,39
pütchipü,38
norte,38
paa,38
uuchi,38
está,38
iruku,38
opünaa,38
yatawaa,37
natüma,37
además,37
weinshi,37
niia,37
susu,37
aliita,37
durante,36
kama,36
nee,36
sukaa,36
puede,36
cultura,36
icha,36
pero,36
iree,36
indígenas,36
nanüiki,36
lengua,36
ekuwatoorü,36
esü,36
mmakalü,36
shiasa,36
kepiaka,36
ekai,36
nüpüshi,35
atkawaa,35
ei,35
mioü,35
iita,35
alijunakai,35
anüiki,35
supülasu,35
anaa,34
walekerü,34
sukumajaala,34
nain,34
alapajaa,34
iya,34
eeka,34
américa,34
anneerü,34
indígena,34
ha,34
nukua,34
suliia,34
süchiimma,34
paz,34
makatka,33
pütchika,33
apüla,33
sunüiki,33
planta,33
si,33
ata,33
sunulia,33
antaka,33
sukuaipa,33
maiko,33
noumain,33
ipuana,33
chikinkiraa,33
sujutu,32
nama,32
ula,32
yataain,32
sur,32
cheje,32
territorio,32
ciudad,32
ciencias,32
alu,32
kepiain,32
pasanain,32
jiasa,32
juan,32
gran,32
süchikijee,31
sin,31
uno,31
maaka,31
otros,31
vida,31
toolokai,31
ui,31
utaka,31
jumaa,31
anaaka,30
napüla,30
nojotsu,30
anainmüin,30
dos,30
komputatoora,30
shiain,30
mulo,30
walerü,30
ta,30
we,30
wikipeetia,29
usu,29
alataka,29
según,29
wana,29
atuma,29
musuu,29
ashajaa,29
alijunakana,29
santa,29
zulia,29
francisco,29
comunidad,29
lugar,29
yonna,29
yosu,29
poloo,29
müinma,29
ke,29
nakuwa,29
shimi,29
süpa,29
apünajaa,29
día,29
suumain,28
alatüin,28
woumain,28
ire,28
tooloyuu,28
mayor,28
jiipü,28
umain,28
lago,28
palajanaka,28
wayuukanairü,28
ulaa,27
luma,27
maiki,27
wayuukalüirua,27
erü,27
laülaayuu,27
ato,27
ipaa,27
ayu,27
sotpa,27
ella,27
pueden,27
joutai,27
karouya,27
uikat,27
shiale,26
kepein,26
nnojoishi,26
ayatawa,26
akuwaitpaa,26
años,26
süchikejee,26
mes,26
municipio,26
grandes,26
süpüleerua,26
jiet,26
nou,26
pia,26
todos,26
pueblo,26
aipa,26
suchukuwaje,26
estos,26
shiroku,26
grimaldo,26
aainjaa,25
wayuukai,25
yalejee,25
ounusu,25
ulaka,25
epaainya,25
chira,25
después,25
madre,25
wopumüin,25
primer,25
cuenta,25
pueuloka,25
münusu,25
paroujakana,25
santaka,25
sünüiki,24
nnojoluin,24
süsa,24
supüshuwale,24
wanne,24
jatü,24
unos,24
saashin,24
diferentes,24
escuela,24
primera,24
uu,24
mapa,24
loo,24
ichitkii,24
atkawaaka,24
laülayuu,24
ikai,24
clan,24
ekirajiapülee,24
shipia,24
opüna,24
jietka,24
ramón,24
wattaje,23
jeketü,23
kanüliakalü,23
jaa,23
pueulo,23
josé,23
cada,23
sido,23
cine,23
mundo,23
sumioüshe,23
ika,23
suma,23
rojo,23
akumajaa,23
ejetsitaa,23
epaainyajewai,23
clanes,23
maara,23
üsü,22
wakua,22
pienchi,22
alü,22
han,22
ükai,22
nii,22
iwa,22
asünüsü,22
jain,22
mismo,22
supushua,22
vocales,22
she,22
kanüliakat,22
süpana,22
kariwe,22
sumuin,22
propia,22
ainjunusu,22
nueva,22
süpülaa,22
woliwat,22
waneeirü,22
tiempo,22
ese,22
kanasü,22
ekirajawaa,22
caracas,22
través,22
estados,22
wüi,22
antüin,22
contra,22
hojas,22
guaicaipuro,22
ju,21
antüsü,21
süta,21
tanto,21
aunque,21
müshi,21
itaanüsü,21
provincia,21
hacia,21
ekünüsü,21
ipamaajatü,21
sou,21
ekirajaashi,21
woumainkalü,21
sotpaa,21
eree,21
mujer,21
rapa,21
wayüü,21
sünaa,20
jümaa,20
tienen,20
otras,20
ejemplo,20
laülaayuukana,20
erüin,20
kasain,20
atumaa,20
mo,20
chií,20
kepiashi,20
hace,20
epe,20
calendario,20
origen,20
arte,20
festival,20
internacional,20
aja,20
iraa,20
ere,20
nünain,20
majayut,20
alatakalü,20
yataainka,20
iipuana,20
moneda,20
laaka,20
wajiiraka,20
jime,20
aainjünüsü,19
süpülapünaa,19
sütuma,19
eekat,19
bajo,19
palaamüin,19
che,19
nüma,19
medio,19
comunidades,19
sede,19
taata,19
área,19
eya,19
wayukana,19
akaa,19
pala,19
apain,19
yataashi,19
puerto,19
juulio,19
yataaka,19
programas,19
centro,19
especialmente,19
makuira,19
siküla,19
palaaje,19
mmakai,19
ichiikat,19
shiki,18
nütüma,18
principal,18
jepira,18
nneerü,18
waneeyan,18
vez,18
españoles,18
piichi,18
días,18
nuestra,18
punta,18
ujaasü,18
artes,18
educativa,18
mojuui,18
shira,18
aju,18
nünülia,18
anaain,18
jiitpai,18
akumajünüsü,18
emi,18
dentro,18
internet,18
amaa,18
tooloyuukana,18
aashajawaa,18
asaa,18
junain,18
atumawaa,18
utiliza,18
pt,18
müsi,18
müsüka,17
algunos,17
existen,17
usü,17
kettapa,17
eka,17
waneejatü,17
saali,17
animales,17
wattamüin,17
apünuin,17
región,17
siki,17
antunusu,17
río,17
luego,17
cuales,17
pueblos,17
mediante,17
jamüsü,17
waa,17
awai,17
rüin,17
yalaa,17
ekawaa,17
numuin,17
ku,17
actual,17
bolívar,17
país,17
wamüin,17
ajutala,17
alaatusu,17
atkawa,17
inaa,17
ekirajüleeka,17
plan,17
costa,17
república,17
juka,17
tradicional,17
epinasee,17
upüna,17
wüinka,17
equipo,17
kemion,17
palawaipo,17
saau,17
aipirua,16
empresa,16
raajüin,16
eeinjatüin,16
chamüin,16
yootirawaa,16
münakat,16
jietkat,16
oo,16
unushi,16
umüin,16
juyaaka,16
jepirachi,16
akumujunusu,16
süchon,16
perú,16
todo,16
kulaala,16
hay,16
programa,16
wattapüna,16
zona,16
lluvia,16
antonio,16
gonzález,16
mientras,16
usa,16
esto,16
nei,16
ewai,16
supüshuwayale,16
embargo,16
palajachikai,16
kojutuin,16
akumajuushi,16
asalaa,16
anuwa,16
muinka,16
jümüin,16
solo,16
encuentran,16
ayaakuwaa,16
uraliyuu,16
isla,16
sajapülü,16
kasaa,16
árbol,16
están,16
ekirajaa,16
sunainmüin,16
yatawaaka,16
utpünaa,16
ekaa,16
iraka,16
anüikika,16
uuchejee,16
outkajawaa,16
kepian,16
niña,16
kusinaka,16
wattain,15
sükalia,15
personas,15
jukua,15
itaanüin,15
napüshua,15
ayuuli,15
nünüiki,15
eepünaale,15
kojutusu,15
achikii,15
ayatasu,15
numaa,15
pütchii,15
kanüliasü,15
nü,15
referencias,15
otra,15
había,15
ukat,15
aipia,15
muestra,15
sulia,15
akuwa,15
kuwentamaajatü,15
inka,15
ujaain,15
jutkataa,15
eran,15
maría,15
luis,15
partir,15
muchas,15
kaasha,15
miyon,15
países,15
jümaiwa,15
anaka,15
atüjaka,15
apüshika,15
debe,15
juulia,15
nupüshi,15
anainjatüin,15
apünaa,15
mai,15
actualmente,15
juyapü,15
encuentra,15
ou,15
suchukuwaya,15
kashii,15
yonnakat,15
nepia,15
süna,15
unidos,15
jayeechi,15
mainmain,15
usüka,15
sukalia,15
rafael,15
wuchi,15
anulia,15
pejesü,15
tû,15
süchii,15
shiakat,15
saaka,15
nui,15
uuchipüirüa,15
joao,15
mojusu,14
akaratshi,14
anaataa,14
fundación,14
ouktüin,14
ouktüshikai,14
achuntaa,14
unuin,14
significa,14
laülayuukana,14
kaikai,14
honda,14
nukuwaitpaa,14
uyuu,14
brasil,14
tres,14
primeros,14
uso,14
central,14
época,14
palaakat,14
uujolu,14
sistema,14
quien,14
hecho,14
kashiirua,14
chaya,14
putchi,14
süchikuu,14
fueron,14
siendo,14
ojeda,14
luz,14
uuchon,14
habitantes,14
aapaanüsü,14
erajunusu,14
pootshi,14
yo,14
salii,14
sümaiwajatü,14
nojotsü,14
ekale,14
jamü,14
independencia,14
bahía,14
olo,14
jemeishi,14
linaje,14
ikat,14
nuulia,14
mürütkalüirua,14
suriiamüin,14
wanülü,14
napüshi,14
noumainka,14
karaaka,14
koleejia,14
facultad,14
souje,14
pali,14
nouyempüre,14
rosa,14
inküleenaiki,14
isashii,14
arco,14
karalouta,14
shiakuwaa,14
red,13
apüshiikana,13
yanama,13
nüsa,13
