word,count
la,30567
align,10285
ti,9629
de,7247
ba,7246
center,6883
na,6360
puan,5917
yuun,5166
ka,3618
left,3432
yuum,3417
ra,3115
ta,3009
gaana,2933
pa,2778
of,2743
gee,2426
ele,2354
tiŋa,2328
ze,2299
wa,2258
the,2032
boi,1841
bo,1667
as,1540
so,1524
yu,1517
olum,1477
ny,1433
ger,1414
th,1403
sukuu,1388
to,1364
me,1361
reba,1323
di,1289
san,1286
ur,1279
zo,1263
bii,1245
am,1236
nal,1221
kelum,1145
nyaa,1128
and,1120
paati,1077
tuuma,1060
ma,1051
republic,991
vooti,967
in,965
vom,963
an,957
tari,949
ni,917
zi,909
duma,896
parliament,878
buuri,875
palim,860
za,831
viiseg,776
fu,763
wan,756
le,746
kiŋ,732
yele,692
tu,677
gera,674
dee,673
zuo,670
mena,668
all,667
bia,662
ira,656
tara,652
nti,648
se,645
ghana,617
bas,615
em,615
budaa,613
yire,600
dik,597
eŋa,596
national,545
yuniv,529
siti,527
daa,525
ŋwarega,520
bala,519
daar,517
kuka,510
yi,503
iŋ,500
wuu,492
ko,467
da,460
farefari,444
region,441
dela,440
ama,439
daana,426
for,421
ŋa,420
geriba,396
are,396
palem,391
aw,381
east,379
yeti,375
beg,374
suŋa,371
sega,370
loe,368
dabeser,367
miŋa,367
yuuma,362
new,362
ŋwana,350
is,349
bilam,348
degree,348
school,347
fourth,338
woo,334
sa,332
saŋa,328
al,328
om,322
state,322
yese,321
mina,320
ase,315
or,314
si,310
ga,307
high,306
not,303
ŋmarega,301
asum,300
tiger,299
minister,292
ndc,291
capitalized,291
tigere,283
mi,281
senior,280
doose,279
patriotic,277
ki,270
ura,270
democratic,270
university,268
bini,264
wi,254
sera,253
lagum,250
upper,248
congress,247
science,246
north,245
gom,243
gum,242
be,241
education,239
pu,236
college,236
wabeg,235
west,235
lega,234
names,233
john,232
ita,232
deputy,231
bachelor,229
vooteg,229
ana,226
npp,226
member,224
taaba,223
gu,221
sig,219
gesi,215
management,214
vuur,211
ŋm,210
south,208
dia,207
pooren,207
puti,206
lem,204
seventh,203
development,201
voteŋo,199
votum,198
bu,197
constituency,196
central,196
january,194
dabesa,192
pisiyi,192
ala,188
law,188
asumtia,185
minisita,185
bgcolor,185
boole,184
on,182
res,181
ara,179
zames,178
ankara,177
ashanti,177
nu,176
tum,176
addo,175
tuum,175
ayima,174
usa,173
ir,171
administration,170
suŋ,169
ku,168
tuna,167
kan,167
toe,167
nambua,166
pugum,164
malema,161
international,161
public,161
eastern,160
party,160
tia,159
nuu,158
ghanaian,158
bisera,157
votumduma,155
booŋo,154
iŋa,154
ya,153
such,153
leg,152
asi,149
may,148
institute,147
executive,147
tiisi,147
dagi,146
general,144
baŋ,144
retrieved,144
coast,143
nana,143
lageseg,142
imma,142
district,141
business,140
june,140
committee,140
ere,139
oro,138
zameseg,137
sira,137
kwame,137
tole,136
naba,135
people,135
northern,134
name,134
sika,132
sum,132
amiŋa,130
pia,130
accra,130
viis,129
teere,129
nananewa,128
with,128
world,127
united,127
lebe,126
mp,126
daaŋ,126
mahama,125
master,125
technology,124
from,123
ayi,123
august,122
kina,121
december,121
that,120
cape,120
boti,120
st,120
dita,118
bis,118
chief,117
parliamentary,117
tare,117
service,116
ani,116
africa,116
do,116
bi,116
case,116
maal,115
mensah,115
this,114
asuntia,114
when,114
proper,113
kum,112
bugum,111
beere,109
ne,109
ŋw,109
nkrumah,109
bipugela,109
director,109
diploma,109
joseph,108
at,107
level,106
certificate,105
usi,105
manager,105
by,105
budibela,104
wara,103
use,103
ay,102
finance,102
paara,102
should,102
atã,101
sans,101
limited,101
dusi,100
western,100
aŋa,100
resabelesi,100
nyaŋ,99
lebese,99
pugela,99
tansuger,99
social,98
gi,97
if,97
solemitiŋa,96
saazuo,96
yizuo,96
convention,96
magesi,95
club,95
tuusum,95
other,94
arts,93
lebege,93
february,93
english,93
it,93
palam,93
kalam,92
asa,91
affairs,91
piya,91
pi,90
bera,90
mages,90
company,90
fum,90
deti,89
