word,count
to,15130
yin,7936
he,6666
po,6016
na,3820
et,3314
gb,3267
owhe,3169
do,3066
de,2551
naijilia,1770
az,1695
al,1614
ayimat,1586
ji,1518
bo,1505
weh,1481
nado,1402
yi,1388
zan,1331
pod,1272
of,1222
taidi,1195
nu,1126
ye,1096
ko,1093
nt,1071
otò,1050
the,997
tin,986
dl,975
otàn,945
wa,891
jiji,835
wh,834
ma,833
ah,807
ndonu,794
ehe,758
dó,738
alav,734
tindo,734
basi,725
aw,723
nlin,700
dé,700
godo,699
daho,691
ovi,660
devo,660
whenue,658
azán,649
dopo,636
te,631
susu,629
yé,624
go,617
vi,593
nnu,585
aj,567
lu,557
hugan,553
en,548
at,539
tintan,523
aihun,517
dali,514
kavi,508
ot,507
podo,506
ogb,506
azan,503
eji,487
zun,486
nm,478
gan,476
aihundat,472
pl,468
nuk,460
and,430
dide,422
gbe,420
di,418
gandudu,415
ew,414
aihundida,411
in,406
yiny,400
osun,398
whenu,395
yink,388
bos,380
gando,378
yet,375
wá,363
del,350
gl,347
eyin,342
taun,328
nwhe,326
yí,321
om,317
gbedewema,315
wutu,313
waz,306
whenuena,306
dok,303
school,301
sinima,295
su,294
oto,292
on,292
tonud,292
igba,278
ohàn,274
sins,273
nuhe,272
yiyl,272
ho,269
ojl,266
tito,264
voovo,261
owe,258
aku,257
fihe,255
os,253
am,243
university,243
sun,242
kú,242
ahi,241
nwat,239
yl,232
college,230
gbonu,227
kano,226
matint,221
ni,219
ak,219
awe,216
niger,212
du,210
fin,210
anadenanut,209
ay,208
nigeria,207
ndo,201
yì,200
ha,198
awet,197
ganji,196
bi,194
adà,193
mi,192
gán,189
ben,187
aliho,187
yín,186
ogbè,186
waji,184
kan,184
awuhia,177
hia,176
tat,174
af,173
wiwa,171
aflika,171
dopol,167
dai,166
si,166
nukun,164
luduta,164
wat,162
wunm,161
ibadan,159
dagbe,158
aim,158
lagos,158
ga,158
ze,156
for,155
yè,155
kakaj,154
ta,153
whe,152
hos,152
emi,151
bibasi,151
togbo,150
nn,150
gbagli,149
da,148
ehel,148
didoai,148
sin,146
otogbo,143
wepinpl,143
alunlunsun,142
nam,142
donu,137
aviv,136
tonudid,136
