word,count
as,27927
ny,26567
er,18825
ta,17888
ayns,16386
yn,14088
sy,9939
eh,9640
dy,7693
jeh,6637
she,6305
va,5693
ee,4972
myr,4915
americaanagh,4424
ec,4372
vlein,4135
ass,3995
da,3961
magh,3827
ad,3651
son,3437
liorish,3169
shen,3119
rish,3084
smoo,3065
ard,2860
lesh,2834
ren,2801
the,2619
ayn,2506
stiagh,2501
deiney,2384
scannaneyn,2279
jerrey,2217
agh,2181
aghteyryn,2147
goaill,2063
eddyr,2056
ruggyryn,2020
imraaghyn,2016
veih,1992
valley,1959
echey,1952
elley,1951
scannane,1859
cha,1830
hwoaie,1817
syn,1741
fo,1719
nerin,1709
çhengaghyn,1701
ry,1697
vel,1648
cur,1549
currit,1545
bwoirrin,1544
coontae,1532
goll,1517
firryn,1503
rere,1491
kianglaghyn,1479
co,1473
voish,1465
çhellveeish,1465
oc,1430
bluckaneyryn,1376
daa,1367
dys,1348
chooid,1338
of,1335
nyn,1333
çheet,1324
na,1316
noa,1295
mean,1272
unnaneysit,1259
haink,1239
ennym,1232
çheer,1230
an,1223
oo,1205
baaseyn,1199
bun,1193
sostynagh,1192
nel,1143
chied,1138
çhengey,1136
ve,1135
yiass,1133
eash,1131
enney,1087
baljyn,1084
souree,1068
mooar,1065
shoh,1063
ellan,1049
row,1049
raad,1044
steatyn,1044
yernagh,1035
jeant,1015
jannoo,994
chammah,992
fouyir,975
ruggit,968
eck,966
sluight,950
toshiaght,939
balley,925
ymmyd,916
sheear,890
ashoonagh,886
bioghit,886
preeu,869
hene,854
ellanyn,853
steat,852
tra,847
soit,846
beg,838
geuree,831
taghyrtyn,826
straih,823
ynnyd,812
oaylleeaght,810
km,809
lurg,808
hie,806
cloie,794
ben,792
heear,781
reeriaght,778
mee,772
oarpey,769
foddee,767
rheynn,758
aghteyr,740
cummal,733
cadjin,727
frangagh,726
and,722
fer,721
fillym,704
goaldagh,699
twoaie,699
hooar,693
lheh,691
chur,689
germaanagh,683
vannin,682
çheu,682
nagh,669
jiass,665
un,664
marish,656
derrey,656
gys,651
sleih,650
nollick,650
obbyr,648
queiggey,647
roish,646
dagh,640
tree,639
hostyn,637
traa,630
lheid,629
chloie,620
screeudeyryn,617
thie,613
far,613
earroo,608
bleeaney,608
mannin,607
shennaghys,607
oikoil,602
americaanee,589
akin,575
chaayr,566
gyn,565
jeu,563
ram,562
arree,561
share,558
pobblaght,557
hiar,553
averil,548
bentyn,546
mooie,545
aittys,544
boaldyn,542
sampleyr,542
cummaltee,541
reiltys,539
çheeraghyn,539
çheerey,534
vooar,531
john,530
yernish,522
feie,520
de,519
screeu,518
gheddyn,514
mysh,508
seose,507
shenn,506
my,506
beggey,504
keayrtyn,504
car,503
nah,500
ardjyn,499
ennagh,499
olteynyn,496
disney,494
bunnit,488
ushtey,486
mennick,482
in,482
bea,480
rank,479
aundyr,478
cummey,477
eaghtyrane,474
paitçhyn,473
eaghtyr,473
shiar,471
fir,463
ghermaan,461
california,461
york,460
luanistyn,458
enmyssit,458
mygeayrt,457
thalloo,452
roie,452
vritaan,450
aa,447
albinagh,445
harrish,445
noi,444
rolley,442
trooid,440
screeudeyr,440
chloieder,440
baase,439
cooid,437
awin,432
straihyn,431
unnaneys,426
drama,425
caayryn,422
cheilley,419
buill,416
jeeagh,416
mastey,415
lus,413
arraneyder,412
lieh,410
lioar,408
lught,405
feer,405
rumex,403
feaillaghyn,396
choontae,395
caayr,394
america,392
lossreeyn,389
laa,388
stiurey,387
baarle,383
ga,382
cheddin,378
kiaullee,378
adsyn,375
yei,374
craishteyderyn,374
loayrt,373
corys,373
kuse,371
coontit,370
ymmodee,370
myrane,370
mie,369
roosh,368
albey,367
paart,364
jiu,362
abbyrlhit,362
urree,361
sostyn,357
faggys,356
kiare,356
pholynn,354
ookraan,350
kione,349
vaarle,348
neesht,348
aishey,348
ree,345
ar,344
ghaelg,342
hug,342
skeeal,341
fockle,340
sheese,338
bleeantyn,338
skeealyn,337
ynnydagh,336
cloieder,336
duillagyn,335
coontey,334
cowrey,334
affrick,333
fys,332
lhie,329
manninagh,327
iddaalagh,327
bee,324
possan,323
nee,322
oarpagh,321
hoshee,321
nane,319
frangish,318
coondaeghyn,318
soccer,317
scanshoil,316
cho,315
arraneyderyn,315
çhemmit,312
vooir,310
baile,310
neu,309
frank,308
enmys,306
by,304
william,304
goo,304
foast,303
fansee,302
new,299
studeyrys,297
obbraghey,297
orroo,296
mayrnt,296
oyr,294
dooghyssagh,293
nalbin,292
gaelg,291
ymmydit,290
laue,290
reiht,290
vee,287
ollooscoill,287
romanagh,286
eggey,286
doo,285
cooishyn,285
caslys,284
stoo,284
sauin,284
phobble,283
chaggey,282
canadagh,282
pobble,280
mart,278
ardan,277
israel,277
purt,275
rooshagh,274
ghow,273
mooir,273
çheumooie,273
valjyn,272
walt,272
kiangley,271
chommyoon,271
aght,270
fa,270
oaylleeagh,270
erbee,269
toshee,269
jalloo,269
gra,268
dáil,267
sloo,266
lunnin,265
myrgeddin,264
lioaryn,264
nish,261
shiartanse,261
eshyn,259
bluckaneyr,259
queig,258
aitt,258
rang,258
oltey,256
gollrish,254
breneenagh,253
scoill,251
cowraghyn,250
skeerey,250
slyst,249
focklyn,249
yiarn,248
yannoo,247
red,247
league,247
leah,246
cheayn,246
veanagh,245
mooarey,245
kiaull,245
obbraghyn,245
bree,244
politickagh,243
gaase,243
cummeyder,243
ym,242
myn,241
cummaghyn,241
theihll,240
chiaull,240
phobblaght,240
reih,238
dooinney,237
erreish,236
bluckan,235
blaanid,235
bunstooghyn,235
marrey,234
oik,234
slystyn,234
commyoonyn,234
coose,233
ghoal,233
département,233
hoie,232
queiggaghyn,232
chossyn,232
boayl,231
dooie,231
la,231
reiragh,230
city,229
lhiurid,229
soilshaghey,228
aer,227
cheayrt,227
geyrragh,227
cruinney,226
cosoylagh,225
shey,224
mychione,224
houney,222
