word,count
da,813949
na,340683
ta,306338
ya,267659
kuma,151113
cikin,137490
an,127708
ba,107516
daga,89484
ne,89336
mai,81771
ga,81092
shi,70589
yi,67545
wanda,66265
aka,59655
don,58935
ke,57373
zuwa,54328
yana,51488
su,49103
in,48794
shekarar,46954
sun,46750
tare,46255
masu,45536
shekara,45441
matsayin,44177
ha,41414
watan,40682
suka,39604
wa,39398
wasan,37968
ko,36353
ranar,35872
wani,34923
bayan,34585
al,33902
farko,33432
kan,32944
ar,31857
suna,31811
ce,31485
najeriya,31476
amfani,31305
wannan,30741
lokacin,30321
kasance,27748
duniya,27628
biyu,27443
ana,27109
yan,26721
kasa,26507
cewa,26388
ma,26027
aiki,25839
manazarta,25830
za,25500
ci,24526
babban,24496
zama,24096
jihar,23329
mutane,23292
gasar,23116
iya,22983
jami,21337
mata,21283
gaba,21069
afirka,20706
wasu,20556
kafa,19623
the,19603
inda,19564
fara,19511
asa,19420
dan,19419
kamar,19338
har,19177
tana,19082
yin,18308
of,18092
hanyar,17993
yawa,17935
kai,17909
sa,17616
jama,17596
duk,17289
baya,17279
mafi,17198
yankin,17156
shekaru,17156
kasar,16827
aikin,16703
shiga,16075
asar,15726
haka,15659
amurka,15642
majalisar,15504
shugaban,15501
tsarin,15442
yawan,15425
ake,15330
haife,15305
ruwa,15068
shine,14970
amma,14598
kungiyar,14419
ita,14372
akan,14334
ungiyar,14282
aya,14216
daban,13887
buga,13694
cin,13530
saboda,13073
yayin,12978
samu,12780
uku,12657
sauran,12574
tsakanin,12542
gidan,12507
hukumar,12401
anda,12275
wallon,12239
waje,12194
yanzu,12183
daya,12125
sama,12082
fim,11983
gida,11962
samun,11852
wasa,11850
kudu,11805
sami,11668
wata,11566
nuna,11532
bayyana,11155
guda,11125
afa,11033
manyan,11009
game,10954
sake,10912
hanyoyin,10856
tun,10613
sha,10566
zai,10457
tarihi,10334
sanya,10231
makarantar,10007
akwai,9991
kayan,9971
ayyukan,9901
yake,9887
nan,9817
samar,9776
yanayi,9739
duba,9583
yadda,9469
sannan,9458
rayayyun,9389
kafin,9328
kashi,9299
siyasa,9292
kula,9272
kofin,9251
ghana,9232
fi,9175
birnin,9069
garin,9044
jerin,9017
jam,8974
sai,8970
ilimi,8924
ciki,8872
mutanen,8867
gudanar,8840
rashin,8788
musamman,8725
lokaci,8674
yar,8607
abubuwan,8449
haifar,8429
adam,8413
rayuwa,8319
abin,8225
masana,8223
din,8210
wajen,8163
nau,8072
koma,8026
damar,8017
kogin,8009
cibiyar,7984
and,7960
mulkin,7750
lambar,7645
arewa,7602
girma,7583
tarihin,7542
ku,7486
yau,7481
gwamnatin,7446
taka,7416
hannu,7365
yanayin,7350
ka,7308
muhalli,7294
kusan,7277
annan,7264
kare,7215
kwaikwayo,7199
bayanan,7180
iyyar,7167
zaman,7162
sunan,7158
kwallon,7143
fina,7104
lafiya,6968
kamfanin,6946
wurin,6870
farkon,6849
shari,6804
jirgin,6789
new,6778
bu,6744
sani,6743
kira,6709
kulob,6692
nasara,6668
lashe,6666
daji,6656
mutum,6654
ilimin,6632
kusa,6607
hada,6571
turai,6568
gwamnati,6566
kowane,6544
tattalin,6521
hankali,6457
tsohon,6447
fasaha,6420
yawancin,6302
yanki,6287
kasuwanci,6243
kammala,6224
irin,6209
kawai,6197
maris,6147
de,6123
wadanda,6111
sau,6036
dokar,6033
dama,6022
gina,6000
maso,5955
la,5950
fa,5918
ra,5916
dake,5883
yancin,5879
dai,5800
ruwan,5772
yabo,5766
wacce,5715
faransa,5656
bai,5601
karatu,5575
magana,5541
gabatar,5514
sosai,5503
wasanni,5499
biyar,5496
karatun,5490
gabas,5468
maza,5449
yamma,5431
cutar,5430
idan,5425
bisa,5420
shirye,5420
memba,5406
neman,5389
sana,5357
taron,5329
zane,5309
bincike,5308
kashe,5301
rubuta,5297
shirin,5283
fito,5282
yara,5276
rayuwar,5273
arin,5246
domin,5245
wasannin,5223
kwalejin,5202
shirya,5196
nijeriya,5122
ingila,5117
zaben,5073
tawagar,5066
abinci,5061
yammacin,5059
shekarun,5051
karkashin,5038
labarai,5020
asali,5013
ashin,4995
asalin,4968
haifi,4963
kansu,4953
ila,4949
gaban,4927
mulki,4917
san,4891
tsawon,4880
digiri,4867
halin,4847
kwamitin,4834
legas,4809
kakar,4809
arewacin,4774
nuwamba,4752
nada,4749
arziki,4736
babbar,4733
ari,4724
sakamakon,4685
indiya,4674
tara,4664
gine,4650
fiye,4628
tabbatar,4615
goma,4611
bikin,4609
oktoba,4605
mayu,4582
fannin,4576
agusta,4567
filin,4521
zaune,4506
leda,4501
tsakiya,4494
ki,4483
to,4477
musulunci,4477
sabon,4470
finai,4468
mutu,4464
satumba,4463
en,4462
yakin,4452
yayi,4438
haifaffun,4411
zamani,4402
suke,4397
disamba,4397
karamar,4378
wuraren,4378
nazarin,4377
kansa,4370
kano,4361
yanke,4357
kyau,4351
hudu,4349
miliyan,4330
janairu,4328
bayar,4279
ayyuka,4268
yuni,4255
yanar,4230
gargajiya,4213
iri,4197
binciken,4184
arshe,4176
kimiyya,4175
tsara,4158
hannun,4142
kara,4132
afrilu,4124
gundumar,4118
yarjejeniyar,4118
fitar,4113
karshe,4101
harshen,4096
jiki,4093
matakin,4084
ban,4072
tarayya,4052
birni,4039
sojojin,4014
mace,3998
ara,3975
abu,3973
doka,3972
shida,3966
shafi,3952
dokokin,3942
gano,3931
kasashen,3923
take,3916
ciwon,3914
rage,3903
kama,3883
masa,3873
yuli,3864
ir,3860
burtaniya,3860
gabashin,3856
karni,3846
nufin,3845
shawarar,3831
gari,3813
mataimakin,3806
shafuka,3770
sirri,3769
harkokin,3755
hana,3746
kyautar,3738
kudancin,3735
matsakaicin,3723
halarci,3720
at,3719
daidai,3703
nigeria,3676
ala,3668
gudanarwa,3659
tsakiyar,3654
kyawun,3642
kowace,3623
mallaka,3622
hotuna,3613
