word,count
ke,54992
hae,15922
me,15238
mein,13414
aur,12161
ek,11933
gaon,10515
the,9098
rahaa,8728
se,8502
references,6052
fiji,6040
of,6016
india,5741
film,5733
bihar,5497
ii,4668
ka,3759
bana,3554
ki,3521
yea,3506
district,3492
hain,3484
hai,3271
gais,3243
and,2926
aurangabad,2868
tha,2836
bhasa,2763
uu,2586
state,2521
division,2491
kee,2374
log,2346
school,2283
gaya,2130
iske,2058
in,2039
saal,2000
english,1931
bhi,1925
jon,1920
nagar,1865
kiye,1793
films,1793
direction,1774
acting,1773
janam,1758
jiske,1656
ko,1558
to,1552
khatir,1442
uske,1442
football,1441
bhais,1426
logan,1402
th,1388
baad,1363
maut,1362
sab,1349
for,1332
city,1321
bhaarat,1318
ba,1308
external,1278
indian,1264
araria,1261
kar,1227
link,1213
member,1197
kare,1190
din,1145
kiya,1142
des,1135
usa,1114
waala,1099
team,1097
naam,1093
lie,1072
hoe,1061
election,1048
suruu,1047
soccer,1022
karis,1020
final,1012
suva,1006
jorr,977
rahin,976
talak,975
dekho,964
jisme,952
kaam,948
pe,939
ne,933
bahaari,923
nai,917
is,911
duusra,902
national,857
party,857
capital,846
palika,845
lekin,838
lautoka,814
vah,808
par,802
hindustani,791
south,785
jab,782
praant,780
nadi,764
pahila,760
khela,759
on,759
island,741
jaada,735
pradesh,681
jaawe,681
by,670
rahe,669
jahaaj,666
association,660
new,656
de,653
united,652
west,643
lae,639
harais,637
may,631
barraa,631
abaadi,630
hindi,625
time,621
aapan,621
ghatna,619
purnia,613
unhonne,611
constituency,610
singh,599
roop,574
parishad,573
with,567
dafe,566
sandharb,566
jo,565
labasa,562
jaae,558
karaa,557
turkey,557
as,555
nepal,542
li,539
championship,534
census,534
august,530
october,526
council,519
north,515
baat,512
park,505
girmitya,501
bhaes,498
april,497
inter,490
dui,487
pool,485
from,473
town,470
july,470
khalaas,465
karane,465
saath,463
dewa,458
official,458
league,453
men,451
january,449
university,448
france,448
jagha,445
east,442
dher,435
banae,432
french,431
house,430
states,426
leap,421
tournament,421
websites,420
language,418
mutabik,415
bahut,413
june,401
rakam,400
banaa,400
aais,397
biich,397
rewa,395
world,394
jaana,389
group,389
premier,388
february,386
mill,385
pahile,385
kaaran,380
tab,379
bachaa,376
semi,375
thee,375
minister,373
at,372
levu,372
chhutti,367
ill,367
december,366
march,364
jaise,362
diis,359
president,356
australia,353
game,352
are,345
representatives,343
st,341
union,341
america,341
primary,340
or,337
raha,335
federation,332
hissa,330
abhi,329
tamil,325
banawa,325
kuchh,325
niche,324
theen,324
spanish,323
yah,322
point,321
apane,321
idc,319
republic,319
tak,317
company,315
area,313
uttar,312
september,308
africa,308
nadroga,307
jiitis,307
november,306
million,306
isme,303
kisan,302
international,301
was,300
website,297
club,296
la,296
mila,293
center,293
bolu,293
diya,292
goal,292
isbn,291
baare,291
hian,291
leader,290
british,289
john,289
germany,288
larrkan,287
panchayat,287
dunia,285
pakistan,283
james,283
unhen,283
seat,282
itihaas,281
patel,280
government,280
koi,280
ganna,278
km,278
style,278
labour,277
population,277
tavua,277
bhee,277
communal,275
banais,274
lawa,274
sake,273
nasinu,272
bola,272
sea,271
maharashtra,270
hua,270
jila,268
an,265
chemical,265
china,264
general,263
le,263
it,262
use,262
sandarbh,262
khaas,261
all,259
navua,257
that,256
nausori,253
janm,252
unake,252
nadu,251
jiit,251
uk,250
he,249
england,249
london,249
nfp,246
naddi,245
german,245
ho,245
chhota,243
bengal,241
foundation,241
align,241
arya,240
tiin,240
chuna,240
history,238
background,238
suchi,237
gallery,237
pacific,236
legislative,236
text,236
kaaryakarta,236
be,234
viti,234
gae,232
war,232
cup,231
cities,229
code,229
anchal,229
dvaara,229
number,228
roj,228
khan,228
sport,228
statistics,227
khaali,227
round,227
muslim,226
sarkar,226
parrhat,225
liis,224
ya,224
fir,223
political,223
islands,223
central,223
college,222
ocean,222
kumar,221
matlab,218
super,216
andhra,215
kuch,214
europe,214
samaj,213
italy,213
stadium,212
kaa,212
his,210
lage,210
prasad,210
nigam,210
mae,209
atomic,209
rakiraki,208
gaee,208
western,207
rec,206
shahar,204
saathe,203
system,201
madhya,201
di,201
prime,200
press,200
sangam,200
people,200
charles,199
russia,199
spain,196
karat,196
kaiviti,196
sangh,196
committee,195
ram,194
zealand,193
politician,193
empire,192
michael,192
portrait,192
vote,191
logon,191
mahila,191
board,189
tailevu,189
canada,189
gerede,187
ratu,186
open,186
usane,186
ground,185
champion,185
ye,184
american,183
asia,183
music,183
actor,182
winner,182
gujarat,181
letters,181
ipa,181
vishvavidyaalay,180
deo,179
jaawat,179
other,178
first,178
hue,178
purana,177
up,176
study,176
indenture,175
george,175
century,175
chhapa,175
da,174
ali,174
khel,174
rajasthan,174
maanavaadhikaar,174
karnataka,173
dharam,173
chij,173
liye,173
kharraa,172
shaamil,172
about,171
jata,171
punjab,170
apanee,168
best,167
one,167
jae,166
online,166
vishnu,164
sabd,164
jahaan,164
chini,163
jagah,163
chinese,163
unakee,163
day,162
duuno,162
pita,162
nd,161
river,160
samay,160
naitasiri,159
maana,159
chaar,158
min,158
al,158
dictionary,157
alliance,157
symbol,157
this,156
life,155
ban,155
oph,154
kingdom,153
not,153
do,153
ganges,152
flp,152
com,151
no,150
chapa,150
haar,150
mahilaon,150
you,149
book,149
high,149
jile,149
dee,148
liya,147
japan,146
european,146
home,145
also,145
element,145
