word,count
je,1044161
na,407380
se,405244
su,310230
za,250408
od,244356
godine,161512
da,154587
kao,140539
iz,128854
koji,121982
te,101636
do,94997
bio,78082
ili,76998
što,68158
izvori,64943
nakon,64816
po,57939
koja,56738
koje,55946
to,54056
poveznice,49293
vanjske,46212
prema,45312
nije,42284
bi,42159
ne,41930
ali,41764
kako,38770
bila,38644
the,37754
zbog,37580
ga,35563
oko,35177
sa,35085
hrvatski,33673
prvi,30551
ima,29868
pod,29795
godina,29494
više,29432
sve,29368
kod,28351
samo,28174
još,27725
gdje,27590
će,27392
može,27383
ih,27065
dok,26892
uz,26667
tijekom,26498
također,26469
hrvatske,26164
između,25687
kada,25220
bilo,25036
tako,24799
vrijeme,24363
dio,24301
nalazi,24025
mu,23800
jedan,23759
of,23213
zagreb,21927
grad,21564
bili,21500
dva,21403
danas,21154
jer,20638
pa,20514
hrvatskoj,20133
mjesto,19690
prije,19549
tri,19524
de,19399
povijest,19391
nekoliko,19277
dana,19031
rata,18981
biti,18762
toga,18600
kasnije,18524
no,18318
km,18122
svoje,18114
stoljeća,17927
stanovnika,17712
protiv,17201
grada,17009
hrvatska,16928
on,16809
ime,16413
već,16274
dvije,16056
broj,15982
koju,15878
drugi,15441
naselje,15303
iako,14962
stanovništva,14775
mogu,14756
naselja,14696
nisu,14537
vrlo,14367
stanovništvo,14308
album,14133
klub,14059
bez,14027
film,13965
među,13887
sv,13885
kroz,13795
tada,13696
spp,13605
kad,13269
ako,13040
novi,12873
ljudi,12784
pri,12774
bih,12707
ii,12473
kojem,12467
često,12347
nego,12291
zagrebu,12274
preko,12270
kojima,12234
sad,12214
vrsta,12077
postao,12036
jezik,11986
put,11600
jedna,11553
odnosno,11527
imao,11524
in,11407
strane,11396
području,11356
svibnja,11332
njegov,11323
kojoj,11207
lipnja,11193
puta,11125
and,11121
druge,11112
veliki,11100
svoj,11058
rujna,10951
popisu,10913
imaju,10848
popis,10806
zajedno,10758
njegova,10728
listopada,10646
im,10607
osim,10588
ngc,10478
vrste,10438
srpnja,10437
svoju,10423
četiri,10389
kolovoza,10346
glavni,10325
poslije,10272
travnja,10234
radi,10215
svojim,10167
prva,10073
taj,10045
jezici,9908
mjesta,9902
obitelji,9898
ožujka,9897
tom,9891
djela,9871
države,9834
siječnja,9830
američki,9809
prosinca,9781
ovaj,9747
republike,9718
sastav,9664
smrti,9556
sam,9526
koristi,9426
com,9395
poput,9340
međutim,9339
rijeke,9292
područja,9204
crkva,9149
kojeg,9122
tome,9106
mora,9009
jezika,8981
pjesme,8967
rod,8951
uglavnom,8912
općini,8910
mjestu,8885
dobio,8884
hrvatskog,8815
dr,8791
njih,8771
naziv,8766
ona,8752
svih,8702
općine,8697
ova,8656
crkve,8652
područje,8650
ivan,8574
županiji,8571
sezone,8564
način,8562
veljače,8549
vremena,8542
podataka,8526
neki,8494
član,8478
svjetskog,8458
liga,8458
tu,8445
života,8431
zemlje,8430
bile,8406
ove,8373
radio,8346
new,8312
doba,8258
postoji,8144
albuma,8119
sastava,8101
sastavu,8088
postaje,8076
život,8030
bosne,8011
ostali,7997
hr,7925
velike,7904
pr,7861
st,7832
kojih,7807
ju,7790
njemu,7781
gradu,7781
ex,7742
rijeka,7735
drugih,7718
država,7707
dijelu,7609
njegove,7584
pet,7553
rad,7551
kr,7539
milijuna,7539
velika,7523
predsjednik,7502
nad,7492
tek,7445
rat,7445
čak,7444
nk,7443
povijesti,7439
dan,7417
dolazi,7407
nogometni,7392
prava,7391
stranica,7378
oni,7377
joj,7366
neke,7353
kojim,7257
sustav,7251
čega,7226
ovo,7225
izvor,7219
kraju,7180
eng,7162
str,7153
nogometaši,7136
vode,7111
nagrada,7087
jednom,7085
knjiga,7082
stoljeću,7067
nagrade,6998
pjesama,6991
svi,6989
vidi,6980
la,6973
gotovo,6973
gradovi,6969
skupina,6961
zatim,6951
nalaze,6946
ponovno,6940
drugim,6922
osvojio,6905
ni,6876
kralj,6871
time,6860
svijetu,6818
gitara,6810
uvijek,6758
ipak,6740
smatra,6737
vlasti,6736
manje,6708
ukupno,6682
prve,6673
mnogo,6648
životopis,6613
njega,6569
drugog,6562
početkom,6546
metara,6525
sp,6502
iste,6498
imala,6461
ratu,6458
kralja,6445
obično,6438
snage,6435
druga,6424
većina,6400
hrvata,6386
skupine,6377
tog,6351
životopisi,6350
plemena,6339
hercegovine,6338
unutar,6332
posebno,6320
jugoslavije,6301
sin,6299
dobro,6272
prvo,6270
nove,6260
svijeta,6259
primjer,6250
svog,6247
tijela,6218
ta,6181
pjesma,6165
postoje,6138
baza,6128
studenog,6073
tim,6072
prvog,6068
nema,6066
živi,6066
grupe,6064
natjecanja,6058
sezoni,6049
uključujući,6029
ulogu,6010
sastoji,5983
albumi,5964
filma,5962
prvenstvo,5959
god,5948
poznat,5941
umjetnosti,5924
državi,5921
govori,5910
osoba,5876
otoka,5873
sela,5857
rođen,5856
li,5836
najveći,5811
one,5799
br,5797
kraj,5776
hrvati,5761
najviše,5747
dalje,5727
naroda,5720
iii,5701
kraja,5691
njemački,5671
sustava,5663
tih,5658
naziva,5632
svojoj,5628
kuća,5623
ovog,5601
split,5583
red,5576
najbolji,5563
kup,5536
potom,5534
čini,5461
općina,5461
igra,5416
jednog,5414
žena,5392
žene,5383
razvoj,5381
hrvatskih,5373
djelo,5372
porodice,5361
treba,5342
selo,5322
vlast,5309
društva,5304
nova,5303
nešto,5299
službena,5298
npr,5295
pravo,5285
novog,5252
kluba,5245
nacionalni,5238
serije,5236
lige,5232
svom,5223
jeziku,5206
svim,5204
otac,5192
mnogi,5190
koriste,5172
postala,5165
prvom,5157
najčešće,5155
pomoć,5153
pred,5152
počeo,5139
stranice,5136
krajem,5134
napisao,5124
lat,5118
njima,5117
literatura,5117
jedno,5090
hrvatsko,5081
republici,5065
energije,5046
dijela,5023
hrvatskom,5022
predstavlja,5007
imena,5003
filmu,5000
slika,4985
imalo,4975
europi,4970
rock,4935
obliku,4932
ovom,4917
šest,4914
svojih,4914
jednu,4910
bosni,4902
znanosti,4901
društvo,4901
snaga,4882
znači,4879
riječi,4874
imenom,4874
sada,4869
drugom,4857
sadrži,4839
john,4833
igrao,4827
von,4824
godinu,4822
nagradu,4820
san,4815
vojske,4810
imali,4786
vjerojatno,4780
pripada,4778
završio,4776
otok,4762
francuski,4760
članovi,4743
svjetskom,4736
th,4736
osobe,4735
poznati,4731
tj,4724
prvenstva,4720
veći,4719
početku,4714
karijera,4706
porodica,4702
razdoblju,4692
iznad,4689
prvaka,4683
objavio,4669
grupa,4652
ubrzo,4642
mnoge,4603
malo,4602
luka,4590
umro,4589
stranke,4567
mm,4565
engl,4539
potpuno,4536
hrvatsku,4533
kuće,4490
isto,4465
bolesti,4460
rada,4457
carstva,4448
čiji,4429
oblik,4414
njegovo,4401
predsjednika,4400
knjige,4398
svaki,4397
republika,4395
mogao,4389
škole,4387
momčadi,4385
njemačke,4383
tzv,4368
niz,4362
počinje,4361
naseljeno,4360
čine,4349
dao,4340
iznosi,4339
utakmice,4337
prilikom,4302
zviježđu,4298
jedne,4286
ivana,4285
riječ,4265
nekim,4265
hercegovini,4263
bivši,4258
škola,4254
savez,4249
al,4231
josip,4228
kulture,4218
europe,4211
igrač,4209
školu,4197
godini,4185
kojom,4179
boje,4164
www,4160
središte,4159
velikog,4157
izdanje,4155
tijelo,4146
djece,4134
moguće,4133
ethnologue,4132
spominje,4121
igre,4112
obitelj,4111
poznata,4101
vlada,4097
vodi,4092
francuske,4063
blizini,4063
filmovi,4062
dobila,4061
vlade,4060
objavljen,4042
prvu,4028
žive,4015
pjesmu,4009
ispod,4006
naslov,4000
centar,3992
jedini,3989
glazbeni,3982
ponekad,3971
utakmica,3970
strani,3936
njemačkoj,3930
momčad,3915
ostalih,3914
živjelo,3901
sveučilišta,3895
niti,3888
dijelom,3885
sedam,3837
svijet,3836
ono,3823
organizacija,3822
osnovan,3818
mali,3803
talijanski,3799
čime,3792
istraživanja,3784
zajednice,3784
sezona,3782
jezera,3782
različitih,3780
odmah,3776
zato,3772
ostale,3769
saveza,3769
regiji,3759
me,3752
zemlji,3750
treći,3748
jest,3745
njihov,3733
singl,3723
službene,3719
prvak,3717
engleski,3716
sjedište,3711
izabran,3705
svjetski,3701
njemačka,3698
stoga,3693
cm,3693
njihova,3685
prvih,3684
papa,3678
reda,3674
ti,3674
njegovu,3671
umjesto,3663
otoku,3644
iza,3638
glazbe,3638
general,3622
metal,3620
zraka,3615
velikim,3608
brod,3607
kultura,3606
početka,3603
dobiva,3603
tvari,3597
srbi,3590
položaj,3583
američkoj,3583
vojska,3580
filmski,3573
rezultati,3570
prostor,3570
nazivom,3569
razliku,3567
županija,3567
saveznoj,3564
srbije,3558
prvenstvu,3557
tv,3556
rijeci,3555
serija,3552
veliku,3546
osobito,3543
zapravo,3538
pored,3536
iv,3521
svega,3518
kulturno,3517
broja,3511
utakmici,3507
indijanci,3507
glumci,3502
njihove,3494
službeno,3493
izvan,3492
utjecaj,3488
studenoga,3486
slike,3480
car,3477
sljedeće,3477
pomoću,3470
nastupa,3470
ostao,3470
drugoj,3468
igrama,3468
ligi,3467
velikih,3463
upravo,3456
prvoj,3449
glavna,3449
sarajevo,3445
sebe,3434
daje,3433
uspio,3432
albumu,3432
york,3429
članova,3427
majka,3424
zagreba,3422
flora,3420
roman,3416
nasa,3413
odnosu,3410
sina,3409
unatoč,3402
promjene,3398
površine,3394
oblika,3389
čemu,3387
igrača,3384
slučaju,3382
ruski,3379
započeo,3373
budući,3369
drugo,3368
top,3361
muzej,3357
you,3353
novom,3345
građevine,3342
vrijednosti,3340
ugovor,3337
sjeverne,3335
