word,count
je,26798
na,19758
wot,16852
so,16252
do,12747
hač,8470
za,8337
po,8209
budyšin,7697
su,7342
ma,7188
serbski,6962
něhdźe,6912
ze,6861
serbske,6843
při,6767
lěće,6613
sydlišćo,6319
słownik,6208
lěta,6173
jako,6131
žórła,6131
tež,5423
jan,4971
město,4858
bě,4827
we,4778
wobydlerjow,4717
rěče,4435
němski,4428
wotkaz,4290
leži,4279
rostlina,4134
swójby,4119
rostliny,3983
rostlinow,3898
und,3897
jurij,3780
kilometrow,3442
mjena,3413
ke,3395
abo,3209
verlag,3193
berlin,3186
politikar,3164
nóžki,3142
němske,3135
němsko,3107
isbn,3098
filip,3089
rozšěrjenje,3051
hornjołužiskeje,3030
praha,2956
stejnišćo,2922
rězak,2873
mjez,2847
wšowědny,2834
donnerhak,2834
šule,2827
us,2800
centrum,2798
systemje,2768
lajnert,2755
přirodnym,2748
volk,2748
wissen,2745
rjadowane,2745
české,2744
academia,2744
editor,2742
rostlinske,2741
rěčny,2732
hlavní,2730
volkseigener,2730
klíč,2730
łaćanske,2729
kubát,2729
květeně,2728
republiky,2722
wudaće,2720
cd,2706
brankačk,2701
mjenow,2700
witaj,2694
rom,2686
rostlinskich,2671
literatura,2670
hornjoserbskich,2667
wobrazowy,2657
přez,2654
tysac,2522
wužiwanje,2514
prawa,2465
bu,2444
měšćanske,2408
prěnje,2393
kaž,2391
wopis,2383
strona,2350
wotkazy,2339
wotkazaj,2224
łužicy,2206
farar,2187
wjes,2166
ameriski,2142
spisowaćel,2116
naspomnjenje,2090
cm,2056
mjeno,2039
kotrež,2028
wokrjesu,1952
da,1951
łopjena,1903
naturführer,1893
kćenja,1868
kotraž,1813
gmejna,1804
załožiło,1773
was,1749
kosmos,1748
blüht,1722
denn,1714
aichele,1710
golte,1710
bechtle,1710
wón,1688
zo,1686
lětstotk,1654
wučer,1648
kotryž,1645
oblasći,1645
města,1636
jenož,1635
pod,1635
słuša,1589
rodź,1577
jeho,1549
eksterne,1547
prěni,1470
žórło,1458
stawizny,1457
hišće,1440
ruskeje,1390
pak,1364
dźělu,1352
webstrony,1351
de,1339
dźěl,1330
meje,1320
wo,1313
oficielne,1285
der,1268
muž,1267
junija,1263
juhu,1245
dołhosć,1244
wosoba,1240
europje,1239
toho,1219
němska,1214
wokrjes,1207
blütenpflanzen,1205
měješe,1204
serbskeho,1194
gmejny,1188
tak,1176
spohn,1163
awgusta,1155
mitteleuropas,1151
hižo,1149
km,1146
wildwachsende,1144
pola,1139
komponist,1139
apryla,1134
basnik,1123
januara,1123
wona,1114
ale,1114
ród,1114
sewjeru,1112
běše,1108
prezident,1106
prócowar,1099
čłon,1097
sydło,1096
oktobra,1064
serbska,1061
awtor,1060
družiny,1060
septembra,1057
lětstotka,1056
nad,1052
decembra,1051
wobsahuje,1048
nimo,1043
wuchodźe,1043
zapadźe,1042
julija,1034
syn,1031
hornjej,1029
serbow,1029
to,1029
raz,1023
sejma,1019
wysokosć,1011
lětach,994
rěč,994
wsy,992
gmejnje,969
ruskej,966
rěce,956
měrca,955
zwjetša,935
von,921
rěka,921
stat,919
dźiwadźelnik,908
tym,907
geografija,901
nowembra,901
załožene,895
mm,891
serbskim,890
serbskeje,885
nadeńdźe,885
stolica,881
februara,877
rosće,877
kćěje,870
hranicy,866
wokoło,864
docpěwaja,862
hlej,850
zemr,846
sakskej,844
docpěwa,843
najwjetše,840
the,835
běchu,831
narodniny,824
lětstotku,820
městačko,810
wopisanje,800
př,793
für,789
lět,785
płody,784
wumrěće,783
maja,782
tuž,780
dnja,774
wone,774
budyskim,772
spěwar,767
kulturny,766
čas,764
lěto,760
němsce,758
hudźbnik,757
podawki,757
in,755
sćěhowace,755
kiž,745
blisko,729
jeje,728
serbskich,717
steja,713
britiski,706
dalše,698
hdźež,698
budyšinje,694
zarjadniske,691
str,691
nimale,690
strony,684
dla,683
krajneho,683
katolski,682
tam,678
kral,677
die,676
južnje,672
arnošt,664
sewjernje,659
wjace,658
historiske,651
dźensa,650
ewangelski,650
němskej,645
němskeje,642
europskim,641
wobsteji,639
pochadźa,637
južnej,631
statistice,629
francoski,627
sakskeho,626
łopješka,622
dźeń,620
ameriska,620
rěči,619
rumje,618
wokrjesa,613
rozšěrjena,610
tych,607
wjele,605
nakład,603
słušeše,602
wuchodnje,598
cdu,591
kopar,589
dósta,588
druhim,588
pflanzenführer,583
wobydlerjemi,580
wójnje,577
sydlenskim,576
kraja,574
ii,572
srjedźnej,570
stej,569
stawiznar,569
dźiwadźelnica,569
tři,560
pawoł,559
jich,558
of,554
pjeć,554
federaciji,553
spěwarka,551
powiat,546
wjeska,542
unterwegs,541
schauer,540
jara,539
caspari,539
pozdźišo,533
słušeja,529
michał,529
moler,528
něhdyša,527
družina,527
naspomni,520
serb,518
sewjernej,518
kónca,517
zapadnje,517
brjoze,516
boku,515
wobydlerstwa,514
wobydlerstwo,513
