word,count
nan,300688
de,169687
se,121869
li,119244
sa,113104
yo,112475
vil,110550
yon,108486
ak,89688
ayisyen,81486
kòm,73197
istwa,70998
referans,67302
la,65549
relasyon,65352
te,63060
ayiti,56286
lyen,55041
moun,53639
jewografi,52906
kiba,52261
epi,47785
ki,47783
kèk,45738
ant,43069
etazini,42350
an,38277
eta,37989
aktè,36477
pou,35368
sou,34489
lane,33136
fim,31912
le,31106
edikasyon,30771
pwovens,25801
kominote,25156
peyi,25155
politik,24176
ekonomi,23121
lang,22393
pa,21488
genyen,21379
anviwònman,21303
the,21163
devlòpman,21002
deyò,20471
depi,20447
kiben,18990
les,18847
pèsonalite,18715
fevrye,18666
dat,17752
jean,17739
gen,17631
franse,16988
sinema,16305
televizyon,14721
kreyòl,14480
imdb,14386
rele,14185
kat,14179
zèv,13907
menm,13813
tout,13347
popilasyon,13005
domèn,12702
gade,12627
et,12440
aktivite,12287
men,12248
seri,12193
non,11986
gwo,11247
du,11144
fèt,11131
rive,10746
timoun,10692
roberto,10546
fè,10451
robaina,10408
nonm,10331
dezyèm,10283
gouvènman,10260
pale,10228
lòt,10129
emmanuel,10099
ameriken,10088
kò,10012
òganizasyon,9965
sante,9938
espò,9924
kilti,9918
piti,9842
un,9780
radyo,9687
el,9634
sivil,9613
sik,9598
otorite,9589
medikal,9577
touris,9554
sispann,9549
kontak,9547
retire,9534
agrikilti,9522
fritz,9512
diplomatik,9491
estasyon,9481
konstriksyon,9462
soti,9457
asistans,9416
dwèt,9397
izin,9372
reprann,9359
alfabetizasyon,9356
chanselye,9346
oea,9343
koumanse,9342
pèch,9341
longchamp,9331
dabòn,9329
kooperasyon,9328
aewonotik,9323
chèf,9313
en,9264
des,9122
ou,9091
pierre,8981
leta,8898
jewografik,8862
almanak,8805
sitye,8512
lye,8396
biyografi,8172
nesans,8006
avèk,7790
of,7719
syans,7599
reyalize,7519
matematik,7509
enpòtan,6859
natirèl,6846
ekriven,6821
del,6787
tv,6767
konte,6702
byografi,6660
reyalizatè,6527
bèzbòl,6464
epizòd,6424
plis,6413
matematisyen,6299
sistèm,6189
km,6055
fanm,5979
sezon,5820
new,5634
konnen,5614
ekip,5612
jacques,5573
ane,5529
claude,5489
michel,5385
mèt,5313
lanmè,5306
kout,5208
une,5175
anlè,5115
teknik,5099
paj,5032
ap,4983
tankou,4921
tou,4856
