word,count
az,1152093
és,1015702
is,348238
egy,273405
ben,243610
hogy,235153
volt,226742
nem,204477
magyar,171377
meg,141293
de,137454
ban,127739
első,101816
el,100285
vagy,93973
es,87598
között,80484
után,77933
két,76928
csak,75250
már,75085
ki,74404
nagy,72243
ez,71540
mint,70947
the,68774
majd,64002
még,63822
szerint,60014
van,59348
pedig,58105
fel,57968
én,57967
több,57760
így,57139
lett,57022
források,55251
budapest,54795
új,51703
személyek,51318
azonban,50069
egyik,50040
jegyzetek,49757
be,47584
amely,46312
született,45844
aki,45764
további,45145
of,44995
című,44075
miatt,41094
második,40660
ahol,40286
később,40082
as,39984
amerikai,39821
itt,38969
alatt,38461
valamint,38373
német,38281
azt,37648
ezt,36757
minden,36063
án,35826
ha,35222
ami,33941
más,33443
információk,32629
illetve,32377
amikor,32103
olyan,31575
került,31503
található,31336
istván,31100
három,31071
le,30824
át,30808
ii,30805
során,30656
jános,30488
mellett,30358
által,29638
sem,29242
től,28755
bp,28558
in,28522
század,28241
mivel,28085
király,27972
lászló,27340
voltak,26706
például,26623
szent,26600
története,26309
ig,26225
francia,26025
város,25793
való,25628
előtt,25444
mely,25362
józsef,25356
ezért,24684
úgy,24479
ellen,24338
római,24241
ferenc,23953
lehet,23669
ennek,23575
néven,23530
ezek,23519
nemzeti,23432
kell,23408
labdarúgó,23214
számára,23131
először,23014
év,22973
ekkor,22964
akkor,22921
nemzetközi,22572
része,22347
angol,22118
km,22017
and,21671
család,21461
tagja,21442
egyes,21356
mert,21134
május,21115
október,21093
szeptember,20913
ma,20897
együtt,20855
számos,20826
kis,20794
alapján,20712
részt,20417
saját,20297
kapott,20200
néhány,20069
március,19953
következő,19855
legjobb,19827
nagyobb,19780
sok,19742
fő,19729
közül,19698
re,19685
január,19387
augusztus,19386
templom,19380
jelent,19256
végül,19244
június,19126
november,19064
legnagyobb,18973
györgy,18966
európa,18949
hivatalos,18946
utolsó,18888
ezzel,18879
madarai,18831
amit,18821
évi,18815
külső,18815
óta,18814
