word,count
են,200327
ծրագիր,129510
էր,109981
թվականի,87874
թվականին,82949
ծանոթագրություններ,71656
նաև,66389
լինեար,64369
սոկոռո,64229
որ,60225
ուկրաինայի,58859
ռուսաստանի,56005
իր,55620
արտաքին,55204
կազմում,52135
հղումներ,50976
ու,49838
շրջանի,47441
կմ,46545
մարզի,44794
որը,42940
բնակավայրեր,42323
հետ,42238
աստերոիդների,41444
նա,41191
այն,40291
ին,39649
մեծ,39237
րդ,38126
այդ,37983
մի,37332
համար,37249
է։,36675
էին,36225
կամ,34711
նրա,34391
առաջին,34248
գյուղ,33960
իսկ,32720
հայ,30423
պիկ,30409
կիթ,30339
սփեյսուոչ,30152
հայաստանի,29353
վրա,28507
որպես,28322
սեպտեմբեր,28111
կողմից,27637
այս,27489
հետո,27153
կայքում,26742
մեջ,26417
ըստ,25388
տվյալներով,25360
այլ,25233
գտնվում,25033
գյուղեր,24883
մարդ,24817
ավելի,24656
մարդ։,24611
բնակչության,24250
հոկտեմբեր,23770
մինչև,23057
որոնք,22627
մասին,22406
կարող,22229
եղել,22178
ժամանակ,22011
բնակչությունը,20696
բնակավայրերի,20567
ինչպես,20463
գետի,20327
հիմնական,20213
սակայն,20175
տես,20034
մեկ,19680
ոչ,19191
պետական,18812
ցանկ,18477
ջրային,18233
ազգային,18224
նոր,18096
նահանգի,17889
էստոնիայի,17863
երկու,17759
մոտ,17746
քանի,17657
հայկական,17424
հանրապետության,16747
շրջանում։,16234
էլ,16181
մաունթ,16145
մարտ,16055
լեմոն,16053
ունի,16029
պալոմար,16002
կազմում։,15913
համար։,15906
ընթացքում,15884
որի,15881
արևմտյան,15676
շատ,15526
ամբողջական,15475
դարի,15445
հայտնի,15341
որտեղ,15190
երևանի,15083
նոյեմբեր,14979
երբ,14929
նրանց,14864
թթ,14406
դեկտեմբեր,14180
օգոստոս,14005
միայն,13882
բնակվում,13850
թվականներին,13716
չի,13710
վրա։,13634
պաշտոնական,13557
տարբեր,13403
շրջանում,13178
փոքր,13078
հունվար,12854
հետ։,12650
ֆիլմեր,12650
նրանք,12596
մեջ։,12457
երևան,12418
փետրվար,12327
մարդահամարի,12316
անգամ,12291
իրենց,12262
նրան,12252
համալսարանի,12173
բոլոր,12161
հայտնաբերված,12114
գյուղում,12050
ապրիլ,11871
երկրորդ,11833
ամն,11740
աստերոիդներ,11682
միջին,11642
գլխավոր,11351
վարչական,11003
զբաղեցնում,10889
տեղի,10846
թվականից,10785
թվականին։,10784
բայց,10564
շրջան,10549
գերագույն,10516
ուղեծրի,10500
հեռավորության,10471
հհ,10137
հյուսիսային,10052
պատմություն,9788
հայաստանում,9782
ով,9708
որոշ,9654
չեն,9570
ընդհանուր,9524
շուրջ,9454
անդերսոն,9446
որն,9316
մասը,9296
են։,9290
մտնում,9287
քաղաքական,9278
միջազգային,9244
է՝,9231
խորհրդային,9224
անվան,9118
ում,9117
ժամային,9104
մեսա,9093
արբանյակային,9052
գոտիները,9045
խտությունը,9036
ցանկը,9021
վերջին,9000
ռադայի,8988
հետազոտություն,8957
ամերիկացի,8957
համապետական,8952
ից,8906
հին,8780
թե,8760
ամերիկյան,8751
պետք,8624
կոդը,8565
աղբյուրներ,8561
օր,8554
սուրբ,8467
տարի,8456
ունեցել,8407
գրանցված,8404
տարածք։,8403
քաղաքի,8390
լավագույն,8385
էր։,8304
քան,8239
ֆրանսիայի,8227
արդյունքները,8184
աշխարհի,8166
դեպի,8149
համարվում,8087
մայիս,8081
խսհմ,7968
տվյալներ,7906
դեմ,7865
երեք,7832
լուսանկարներ,7771
զարգացման,7712
շարք,7643
գավառում։,7618
քարտեզներ,7568
կատարում,7557
շրջանների,7524
ներքին,7504
համաշխարհային,7479
դուրս,7442
գետեր,7314
նույն,7286
հիմնադրված,7286
բարձր,7282
պատմության,7252
դեպքում,7218
բազմաթիվ,7211
ծնվել,7191
կատալինա,7148
հանդես,7127
իտալիայի,7097
բնակչություն,7058
հայոց,7046
կայք,7024
կենսագրություն,7002
վան,6990
դա,6979
հիմնականում,6975
հիդրոլոգիական,6972
արևելյան,6919
պատկանում,6917
որոնց,6886
երկրի,6828
պատերազմի,6821
տալիս,6795
ին։,6781
ունեն,6777
ական,6756
հայտնաբերվել,6721
հաճախ,6706
լա,6672
պատճառով,6660
տարեկան,6655
տվյալները,6638
ուսումնասիրությունների,6627
հարավային,6620
բնակավայրը,6557
թվական,6539
համայնքի,6536
սմոլենսկի,6475
եւ,6474
եթե,6424
էջ։,6418
ստացել,6417
ծնունդներ,6353
կազմի,6283
գրականություն,6255
դարձավ,6236
տվյալների,6200
միջև,6194
կենտրոնի,6193
իրար,6164
վերին,6162
ուներ,6120
ամբողջ,6087
հատուկ,6081
դարձել,6072
օրվա,6067
ապա,6057
աշխատել,6056
ռուս,6052
մասնակցել,6041
աստերոիդը,6028
վիճակագրության,5987
խմբեր,5982
հայաբնակ,5959
գիտությունների,5958
ժամանակ։,5954
հիմնադրվել,5945
անդամ,5927
հետագայում,5921
կողմից։,5919
երաժշտական,5903
ինստիտուտի,5884
աստիճան,5879
հրատարակչություն,5862
խմբի,5848
ունեցող,5805
հարակից,5802
դեկտեմբերի,5800
կապված,5779
բառարան,5775
տարածքը,5754
հեռավորությունը,5715
մոտենում,5705
սպեկտրալ,5687
կյանքի,5657
արդեն,5652
