word,count
եւ,115899
կը,104387
մէջ,54396
ին,28865
որ,26867
իր,23934
ու,21700
են,21690
մը,19165
հայ,17989
նաեւ,15021
ան,13367
էր,12426
մէջ։,11655
անոր,10737
համար,10351
այս,10337
հետ,10177
մեծ,10122
առաջին,10076
այդ,9284
իսկ,9264
րդ,9160
ետք,8575
թուականին,8550
հայկական,8362
վրայ,8193
կամ,8155
ծանօթագրութիւններ,7979
հայաստանի,7908
մինչեւ,6902
եղած,6670
է։,6345
որոնք,6266
աւելի,6113
սակայն,6030
ինչպէս,5914
նոր,5834
ուր,5765
ազգային,5732
այլ,5603
ալ,5480
երկու,5465
երբ,5211
հայոց,4999
մասին,4972
այն,4853
իրենց,4839
մէկ,4750
էջ,4640
ընթացքին,4634
իբրեւ,4624
որուն,4519
թէ,4376
որպէս,4369
ունի,4196
երեւան,4075
շատ,4038
տարի,4008
ժամանակ,3994
էն,3958
ծնած,3943
կողմէ,3770
տեղի,3727
անոնց,3694
ունեցած,3691
քանի,3648
ըստ,3561
ոչ,3515
էին,3410
արտաքին,3408
անոնք,3372
հին,3368
բոլոր,3365
մօտ,3335
միայն,3264
դարու,3254
պետական,3187
տարբեր,3167
բազմաթիւ,3140
գտնուի,3086
կու,3081
եկեղեցւոյ,3076
երեւանի,3072
թուականներուն,3057
գլխաւոր,3041
անգամ,2976
պատմութիւն,2907
քաղաքական,2883
սուրբ,2791
բայց,2748
երեք,2688
երկրորդ,2681
միջազգային,2680
ապա,2674
համաշխարհային,2646
ստացած,2632
աշխարհի,2617
դէպի,2516
թուականի,2504
նոյն,2492
դէմ,2489
արեւմտեան,2486
արեւելեան,2473
պատմութեան,2473
աղբիւրներ,2461
յայտնի,2435
կենսագրութիւն,2430
մէջ՝,2427
մըն,2376
գրական,2327
յղումներ,2301
օր,2289
հանրապետութեան,2260
փոքր,2253
համար։,2247
քաղաքին,2227
լոյս,2225
վերջին,2184
շուրջ,2173
միջեւ,2167
մասը,2162
մէկը,2131
ընդհանուր,2130
պատճառով,2099
ին։,2098
միութեան,2051
մշակութային,2036
գրիգոր,2035
պէյրութ,2029
շրջանին,2027
որոշ,2014
ամն,1994
հիմնական,1979
պէտք,1979
արուեստի,1967
սկսած,1958
պատմական,1944
քան,1930
կարեւոր,1924
համալսարանի,1916
անդամ,1911
որոնց,1908
վրայ։,1897
կան,1893
էր։,1890
հետ։,1883
դառնայ,1879
կեդրոնական,1853
ամբողջ,1844
պիտի,1830
տէր,1826
քաղաքի,1821
օսմանեան,1820
չէ,1819
տակ,1789
ապրիլ,1785
է՝,1780
ծնածներ,1778
դարուն,1770
յատուկ,1740
միացեալ,1739
մայիս,1736
խորհրդային,1727
հայաստան,1719
եկեղեցին,1717
պատերազմի,1715
գտնուող,1710
ծնունդներ,1702
քաղաքը,1696
կեանքի,1695
պոլիս,1690
հասարակական,1689
անուան,1683
երաժշտական,1678
թիւ,1675
մաս,1675
անիկա,1667
յովհաննէս,1657
մեր,1625
հիւսիսային,1623
սկսի,1622
պարբերականներ,1608
բարձր,1605
յունուար,1595
կայսրութեան,1590
հարաւային,1590
գրականութեան,1573
զայն,1567
մարտ,1557
դարձած,1555
կառուցուած,1550
տարուան,1544
տարեկան,1544
դուրս,1540
ամէնէն,1538
լաւագոյն,1532
ական,1530
գրականութիւն,1528
շարք,1527
տարիներուն,1520
գիտական,1515
ամերիկեան,1511
հոկտեմբեր,1509
կրնայ,1503
յունաստանի,1490
իրեն,1490
ամէն,1486
չի,1476
անունը,1471
հայերէն,1460
են՝,1451
յունական,1450
դեկտեմբեր,1448
չեն,1435
կարելի,1434
նուիրուած,1434
եւրոպայի,1434
որպէսզի,1430
անունով,1429
բնակչութեան,1426
չորս,1422
նոյեմբեր,1419
շրջանի,1413
միջին,1411
արդէն,1404
յակոբ,1402
յունիս,1396
մահեր,1394
են։,1388
հանդէս,1383
զանազան,1383
յուլիս,1381
պաշտօնական,1375
կողմէն,1374
հհ,1373
քմ,1370
թրքական,1369
տարին,1366
ունենայ,1362
նշանաւոր,1353
յետոյ,1349
եւրոպական,1348
սեպտեմբեր,1347
յաճախ,1345
փետրուար,1344
երկար,1343
աւարտած,1340
կարգով,1331
ին՝,1328
շնորհիւ,1328
ունեցող,1325
բնական,1324
լիբանանի,1324
թուրքիոյ,1320
ունին,1314
օգոստոս,1298
եկեղեցի,1298
հոն,1292
ցեղասպանութեան,1291
ռուսական,1278
գրած,1278
կարմիր,1274
որովհետեւ,1273
առաջ,1271
ներքին,1270
հայերը,1263
տնտեսական,1259
ժողովրդական,1256
պոլսոյ,1256
որոնցմէ,1253
հարաւ,1249
դարձաւ,1235
միլիոն,1235
տան,1233
թուականէն,1233
հոգեւոր,1233
տարածքին,1225
արաբական,1219
առանց,1216
ըլլայ,1210
բժշկական,1207
ֆրանսայի,1207
երկրի,1202
միւս,1200
ունէր,1197
ռազմական,1194
ներս,1181
բարձրագոյն,1179
յատկապէս,1175
արցախի,1172
