word,count
dan,744493
yang,726091
di,617851
pada,348194
dari,312714
dengan,307828
ini,244196
untuk,236046
dalam,228425
adalah,207734
tahun,203442
sebagai,162071
oleh,150465
ke,130989
menjadi,105957
tidak,105878
indonesia,104126
ia,99462
juga,98236
the,94104
atau,93437
itu,90526
desa,87125
mereka,80600
merupakan,77830
orang,76881
satu,76667
kota,76338
sebuah,74134
tersebut,70288
memiliki,68612
of,65653
bahwa,61641
dapat,61087
karena,61005
lebih,60087
luar,58074
class,57592
kecamatan,57130
telah,55138
setelah,54626
akan,53590
ada,52187
seperti,51869
secara,49999
bahasa,49945
saat,49583
beberapa,49527
kemudian,49333
lain,48123
besar,48015
pertama,47441
kabupaten,47351
wilayah,46122
negara,46091
salah,45549
film,45183
pranala,43658
nama,43610
seorang,43448
bagian,40260
antara,40134
dia,40077
banyak,38945
referensi,38847
dua,38246
tetapi,37764
dunia,37589
baru,37582
atas,37373
para,37009
barat,36367
yaitu,36212
amerika,36207
timur,35916
selatan,34722
and,33789
tanggal,33173
kepada,32880
lagu,32700
jawa,32496
hingga,32050
anak,31753
daerah,31741
utara,31238
hanya,31214
provinsi,30932
digunakan,29701
namun,29395
ketika,28720
album,28447
sama,28363
tempat,28218
serta,28149
selama,27963
hari,27910
lainnya,27545
kedua,27515
masa,27311
raja,27028
sampai,26347
pemain,26129
hal,26022
negeri,25869
air,25829
sejak,25790
tengah,25742
kembali,25624
berada,25581
menggunakan,25543
sangat,25421
serikat,25199
bulan,25075
anggota,25008
bersama,25005
sekolah,24518
utama,24410
penduduk,24318
jepang,24099
sekitar,24026
tinggi,23843
inggris,23751
sejarah,23603
sehingga,23498
terletak,23166
note,23076
pulau,23025
in,22995
mulai,22932
terdapat,22908
kali,22880
waktu,22867
disebut,22848
termasuk,22739
masih,22455
perang,22411
tim,22220
tokoh,22127
perusahaan,21661
pula,21486
terhadap,21363
bagi,21331
sistem,21200
rumah,21117
suatu,21085
dikenal,21043
tentang,20926
bisa,20873
an,20860
resmi,20823
membuat,20466
masyarakat,20351
tiga,20284
melalui,20236
sudah,20175
sendiri,20173
laut,20148
musik,20107
pendidikan,20094
nasional,20075
musim,20074
belanda,19819
jumlah,19736
berbagai,19712
semua,19627
daftar,19435
presiden,19425
awal,19358
kerajaan,19349
de,19134
sebagian,19065
bola,19026
al,18967
bawah,18891
jalan,18829
sungai,18775
abad,18733
pemerintah,18585
situs,18555
sekarang,18540
kecil,18491
terjadi,18339
sebelum,18274
baik,18236
umum,18209
paling,18075
ii,18040
udara,17986
pusat,17977
kata,17964
prancis,17933
pernah,17917
tanah,17900
jakarta,17865
km,17648
selain,17543
lihat,17542
terdiri,17532
mana,17189
suku,17065
gereja,17046
menteri,16972
pemerintahan,16878
menurut,16868
kepala,16861
universitas,16854
jiwa,16687
manusia,16594
sementara,16584
melakukan,16566
jerman,16559
harus,16294
setiap,16035
lagi,15897
seluruh,15699
jenis,15653
diri,15641
ibu,15641
maka,15602
akhirnya,15544
sepak,15531
islam,15406
dilakukan,15403
luas,15288
bernama,15252
sering,15221
bentuk,15202
karya,15150
kelurahan,14999
no,14945
berasal,14943
akhir,14871
masing,14833
hasil,14698
agama,14694
internasional,14550
new,14548
berhasil,14532
eropa,14425
berdasarkan,14396
sebelumnya,14334
program,14301
lalu,14155
org,14150
pesawat,14148
kelompok,13974
hidup,13915
pasukan,13557
stasiun,13478
keluarga,13409
meskipun,13381
laki,13260
tak,13151
sumber,13146
jika,13034
to,12828
sebelah,12779
memberikan,12728
buku,12700
sedangkan,12691
bidang,12543
lama,12509
raya,12466
bangsa,12419
hukum,12403
dusun,12349
tetap,12292
kapal,12216
september,12191
acara,12187
pun,12182
biasanya,12161
grup,12057
oktober,12049
ekonomi,12031
republik,12024
klub,12012
partai,11936
desember,11912
agustus,11855
berikut,11846
tingkat,11826
ilmu,11746
dasar,11689
mei,11681
empat,11656
berbeda,11645
politik,11613
juli,11610
aceh,11564
asal,11560
fn,11519
proses,11514
masuk,11414
gunung,11378
adr,11374
april,11369
vcard,11359
militer,11358
tanpa,11351
on,11347
bermain,11330
maret,11302
api,11269
versi,11233
januari,11198
piala,11184
juni,11170
terkenal,11145
bahan,11124
posisi,11060
televisi,10989
bintang,10970
mempunyai,10965
organisasi,10916
maupun,10915
terakhir,10907
november,10848
jalur,10841
mengenai,10824
suara,10708
kereta,10701
catatan,10616
mencapai,10600
dirilis,10587
langsung,10439
gelar,10430
penghargaan,10381
as,10372
asia,10362
italia,10342
cara,10303
sebanyak,10294
sebesar,10223
lahir,10182
didirikan,10163
agar,10156
allah,10144
tv,10114
ketiga,10106
video,10064
perdana,9984
putra,9966
bekerja,9943
juta,9942
zaman,9939
sedang,9903
budaya,9870
india,9866
korea,9858
panjang,9857
muncul,9853
mengalami,9851
mendapatkan,9807
rakyat,9799
menyatakan,9744
penting,9731
for,9712
alam,9711
dianggap,9710
perempuan,9692
kehidupan,9679
kaki,9610
sejumlah,9609
meninggal,9599
saja,9596
ditemukan,9559
dibuat,9534
nomor,9521
angkatan,9491
rata,9468
tiongkok,9443
kelas,9434
berarti,9409
wanita,9384
khusus,9350
batas,9331
terbesar,9315
mungkin,9310
cukup,9271
bumi,9241
februari,9241
terutama,9214
dekat,9200
terbaik,9198
hubungan,9177
pertandingan,9148
yakni,9122
bangunan,9122
melawan,9098
mata,9090
bukan,9087
surat,9069
bandar,9068
bahkan,9034
menerima,9004
biasa,8998
lima,8996
liga,8992
sosial,8986
batu,8971
kristen,8962
juara,8942
mobil,8911
penyanyi,8909
mesin,8893
data,8892
