word,count
li,65099
de,58498
in,39861
un,26557
del,26244
es,24363
provincia,11298
it,10399
have,10166
situat,8102
esset,6927
comunité,6231
hispania,6153
population,6078
municipies,5904
im,5819
autonom,5704
por,5615
cité,5514
municipie,5451
annu,5379
il,4835
habitantes,4702
quam,4503
germania,3720
inhabitantes,3660
su,3488
partise,3375
con,3267
castilia,3193
al,2889
leon,2668
historie,2553
presidente,2337
inter,2229
geografie,2171
max,2158
desde,2153
nascet,2055
la,2051
quel,2014
devenit,1974
location,1931
ella,1903
anc,1877
membre,1738
per,1630
grand,1604
ministre,1578
unit,1511
que,1421
kilometres,1410
parlament,1391
til,1354
nord,1324
area,1323
political,1319
capital,1318
annus,1271
sur,1271
sud,1244
land,1242
prim,1239
die,1225
quadrat,1137
state,1116
village,1100
ma,1096
ti,1081
federal,1062
states,1059
pos,1048
nómine,1035
democratic,1006
unesim,991
union,984
ex,970
german,956
burgos,941
mancha,934
subdistrict,933
europan,931
vive,930
ost,925
maritat,922
pro,921
studiat,918
west,915
plu,908
fundat,889
catalonia,889
lingue,886
bosnia,884
du,876
herzegovina,876
football,869
sport,866
politico,864
the,859
electet,855
ne,846
centre,839
america,836
occidental,821
ha,817
se,795
national,791
may,771
personal,768
professional,745
salamanca,745
cariera,735
laborat,727
bavaria,716
barcelona,714
francia,712
international,699
reyatu,685
januar,678
on,667
mundal,660
parte,658
marte,655
decembre,649
altri,648
region,646
nov,632
mult,627
andalusia,616
insul,610
zaragoza,601
guvernament,597
april,595
guadalajara,588
club,584
februar,583
secun,581
to,580
usa,569
duesim,565
julí,555
ye,548
novembre,547
contra,534
morit,533
qui,530
austria,529
europa,528
pri,527
apartene,526
television,526
electiones,522
fine,521
aragon,518
famosi,516
important,514
russia,513
of,511
septembre,510
universitá,509
vice,508
junio,508
hockey,507
interlingue,506
zamora,502
hodie,500
avila,500
cuenca,498
país,494
octobre,493
dies,489
organisation,488
ludet,485
gruppe,483
championatu,483
districte,480
der,474
guerre,473
august,473
lude,473
lleida,472
infantes,471
lingues,469
publicat,467
havet,465
valladolid,460
alt,457
politicos,452
canton,452
film,451
ludes,448
esser,446
cités,438
evenimentes,436
segovia,436
actoressa,434
mortes,431
toledo,431
madrid,429
valencia,427
scrit,426
cuple,426
secul,422
nascenties,421
posse,418
vez,411
economie,408
huesca,408
calendare,405
comensat,403
activ,403
ganiat,403
republica,401
fat,397
resta,397
münchen,396
aferes,394
circa,393
tri,392
féminas,391
palencia,386
nominat,385
chef,385
ac,383
alternative,383
evenit,380
soria,379
gregorian,378
tarragona,373
cosmoglotta,371
berlin,367
bissextil,365
ski,365
finit,360
italia,358
serie,357
extern,355
svissia,352
ligamentes,340
índependent,339
externi,336
munde,330
fluvie,330
sub,330
historic,330
tre,329
general,329
solmen,328
omni,326
el,326
roman,325
polonia,324
scientie,323
serbia,323
africa,321
new,321
rol,320
oficial,320
liga,316
ili,315
valencian,312
croatia,311
olimpic,311
san,310
internet,309
recivet,309
durant,307
membres,306
liste,303
le,303
saxonia,303
macedonia,302
ci,301
traductet,299
conservativ,297
ovres,295
sede,295
politica,294
percentes,293
anglia,288
social,288
dextri,288
págine,286
real,285
quelc,284
canada,284
wahl,281
socialdemocratic,281
quande,278
quar,276
candidate,274
liberal,273
ante,270
insules,269
federation,268
sarajevo,268
lor,265
metres,265
consiste,262
antioquia,262
popul,258
libre,257
sant,257
conosset,256
usat,255
denov,252
von,251
etá,250
filmes,248
montenegro,245
tra,244
rey,244
familie,243
infra,241
litteratura,240
mentionat,240
hispan,239
costa,239
autor,237
jurisprudentie,237
ciudad,236
queles,234
und,234
libres,231
hay,230
cristan,230
actoressas,230
líber,229
hem,229
málaga,228
francesi,227
en,227
glacie,226
selection,226
propri,225
turcia,224
filio,224
movement,223
filia,223
sevilla,223
homes,222
baden,222
ja,220
paris,220
team,220
studies,219
anglesi,217
sin,215
creat,214
los,212
million,211
and,210
cantabria,210
referenties,209
