word,count
na,983474
nke,324575
nd,235193
ihe,167886
ya,162340
onye,135927
ka,134547
ah,124493
ta,104592
ma,94283
af,91517
maka,72703
kw,67404
ch,61517
otu,57727
ak,52370
akw,52127
ha,50655
ebe,48672
tara,48125
ike,46076
site,44505
ab,42953
ime,41990
nwere,40274
aka,39483
oge,39187
isi,39179
mgbe,38512
of,37852
eme,32724
kwa,32525
iji,31544
the,31386
ala,30672
iche,29999
at,29872
mmad,29623
mba,29530
wa,28035
nkiri,27119
nwa,27083
gh,26900
mb,26680
ga,25856
nyere,25465
iri,24960
anya,24847
egwu,24777
mmiri,24433
obodo,24279
as,22220
an,21782
usoro,21048
mere,20916
nwany,20717
iwu,19869
kp,19548
ar,18472
ruo,18005
africa,17895
ad,17209
elu,17042
ihu,16573
mpaghara,16264
kar,15886
ozi,15445
la,15388
aha,15031
mahadum,14934
ag,14926
and,14693
az,14638
etiti,14616
di,14450
egwuregwu,14178
ndi,14095
onwe,14018
okwu,13562
gb,13534
gw,13465
mma,13351
ego,13342
si,13155
akp,12887
mee,12848
am,12617
naijiria,12473
nt,12336
agha,11936
niile,11816
ama,11791
south,11654
gburugburu,11644
njik,11612
da,11550
ment,11439
obibi,11321
wee,11277
steeti,11273
nch,11242
enwegh,11176
ba,11153
ngosi,11134
mp,11090
ikpe,11055
ihi,10984
omume,10896
gara,10828
kachas,10770
mkp,10458
mmek,10420
malitere,10294
mmet,10196
ikike,9961
bu,9926
nna,9776
oke,9638
nigeria,9564
ach,9518
sitere,9398
nw,9274
united,9199
mm,9030
new,8989
in,8876
osisi,8819
banyere,8818
igwe,8624
aga,8583
agba,8583
mkpa,8560
nwoke,8524
mgbanwe,8514
ise,8447
mana,8431
jir,8419
with,8387
ese,8387
nye,8322
lagos,8263
mep,8165
oche,8142
nri,8127
for,7934
makw,7857
nne,7782
war,7752
eze,7724
nyocha,7658
national,7633
gbara,7512
nnukwu,7465
ngalaba,7406
ugbu,7399
nta,7369
ngwa,7353
nwetara,7291
gosip,7270
cha,7191
enye,7167
eji,7125
okpuru,7121
yana,7093
obere,6998
state,6945
tupu,6908
african,6833
nk,6652
nn,6632
nka,6614
anyanw,6592
otú,6530
st,6471
naan,6469
art,6465
gide,6447
edemede,6412
osimiri,6394
mpi,6378
al,6375
gas,6335
emep,6302
gbasara,6295
mat,6280
ezin,6264
mgbasa,6259
zuru,6249
school,6157
nrite,6152
nzuk,6108
america,6092
obi,6044
echiche,6000
isii,5963
nar,5961
akara,5951
ukwuu,5924
dere,5899
kwuru,5899
guzobere,5877
maara,5870
odide,5866
international,5857
njem,5685
agb,5649
mmalite,5624
ugwu,5566
gba,5552
mmemme,5493
nsogbu,5464
onyinye,5382
nchekwa,5359
wep,5332
gaa,5331
oké,5320
ezie,5314
nweta,5285
hap,5279
ikuku,5265
edensibia,5224
afr,5214
york,5155
meriri,5143
ekwu,5142
world,5081
nkuzi,5073
òtù,5055
eto,5002
siri,4975
chi,4940
ojii,4933
megide,4903
ugbo,4884
states,4852
de,4820
mechara,4798
met,4775
ónyé,4765
enwere,4759
nkwek,4750
nkwado,4740
ghana,4734
ikpeaz,4732
kacha,4684
mara,4652
mmepe,4638
nr,4624
ns,4616
articles,4555
foto,4545
mmep,4540
college,4530
jen,4500
asaa,4488
mah,4474
nwee,4472
afo,4422
bi,4411
ede,4357
london,4330
sa,4329
ezi,4325
akwado,4314
to,4287
on,4271
sayens,4263
asat,4213
ole,4201
nde,4184
kwuo,4184
mmeri,4165
egosi,4152
ndep,4136
kemgbe,4111
mman,4070
bip,4018
van,3998
disemba,3960
uche,3911
septemba,3891
ndek,3883
ogologo,3875
abal,3867
osise,3846
award,3841
ji,3826
uru,3824
ochie,3815
mitii,3812
women,3781
museum,3762
uwe,3747
aj,3739
any,3737
mes,3706
nduzi,3672
ghar,3669
kwadoro,3666
nwunye,3659
bara,3640
eprel,3620
omeiwu,3616
nzere,3583
okpom,3582
ugboro,3580
arts,3566
us,3539
puku,3534
hcards,3517
ebumnuche,3514
june,3510
ibe,3497
university,3494
etinye,3457
city,3454
ohere,3446
nh,3435
ntuli,3411
vemba,3401
so,3389
nso,3388
nhazi,3378
minista,3326
itoolu,3303
china,3261
west,3256
jula,3252
isiokwu,3251
ap,3250
enyemaka,3246
okporo,3244
okike,3230
institute,3226
el,3200
ktoba,3198
njikwa,3186
mbido,3167
nkà,3153
american,3152
mmas,3142
bekee,3134
kachamara,3069
kà,3042
gallery,3025
ziri,3022
sek,3011
itinye,3008
emet,3001
nwanne,2997
dabere,2978
kwara,2978
jiri,2968
esi,2965
nala,2962
france,2948
europe,2919
ukwu,2915
màkà,2910
ewu,2881
jik,2866
mach,2865
mkpofu,2838
north,2836
nnyocha,2827
osote,2826
awards,2820
ize,2784
omenala,2769
th,2763
agbanyegh,2759
league,2752
mgbochi,2728
man,2727
sonyeere,2723
malite,2717
cape,2702
feb,2681
enyi,2677
john,2668
nlek,2658
kl,2649
mbip,2621
britain,2595
pages,2582
zi,2581
enwe,2555
ogige,2552
party,2551
tv,2548
kwado,2535
uganda,2511
were,2501
inye,2500
canada,2487
ókè,2485
ngw,2476
mita,2472
chite,2455
center,2454
ndr,2450
union,2442
iyi,2441
ibu,2437
nakwa,2433
telivish,2428
association,2425
kwagara,2418
ara,2417
uri,2415
ngwaah,2404
pr,2399
ozuzo,2397
tekn,2396
ebubo,2381
agbanwe,2358
kwalite,2356
india,2356
ume,2351
ná,2349
nations,2342
peeji,2329
republic,2327
ere,2322
iwe,2322
french,2316
ebensidee,2316
yiri,2314
acha,2313
ewep,2308
sonyere,2299
nigerian,2291
emepe,2291
bend,2287
nkè,2284
ruru,2281
ezumike,2278
nkeji,2273
olu,2254
ntinye,2253
natara,2231
film,2221
council,2217
ewere,2214
foundation,2209
egwú,2201
enweta,2200
fes,2198
tinyere,2175
akwa,2173
translations,2165
all,2156
unreviewed,2154
ra,2152
igbo,2146
anw,2146
egbu,2144
germany,2132
laghachiri,2119
uk,2104
bank,2095
black,2090
efu,2086
festival,2085
east,2083
is,2081
izu,2064
anagh,2054
nkw,2052
le,2052
esemokwu,2046
mgbal,2044
development,2044
town,2033
kenya,2033
agh,2031
central,2026
no,2021
aro,2018
paris,2015
udo,2013
society,2012
weeb,2007
ntorob,2006
ana,2003
enyere,2000
duziri,1997
general,1994
mkpebi,1980
banye,1963
odeakw,1958
anyere,1953
kwes,1945
wara,1938
nkwup,1927
federal,1926
nchebe,1919
best,1917
data,1903
nwekwara,1886
england,1884
emume,1878
amaala,1877
mgbakwunye,1874
ìhè,1866
kpatara,1861
okpukpe,1859
kwup,1844
kara,1835
ide,1834
group,1834
democratic,1833
edo,1819
nnwere,1818
academy,1813
from,1812
cup,1804
press,1798
chiri,1783
ógbè,1775
erule,1770
eche,1769
niger,1759
oriri,1752
ejik,1751
people,1750
congress,1750
washington,1739
begh,1732
mgbè,1730
maah,1716
mmebi,1711
ozuzu,1710
enyocha,1709
arabic,1703
nwe,1702
ibadan,1693
kama,1692
biri,1692
ng,1686
ngwá,1683
buru,1678
haziri,1678
elek,1678
dr,1677
carbon,1676
california,1675
australia,1673
mkpar,1662
kpa,1655
jere,1649
eje,1648
ubochi,1642
belata,1640
goolu,1640
onwunwe,1630
mbelata,1620
ngaghar,1613
ijipt,1611
year,1605
music,1605
ncheta,1602
ohu,1596
mfe,1590
esote,1587
egypt,1584
tinye,1583
high,1583
johannesburg,1582
mmanye,1578
by,1571
nketa,1565
kans,1563
pra,1561
ígwè,1560
ndu,1559
ojiji,1557
gbanwere,1544
egosip,1544
maat,1543
akpa,1543
lee,1527
house,1527
akpata,1527
njedebe,1526
leji,1523
ezigbo,1522
cameroon,1519
ghara,1519
lite,1519
elekwas,1516
tala,1512
august,1510
ganihu,1509
emere,1504
com,1501
kwaga,1501
oyi,1500
amuru,1499
nanya,1499
japan,1499
njirimara,1498
day,1489
kingdom,1481
makwaara,1478
chief,1478
mgbak,1476
ubi,1472
category,1470
okenye,1470
commission,1460
mbara,1459
nile,1459
he,1454
eserese,1454
ifo,1453
eziokwu,1451
nabatara,1446
mkpirikpi,1444
david,1440
ntanet,1433
yoruba,1433
ìgwè,1433
akaebe,1429
kat,1426
redio,1405
oghere,1401
gbaa,1398
inwe,1394
zimbabwe,1394
ejiji,1387
iko,1387
global,1386
doro,1381
kas,1377
vidiyo,1376
nwata,1375
un,1373
wo,1367
mkpuchi,1365
merie,1363
akpali,1362
ekpo,1359
congo,1356
science,1355
emebi,1350
ezu,1349
british,1344
district,1340
nihu,1339
wuru,1333
ezo,1332
wap,1331
onwa,1328
mberede,1326
izizi,1323
onyeisi,1321
chara,1318
delta,1318
nká,1314
pasent,1313
nsonaaz,1309
los,1309
mar,1309
james,1307
gbak,1306
du,1298
asambodo,1287
eri,1286
ejikar,1284
benin,1281
ebute,1276
agbata,1275
igbu,1275
ozugbo,1274
ngo,1274
club,1271
kal,1271
sudan,1267
dika,1266
kem,1264
klas,1262
ekwes,1261
efe,1259
dara,1257
ebip,1256
ederede,1252
paul,1246
ifufe,1243
guzobe,1242
ngh,1241
taa,1241
education,1232
me,1231
german,1229
george,1227
emegide,1222
european,1219
kpo,1218
injinia,1216
angeles,1216
kwagh,1212
eru,1211
zutere,1205
climate,1204
san,1199
mw,1198
album,1198
royal,1193
dee,1190
nleta,1189
sonye,1187
kilomita,1186
gburu,1181
magazin,1181
lekwas,1180
october,1179
western,1178
awa,1178
eduga,1177
laghachi,1175
ogbenye,1172
kra,1171
soro,1171
ofe,1170
mkpesa,1170
cross,1169
limited,1166
business,1163
prize,1160
agafe,1159
gidere,1158
ehi,1158
chicago,1156
nkat,1154
ikwu,1153
board,1153
amagh,1152
mgbagwoju,1151
times,1151
afrika,1150
july,1149
nj,1148
island,1143
ugo,1143
citation,1142
ùgwù,1142
may,1137
studies,1137
management,1135
usa,1131
netw,1126
emeela,1125
nje,1125
algeria,1124
february,1123
ny,1123
research,1119
hiwere,1117
southern,1114
my,1113
ada,1108
eyi,1106
northern,1103
movement,1099
government,1097
project,1094
owuwu,1093
mary,1092
ogo,1091
nchara,1091
nzuzo,1091
centre,1089
vootu,1083
nyochaa,1083
championships,1083
ókèala,1081
short,1080
company,1076
ijeri,1073
alak,1072
nlereanya,1072
mmeghar,1069
inweta,1066
morocco,1063
mexico,1061
miss,1061
takwara,1059
ebi,1056
law,1056
summer,1055
mkwem,1051
abuja,1050
irí,1050
lara,1050
dep,1050
jidere,1048
maach,1045
ngwak,1045
co,1045
king,1044
marathon,1044
mepere,1043
ebere,1042
ahazi,1040
nkewa,1040
health,1040
kano,1039
human,1039
love,1036
nkwenye,1036
nzaghachi,1035
israel,1033
km,1032
contemporary,1030
daume,1030
studio,1023
nkwa,1016
youth,1013
life,1012
akwadogh,1011
ministry,1011
it,1009
òkè,1009
dutch,1003
kwenyere,1001
nchegbu,1001
fine,1001
kpebiri,999
ébé,999
arab,998
mdi,997
eriri,996
michael,995
public,987
