word,count
ti,221128
iti,99031
dagiti,69937
ket,68854
nga,49834
ken,45799
kadagiti,23015
idi,19787
maysa,15879
daytoy,14658
ni,13879
nagibasaran,11629
idiay,11294
pagsasao,11076
manipud,10643
kas,10634
babaen,10594
isla,10271
abagatan,8533
silpo,8472
pay,8006
akinruar,7539
wenno,6550
amianan,6503
isu,6399
filipinas,6298
ili,5986
maika,5924
para,5293
sebbangan,5109
daya,5053
baybay,4994
pamilia,4986
taaw,4859
siudad,4845
tawen,4756
probinsia,4642
akin,4621
aginggana,4481
sasao,4367
laud,4348
mula,4320
baro,4272
the,4244
of,3965
adda,3943
bassit,3880
adu,3608
mabirukan,3524
addaan,3517
saan,3366
pagilian,3342
flora,3341
ngem,3309
endemiko,3275
guinea,3167
kadawyan,3153
estado,2980
rehion,2894
lugar,2790
kaaduan,2772
agarup,2717
daga,2713
mabalin,2641
kalendario,2586
paset,2578
akinlaud,2572
ungto,2570
meridiano,2523
lumabas,2385
and,2384
is,2375
de,2371
distrito,2366
ammo,2350
laeng,2305
populasion,2201
karayan,2197
dua,2184
tengnga,2140
mairaman,2131
australia,2091
papua,2083
naipasngay,2077
nagan,2065
tattao,2044
henero,2027
pimmusay,2021
dagitoy,2014
met,1967
san,1893
teritorio,1885
nangruna,1879
baranggay,1873
nabingbingay,1872
panawen,1833
nangrugi,1820
klase,1812
unidos,1811
estados,1810
no,1747
demograpia,1743
papa,1740
aldaw,1732
kalpasan,1713
politikal,1697
sabali,1693
kayo,1675
barbaranggay,1665
immuna,1649
in,1648
asia,1621
maikadua,1613
amin,1605
usar,1581
indonesia,1576
umuna,1562
lubong,1517
nadumaduma,1503
kitaen,1491
presidente,1485
gapu,1482
aprika,1476
amerika,1424
pasipiko,1423
opisial,1422
naisasao,1413
siglo,1354
bantay,1347
linia,1309
kadakkelan,1301
kangrunaan,1300
ingles,1291
republika,1281
grupo,1275
rubiaceae,1263
km,1262
nayanak,1226
asideg,1225
las,1193
sistema,1192
kapitolio,1188
new,1182
akindaya,1181
kameng,1177
tapno,1160
gobierno,1156
kaykayo,1152
atlantiko,1151
europa,1146
huliano,1129
tallo,1128
del,1122
dadduma,1117
ud,1108
oras,1104
danum,1093
nailian,1091
nota,1086
parte,1084
agsasao,1078
luek,1070
pakasaritaan,1063
aplaya,1063
maikatlo,1059
purok,1058
danaw,1055
amerikano,1052
awan,1047
ay,1047
golpo,1033
hapon,1031
unay,1024
gubat,1019
napno,1012
sur,1008
antartika,1004
departamento,1002
agtubo,1001
bakir,990
ipupusay,978
artiko,972
ad,969
di,968
agdama,960
nalatak,960
nagbalin,957
dati,950
la,940
listaan,937
austronesio,934
pannakabagi,922
al,915
paralelo,915
pagbeddengan,907
indiano,903
patneng,902
sumaganad,895
papuano,894
pannakaipasngay,892
peninsula,886
sabong,882
borneo,879
mannurat,877
agsabsabong,876
bulkan,871
tsina,844
kasta,843
sangalubongan,826
tropikal,824
longitud,823
iparang,822
nabangon,817
enero,814
manen,807
dialekto,805
malaysia,805
aktor,798
tunggal,791
linteg,791
at,788
myrtaceae,787
filipino,778
marso,768
kalawa,762
agosto,756
pranses,755
mehiko,754
igid,745
tao,741
sanga,739
nupay,738
bayat,737
norte,736
masna,735
brasil,735
pagbaetan,727
lingsat,722
katayag,722
mangrugi,720
kadagitoy,717
parke,717
termino,716
ecuador,714
malayo,713
india,712
munisipalidad,710
aktres,707
oktubre,705
tinawtawagan,704
nawaya,703
riwriw,702
disiembre,702
hulio,697
ng,695
abril,694
hunio,691
pelikula,688
balikas,686
kaunegan,685
kenni,684
nobiembre,681
colombia,680
sirkulo,676
pebrero,672
mayo,667
nagbaetan,663
pagpagilian,662
dakkel,661
tinunton,658
septiembre,657
isuna,657
buklen,651
sapasap,649
john,648
mapan,645
ta,643
aglaon,642
obra,641
ilocos,636
uppat,636
unibersidad,628
mangporma,628
imperio,627
ababa,620
kita,617
taudan,610
bulong,609
on,609
habitat,609
an,607
santa,603
insasao,603
website,601
paspasamak,601
bilang,599
