word,count
да,1822
из,1463
гӏалгӏай,1400
шера,1333
белгалдаккхар,1184
тӏатовжамаш,843
тӏа,793
иштта,782
йола,749
дола,683
чу,677
цу,677
яхача,631
ба,630
хана,550
цун,546
шу,493
цӏи,473
цо,439
эггара,433
нах,429
ший,426
саг,410
ва,396
юкъе,382
йолча,382
на,376
аьнна,373
яха,372
уж,364
хул,364
дийнахьа,361
хиннав,355
хиннай,346
мехка,344
юкъера,341
ха,334
хӏаьта,331
долаш,328
ца,317
хинна,305
болх,304
денз,301
мотт,290
ча,286
ше,284
тӏехьагӏа,272
дукхагӏа,272
хьажа,267
юрт,266
дунен,265
литература,265
хиннад,263
республика,263
ди,261
хилар,259
юрта,256
бетта,250
паччахьалкхен,249
эрсий,247
чура,246
долча,246
йолаш,244
дукха,244
бола,238
оал,234
россе,232
гӏа,221
бахьан,216
санна,214
цунна,211
хӏама,210
тайпара,209
хьалха,208
гӏалгӏайчен,206
алапатах,205
дезала,203
совгӏа,203
цар,203
шолжа,203
мел,202
масала,200
по,200
км,197
хиннача,196
шерашка,195
хьа,193
цхьа,191
кхы,190
баха,190
цхьан,189
мара,187
дакъа,185
йиш,183
цаӏ,182
цига,182
хьалхара,180
меттала,179
цул,178
дӏа,176
волаш,175
бутт,175
кеп,171
лаьтта,170
моттиг,170
лоархӏаш,169
лаьттан,166
кхаччалца,165
хий,164
загат,161
деш,160
ма,160
тайп,159
хин,158
наха,157
тӏахьожаяргаш,157
даь,155
шоай,154
шахьара,153
нохч,151
вай,150
хила,144
керттера,144
шийна,144
хиннаб,143
гӏолла,142
дика,140
паччахьалкхе,136
сага,135
беш,134
тархьар,133
дош,133
маӏан,132
ши,131
алап,131
царех,131
къаьстта,129
хилча,129
яхаш,126
цӏий,124
латт,123
хӏамаш,122
юкъерча,120
де,119
деша,118
моттигаш,117
оон,117
географи,116
цох,116
тӏара,115
баьцовгӏаш,115
эрсечен,115
до,115
лоаман,114
царна,114
пхье,114
тӏаккха,113
къаман,112
массехк,111
къа,110
дезал,110
улл,109
чӏоагӏа,108
кавказа,108
аьлча,108
цхьана,107
лаьца,107
болаш,106
не,106
ӏилман,106
тайпа,106
укх,105
форда,104
шин,103
ссср,101
бахархой,101
ваьр,100
гӏалгӏайче,100
административни,100
аль,99
нанагӏала,98
халкъашта,98
цӏераш,97
бе,97
метта,97
мохк,97
вола,97
болча,97
дог,97
эрс,96
пайда,96
цӏихеза,96
кхыча,95
пхьа,95
малхбоалехьа,94
ваьв,93
дода,93
дац,93
хӏанз,93
цудухьа,93
волча,92
гӏала,92
от,92
форд,91
лоархӏ,90
хьадаьннад,89
буро,89
коазой,88
алапат,88
система,88
алапата,88
деза,87
ӏилма,87
доацаш,87
тӏехьа,86
наьсарен,86
гаргга,85
гӏча,85
роман,85
бусалба,84
дийнатий,84
халкъа,84
сурт,83
как,83
вахар,82
дега,82
официальни,81
для,81
юкъ,80
йоаца,80
дар,79
дуне,79
культура,79
федерацен,79
тайпарча,79
малхбузехьа,79
балха,79
даьла,79
га,78
бусулба,78
никъ,78
шоллагӏа,78
зӏамига,78
дийнаташ,77
аре,77
цхьабакъда,77
хьал,76
наьсаре,76
латташ,75
баьцовгӏай,75
гӏинбухера,74
ду,74
или,74
резолюци,74
ӏарбий,73
нохчий,73
хӏара,73
юрташ,73
хьежжа,73
бакъда,73
оалхазараш,72
что,72
керда,72
тӏема,72
даькъе,72
дешар,72
нана,71
вешта,71
шахьар,71
белгалдаьккхар,71
леладу,70
духьа,70
также,70
дуккха,69
хӏанзара,69
советий,69
тоаба,69
йоккхагӏа,69
гуш,69
гӏулакх,68
са,68
хьалхагӏа,68
духьала,67
доккха,67
за,67
бӏаьшера,67
цӏерагӏа,67
йоазув,67
хиш,66
дерригача,66
тархьара,66
яхар,66
яц,66
амма,65
къамашта,65
юкъара,64
дешаш,64
вахара,64
йовлой,64
его,64
наьх,64
сердало,64
море,64
тӏом,63
ишта,63
