word,count
la,335382
di,209242
esis,144895
en,132009
de,120215
yari,79332
ma,75356
esas,64850
por,49746
evante,43618
mezvalora,43043
per,42988
segun,42238
til,38762
habitantaro,32624
urbo,32538
km,32386
mi,27220
ol,26699
pluse,25422
revenuo,25260
qui,24719
dil,24404
kam,22361
ed,21965
vivis,21429
omna,20428
qua,19865
mulieri,19831
da,19610
min,19572
habitanti,19372
kontado,19354
kun,19333
viri,19227
familii,19061
hemanari,18928
havis,18688
ye,18392
yaro,18211
ek,17985
singla,16579
usana,15408
personi,14758
od,14014
lua,13631
familio,13544
dum,13367
sub,13326
pri,13200
demografiala,13135
domo,13005
evo,12882
grandeso,12696
raso,12684
denseso,12681
lineo,12637
rasi,12591
hemanaro,12581
amerikani,12558
ne,12122
povreso,11921
altra,11476
havas,11298
lando,11231
du,10790
kontre,10634
urbeto,10363
provinco,10244
urbi,10065
kilometri,10026
prezidanto,9959
usa,9733
maxim,9695
individuo,9413
kom,9125
distrikto,9121
chefo,8232
komono,8118
jacas,7825
ke,7786
homi,7721
sen,7396
unesma,7207
geografio,7143
plura,7105
chefministro,7098
aquo,7095
referi,6942
yarcento,6868
habitis,6861
entote,6840
pos,6832
komtio,6798
unika,6722
indijeni,6669
nord,6645
il,6628
irga,6608
demografio,6604
domi,6601
kune,6591
muliero,6560
pueri,6524
habitesis,6492
equivalanta,6489
amerikana,6474
usani,6459
cirkume,6440
blanki,6433
procento,6433
latin,6401
sola,6377
spozulo,6363
hispan,6362
mariajita,6354
negri,6342
aziani,6298
capita,6291
granda,6286
adolecanti,6246
afrik,6242
ministerio,6216
insulani,6216
pacifik,6214
anke,6213
sud,6003
rezidis,5879
vilajo,5852
pro,5806
este,5457
regiono,5338
julio,5185
weste,5169
januaro,5087
divenis,5010
inter,4964
surfaco,4786
un,4747
kande,4670
marto,4665
multa,4618
piktisto,4600
franca,4567
plu,4549
junio,4546
stato,4538
decembro,4480
mayo,4473
polonia,4437
ilu,4404
nobel,4393
aprilo,4344
oktobro,4301
agosto,4299
februaro,4264
morti,4183
statistiki,4181
che,4164
septembro,4115
del,4102
novembro,4093
nulo,3891
duesma,3870
chefurbo,3795
germana,3785
francia,3722
dal,3676
milito,3668
li,3656
kalendario,3610
ak,3537
nomo,3477
historio,3455
sua,3435
skriptisto,3416
the,3373
europa,3347
komencis,3331
eventi,3262
parto,3255
ulu,3253
republiko,3231
nova,3214
ta,3196
es,3192
sole,3189
ad,3167
linguo,3166
laureato,3147
povas,3134
imperio,3132
tota,3127
sur,2987
ca,2985
naski,2913
usan,2818
distas,2802
sideyo,2774
kovresas,2759
warszawa,2730
nun,2729
importanta,2721
to,2673
britaniana,2647
białystok,2634
politikisto,2621
rejio,2611
an,2598
rejulo,2596
pose,2587
on,2582
rusia,2557
precipua,2479
exemple,2475
unionita,2473
su,2466
mondo,2434
rusa,2427
divenas,2419
kelka,2403
hispania,2390
extera,2313
komencinta,2310
dio,2297
el,2295
totala,2286
juliala,2239
aktoro,2238
germania,2209
nur,2193
centro,2190
ante,2183
podlakia,2161
yarmilo,2160
chef,2148
nuna,2147
eventis,2132
al,2123
bielorusia,2120
mezavalora,2119
angla,2097
italiana,2095
iowa,2075
mondomilito,2058
povo,2057
tamen,2035
papo,2032
romala,2019
algarismi,2016
viciebsk,1991
nomizita,1984
lu,1982
ordinara,1936
prezidanti,1929
minnesota,1899
loko,1884
lo,1872
brazilia,1853
ube,1848
lia,1832
ido,1811
alta,1804
braziliana,1789
lingui,1774
proxim,1760
łódź,1758
amerika,1751
existas,1732
insulo,1728
le,1727
olimpiala,1716
recevis,1712
hispana,1694
anciena,1694
romana,1690
guvernerio,1668
estala,1666
tri,1661
chefministri,1653
landi,1640
loki,1637
europana,1611
aktorino,1608
premio,1598
imperiestro,1585
konocata,1580
esar,1576
ludi,1560
do,1534
rivero,1534
tale,1531
uniono,1528
ligili,1524
of,1523
lasta,1522
sistemo,1510
batalio,1509
grupo,1505
john,1499
italia,1498
internaciona,1495
armeo,1485
kompozisto,1481
ganis,1477
missouri,1472
fluvio,1466
ofte,1463
ilua,1450
trupi,1443
kantisto,1439
mikra,1422
quale,1418
po,1417
nacionala,1410
epoko,1397
left,1391
inkluzite,1389
align,1387
nedependo,1382
chinia,1381
santa,1379
dii,1373
uzata,1368
fino,1357
depos,1353
duris,1352
formo,1345
komencas,1344
produktas,1342
japonia,1339
uzesas,1337
diversa,1327
teritorio,1322
oficala,1319
aktori,1310
anglia,1304
ula,1303
kansas,1300
ekonomio,1295
longa,1292
tenisistino,1282
afrika,1264
gregoriala,1262
insuli,1261
morto,1259
azia,1258
universitato,1242
ank,1237
quo,1228
populo,1214
fizikisto,1207
membri,1205
regioni,1204
muzikisto,1203
portugal,1200
futbalo,1199
literaturo,1195
partiso,1194
skriptisti,1190
ex,1187
rusiana,1185
tra,1185
muziko,1177
metri,1177
eventas,1176
suedia,1168
josé,1167
precipue,1164
charles,1161
urbala,1161
rejo,1160
frontiero,1159
tre,1156
fondesis,1154
milion,1149
nederlandana,1132
eklezio,1122
louis,1114
politikala,1107
korea,1107
paco,1100
videz,1099
sude,1099
altri,1097
kulturo,1097
sokółka,1096
polona,1095
germaniana,1076
administrala,1056
finlando,1053
alabama,1050
cirkum,1049
samatempe,1034
mil,1032
cinem,1027
kantistino,1027
paris,1022
periodo,1018
nederlando,1017
india,1015
konstituco,1011
new,1001
lor,994
quanto,986
city,984
stati,983
norde,983
unesmafoye,978
vorto,973
grekia,969
bisextila,959
olua,955
vivo,954
william,954
sovietia,946
mexikia,944
hungaria,943
kentucky,943
poeto,942
georgia,939
medicino,933
membro,928
sovietiana,926
se,925
jean,922
preske,920
ibe,920
komerco,919
oregon,915
george,912
komenco,908
ja,904
sama,903
chefa,900
indiana,899
quan,891
sequanta,889
multe,889
bona,888
konsistas,886
adminime,886
moderna,881
mortis,881
klimato,881
james,881
and,871
łomża,870
franciana,865
greka,864
apud,864
mondala,858
interna,857
religio,857
japoniana,852
kemiisto,850
ora,849
maro,846
tennessee,845
san,843
robert,843
vers,839
plusa,838
famoza,838
rivo,838
austria,830
parlamento,828
nedependanta,824
mezepoko,824
nacioni,818
ekonomiala,818
portugalana,817
finlandana,817
staciono,816
arjentinia,816
piktisti,814
paul,811
malgre,811
nombro,810
esquado,806
medalio,805
listo,803
onu,803
florida,799
lago,786
arto,786
filozofo,785
persono,781
london,781
kanada,780
ministro,777
naskis,777
litoro,776
nome,775
leon,773
sueda,772
in,770
soldati,764
mem,763
quar,762
verki,761
dinastio,761
politiko,760
distrikti,758
lokala,757
ordinare,754
elektesas,748
york,747
rock,745
joseph,745
vilajala,743
ica,741
tero,741
futbalisto,739
temperaturo,734
ter,733
grupi,732
illinois,732
westala,731
tempo,729
mm,727
naturala,726
datumi,726
finis,723
super,722
fondita,721
jacanta,721
publika,720
us,717
atako,715
kantisti,715
patro,712
moskva,709
rio,708
nacional,707
monto,706
domaro,702
populara,701
areo,700
latina,699
dania,699
generalo,698
populoza,698
libro,693
pakto,683
juan,682
uzas,679
kreis,676
altitudo,673
komandita,673
fiziologio,672
homala,671
baseno,671
yara,670
muzikala,670
aparis,668
lore,668
st,667
norvegia,665
revoluciono,662
von,662
propra,661
central,661
populi,661
filmo,658
aden,657
australia,657
quankam,656
norda,654
vinkas,653
itere,650
francisco,648
austriana,647
fiziko,645
filmifisto,645
militala,642
arivis,641
henry,641
podlaski,641
historiala,635
origino,633
homo,629
bielsk,629
van,628
parti,627
kolumbia,627
elua,627
kompanio,624
sive,624
chiniana,622
finas,622
skopo,621
kastilia,621
west,621
ekonomikisto,621
pagino,620
establisis,619
okupesis,619
roma,618
cienco,616
peru,615
sociala,614
organizuro,613
belgia,611
guvernis,611
klubo,611
bazala,607
naskinta,606
vietnam,604
diferanta,603
kreskis,602
kemio,602
richard,602
socialista,602
korto,602
situesas,600
militisto,599
ligilo,597
vinkis,597
bełchatów,596
hokeisto,595
poka,594
filiulo,593
araba,592
politikistulo,589
nam,588
nomar,587
movado,585
muzeo,584
avan,583
stroko,581
advokato,581
restas,580
dana,578
anno,577
komercala,576
chili,576
korpo,575
domini,575
ukraina,574
libera,570
thomas,570
mediko,568
kemiala,568
fondis,568
rumania,567
carlos,567
david,565
verko,563
nordo,561
vicina,561
situo,560
britanian,560
turkia,558
decidis,557
generala,557
centrala,556
sudo,556
manuel,556
kanadana,556
yen,552
israel,552
punto,550
portuo,547
popul,545
linei,545
muzikisti,543
tremo,543
laboro,541
fine,540
inkluzas,540
kontrato,540
kontenas,539
forta,537
dextra,536
stilo,535
mortas,534
navo,533
elementi,532
yarcenti,531
egiptia,531
atingis,529
kreesis,528
kalifornia,523
frua,523
kompozisti,521
chekiana,520
paraguay,518
pierre,517
britaniani,517
berlin,517
yuri,517
existis,516
vorti,516
serio,515
pakistan,513
paulo,511
pluvo,511
basa,510
aeroportuo,510
konkurso,510
ligo,510
sam,509
okupis,509
reda,508
edward,508
asumis,507
teritorii,507
enfluanto,506
marala,503
bazo,503
supra,503
skribis,500
nula,499
pedro,499
planti,498
bando,498
suwałki,498
animali,496
kolonio,496
guinea,495
konocita,495
kupo,495
konstruktesis,495
seoul,495
elekto,493
televiziono,493
lituania,492
revolto,492
konfero,490
kin,489
elekti,488
oklahoma,488
uruguay,486
mongoliana,486
produktis,486
karl,485
nordala,484
signifikas,481
uzo,481
rejimo,481
irlando,481
navi,480
rapide,479
partoprenis,478
lego,478
transporto,478
kristo,478
yuro,478
nivelo,477
triesma,477
kulturala,474
kurta,474
lora,473
duras,472
rurala,472
salvador,469
dia,469
komoni,469
judikesas,465
utensili,464
daugava,464
kreita,463
inauguresis,462
restis,461
idaho,461
vilajal,461
janeiro,460
religiala,459
los,458
influo,457
bulgaria,456
franci,456
ultre,455
estal,454
chambro,453
titulo,453
britania,452
teorio,452
agrokultivo,452
antonio,450
uzesis,449
yarala,449
sezono,449
romani,448
fakti,447
objekti,446
uzesar,445
yardeko,444
skolo,443
regno,443
lake,443
uzis,442
reprezentas,440
ligesas,439
formacas,436
me,436
ferovoyo,436
panama,434
frapas,434
apartenas,433
alonge,432
venezuela,432
germani,431
duimo,430
tenisisti,430
nazisti,430
programo,429
washington,429
kariero,427
konstruktita,426
deklaris,426
produkturi,426
studiis,425
amba,425
antiqua,424
suisa,424
soria,424
michael,423
fonto,422
teatro,422
nune,422
apartenis,422
bolivia,422
blanka,421
maria,421
projeto,421
kresko,420
tradicionala,419
iesu,419
radio,417
speci,416
komunista,414
edifico,414
templo,414
albert,413
cheka,412
povis,412
elektesis,412
monato,412
jan,411
pluvoza,411
posible,410
irak,410
sao,409
ciencala,408
kristana,408
probis,407
olim,407
est,406
fluvii,405
libri,405
vice,404
ankore,404
arjentiniana,403
hungara,403
santi,402
deklaras,402
siria,401
profesoro,401
industrio,400
rejino,400
foyi,400
parolata,399
reji,399
sundio,398
nigra,397
evis,397
metropolala,397
relati,396
world,396
yuna,396
komplete,395
ataki,395
deo,395
arthur,393
zelando,393
petrolo,393
militi,393
invado,393
matematikisto,391
martin,391
katolik,391
vintro,390
vilaji,390
ideo,389
sporto,389
komence,388
dek,387
cetera,387
friedrich,387
suda,386
oficale,386
