word,count
og,410711
að,230057
sem,193890
er,191913
var,145999
til,120265
við,83012
en,82374
um,82234
af,82133
hann,80632
með,70844
árið,61194
fyrir,58250
eru,56394
frá,56371
þar,48565
það,43464
eftir,42405
því,37575
eða,34255
ekki,33989
voru,33138
hún,31656
hefur,28614
verið,25512
þá,25181
þegar,24575
úr,24244
hans,23225
hafa,22916
þess,22806
út,22586
the,20546
varð,20177
einnig,20106
upp,19463
yfir,18721
sér,18539
fram,18177
íslandi,17864
þeir,16440
þeirra,14378
svo,14232
of,14099
hafði,13718
undir,13573
tilvísanir,12788
kom,12583
heimildir,12415
þeim,12200
þó,12140
sig,11984
meðal,11908
íslands,11862
tenglar,11729
fyrsta,11708
þau,11572
eins,11308
vegna,11046
milli,10687
tók,10589
hafi,10251
ár,10141
síðan,10126
þetta,9650
áður,9544
þann,9323
gegn,9247
síðar,9230
ára,8768
hennar,8622
aftur,8609
reykjavík,8565
hjá,8446
vera,8350
honum,8236
sínum,8028
tíma,7907
íslensk,7863
öld,7827
allt,7531
fór,7470
sinn,7428
saman,7392
mjög,7286
þær,7205
fyrstu,7148
getur,7024
janúar,7007
annars,6997
ásamt,6983
fyrst,6927
einn,6905
sé,6884
maí,6857
júní,6828
oft,6800
mars,6795
and,6682
má,6618
nú,6610
norður,6581
sína,6491
október,6382
sama,6366
hluti,6360
fékk,6323
aðeins,6304
efni,6288
inn,6269
september,6223
apríl,6160
suður,6082
eitt,6079
ágúst,6014
júlí,5999
nóvember,5911
desember,5876
bæði,5865
væri,5863
sinni,5858
de,5788
saga,5786
ef,5664
evrópu,5644
enn,5524
átti,5506
jón,5502
höfðu,5493
febrúar,5479
hins,5424
stjórn,5397
niður,5387
stað,5376
kr,5260
þannig,5249
öðrum,5239
koma,5201
þessi,5147
henni,5126
landsins,5117
innan,5068
árum,5063
grein,5036
auk,5002
íslenskur,4998
mikið,4988
hluta,4946
íslenskir,4933
geta,4883
sitt,4809
íslenskt,4730
dag,4649
forseti,4638
lag,4596
km,4559
kemur,4553
hægt,4530
in,4517
sá,4506
stofnað,4501
líka,4492
vann,4453
þessum,4451
orðið,4446
sögu,4420
samkvæmt,4419
komið,4419
þátt,4406
vegar,4397
sæti,4371
önnur,4358
sú,4332
heldur,4282
bandarískur,4269
notað,4244
hana,4235
kína,4210
aldar,4168
bandaríkjunum,4157
ein,4128
verður,4081
taka,4045
hóf,4037
new,3982
lauk,3953
urðu,3946
áfram,3942
hélt,3934
annað,3910
fyrr,3883
ársins,3882
íslensku,3858
bandaríkjanna,3856
fyrsti,3840
fólk,3838
talið,3819
texti,3782
átt,3762
fæddur,3759
áhrif,3757
stundum,3745
vel,3729
fædd,3718
sjá,3715
gerði,3709
austur,3698
gaf,3686
konungur,3684
is,3667
tengt,3640
segir,3628
menn,3612
gekk,3606
sagði,3588
manns,3560
vestur,3547
gera,3539
nær,3537
háskóla,3517
fræðiheiti,3514
komu,3488
land,3482
hófst,3447
tvö,3424
fleiri,3419
árinu,3401
knattspyrnumaður,3395
enda,3376
fimm,3367
nýja,3358
tveimur,3344
fyrri,3344
borgin,3331
meðan,3322
hefði,3322
finna,3296
leikari,3292
hlaut,3282
náði,3277
borg,3272
deild,3258
tekið,3256
stærsta,3252
tegundir,3243
öllum,3241
fara,3236
utan,3234
forsætisráðherra,3226
sonur,3226
lést,3224
íslenska,3179
lög,3167
john,3151
dreifing,3144
dæmi,3132
fóru,3119
nota,3091
jónsson,3090
sín,3075
tegund,3065
tvær,3060
halda,3054
oftast,3049
stóð,3030
mun,3020
öll,3018
fer,2995
seinna,2985
gegnum,2981
landið,2978
heimild,2968
án,2967
reykjavíkur,2962
helstu,2947
þessu,2946
eiga,2934
leið,2931
ég,2922
manna,2921
fá,2919
dæmis,2905
bjó,2889
rithöfundur,2887
hvort,2876
íbúar,2874
meira,2871
liggur,2867
eina,2863
seinni,2855
börn,2845
verða,2844
margir,2838
sínu,2834
york,2824
nafn,2818
gerð,2810
london,2805
gert,2792
segja,2783
heim,2770
borginni,2763
ameríku,2759
nafnið,2752
ári,2726
dáin,2724
metra,2720
lét,2717
nokkrum,2708
lék,2688
notuð,2672
sett,2665
fæddist,2663
hér,2660
hinn,2652
hátt,2651
embætti,2649
árunum,2638
borgir,2637
þriðja,2634
sex,2634
ný,2607
árin,2605
þekkt,2597
enska,2592
tóku,2585
mikil,2569
notkun,2569
formaður,2565
ítalíu,2559
hlutverk,2550
þúsund,2532
fyrrum,2527
alla,2527
þrátt,2521
stendur,2515
yfirleitt,2514
einkum,2511
aldrei,2497
stjórnmálamaður,2482
ensku,2478
