word,count
di,2896826
il,1495305
la,1415622
in,1110497
del,949487
che,769689
un,756718
della,726549
per,658974
nel,605650
con,539247
una,489882
da,475601
si,445443
le,444093
al,398132
dell,340453
dei,326327
alla,263608
non,255797
come,254021
nella,237700
delle,228289
più,224062
dal,223270
anche,203936
sono,198307
gli,185673
fu,179975
all,169980
ha,158567
ad,154622
tra,148577
cui,139981
lo,139602
era,135512
altri,133415
ma,133182
due,131157
dalla,130781
ed,129941
sua,128744
dopo,125979
anni,121805
suo,121267
parte,118341
prima,115838
degli,112411
the,105881
stato,105010
su,103769
de,96502
nell,95669
ai,92061
essere,91887
questo,90134
viene,79143
san,77677
progetti,76809
loro,76571
sul,75915
città,74955
comune,74826
nei,74706
film,74414
dall,73853
uno,72659
regia,72384
alle,72003
esterni,71458
collegamenti,71263
note,71159
primo,69034
serie,68049
secondo,66275
nelle,65444
solo,65070
venne,63973
secolo,63554
sulla,63507
se,63151
poi,62599
durante,62454
mentre,60811
storia,60615
nome,60511
dove,59889
italia,59156
of,58889
fino,57533
questa,57322
sia,56799
quale,56223
quando,56210
chiesa,54758
anno,54486
dai,53806
tre,52632
stesso,52471
dello,49291
molto,49259
può,48982
stati,48896
società,48686
grande,47440
alcuni,47241
seguito,46911
guerra,46848
erano,46431
contro,46188
furono,46099
suoi,45872
hanno,45674
aveva,45583
gruppo,44904
tempo,44328
fine,44040
quella,44036
stata,43221
così,42643
francese,42431
quindi,42052
tutti,41602
sempre,41596
volta,41530
negli,41522
vita,41420
roma,41081
abitanti,40793
seconda,40646
circa,40283
quello,39887
ancora,39677
ogni,38854
italiano,38574
altre,38458
oltre,38223
nuovo,37667
inoltre,37409
vi,37188
già,37169
dalle,37047
territorio,36821
album,36627
sotto,36421
periodo,36282
mondo,36080
via,35743
quali,35583
verso,35342
regione,35121
milano,34767
questi,34539
senza,34487
ii,33846
centro,33753
nazionale,33199
numero,32944
re,32816
ne,32782
opera,32780
fra,32617
famiglia,32329
quanto,32325
maggio,32287
modo,32282
provincia,32147
settembre,32051
sistema,32000
sue,31977
altro,31961
interno,31597
nuova,31556
proprio,31551
esempio,31467
giugno,31386
voci,31190
giovanni,31008
insieme,30743
invece,30718
agli,30509
stagione,30357
forma,30202
comuni,30166
fatto,29973
posto,29970
italiana,29788
marzo,29778
dicembre,29756
alcune,29623
maria,29595
tutto,29544
gennaio,29540
ottobre,29451
però,29416
morte,29411
luglio,29344
correlate,29311
tale,29298
situato,29292
causa,29258
evoluzione,29196
tuttavia,29192
infatti,29060
generale,28854
sede,28760
nord,28310
caso,28281
casa,27968
aprile,27881
oggi,27820
particolare,27464
primi,27382
base,27307
quattro,27259
novembre,27233
santa,27170
molti,27110
titolo,26351
agosto,26312
grazie,26041
aver,25737
febbraio,25728
produzione,25723
possono,25655
regno,25626
spesso,25438
fa,25409
presso,25390
and,25138
paese,25072
miglior,25041
governo,25020
demografica,24959
punto,24929
dipartimento,24925
attività,24711
corso,24545
isbn,24428
ultimo,24419
gran,24338
lungo,24207
sud,24060
opere,23959
bibliografia,23857
tutte,23606
versione,23506
squadra,23419
termine,23382
vengono,23029
mondiale,22927
trova,22906
maggiore,22870
epoca,22812
lui,22723
perché,22704
nello,22673
diversi,22646
sull,22629
origine,22627
queste,22501
francia,22411
inizio,22344
figlio,22212
campo,22054
finale,22049
