word,count
di,12771
ah,4337
ina,4212
fi,2577
we,1892
tu,1802
wah,1380
ar,1318
az,1147
wid,1037
bai,949
ahn,927
eh,780
jumieka,766
dem,745
frah,741
deh,715
ih,690
an,673
pah,671
wan,570
wahn,566
im,506
piipl,492
de,487
ab,473
ischri,464
se,450
konchri,444
nof,443
no,411
pravins,379
soria,376
laka,366
miunisipaliti,364
muos,353
stiet,335
kiah,334
wol,317
bout,315
yuuz,314
jumiekan,312
senchri,306
fos,296
weh,296
taim,294
wen,276
nuo,274
afta,271
niem,264
get,262
dis,257
languij,256
bot,253
askaadn,253
spien,251
mek,240
refrans,239
uu,238
ier,232
aal,231
tuu,230
ada,230
chuu,230
waar,230
kaal,226
faam,224
yuurop,224
sistim,223
difrah,219
azwel,216
the,216
muo,215
yunaitid,213
afrika,210
of,210
som,204
papyulieshan,201
sensos,198
ingkluud,195
wok,193
yuuman,192
paat,191
bitwiin,190
luokiet,189
kiastiil,189
inabitant,188
león,187
ailan,185
sout,185
wena,183
ine,182
bi,181
british,179
kiaribiyan,176
laif,174
rait,173
dat,170
panish,167
wa,167
naat,166
kolcha,161
sayans,160
wes,159
ieja,156
suoshal,156
piiriad,155
uoba,154
so,152
in,152
nomba,152
ingglish,148
juurin,147
wi,146
pan,146
nashinal,140
aat,140
rilijan,139
ena,138
die,138
nyuu,137
shi,137
empaya,136
gruup,135
kom,135
sens,135
refa,133
onggl,133
siti,132
ieria,132
wehn,132
aalso,132
myuuzik,131
griik,129
amoerka,128
frahn,126
chrii,125
westan,124
bies,123
iis,123
ripoblik,122
todi,122
and,122
kiapital,120
smadi,120
toerm,119
wod,119
fuos,118
milian,118
ihn,118
filasafi,117
french,117
maali,115
adaels,114
man,114
sin,113
choch,113
palitikal,111
kaman,111
frans,111
yuropiyan,111
mieja,110
kansida,109
powa,109
muuvment,109
sekan,106
fiil,106
dah,105
badi,105
taip,105
nieshan,104
madan,104
laa,103
ou,103
lan,102
tek,101
dehn,101
joerman,100
waata,100
latn,99
buot,99
riijan,99
ruoman,99
yuus,98
wehna,98
taat,97
divelop,97
wails,97
ingkluudn,97
parish,96
iej,95
sii,95
yuunian,95
senchral,94
bifuo,93
influens,92
yuunit,91
intanashinal,90
nachral,89
wie,89
op,89
baan,89
anda,89
it,89
tel,88
memba,88
enaji,88
si,88
kinston,87
laas,87
det,87
kaaz,87
lieta,87
ienshent,87
alduo,86
jaagrafi,86
papilieshan,85
hoerli,84
gobament,84
oert,84
jinaral,83
den,83
laajis,83
soh,83
diziiz,83
maruun,83
ai,82
nou,82
lichicha,81
blak,81
yuujali,81
wuoliip,81
migl,81
to,79
rong,79
klasikal,78
heni,78
go,78
istarikal,78
uman,78
ikanamik,78
stil,77
lib,77
ton,77
kindom,77
buk,76
kuos,76
pruoses,76
diskraib,76
jamaican,76
fram,75
raits,75
rizolt,74
chienj,74
griet,74
skuul,74
chaina,74
aaganizieshan,74
set,73
soch,73
ded,73
istuorian,73
outa,72
fain,72
uoshan,72
noftaim,72
divelopment,72
sasayati,72
terichri,72
eliment,72
fizikal,71
bigis,71
difain,71
tiori,71
sliev,71
liida,70
plies,70
rilijos,69
maita,69
simbal,69
mien,69
tong,69
muosli,68
liid,68
gad,68
fuud,68
amoerkan,68
rekaad,68
abjek,67
pahn,67
extablish,67
saabis,67
matiirial,66
fizix,66
spies,66
du,66
paas,66
matimatix,66
narieta,66
ofishal,65
muotaim,65
siem,65
ailant,65
afrikan,65
demaya,65
mongx,65
chaini,65
juu,64
provaid,64
jamaica,64
lingk,64
gens,64
nalij,64
paint,63
miin,63
lait,63
extoernal,63
mas,62
