word,count
cu,38316
la,33784
zoi,32913
ke,29600
de,19396
lo,18151
noi,16955
jbena,14948
moi,11625
merko,8505
gasnu,7610
xeldraci,7438
mrobi,6386
le,4523
to,4415
toi,4209
ci,3010
argau,2957
ni,2594
ko,2202
filo,2192
je,2167
sagygau,2093
brito,2070
bo,2059
finti,1917
se,1805
be,1698
gy,1560
fi,1478
no,1458
gi,1450
nu,1367
li,1303
zbagau,1175
zmiku,1143
me,1135
pamast,1073
remast,1054
cimast,1050
fraso,974
vomast,974
di,874
xamast,820
somast,815
mumast,812
liste,808
feimast,801
daumast,797
gaimast,775
bimast,773
zgifi,766
zemast,760
the,754
goi,737
dotco,667
ku,663
ka,633
kadno,620
kei,618
kelci,606
fasnu,603
poi,600
pi,512
ca,507
du,506
fa,503
so,482
pe,476
djedi,469
larcygau,450
xy,416
rusko,416
prenu,412
of,401
pemgau,395
skina,393
joi,390
john,386
ponjo,377
sagyfi,353
sralo,351
loi,349
pu,345
gugde,335
na,329
lonu,321
te,314
ji,311
italian,309
zei,298
bangu,296
zo,294
nanca,287
masti,282
re,281
lu,279
pa,279
cmacygau,276
zi,273
ro,264
drata,264
ja,263
cinta,262
fo,261
steci,256
and,249
ki,248
spano,248
ly,245
ije,244
xindo,244
ce,243
mu,236
termu,234
xelso,233
in,231
ba,226
terpilno,220
citri,218
ri,214
ne,211
ralju,210
sicko,210
pagbu,208
co,207
bi,207
robert,205
david,203
michael,202
da,201
cmene,200
lenu,197
james,196
fe,193
xabju,193
po,192
pilno,190
ratni,186
tcadu,183
remna,183
vo,181
binxo,180
eskegau,180
go,179
tutra,179
jmive,177
xamsi,177
traji,175
fy,173
xamgau,173
jgita,171
jinme,167
relxilma,167
igau,166
su,165
valsi,162
sunko,162
tu,161
sinxa,159
ge,157
by,156
richard,154
pijyskegau,154
zbasu,152
selratni,151
mexno,151
jo,150
paul,150
cmima,148
sy,145
osteraix,145
zgiterbe,144
barda,142
bu,142
cusku,141
gismu,141
javni,138
saske,137
krasi,136
william,135
dy,130
pipno,129
george,129
thomas,128
darxi,128
za,125
limgau,124
teryratni,123
sezga,123
minji,122
berti,121
bavlamdei,119
pamoi,118
terdi,118
purlamdei,118
vi,117
gundi,117
cirgau,117
kanro,115
girzu,113
charles,112
jean,112
terkunra,111
nolraitru,111
tapla,110
peter,110
zasti,108
kakne,107
draci,107
cputci,106
vu,103
vasru,103
iargau,102
cmaci,100
smuni,99
ze,99
lamji,99
trutca,99
ry,98
klesi,98
py,98
latmo,97
nederland,97
irgau,96
turni,95
snanu,94
midju,93
ra,92
mergu,92
tumla,91
sfe,91
ero,91
was,91
danlu,90
stuzi,90
gubyseltru,90
mutce,89
tadni,89
va,89
lee,89
polskas,89
skegau,88
merja,87
as,86
kensa,86
micygau,86
stuna,85
lei,85
lijda,84
ropno,83
sligu,83
jamna,83
namcu,82
ciste,82
ve,82
sluji,82
ma,81
henry,81
ta,80
jungo,80
jatna,80
romanian,80
munje,79
