word,count
ing,304336
lan,189070
kang,91453
iku,83630
sing,75352
saka,64124
ingkang,56719
kabupatèn,54344
iki,53731
taun,51497
uga,50535
minangka,46155
kanggo,44869
punika,43114
désa,41164
kanthi,37163
ana,36747
utawa,35850
dadi,34707
jawa,33354
indonésia,32724
karo,29057
bisa,28770
the,27788
kacamatan,27767
nalika,27484
pranala,26942
wonten,26403
kutha,25851
déning,23785
ora,23338
yaiku,23162
basa,23105
saking,22829
ya,22505
provinsi,22504
of,21643
njaba,21304
tengah,20822
wong,19673
kabiskopan,18411
salah,17266
nanging,17226
situs,17006
dhèwèké,16390
delengen,15240
inggih,14879
wis,14665
kidul,14379
wétan,14261
resmi,14045
kaya,13724
siji,13207
rujukan,13120
duwé,13047
réferènsi,12743
kasebut,12536
nganti,12431
kaliyan,12398
filem,12289
sawijining,12043
lair,11924
dados,11709
amarga,11672
paling,11415
luwih,11247
banjur,10935
para,10819
tanggal,10800
and,10751
wiwit,10369
kanggé,10200
jinis,10163
suku,10066
jeneng,10047
ugi,9715
nurwègen,9584
cathetan,9565
inggris,8960
referensi,8871
nganggo,8862
panganan,8786
kalebu,8703
nagara,8615
menyang,8598
mau,8579
sajeroning,8559
kulon,8370
in,8363
papan,8291
kaping,8139
marang,8115
dening,8013
wewengkon,7863
utawi,7854
dan,7849
akèh,7738
de,7720
jepang,7681
indonesia,7672
lor,7667
pratélan,7611
donya,7605
main,7535
bal,7353
babagan,7308
kalimantan,7297
déné,7188
gadhah,7152
saged,7113
setatsiyun,7108
ta,7082
yèn,7003
sisih,6953
piyambakipun,6950
tembung,6919
jalur,6842
padha,6829
to,6772
ning,6680
saiki,6671
bahan,6632
di,6609
liyané,6539
agung,6484
daging,6470
menika,6406
film,6380
balan,6359
wujud,6326
sampun,6260
miturut,6254
jakarta,6246
sawisé,6223
boten,6194
diarani,6035
cara,6012
nasional,5874
pérangan,5852
pulo,5824
saben,5759
gunung,5750
juru,5675
bakal,5664
sepur,5499
kalurahan,5490
gedhé,5448
walanda,5401
banyu,5270
saha,5250
sekolah,5225
asring,5186
isbn,5177
mangsa,5175
warna,5158
ii,5156
cilik,5106
sajarah,5051
sarékat,5044
mung,5037
dina,5034
utama,5025
jaman,5008
tiyang,4995
perang,4985
macem,4979
al,4968
bali,4890
urip,4873
on,4831
prancis,4812
tokoh,4801
misuwur,4774
amérika,4768
laladan,4767
abad,4766
kabupaten,4745
umum,4741
karya,4674
an,4655
dhéwé,4644
anggota,4639
jam,4632
satunggaling,4629
antarané,4613
digawé,4609
jerman,4600
universitas,4588
jaba,4499
buku,4490
kali,4490
wektu,4441
musik,4380
artikel,4380
liya,4373
manungsa,4364
praja,4355
anak,4352
isih,4334
kados,4311
lajeng,4295
raja,4294
digawe,4287
web,4255
tim,4248
langkung,4245
supaya,4239
lintang,4211
km,4146
data,4135
dhuwur,4122
sumber,4077
budaya,4061
semarang,4026
amargi,3980
séda,3964
jiwa,3938
masakan,3933
loro,3905
manèh,3899
banget,3890
pirang,3870
mawa,3866
dheweke,3856
islam,3845
apik,3844
liyane,3836
oktober,3823
kabèh,3808
for,3804
dumunung,3777
sistem,3772
dhateng,3772
putih,3692
klub,3691
maret,3688
wilayah,3688
lagu,3685
dhusun,3685
pamain,3684
digunakake,3675
masarakat,3626
biskop,3626
new,3596
sarta,3566
kathah,3558
piranti,3555
kulawarga,3540
januari,3540
april,3512
cina,3511
taman,3480
juli,3480
tlatah,3466
juni,3466
tau,3425
anyar,3411
aksara,3391
biasane,3384
bab,3382
sadurungé,3379
asia,3352
fuller,3351
sastra,3347
org,3343
desember,3342
yogyakarta,3329
iwak,3326
prastawa,3319
ndunungi,3307
ukuran,3307
sawetara,3306
nggunakaké,3301
dikenal,3298
