word,count
და,544598
წლის,137643
წელს,125925
იყო,93503
ის,81000
რომელიც,69285
რომ,62567
შემდეგ,58550
მისი,58365
რესურსები,54483
ინტერნეტში,54152
ამ,47527
სქოლიო,43136
იგი,42029
არ,41093
საქართველოს,39224
როგორც,37997
ერთ,37948
ერთი,35295
ასევე,33437
ეს,33076
კი,32887
წლებში,32851
არის,32140
პირველი,31684
ხოლო,31408
დიდი,30992
შორის,30921
კმ,29844
სხვა,28989
მას,28901
აგრეთვე,28784
ლიტერატურა,28304
დაბადებული,28045
მათ,27283
ან,26451
მიერ,25004
მდებარეობს,24973
დროს,24054
მან,23790
მეორე,22330
თუმცა,22268
მაგრამ,21582
ყველაზე,21508
გახდა,21423
სადაც,21342
მის,20954
სახელმწიფო,20457
ერთად,20449
მოსახლეობა,19872
სამხრეთ,19796
იხილეთ,19521
ეროვნული,19059
წლიდან,18819
აქვს,18696
რაც,18403
საუკუნის,18329
ახალი,17968
მხოლოდ,17851
ქართველი,17836
მსოფლიო,17641
ორი,17149
რომლებიც,17093
შესახებ,16725
ზე,16675
უფრო,16302
გარდაცვლილი,16282
მოსახლეობის,15981
მიხედვით,15912
რუსეთის,15910
დაიწყო,15823
ქართული,15529
რომლის,15510
ქალაქი,14932
გამო,14868
სხვადასხვა,14809
მიიღო,14746
საერთაშორისო,14712
რომელსაც,14632
სოფელი,14556
მონაცემებით,14357
მუნიციპალიტეტის,14340
რამდენიმე,14193
მათი,14026
თავის,13906
ზღვის,13846
თავისი,13832
ისტორია,13712
ყველა,13630
აშშ,13595
მეფე,13533
საბჭოთა,13462
სამხედრო,13361
როდესაც,13253
ნაწილი,13179
თუ,13034
ადამიანი,12905
უნდა,12584
ეკლესია,12515
მთავარი,12424
ფართობი,12312
იმ,12209
თბილისის,12048
საქართველოში,11933
ოფიციალური,11905
მე,11883
ადამიანს,11860
ისინი,11838
ცნობილი,11601
აღმოსავლეთ,11522
მდინარე,11450
დასავლეთ,11315
ჩრდილოეთ,11266
ომის,11195
შეიძლება,11168
ში,11061
დე,10906
აღწერის,10821
შედის,10740
წევრი,10608
სოფლები,10508
რაიონის,10374
ქვეყნის,10249
მუნიციპალიტეტი,10239
განმავლობაში,10179
მიუხედავად,10169
ქალაქ,10075
პერიოდში,10006
ქალაქის,9955
შემადგენლობაში,9909
რესპუბლიკის,9847
მუნიციპალიტეტები,9840
დაახლოებით,9802
იქნა,9781
საუკეთესო,9769
შეადგენდა,9675
მცირე,9671
რაიონში,9670
კიდევ,9485
სია,9484
სახელი,9445
ამერიკელი,9431
ჰქონდა,9308
დონიდან,9299
ძვ,9263
წინააღმდეგ,9188
რომელმაც,9169
პოლიტიკური,9071
საიტი,8922
ძველი,8909
შუა,8824
სამეფო,8706
შედეგად,8703
ამის,8653
იანვარი,8646
წარმოადგენს,8595
გარდაიცვალა,8584
ხშირად,8572
დაიბადა,8453
სამი,8406
ეკლესიის,8394
უნივერსიტეტის,8340
ფეხბურთელები,8312
წლამდე,8294
წლების,8273
მარტი,8232
ბიოგრაფია,8123
თბ,8062
წმინდა,8002
რის,7991
მოგვიანებით,7951
პირველ,7940
თებერვალი,7926
პროვინციის,7892
გარდა,7886
ძირითადად,7860
თანამედროვე,7860
საკუთარი,7843
მიეკუთვნება,7834
შეადგენს,7821
ევროპის,7801
იყვნენ,7798
ვერ,7779
აქ,7776
ოქტომბერი,7757
მნიშვნელოვანი,7674
ტიპის,7638
ადმინისტრაციული,7610
აპრილი,7564
მეტი,7527
მაისი,7500
დეკემბერი,7495
აგვისტო,7474
გიორგი,7468
საშუალო,7468
ნაწილში,7461
ჯერ,7453
ივლისი,7421
სექტემბერი,7391
ნოემბერი,7389
ალბომები,7372
ტერიტორიაზე,7354
აზერბაიჯანის,7309
ადგილი,7288
მესამე,7229
არიან,7208
თბილისი,7134
საფრანგეთის,7122
ძირითადი,7101
იან,7094
რადგან,7057
ივნისი,7045
მუშაობდა,7041
პირველად,7039
რაიონი,7003
უმაღლესი,7000
სახელობის,6978
საერთო,6975
უკვე,6963
ქალაქები,6937
კავშირის,6923
კაცი,6871
საბჭოს,6860
ია,6845
ამავე,6843
სამეცნიერო,6825
მთელი,6776
დიდ,6776
მოიცავს,6759
სოფლის,6745
ფილმები,6715
სოფელ,6705
კლასის,6704
ცენტრი,6680
გამოვიდა,6648
არა,6624
მუნიციპალიტეტში,6560
გვ,6558
ჩრდილო,6522
წელი,6476
ძალიან,6373
ცნობილია,6349
მონაცემები,6348
მდე,6260
არსებობს,6248
საუკუნეში,6233
პატარა,6193
მრავალი,6183
რომის,6180
ჯგუფის,6159
შეიქმნა,6153
სწორედ,6079
ორ,6039
ალექსანდრე,5986
ცხოვრობს,5974
დაამთავრა,5954
ქალი,5933
მეტრზე,5867
ინსტიტუტი,5866
რომელშიც,5860
სოფელში,5745
დღეს,5728
განსაკუთრებით,5728
კვლავ,5726
მაღალი,5719
საფეხბურთო,5698
რათა,5669
რაოდენობა,5636
ალბომი,5635
ორივე,5628
იანი,5597
თითქმის,5576
ბრაზილიის,5575
ფილმი,5560
ამერიკის,5511
მარია,5511
სახალხო,5460
სსრ,5458
სიმჭიდროვე,5455
ძეგლი,5433
რეგიონის,5427
ცენტრალური,5396
ისტორიული,5380
იმავე,5370
იმპერიის,5337
ადამიანის,5332
მემკვიდრეობის,5302
გერმანიის,5300
ხელოვნების,5293
მეცნიერებათა,5292
ბოლო,5276
სახით,5234
საბოლოოდ,5224
აღმოსავლეთით,5209
მსოფლიოს,5187
ცხოვრება,5165
მსახიობი,5101
მაგალითად,5100
ძე,5077
შვილი,5052
მა,5030
სიმღერა,5016
ოქროს,4995
სსრკ,4988
თბილისში,4978
ოლქის,4974
სომხეთის,4954
შტატის,4949
პრეზიდენტი,4946
ადგილობრივი,4943
ჯგუფი,4912
ინსტიტუტის,4910
ბოლოს,4894
მოღვაწე,4891
არსებული,4848
პროვინციაში,4805
საკმაოდ,4788
გადავიდა,4773
პარლამენტის,4762
კულტურის,4748
თავად,4745
შექმნა,4738
ხდება,4731
ამჟამად,4709
სულ,4702
შედგება,4689
ისე,4687
დან,4661
ასაკში,4656
