word,count
hám,10585
an,10459
menen,4719
ha,3208
bul,3083
bir,2802
ol,2650
da,2523
bolıp,2495
ın,2454
jıl,2345
ushın,2248
shı,2109
bol,1868
jılı,1605
de,1517
dep,1470
ko,1443
ma,1414
jılda,1312
jaylasqan,1261
onıń,1220
ja,1148
bar,1125
óz,1099
basqa,1070
birinshi,1068
xalıq,1049
edi,1032
eń,1025
ta,1004
qaraqalpaq,994
boyınsha,982
ózbekstan,982
qaraqalpaqstan,981
al,948
derekler,935
mámleket,919
yamasa,896
bolsa,882
boladı,863
keyin,860
shekem,848
iye,833
respublikası,832
biri,809
payda,808
sol,795
joqarı,770
adam,755
haqqında,746
tu,742
milliy,720
tárepinen,712
úlken,709
eki,698
qala,684
aq,683
esaplanadı,678
arqa,664
olar,657
boldı,650
hár,641
alıp,636
islep,633
belgili,625
bolg,623
birge,606
ında,605
tiykar,603
jıldan,598
tili,596
jer,596
biraq,588
degen,586
penen,583
etip,577
kóp,576
siltemeler,563
kúni,548
qubla,542
km,541
ana,537
jańa,533
bas,531
orta,530
to,527
arqalı,513
bo,510
anda,500
kelip,499
mu,496
qalası,495
retinde,493
ba,483
sonday,478
en,476
so,476
ekinshi,476
sıyaqlı,475
kórkem,472
shıg,468
suw,468
múmkin,459
qa,458
ıs,458
mámleketlik,458
baylanıslı,443
barlıq,441
sonıń,441
tashkent,441
qalasında,440
xalqı,435
tiyisli,434
emes,428
usı,427
jıllarda,425
etedi,418
aldın,413
ilimiy,410
tabıladı,408
atı,406
paytaxtı,404
ibarat,403
tek,403
iri,401
onı,400
arasında,399
sanı,396
baslap,395
baslı,395
jáne,390
atır,388
ulıwma,385
aziya,383
onın,381
mámleketler,376
olardıń,374
házirgi,369
ku,367
ju,366
qor,364
adamlar,363
kelgen,362
qara,361
bolıwı,359
tuwıl,350
du,349
evropa,347
the,345
dúnya,340
etken,339
túrli,339
jaqsı,337
alıw,336
beredi,333
awıl,332
rossiya,329
túrkiya,327
qalaları,325
wálayatı,325
dárejeli,325
ekonomikalıq,322
aladı,321
mıń,321
qarsı,317
sh,316
óziniń,315
soń,314
ótken,309
futbol,309
áyyemgi,308
sebepli,307
ya,306
batıs,302
orayı,302
turadı,301
jaqın,301
qayta,300
jáhán,300
neshe,299
kerek,297
jılları,296
keledi,294
su,292
etilgen,292
ortasında,291
nıy,290
na,290
dáslepki,290
yaki,287
tábiyiy,287
germaniya,287
tiykarında,286
sıpatında,285
ata,285
kóplegen,285
waqıtta,284
aralıq,284
ullı,280
shayır,279
jerde,277
keń,277
amerika,276
dawamında,276
keldi,275
ına,273
jol,273
basladı,273
tilinde,272
jıllar,272
ayma,271
sebebi,271
qol,270
xalıqaralıq,270
of,269
kishi,267
oqıw,265
qıtay,264
ishki,264
nókis,264
tolıq,262
xızmet,261
ız,259
ishinde,255
sóz,255
siyasiy,255
tariyxı,254
tiykarınan,253
sport,253
den,252
kiredi,251
arnawlı,251
ámelge,250
ataladı,248
aldı,246
ataqlı,246
bunday,245
alın,244
mısalı,244
ten,243
túrde,241
ınıń,241
domen,241
dawam,239
million,238
shıqqan,237
in,237
ınan,235
bólegi,234
jıldıń,234
sv,234
ózbek,233
tez,233
lıwmatları,233
qabıl,232
kóre,231
whois,229
ne,227
basqalar,227
sawda,227
ásir,226
sırtqı,226
jas,225
ay,225
qal,223
arıw,223
atap,222
miynet,222
aw,222
ayırım,221
kún,221
xalqınıń,219
iana,219
bunnan,218
el,216
jan,215
oraylıq,215
toppdomän,215
may,214
internet,214
rásmiy,212
óner,211
qanday,210
shama,209
rus,209
til,208
arab,208
on,208
júz,208
orın,206
qatar,206
ortasha,206
waqıyalar,205
etti,205
aqsh,205
respublikasınıń,205
joq,204
jeke,204
tariyxıy,203
júdá,203
geografiyalıq,203
anlar,203
atında,203
úsh,202
ret,202
bilim,201
ara,201
qazaqstan,201
waqıt,200
teńiz,198
rayonı,197
keyingi,197
onda,197
beriw,197
ge,197
tán,196
jaslar,196
jergilikli,196
jumıs,194
lken,194
aytqanda,194
altın,193
ishine,192
anı,192
jaz,192
qıylı,192
eger,192
ni,191
mln,191
áskeriy,190
at,187
tuwrı,184
ıp,183
men,183
maydanı,183
tısqarı,182
prezidenti,182
búgin,182
ga,181
qaray,181
ayında,181
gu,180
dáwirinde,180
tilleri,180
com,180
burın,177
qır,177
balalar,177
az,176
ózi,175
social,175
quraydı,174
jıllı,174
tom,174
jag,173
rayonında,173
ótiw,173
qız,171
anlı,171
do,170
yarım,170
qurıl,169
ásirdiń,169
