word,count
deg,16474
en,9916
ad,7196
is,6389
di,5072
as,4387
seg,3838
er,3696
ur,3651
ta,3507
ef,3456
ar,3455
ne,3244
an,3180
ara,2734
at,2547
da,2509
nni,2493
akken,2491
ay,2443
id,2373
ye,2286
tmurt,2022
ma,2019
tt,2008
am,1939
al,1896
iwant,1782
ass,1754
kra,1650
akk,1648
yiwen,1594
useggas,1584
wa,1562
gar,1544
isem,1499
llan,1455
nsen,1455
yiwet,1443
yella,1404
maca,1294
ti,1287
la,1245
twilayt,1241
te,1232
mi,1202
in,1190
yimezda,1154
zed,1150
wis,1141
ines,1140
tutlayt,1140
de,1120
agi,1066
kan,1050
le,1042
ayen,1027
ed,1019
yakk,1017
ul,997
imi,993
anda,989
ugafa,984
lezzayer,966
taddart,965
sin,946
im,940
ismawen,935
yes,920
yellan,916
wid,898
si,896
tizi,888
yi,874
tu,870
azal,868
tama,866
it,866
tutlayin,857
akked,828
un,811
yu,811
assa,809
me,806
yerna,780
tamdint,778
tella,768
sen,759
imezda,755
win,733
yal,732
tallit,727
tamurt,725
fransa,715
asen,709
telmas,692
tis,622
afaren,619
li,612
tmazi,611
tilmas,606
ersiwen,605
iseggasen,596
el,583
rabt,565
wakken,562
mu,558
amezruy,555
ten,553
tes,550
netta,549
tezga,542
tin,541
km,534
tudert,531
tawacult,522
ussnan,521
qqaren,512
af,511
teqbaylit,510
nnes,510
bu,508
snat,507
ilul,505
ra,503
acku,502
ula,498
ama,496
belli,495
imazi,494
yernu,494
iyen,483
wen,478
temdint,478
leqbayel,476
tamane,474
yennayer,470
wass,459
et,457
il,446
tawsit,445
meqqren,442
iwanin,442
ameqran,435
zik,431
ugar,429
twacult,428
aseggas,426
tamana,417
deffir,416
tefransist,415
we,412
medden,410
tal,404
sidi,402
ya,397
fell,390
mgal,390
ri,389
uma,385
tefriqt,379
wussan,378
talmest,378
ger,375
llant,375
tmura,374
temna,374
taggara,372
wazal,363
yeddukklen,363
armi,362
tura,362
acu,362
yemmut,361
tiwelhiwin,357
awal,356
paris,355
yim,355
tira,354
asmi,353
timdinin,352
imniren,347
yezmer,346
