word,count
нэхъ,1342
гъэм,1134
хы,893
хэт,652
зы,574
урысейм,558
км,558
абы,554
гъ,554
къуалэбзу,548
ауэ,542
адыгэ,512
адыгэхэм,510
хуэдиз,505
къалэ,484
къэрал,475
абым,469
мэхъур,469
щыт,464
тхылъхэр,452
щыщ,429
къэралым,428
лъэпкъым,415
теплъэр,414
лъэпкъ,409
щӏэныгъэр,387
брат,386
хьэсин,386
ар,378
лъэпкъыгъуэ,363
деж,343
щӏыпӏэм,337
еуропэм,335
къаукъазым,330
къэбэрдей,319
иэ,312
краснодар,309
техьэпӏэхэр,298
яуж,295
ишъхъэрэ,294
абыхэм,290
ящыщ,286
къуэкӏыпӏэ,284
псыхэр,282
шъхьэкӏэ,279
ипшъэ,273
кӏыхьагъыр,273
псы,267
мэхъу,266
ищхъэрэ,265
лъэхъэнэм,262
нэс,261
мин,257
цӏыху,254
илъэс,253
крайм,253
бз,245
къаукъаз,244
см,244
нэхъыбэм,238
щопсэу,236
хэлъадэу,236
къ,235
лӏэужьыгъуэ,235
хэж,233
ӏусыр,230
африкэм,229
азиэм,227
ди,225
джоуэ,225
лъэныкъуэм,220
мы,218
псыщ,216
здэпсэухэр,214
черкеск,211
идежь,208
дунем,206
куэд,194
балъкъэрым,193
лӏэужьыгъуэщ,192
къэрэшей,189
республикэ,188
куэду,186
америкэм,182
лъэпкъхэр,180
черкесск,180
жыг,179
хуэду,174
ипщэ,174
щӏыпӏэ,172
ӏуфэм,170
пэмыкӏыу,169
ахэр,169
папщӏэ,169
псом,168
лъэпкъыр,167
кӏэ,167
яужым,166
рэ,166
къалэм,166
ин,164
курыт,163
республикэм,161
хым,158
мэз,158
зи,157
адрей,156
къуапэ,155
нэхъыбэр,154
иджырей,154
зауэ,150
щытхэ,148
хэту,146
гъэхэм,146
урысей,146
бжыгъэ,143
икӏи,142
шэрджэсым,142
япэрей,142
хэкум,141
хэкумэтх,141
иджыри,140
джылу,139
хэку,139
фӏыуэ,138
псым,138
тхыдэр,137
щыкӏэдзауэ,137
ипшэ,136
езы,135
цӏыкӏу,135
тхышхуэм,135
зауэм,133
лъэгагъыр,132
къэкӏыгъэ,131
бжыгъэр,130
фӏыцӏэ,129
тхыдэ,128
щытщ,127
щогъуалъхьэ,127
гулъытыгъуэ,126
хъуар,126
кусэ,126
япэ,125
махуэ,123
щӏагъыр,123
щӏыпӏэхэм,121
цы,120
сурэтылъэ,119
инагъыр,118
хъуа,118
гъэ,118
къухьэпӏэ,116
гулъытэгъуэ,116
зэманым,115
нэгъунэ,115
тхылъ,115
псалъэ,115
тхыцӏэр,115
дэсыр,114
дунейм,114
цӏэр,113
къыхожщ,113
псалъэм,112
дыдэ,112
нэгъуэщӏ,111
азиэ,111
дежь,111
ныбэ,111
нэхъыбэу,110
щыта,110
удз,108
теухуауэ,107
цӏэрыӏуэ,107
къуапэм,107
мэзхэм,104
джылэ,103
щытащ,103
лъэныкъуэ,103
лъэныкъуэмкӏэ,102
ину,102
пэмыкӏ,102
апхуэдэ,101
фӏыцӏэщ,101
ашз,100
урыс,100
джылэр,99
нэмыщӏ,99
хужь,98
нэхъышъхьэр,97
къыщыкӏэдзауэ,97
чемпион,97
хохьэ,96
ишхъэрэ,96
хъууэ,95
къуажэ,95
дуней,95
ящыщу,95
де,94
абгъуэ,94
къуэдзэ,94
гъэмкӏэ,93
нэ,93
мазэ,92
зэхуакум,92
пщы,92
област,92
лъэпкъхэм,91
къуэ,91
къэралыр,90
цӏэ,90
лъэпкъщ,90
нэхърэ,89
ур,89
щӏымахуэр,89
зауэр,88
етӏуанэ,88
къэралхэм,88
илъэсым,88
хужьщ,88
япэреуэ,87
дамэ,87
къалэр,87
щыщу,86
нэхъышъхьэ,86
бзэ,85
щхъуэ,85
куэдым,84
пэсырей,84
къедзыгъуэ,83
дунейпсо,83
нэхъыбу,83
лъэныкъуэр,83
жылэ,82
хъуам,82
псыхъуэм,81
еуропэ,81
млн,81
цӏыхум,80
къуажэм,80
къуэкӏыпӏэмкӏэ,80
теплъэкӏэ,80
официал,79
щыту,79
щымыхъукӏэ,78
щыгъуэ,78
щыӏэщ,78
тӏыгу,78
куей,77
кӏыхь,77
ӏуфэхэм,77
шӏыпӏэ,76
къуэхьэпӏэ,76
носыр,76
шӏыпӏэр,76
алтай,76
сайт,75
щыӏэ,74
совет,74
пэ,74
нэхъыщхьэу,74
гъуабжэ,74
фӏыцӏэм,73
ис,73
гуп,72
лъэныкъуэхэм,72
ӏэнатӏэм,71
дзэр,71
цӏыхухэм,71
хуэдэу,71
метрэ,71
налшыч,71
псэущхьэ,70
лат,70
теплъэ,70
зиӏэ,69
ирокӏуэ,69
кг,68
шӏыпӏэм,68
абгъуэр,68
мазэм,68
ипэкӏэ,67
иде,67
щыщщ,67
тхыдэм,66
губгъуэ,66
мэлъэтэж,66
империэм,65
ӏэнатӏэр,65
яужкӏэ,65
нэсу,65
нос,65
губгъуэхэм,65
тетщ,65
джэрмэным,64
къэс,64
сайтыр,64
ӏус,64
лъакъуэ,64
гъуэжь,64
нэхъыщхьэр,64
лъэхъэнэхэм,63
хьэблэ,63
индиэм,63
бадзэуэгъуэм,63
бжыгъэкӏэ,63
къыздэкӏыр,63
тыркум,62
цӏыхухэр,62
псыр,62
лэжьыгъэ,61
мащӏэу,61
къуэхьапӏэ,60
къыхэкӏыу,60
хабзэ,60
курытым,60
гъэмахуэм,60
ӏуащхьэхэр,60
щхьэр,60
хэкӏыгъуэм,60
щыщӏэдзауэ,59
езым,59
хьэкъун,59
щытыр,59
унафэ,59
шы,59
тет,59
федерал,59
лӏэужьыгъуэхэр,59
абазэ,58
псори,58
къалэхэр,58
тӏыгухэр,58
нэхъыщъхьэр,58
щхьа,58
шъхьакӏэ,57
хьэрып,57
администрациэ,57
индиэ,57
пэм,57
хуит,57
дунейпсом,57
псоми,57
эспаниэм,57
хъухэм,57
къэкӏыгъэцӏэхэр,57
ӏэпапӏэ,57
дэт,56
зэ,56
джылэм,56
хуиту,56
африкэ,56
хышхуэм,56
хъыбар,56
хэлъу,56
лъакъуэхэр,56
федерациэм,56
щӏымахуэм,56
пӏащэщ,56
дэсхэр,55
бэуэ,55
америкэ,55
къудамэ,55
фэр,55
щхьэкӏэ,55
тэрч,55
унэбзу,55
къыщӏож,55
адыгэхэр,54
джэрмэн,54
ащ,54
дэкӏыгъу,54
макӏыу,54
бзу,54
гу,53
дзэм,53
диным,53
щытт,53
анэм,53
хъутейм,53
къуапэр,53
мрэ,52
макъыр,52
унэ,52
лӏэужьыгъуэхэм,52
бжыгъэм,51
ӏузэв,51
нэхъри,51
къедзыгъуэм,51
тхылътедзапӏэ,51
фокӏадэм,50
куейм,50
нэхъыбэ,50
кӏыхьу,50
тетыр,50
мыхьэнэ,50
хиубыдэ,50
дамэхэр,50
ӏуащхьэщ,50
бзэхэр,49
латин,49
къыщыщӏэдзауэ,49
гъунапкъэхэр,49
фрэндж,49
уэрэд,49
ӏыхьэ,49
мира,49
кӏедзэ,48
дзэ,48
мащӏэ,48
ит,48
дин,48
хэкумэтхыр,48
