word,count
taa,22886
na,19441
se,9551
nd,7698
yaa,7426
ma,6590
ja,5369
mb,4845
kp,4350
ŋg,3774
la,3554
paya,3475
fena,3251
nz,3099
pa,3095
ya,2817
ŋga,2469
al,2288
ka,2208
kpa,2199
naa,2051
aj,2050
mba,1950
pal,1858
waat,1812
weyi,1753
ŋna,1520
waa,1439
pee,1375
za,1295
sak,1287
ŋgb,1201
kpeekpe,1158
kiŋ,1149
paa,1101
yak,1098
tal,1070
wa,999
nak,984
naal,982
lak,978
ooo,957
nab,938
frans,930
main,904
ca,902
category,900
oŋ,900
sa,857
ama,832
way,821
wena,799
hal,798
lab,791
sukuli,783
wiye,779
ŋa,776
cam,760
takaya,756
size,751
ha,731
wondu,702
kewiya,698
kr,697
yee,686
ki,677
kajala,665
pana,654
takay,624
nat,623
had,612
ta,603
laba,591
hay,591
nda,576
palak,570
pat,561
ajaa,553
ana,550
pap,544
walanz,526
pak,520
ba,513
sama,508
pas,508
aa,502
siŋŋ,501
caa,499
you,491
en,490
tas,486
saa,482
hiu,480
oo,475
kedeŋa,475
yem,475
kab,470
pama,464
afrika,450
kal,449
hat,444
st,430
eu,430
amerika,419
paz,410
lakas,410
hendu,409
nesi,404
da,396
nas,396
tomna,387
maya,382
tanaa,380
an,380
piyele,378
km,363
de,362
liidiye,362
komina,361
eke,357
caama,355
naay,350
aw,348
pakpa,346
kacala,340
mal,336
laa,335
pay,332
afr,332
politiki,330
pe,323
abal,321
togo,314
siini,313
kam,311
kilom,304
takayas,304
wonuu,304
kpem,298
ndaa,286
oma,285
cal,284
agoza,284
kaak,282
daa,282
eer,282
miŋ,281
has,280
naatozo,278
mat,276
aloma,274
ak,272
ke,268
er,266
yeesu,264
naanza,263
mpiye,258
teŋgu,254
pan,253
kama,252
wiya,251
salaŋ,251
mas,250
fal,249
piye,244
nt,239
wezuu,239
caana,238
kaaw,237
minziiki,236
si,233
piŋ,232
hayi,230
papa,229
eyi,228
paw,225
saŋay,224
kan,222
pakal,221
waza,220
egeetiye,219
wayi,216
wandamm,212
etaazuunii,212
yebina,211
abalaa,205
pañ,203
li,203
kedeŋga,200
tak,200
palaba,198
naadozo,194
may,193
cejewiye,192
lone,190
kuduyuu,188
lalaa,186
az,186
keteŋa,184
ŋtal,183
etaazunii,183
at,182
lat,181
leleŋ,180
siimi,179
nakay,179
cikpe,176
le,175
aŋgba,174
ŋgam,174
anasaay,173
mt,171
piya,171
lo,170
halaa,170
piliŋa,166
yeke,165
payaa,165
wal,164
kand,164
mab,164
sukulinaa,163
kat,162
kagbaanz,161
kpela,158
gal,158
laka,156
nay,153
wendu,153
teu,153
pala,152
mak,150
am,149
janaa,146
ale,146
kpay,145
nand,145
aazii,144
miliy,144
kola,144
siŋ,143
itaalii,143
evemiye,141
po,138
yoŋ,138
fezuu,138
wobu,138
heelim,137
tam,136
egipiti,136
tad,136
paarii,135
ŋŋŋ,130
yuŋ,130
nabay,129
jean,129
as,127
keteŋga,126
laŋh,126
room,125
cana,125
caca,124
hiŋ,122
kaŋgalafu,121
koŋ,120
kañ,119
gb,118
kpaŋ,118
loo,117
kpata,116
sakuliye,115
laŋ,114
ga,113
kpam,113
kaa,112
siŋŋŋ,112
panaa,112
maŋ,111
