word,count
na,3237
ya,2952
wa,2655
cia,1945
city,1597
nĩ,1473
china,1338
ta,1157
nene,1136
irĩa,1075
cĩtĩ,1044
kana,936
mũno,717
irĩ,593
igũrũ,591
ma,545
inĩ,436
uzbekistan,306
mũndũ,294
ni,286
kĩndũ,284
no,278
kĩa,277
mundu,277
indo,258
iria,251
klndu,249
ũrĩa,245
ũndũ,237
nl,232
kenya,231
undu,229
rwa,203
andũ,199
nt,191
handu,189
mbere,184
bũrũri,178
andu,174
kiugo,169
ng,165
int,165
bururi,157
rĩa,145
inl,145
gĩa,141
handũ,131
muhano,129
rora,127
mũnene,126
ona,122
thĩ,122
abĩrika,120
thutha,120
mũhano,120
irio,119
of,119
gla,117
kuuma,114
ill,114
italy,111
hinya,108
ũhoro,107
the,106
thayathi,106
muna,105
tekinoronjĩ,104
mũna,103
kuma,102
nyamũ,97
nyamu,97
ktndu,97
gĩtabuto,96
mũciĩ,95
ũyũ,94
nlguo,94
thiomi,93
mwena,93
urla,92
maũndũ,91
asia,90
aria,89
hamwe,88
kĩrĩa,87
wĩ,87
kwa,86
muno,86
rla,86
wega,84
ici,83
kla,83
maria,81
gĩtaũro,80
mwaka,78
ciugo,77
nĩguo,77
he,77
ĩrĩa,76
nyingĩ,75
ka,74
maundu,73
kinya,73
gndg,73
rũthiomi,71
kia,71
mathomo,71
gũkorwo,71
usa,71
ciana,70
njĩra,70
ĩmwe,68
harla,68
kũrĩ,67
arĩ,66
kiswahili,64
and,64
iguru,63
nja,61
klndg,61
wikipedia,60
mweri,60
wĩra,60
kambuni,60
mwaki,59
million,58
kuuga,58
imwe,58
kuonania,58
klrla,58
views,57
maĩ,56
nyĩmbo,56
ho,56
kwĩ,56
wake,56
thiori,56
mgndg,56
harĩa,55
mwana,55
ria,55
ikoragwo,55
ihinda,54
ingĩ,53
ĩno,52
ti,52
marĩa,52
uria,52
thithitemu,52
arĩa,51
in,51
cuma,51
hana,51
tv,50
japan,50
handg,50
ngai,49
grta,49
kwaga,48
komputa,48
rũraya,47
munene,47
metha,47
ũtarĩ,47
ũmwe,46
mbembe,46
sofutiwea,46
ũngĩ,46
harĩ,45
uhoro,45
ũcio,45
ĩkoragwo,45
nyina,45
nda,45
mwega,44
maitho,44
rĩrĩa,43
abirika,43
thimu,43
ĩrĩ,43
ũũgĩ,43
an,43
uuge,43
mbura,42
ihenya,42
maguta,42
nyama,42
thukuru,42
urta,42
thirikari,41
ciothe,41
ũgĩ,41
kĩ,41
mahuti,41
nyoni,41
tene,40
ngari,40
kemu,40
riua,40
nairobi,39
mĩaka,39
kahinda,39
king,39
mat,39
mwlrl,39
to,38
atĩ,38
me,38
nĩyo,38
mwene,37
makĩria,37
amerika,37
ĩria,37
kautĩ,37
we,36
gwĩka,36
meciria,36
tiga,36
korwo,36
mu,36
kanua,36
irla,36
gũthondeka,35
ngumo,35
mundg,35
mwanya,34
njira,34
spain,34
nyũmba,34
mal,34
kaingĩ,33
es,33
mũtaratara,33
nyumba,33
kuthini,33
nyamg,33
ngerekano,32
thimo,32
maya,32
rĩtwa,32
macini,32
erementi,32
ombe,32
ngingo,32
gta,32
njlra,32
twa,31
atumia,31
mĩtugo,31
nyingi,31
english,31
ũria,31
netiwaki,31
kombuita,31
