word,count
ಮತ್ತು,383521
ಒಂದು,103192
ಎಂದು,76425
ಅಥವಾ,68269
ಇದು,67654
ಅವರು,67478
ರಲ್ಲಿ,66400
ಹಾಗೂ,64369
ಅವರ,48007
ಎಂಬ,46054
ನಲ್ಲಿ,45561
ಮೇಲೆ,43620
ನಂತರ,41014
ತನ್ನ,40041
ಆದರೆ,37979
ತಮ್ಮ,36805
ಮೂಲಕ,32529
ಹೆಚ್ಚು,31766
ಕೆಲವು,28665
ಆಫ್,26900
ಎರಡು,24802
ಇದನ್ನು,24276
ಮೊದಲ,23686
ಅನೇಕ,23606
ಪ್ರಮುಖ,23046
ಅದರ,22799
ಗಳು,22681
ಗೆ,22656
ದಿ,21639
ಕನ್ನಡ,21370
ಇತರ,21265
ಸುಮಾರು,21090
ಇದರ,20996
ಅದು,20651
ಬಗ್ಗೆ,20575
ಅನ್ನು,19822
ಭಾರತದ,19597
ಶ್ರೀ,19047
ಹಾಗು,18641
ಭಾರತೀಯ,18174
ಹೆಚ್ಚಿನ,18156
ಅತ್ಯಂತ,17361
ಸಾಮಾನ್ಯವಾಗಿ,17306
ಸಹ,17223
ರಂದು,17205
ಎಸ್,16112
ಹಲವಾರು,15667
ಹೊಸ,15645
ಕಡಿಮೆ,15626
ಪ್ರಶಸ್ತಿ,15515
ಹೊಂದಿದೆ,15305
ಯಾವುದೇ,14811
ದೊಡ್ಡ,14318
ಉಲ್ಲೇಖಗಳು,14006
ಮೂರು,13941
ಜೊತೆಗೆ,13821
ನೇ,13744
ಗಳನ್ನು,13720
ಇವರು,13682
ಪ್ರಕಾರ,13571
ಇದೆ,13555
ಮುಖ್ಯ,13534
ಎಲ್ಲಾ,13468
ಕರ್ನಾಟಕ,13364
ಮಾತ್ರ,13147
ಉತ್ತರ,13003
ಇಲ್ಲಿ,12914
ವಿವಿಧ,12912
ರಿಂದ,12631
ಸಂಗೀತ,12528
ಅದನ್ನು,12370
ದಕ್ಷಿಣ,12353
ಗಳ,12194
ಕೂಡ,12158
ನಿಂದ,11879
ಅವನ,11838
ರಾಷ್ಟ್ರೀಯ,11320
ಹೆಸರು,11190
ಹಲವು,10923
ವರ್ಷ,10802
ಕೆಲಸ,10787
ಸಾಹಿತ್ಯ,10766
ಅತಿ,10603
ಪ್ರತಿ,10562
ಕೇವಲ,10501
ಸಮಯದಲ್ಲಿ,10312
ಭಾರತ,10276
ಬಿ,10127
ಮೊದಲು,9979
ಸಣ್ಣ,9886
ಒಬ್ಬ,9831
ನಡುವೆ,9792
ಶಿಕ್ಷಣ,9680
ಮಾಡಲು,9569
ಎಲ್ಲ,9565
ಬಹಳ,9434
ಅವರನ್ನು,9386
ಜನರು,9385
ಅಂದರೆ,9328
ಮಾಡುವ,9298
ಹೀಗೆ,9206
ಇವು,9191
ಅವನು,9169
ಕೇಂದ್ರ,9166
ಸಾಮಾನ್ಯ,9139
ಆರ್,9110
ಕಾಲ,9096
ಬೇರೆ,9072
ಅಲ್ಲಿ,9018
ದೇವಾಲಯ,9011
ಡಿ,9005
ಅವರಿಗೆ,8914
ಮಾಡಿದ,8829
ವಿಶೇಷ,8795
ಮಾಡಿದರು,8637
ನಾಲ್ಕು,8602
ಇದರಲ್ಲಿ,8567
ಜೀವನ,8554
ಮೀ,8466
ಈಗ,8435
ಉತ್ತಮ,8433
ಇವರ,8379
ಜಿಲ್ಲೆಯ,8375
ಇದಕ್ಕೆ,8369
ಗ್ರಾಮದಲ್ಲಿ,8353
ಅದೇ,8286
ಸಿ,8271
ವರ್ಷಗಳ,8268
ಮೂಲ,8246
ಆರ್ಥಿಕ,8241
ರೀತಿಯ,8113
ಇನ್,8110
ವಿರುದ್ಧ,8087
ಇರುವ,8079
ಉದಾಹರಣೆಗೆ,7945
ಇತ್ಯಾದಿ,7899
ಕೆ,7896
ಅತ್ಯುತ್ತಮ,7838
ಎಂಬುದು,7776
ಮುಂದೆ,7769
ಕಾರಣ,7766
ಹೊಂದಿರುವ,7732
ಶತಮಾನದ,7695
ರಾಜಕೀಯ,7684
ಮೈಸೂರು,7679
ಎನ್,7668
ರಾಜ್ಯದ,7595
ಮುಂತಾದ,7557
ಆಹಾರ,7455
ಹಿಂದೂ,7452
ಅವು,7448
ರಾಜ್ಯ,7428
ಮಾಡಿ,7427
ಇತಿಹಾಸ,7393
ಅವುಗಳ,7333
ನ್ನು,7331
ಒಂದೇ,7315
ಪೂರ್ವ,7280
ದಿನ,7274
ಚಲನಚಿತ್ರ,7191
ನೆಯ,7167
ಬಾಹ್ಯ,7136
ಸಾಮಾಜಿಕ,7098
ಒಟ್ಟು,7072
ಕಾಲದಲ್ಲಿ,7045
ನಡೆದ,7045
ಇನ್ನೂ,6960
ಡಾ,6785
ಹೆಚ್ಚಾಗಿ,6730
ಹಿಂದೆ,6729
ಸ್ಥಳೀಯ,6726
ಸಂದರ್ಭದಲ್ಲಿ,6688
ಭಾರತದಲ್ಲಿ,6687
ನೋಡಿ,6666
ಚಿತ್ರ,6653
ಎಲ್,6651
ಆಧುನಿಕ,6617
ಎಂ,6593
ಆಗಿ,6502
ಆದ್ದರಿಂದ,6361
ಕೃಷಿ,6337
ಇದೇ,6317
ಆಗ,6292
ಎಂದರೆ,6284
ವಿ,6247
ಬಾರಿ,6224
