word,count
коми,7124
да,6069
котырись,2063
ны,1625
отир,1530
вид,1456
таннэз,1410
перем,1380
сыктывкар,1364
район,1353
сь,1224
история,1183
мась,1166
лыддь,1163
география,1149
пантасьӧ,1148
во,1138
тан,1137
йылісь,1136
культура,1129
км,1063
ним,1061
увтыр,990
кыв,988
орхидея,951
кудымкар,949
республики,932
веськ,920
морт,903
кытшын,877
лунвыв,861
лун,851
ордча,841
быт,838
эквадор,825
быдмассэз,820
зяйство,789
туйез,774
тлан,765
ладорись,759
янсал,744
грезд,735
казьм,727
ландшафттэз,705
сингаж,703
вылын,670
ойвыв,652
пермяцкий,641
округ,628
пожум,613
ыстісяннэз,606
увтырӧ,604
торья,603
быдмас,597
туй,589
пыр,576
республика,540
сія,532
сьӧрті,523
ӧні,521
колумбия,517
москва,511
увтырын,511
виддэз,510
изд,508
ленинград,503
национальный,502
районын,492
ыджыт,488
ттэз,485
пермь,479
рті,471
метра,471
роч,455
пырӧ,448
бразив,448
эм,447
быдмассэзлӧн,447
дорын,445
ылынаын,436
понда,431
пырӧны,419
котыр,419
нето,416
гиж,411
кар,395
америкаын,395
ма,395
сы,381
деревня,377
дз,376
ол,375
томах,372
республикаись,363
кык,362
кн,362
ты,359
посад,358
му,358
вылына,353
годӧ,352
вел,350
районісь,348
видз,347
кыдз,345
вӧлі,337
посадмуӧ,331
историко,331
нима,330
энциклопедия,318
издательство,318
сулалӧ,315
быдмӧ,315
виль,313
лі,312
юсьва,311
год,309
отирыс,309
жеребцов,309
афанасьев,307
топонимия,304
книжное,302
азияын,301
где,300
помын,299
пункты,299
культурный,299
живёшь,298
населённые,298
атлас,298
дрофа,298
африка,298
юэз,297
понд,291
уна,290
горт,289
посадмуын,286
ыст,285
но,283
посадму,278
кузя,277
коласын,274
куйлӧ,271
пермяцкого,270
на,268
татӧн,267
европа,264
ні,263
посёлок,258
сулал,257
пу,256
перу,254
районас,250
овлӧ,249
ӧшмӧссэз,245
неб,242
абу,241
коста,240
кытш,238
зыряна,238
магнолия,238
школа,233
ыжда,231
асыввыв,231
важ,230
кӧда,225
олантуй,225
сюрс,221
сыктыв,221
мексика,219
куим,218
медш,216
чук,214
пуэз,213
нія,211
сідз,211
корья,210
грезддэз,209
рытвыв,209
ош,209
ггез,206
гижись,205
веськӧтлан,203
кыза,202
этія,201
америка,201
рытвылас,200
кӧдна,198
эта,197
моз,196
гижиссез,194
диаметрын,194
вылӧ,192
асыввылын,191
апрель,190
не,190
рытвылын,190
рын,190
унажык,189
комиэз,187
медыджыт,186
шӧрин,185
быд,183
мый,182
сэсся,181
тік,179
округа,178
иль,177
вож,176
иисус,175
субувтырын,175
кыввез,174
куйл,174
языка,174
грездын,173
олан,172
ладорын,171
ӧтік,170
этӧ,170
автономного,170
кама,170
мун,169
ни,168
сыл,168
одзжык,167
шу,167
октяб,165
сідзжӧ,164
жӧ,161
кулӧмдін,161
неыджыт,160
лоис,160
дна,159
саридз,159
берся,159
выл,159
шульга,157
олӧны,156
лыддьӧтан,156
пода,156
кольчч,156
кытӧн,154
кыт,153
тчик,153
грездыс,152
веськыт,151
кӧсладор,150
венесуэла,150
