word,count
бла,6700
эмда,3151
да,2104
бир,1748
джылны,1628
эм,1612
болгъан,1475
ол,1387
болгъанды,1370
бу,1347
аны,1226
чи,1198
уллу,1179
джыл,1077
алай,1021
дери,936
ючюн,887
туугъанла,873
ёлгенле,828
кърал,811
кёре,799
ишле,797
джылда,789
баш,755
сора,744
болады,737
уа,706
биринчи,683
башха,675
кюн,664
неда,649
къарачай,648
адам,645
шимал,637
джангы,587
къыбыла,579
джылла,569
эки,564
кёб,564
джыллада,539
интернет,533
аскер,509
барды,505
абш,499
талай,486
тюрлю,484
юсюнден,482
аланы,477
тил,474
бютеу,444
сёз,437
чю,435
ни,433
къралны,427
кюнюдю,424
ала,422
ичинде,417
км,386
арасы,382
бек,366
белгили,362
арасында,362
деген,357
тарихи,356
огъары,353
суу,352
къазауат,344
кюнбатыш,343
белгиле,338
джибериуле,336
болуб,334
ара,331
официал,329
чы,329
минг,327
дагъыда,326
аты,325
политика,324
тенгиз,317
кюнчыгъыш,314
чакълы,313
дуния,312
эл,310
андан,310
кесини,307
ны,307
халкъла,305
заманда,304
россия,303
чу,302
энчи,301
ахырына,299
асламысы,295
республика,294
ингилиз,294
орта,294
бирге,291
шахар,291
джылдан,289
совет,283
болгъандыла,280
къалады,280
орус,280
тау,276
себебли,273
дараджаны,272
ссср,269
тышында,266
григориан,265
къралла,265
миллет,264
деб,261
анда,258
башлаб,257
экинчи,255
байрамла,255
къуралгъанды,255
орузламада,250
саны,247
къралланы,247
француз,246
де,245
халкъ,244
этеди,241
аскерле,239
британ,238
хар,238
кибик,238
къабыл,237
къазауатны,236
високос,234
тилде,234
бусагъатдагъы,228
алгъа,228
къаршчы,228
бусагъатда,225
къара,223
генерал,222
къуру,222
джылгъа,222
сууну,222
къуралады,220
керек,218
малкъар,215
кере,212
джер,210
океанны,209
аллында,208
аннга,207
бири,206
алады,206
административ,205
боллукъду,205
республиканы,203
черкесск,203
къол,203
оноу,200
боладыла,198
экономика,198
юч,198
къуралгъан,196
ну,196
джанындан,195
этген,193
американ,192
къатында,189
доменле,188
эсе,184
этгенди,183
тилни,183
шахарны,183
британия,182
черкес,181
германия,180
ёмюрню,178
болгъаны,177
кеси,175
европа,172
араб,170
тыш,168
болургъа,168
адамла,167
заманында,167
франция,167
тюрк,166
джазма,166
айрымканла,165
млн,165
атлы,165
домени,164
дунияда,164
джамагъат,164
къауум,162
къытай,162
тарих,160
