word,count
un,10053
de,7578
en,7489
dat,6941
dä,5256
em,4876
öt,4824
dr,4455
di,3755
es,3508
van,3492
op,3414
va,3219
et,3117
hä,3100
och,2744
wood,2684
met,2491
joohr,2404
ävver,1977
vun,1816
der,1809
die,1791
do,1765
als,1765
ön,1747
us,1706
am,1703
önö,1670
woch,1486
se,1309
in,1278
mer,1250
weed,1239
net,1197
no,1159
vöör,1147
sing,1139
noch,1134
sö,1131
öm,1127
zo,1113
jätt,1071
övver,1059
för,1015
wat,990
eß,969
sisch,966
wi,939
dann,912
hät,853
an,825
ene,825
beij,811
nit,789
däm,787
ze,763
sich,761
von,756
noh,755
mo,716
dörch,713
su,709
hätt,691
stadt,679
kann,650
lääse,648
wo,646
bes,640
is,636
wie,636
kölle,628
singe,618
watt,609
on,606
esu,599
und,598
woode,587
völl,579
vum,569
enne,555
aan,554
me,554
lääve,553
fun,550
jeboore,543
land,539
litt,519
kütt,512
zitt,512
mä,510
hör,502
jitt,499
had,499
mann,478
lüüh,477
sin,473
ischde,460
send,459
hod,457
han,445
häm,440
minnsche,431
tösche,430
unn,423
mi,409
bei,396
wor,394
naam,393
sinn,391
websigge,388
si,388
hat,380
domet,373
lang,373
im,370
wäde,366
paar,360
koom,358
hann,356
janz,356
film,355
all,350
kölsch,342
johr,341
platt,338
wääde,338
mit,334
ess,332
dütsche,330
ne,329
zm,327
für,326
at,316
anger,315
isbn,313
zwei,313
onger,312
jäng,312
deel,308
uß,304
dütschland,296
daach,296
joov,288
da,287
jruuße,284
dämm,283
dozo,280
hand,278
uss,275
usa,275
wenn,274
dem,272
odder,271
he,270
zom,269
jet,268
dö,268
paßßeed,266
wärm,264
lück,263
zick,262
ėß,262
jott,260
mieh,259
minsche,258
beld,256
maade,256
dobeij,254
oche,248
see,244
med,243
wasser,243
vrau,242
zweide,241
kölsche,240
jemaat,240
er,240
vom,238
frau,238
janze,235
nur,234
ösu,233
mänsche,233
joohre,232
maache,229
jo,228
ald,227
andere,226
hück,226
wann,226
rhingland,225
wä,225
siij,225
vreuer,223
rhing,222
sen,222
övv,222
km,221
enn,221
jäje,220
staat,219
jeld,214
wore,212
stolbersch,211
weil,209
filme,209
of,207
döck,206
mai,204
zwesche,201
ees,200
storv,197
ens,196
the,194
oder,193
enem,190
vam,190
wohr,186
vong,185
soll,184
