word,count
li,147163
bi,117202
ji,111586
de,110633
di,107095
ye,81387
ku,79000
ya,64136
çavkanî,45993
an,44601
jî,42632
xwe,41930
ser,36330
ve,30725
tê,25941
derve,24775
wî,24660
wê,23950
girêdanên,23932
bû,23858
sala,23660
ew,21762
bo,21097
komunên,21019
gundên,20033
re,19403
gundekî,18450
navçeya,17908
herêma,17427
yên,17050
ev,15790
navê,15410
wan,15025
vê,14399
yê,14286
departmena,14152
lê,13907
ber,13713
kurdistanê,13254
ne,13133
hatiye,13019
îranê,12906
bajarê,12594
dike,12467
wekî,12230
fransayê,12209
kir,12071
kurd,11998
kirin,11944
navenda,11584
yek,11448
din,11293
nav,11260
aliyê,11252
dibe,11001
komuneke,10936
gelek,10740
her,10708
kurdî,10337
da,9738
in,9544
ên,9500
bakurê,9400
almanyayê,9144
mezin,8842
gorî,8699
piştî,8691
dema,8515
gund,8095
wek,8090
girêdayî,7759
dest,7592
hate,7323
herî,7315
başûrê,7088
parêzgeha,6894
bûn,6879
landkreis,6780
the,6737
hat,6482
mijarên,6417
zimanê,6369
erdnîgarî,6328
hene,6288
du,6266
kes,6248
binêre,5894
pêk,5780
azerbaycana,5753
mirov,5680
heta,5679
navçe,5671
nifûsa,5630
bajarên,5460
şaredariyeke,5437
dikin,5252
hin,5248
navbera,5243
vî,5225
bin,5171
bûye,5142
tên,5100
şaredariyên,5038
et,4911
dewleta,4854
van,4837
rojhilatê,4756
kurdan,4704
rojhilat,4547
heye,4542
rojava,4520
yekem,4388
of,4317
pê,4254
jidayikbûn,4238
hejmara,4223
departementa,4216
hatine,4196
bavyera,4184
nû,4176
gundê,4152
dijî,4149
yan,4115
tirk,4098
pir,4097
tirkî,4079
demê,4044
kesên,4036
hêla,3969
seine,3864
haute,3834
tenê,3829
bike,3803
çend,3801
salan,3796
salên,3739
rojavayê,3703
kiriye,3690
dide,3688
nava,3659
şerê,3645
hev,3642
berê,3640
têkildar,3633
be,3619
ko,3574
sedsala,3535
maritime,3527
gotin,3459
dibin,3458
weke,3454
jiyana,3440
cih,3411
hemû,3382
min,3376
ava,3370
bajarekî,3291
niha,3288
heman,3286
me,3275
cîhanê,3249
mirin,3200
bikin,3161
le,3152
em,3093
jdb,3091
hatin,3067
zêde,3046
der,3005
yekê,2989
gel,2986
sê,2927
km,2914
gelhe,2912
heya,2905
digire,2899
kar,2893
giştî,2887
bê,2884
tirkiyeyê,2864
navîn,2864
bakur,2829
kurdên,2819
rheinland,2796
beşa,2785
daneyên,2780
bikaranîn,2760
malbat,2745
jê,2718
başûr,2673
marneyê,2669
çêkirin,2627
xelata,2624
en,2590
herêmê,2585
bavê,2562
mirovên,2539
bajêr,2522
bilind,2520
dîroka,2514
fermî,2492
welatê,2481
côte,2481
ango,2466
dikeve,2462
baden,2443
ziman,2436
dîtin,2429
pêşîn,2420
şer,2420
serjimêriya,2419
zanîngeha,2418
wir,2409
amara,2394
kurdistan,2383
şêx,2382
caran,2376
gor,2330
navdar,2325
erebî,2321
mirovan,2317
aisne,2300
zanîn,2298
württemberg,2297
amerîkî,2294
eure,2287
dê,2229
amedê,2226
wiha,2216
jêr,2213
berî,2201
têne,2199
taybetî,2193
xaneyên,2193
loire,2181
bibe,2169
partiya,2164
vorpommern,2147
serê,2141
rojhilata,2141
dawî,2129
îro,2108
girtin,2089
dirêj,2075
and,2068
qasî,2065
dîsa,2063
hinek,2057
navçeyên,2055
ewropayê,2052
kêm,2031
dewletên,2026
roja,2009
gelhenasî,2003
serokê,2002
hêzên,1975
dikare,1952
baş,1952
yekbûyî,1950
oise,1939
la,1930
ez,1917
sal,1906
komara,1903
dibêjin,1902
îngilîzî,1900
were,1899
gelheya,1889
êdî,1878
çiyayê,1872
koma,1871
destê,1868
kirine,1861
çînê,1859
siyasî,1847
divê,1847
cihê,1844
mîna,1838
kurê,1829
girîng,1825
xwedî,1825
piştre,1816
navendî,1808
rêjeya,1806
sereke,1791
gelê,1785
çar,1783
bajar,1778
marne,1775
bûne,1770
vir,1769
endamên,1768
herêmên,1755
saint,1755
mala,1754
serdema,1751
el,1748
hewlêrê,1748
berhemên,1747
zindî,1744
malbata,1742
paşê,1732
zimanên,1731
tu,1730
bajarokên,1729
dikir,1723
dijîn,1722
gelemperî,1721
saône,1715
isbn,1714
paşîn,1710
diyarkirin,1709
ra,1698
avê,1693
hejmar,1674
malpera,1666
derbas,1655
asta,1655
mecklenburg,1641
şaristana,1631
gundistana,1630
karê,1624
duyem,1615
kanûna,1609
sedema,1608
nivîskarên,1607
sor,1607
herwiha,1593
hem,1581
xwînê,1580
avakirin,1571
pirtûka,1566
biçûk,1565
te,1560
weşanên,1556
famîleya,1555
reş,1546
rê,1546
dewletê,1544
dibêje,1543
kuştin,1542
roj,1539
navneteweyî,1536
welat,1535
cuda,1529
mînak,1522
piraniya,1515
destpêka,1514
fransî,1511
dîrok,1509
împeratoriya,1506
lîsteya,1505
neteweyî,1498
hwd,1495
dibistana,1493
xwediyê,1478
hemî,1477
wateya,1476
salê,1474
weşandin,1473
jin,1472
axa,1469
alpes,1468
dayik,1465
didin,1461
latînî,1456
nivîskar,1456
mêrdînê,1455
deryaya,1455
osmanî,1442
tevî,1442
nêzîkî,1427
cureyên,1424
pêjgeha,1424
mêr,1423
komunê,1420
tevlî,1416
pfalzê,1412
gundî,1411
diyar,1409
golên,1409
rojê,1408
dîrokî,1404
charente,1399
orê,1398
taybet,1395
çi,1393
yekemîn,1388
pfalz,1385
leşkerî,1366
wisa,1363
çiriya,1359
wanê,1357
tirkiyê,1352
çemê,1350
diçe,1350
norwêcê,1348
dihat,1339
xebatên,1339
derket,1334
îdarî,1334
dawiya,1334
welatên,1333
dihokê,1332
çû,1331
salî,1328
alman,1309
peyda,1308
erdê,1306
iraqê,1305
ma,1302
yewnanî,1299
garonne,1297
belav,1291
kurmancî,1291
kovara,1290
elî,1286
kevn,1285
dûr,1283
zêdetir,1282
franche,1280
comté,1279
civakî,1273
gava,1271
bourgogne,1271
cara,1266
we,1261
yekîtiya,1255
dikarin,1254
jiyan,1253
pêş,1249
aborî,1241
pirtûkên,1240
artêşa,1238
xwedê,1233
bandora,1228
awayekî,1226
eslê,1220
girêdayê,1206
farisî,1200
pirtûk,1195
endamê,1186
nîşan,1184
almanî,1177
naskirin,1173
deng,1170
herdu,1169
com,1163
rastî,1158
dinyayê,1155
rewşa,1151
serî,1149
xwarin,1148
mafên,1144
new,1141
hikûmeta,1134
înglîzî,1133
navên,1129
dya,1126
hatibû,1126
bibîne,1126
bide,1123
hezar,1120
paytexta,1116
dora,1109
almanya,1107
îslamê,1105
holê,1104
dan,1102
