word,count
коми,15091
да,9613
ӧд,6420
сыктывкар,5146
тӧлысь,3696
лун,3566
воын,3219
во,3051
сикт,2869
кыв,2774
ыстӧдъяс,2280
тайӧ,2261
история,2153
вося,1945
на,1907
гижысь,1690
км,1673
республика,1650
республики,1517
овмӧдчӧмин,1464
ӧшмӧсъяс,1459
грезд,1428
котырса,1416
лунӧ,1414
медводдза,1408
вӧлі,1389
республикаса,1363
морт,1335
тӧдчана,1322
са,1312
анбур,1277
ним,1255
ны,1180
йӧз,1135
вылӧ,1126
культура,1120
сійӧ,1068
чужисны,1055
фольклор,1053
серти,1034
воясӧ,1017
районса,1016
персоналия,1001
ыджыд,976
чужис,958
вылын,957
восянь,927
латин,926
кулісны,923
орхидея,906
роч,873
лоӧмторъяс,852
эквадор,826
куліс,824
му,822
энциклопедия,815
издание,811
жеребцов,809
августа,803
йылысь,801
административно,801
территориальное,801
ты,787
республикаын,786
туй,783
ма,783
войвыв,782
олысь,779
кывъяс,776
справочник,774
либӧ,770
география,765
историко,754
велӧдӧм,747
овмӧс,740
лыд,737
увтыр,735
овъяс,734
артмӧм,732
быдмӧгъяс,727
литература,726
туялысь,723
сылӧн,718
пырысь,717
где,711
изд,709
сь,708
асср,707
пункты,703
удж,694
населенные,691
ӧтуввез,690
демографический,688
живешь,687
григорий,684
лунвыв,683
бӧрын,677
шӧр,674
быдмӧ,665
абу,660
ссср,653
кассяна,645
кык,643
эмторъяс,639
уна,637
москва,625
нимӧдана,615
олан,607
вӧсна,606
быдмӧг,601
школа,597
шыпас,597
мый,583
улӧ,582
республикалӧн,579
грездын,574
сметанина,563
сюрс,562
до,561
но,559
века,559
канму,558
деление,557
пятое,553
кн,553
россияса,543
иван,542
времен,541
древнейших,540
под,540
конца,535
редакцией,533
общей,531
колумбия,531
важ,527
выль,523
моз,515
кар,513
оз,511
шонді,507
тшӧтш,505
александр,504
кирилл,503
уджалысь,498
сикасъяс,496
котыр,495
сиктын,495
вӧлӧма,493
анбурӧд,485
сиктъяс,485
небӧг,484
атлас,484
анбурлӧн,474
сідзжӧ,466
нима,465
усть,458
перым,449
сэсся,447
посёлок,446
пу,440
тӧвшӧр,440
вояс,438
тыш,431
ӧні,430
ӧти,429
орден,424
кывбуръяс,424
календар,424
айму,421
воӧдз,415
рака,412
урасьӧм,410
кӧч,409
кыдзи,408
сы,405
вӧльгым,405
районысь,405
календарын,403
николай,399
мукӧд,398
небӧгъяс,391
америкаын,390
эм,388
йирым,387
пукалӧ,387
сора,384
шуанног,382
юлӧн,380
уджалӧма,378
рочӧн,377
жӧ,369
гажлунъяс,369
кулӧмдін,368
нимйӧза,368
ӧшым,367
дырйи,367
помӧдз,367
сикас,362
нимлун,357
номъя,353
воӧ,353
нин,351
сӧмын,351
кӧні,351
ылдӧс,351
ода,349
кора,349
лӧддза,347
кывйын,344
чужӧма,342
йӧгра,341
видзӧдӧй,341
василий,341
спутник,341
комияс,340
медаль,338
сійӧс,337
америкаса,336
косму,335
вылыс,334
ас,333
азияын,331
та,330
кодзув,328
сыктывкарса,324
куим,322
зэв,320
изьва,318
попов,317
район,316
помалӧма,316
бразив,315
вӧр,312
школаын,312
африка,312
пыдди,310
сыктывкарын,309
ред,309
тай,306
сайт,305
лыдакывъяс,304
мӧд,301
кадӧ,301
эз,301
поэт,300
нималана,297
челядь,296
языка,294
олӧны,293
пуяс,293
кад,287
словарь,285
йӧзкостса,284
медыджыд,283
гижан,283
артист,282
туялысьяс,281
пансьӧ,281
олӧ,280
медводдзаысь,277
гу,277
сыктыв,273
бергалӧ,273
став,271
рк,271
кывъясын,271
финн,270
ва,270
дз,268
