word,count
an,28830
yn,24148
ha,17404
yw,16615
dhe,10109
gans,6138
hag,4463
rag,3956
veu,3746
yma,3113
ow,3055
ev,2867
po,2785
war,2743
mis,2419
avel,2339
unys,1986
hi,1978
bos,1880
kernow,1755
km,1715
mes,1712
statys,1697
dinethyansow,1579
bys,1546
dhyworth,1525
dhiworth,1492
ma,1486
konteth,1435
poblans,1419
the,1402
ves,1375
hanow,1349
pow,1342
kernewek,1328
aga,1322
rann,1322
wosa,1313
re,1268
amerikanek,1225
horn,1221
hy,1210
mernansow,1182
trevow,1177
yth,1171
sowsnek,1169
dro,1168
usys,1152
hyns,1129
dre,1106
kembra,1099
lies,1095
ynwedh,1068
genys,1036
kembrek,1026
loundres,1023
kynsa,1000
tre,997
mildir,997
est,949
le,948
yeth,941
esa,920
erel,904
gwarioryon,904
kepar,894
sita,894
cita,891
nebes,888
dres,870
pan,869
meur,852
west,839
wra,826
moy,823
dhia,790
of,787
onan,777
amerika,759
kewsel,748
orth,738
sows,736
dowr,732
termyn,730
kardydh,727
na,724
citys,714
tus,712
wrug,711
unn,708
braster,706
yll,702
niver,699
wodhya,695
nyns,694
henwys,694
skriforyon,682
pednventydnyow,680
fylm,680
europa,675
du,669
brassa,663
pub,634
senedh,633
nowydh,633
soth,633
gwrys,633
dell,631
drefen,629
ogas,623
aswonnys,617
pur,601
bledhen,592
kres,591
eghen,588
gwiasva,584
parti,583
da,575
moyha,567
kyns,553
mor,544
ny,539
esel,538
yntra,526
res,521
eseli,514
dus,513
lyver,510
vos,510
kansvledhen,505
dew,501
kemmyn,500
stat,500
may,497
ages,492
de,485
fondys,483
neb,480
bagas,477
breten,477
istori,475
www,471
tir,470
vis,470
teylu,465
afrika,464
north,463
veur,454
me,449
in,444
sir,444
ynter,442
oll,442
nans,442
hys,441
eus,433
dheu,432
john,431
ober,430
genver,425
den,419
der,418
yethow,417
herwydh,417
hemm,416
meurth,413
aral,405
kenedhlek,401
politegoryon,400
ranndir,397
ger,395
lemmyn,395
gwarier,394
nessa,385
and,384
kevys,377
asi,376
dann,372
yns,372
isbn,371
dyllys,364
eth,363
fordh,363
owth,361
heb,361
frynkek,359
ytho,357
gomprehend,357
honan,352
sen,351
gwynngala,349
china,348
park,347
se,347
frynk,346
ena,345
gortheren,344
penn,344
rol,342
vras,339
oos,337
kevardhu,334
anedha,333
alban,332
ru,332
hedra,331
awos,330
gelwys,330
dhallathas,329
bras,329
fugieth,328
avon,325
niveryans,325
linen,325
kernowek,324
tri,324
romanek,323
furv,319
wul,319
gledh,317
ga,316
keth,316
erbynn,315
pewas,313
bretennek,313
henna,312
vledhen,312
dydh,310
mar,307
ensampel,306
boos,305
vyghan,305
skrifys,303
myghtern,303
dheuth,302
metheven,299
feu,296
hir,295
korf,294
dyffrans,291
byghan,291
hedhyw,290
es,290
usi,289
vri,289
ebrel,287
hemma,286
dowrgleudh,285
dhodho,284
varr,283
milvil,283
quercus,282
elven,281
keltek,280
koth,280
chi,279
fenowgh,279
mysk,276
mayth,273
barth,270
bewnans,270
bow,269
ilow,267
arbennik,267
keffrys,266
bellwolok,266
eglos,264
latin,263
styr,262
enys,261
hwath,261
skol,261
oberi,261
tyller,260
elvennow,260
ok,259
almayn,259
en,259
bresel,258
devnydh,256
gwynn,256
komprehendya,252
unyans,250
waynyas,248
governans,246
eynda,246
usya,246
eghennow,245
desedhys,244
repoblek,244
al,244
fylmow,241
cornish,240
kowethas,240
beu,239
unnik,237
enevales,237
almaynek,236
gul,235
styrya,234
hen,234
hwedhlow,233
hwedhel,233
pennsylvani,232
arnowydh,231
bal,231
politeger,231
dh,229
william,229
geryes,229
dy,229
devynnow,228
pluw,227
gernow,226
europek,226
posek,226
st,226
berr,226
keynvor,226
hwevrer,225
gwlas,223
kansblydhen,221
kok,221
skrifer,220
kampyor,220
teves,219
talleth,219
rudh,218
art,218
arabek,218
norvys,217
jynn,217
porth,216
skrifa,216
ynys,214
hensi,214
seow,214
blydhen,213
gorsav,213
gwari,213
amerikanyon,213
diw,212
emperoureth,212
gweres,211
dhew,211
pennskol,210
diwettha,209
verwis,209
aswonys,209
keswlasek,209
les,208
skrifas,207
enep,206
lev,206
nag,205
triga,205
henwyn,205
hengovek,204
dreus,204
sowson,202
gymyk,202
omdowl,202
lyvrow,199
kyn,199
hanter,198
rew,198
lien,196
ne,195
plansow,194
bloodh,194
gov,193
hyllir,193
istorek,191
lu,187
gwella,187
ynkleudhyansow,187
ranneves,187
boynt,186
gwlasow,185
poos,185
lavur,185
robert,184
treweythyow,184
kontethow,183
is,183
dalleth,183
james,182
kymyk,181
powys,181
kul,180
mirva,180
ostrali,179
saw,179
diskudhys,179
ster,179
howl,179
spayn,178
nerth,178
bro,177
dhedhi,177
drehevys,177
erell,177
hwer,176
ji,176
taves,175
henry,175
kevrennow,175
mernans,175
eyl,174
mos,174
kevreyth,174
saint,173
hwarvedhyansow,172
chif,172
ughella,171
gregorek,171
menydh,171
us,171
kledhrennow,171
kewsys,170
alkan,170
gwarioresow,170
geryow,169
pymp,169
gemmyn,169
sw,169
charles,168
trigys,168
men,168
dor,168
kaliforni,168
kensa,167
ughel,167
ta,166
myns,166
kanada,166
politek,166
russi,166
ruwvaneth,165
karrek,165
ydhyn,165
gan,165
jeves,163
sn,163
evrek,163
kk,162
peswar,161
lergh,160
ranndiryow,159
taklow,159
jydh,159
george,158
amerikan,158
akademi,158
studh,157
fleghes,157
virjynni,157
itali,156
rannow,156
tylleryow,156
godhonydhyon,156
dhedha,155
lower,155
russek,155
la,153
tu,153
logh,153
vrassa,153
hwegh,152
byttegyns,152
denel,152
ehen,152
dhowr,151
ayr,151
askorrys,151
balweyth,150
ii,150
hevelep,150
nivel,150
dhyghow,150
gonisogeth,149
vresel,149
mab,149
enesow,149
nw,149
liw,148
diwysyans,147
nor,146
dydhyans,146
meksiko,145
benenes,145
bywhes,145
wariva,144
bretonek,143
gerys,143
steren,143
to,143
ursus,143
vreten,142
naturel,142
lewydh,142
grek,141
synsys,141
lagha,141
lkdt,141
leun,140
gavas,140
usadow,140
etholans,140
ugh,139
dhevedhyans,139
warbarth,138
awtour,138
thomas,138
mm,138
vosen,138
tro,137
jynnow,137
gwynedd,137
rewliv,137
prys,136
ganso,136
pellwolok,136
bub,135
tros,135
meter,135
kg,134
penncita,133
gwariow,133
prydydhyon,133
beriodek,132
dewnens,131
vo,131
wre,131
benn,131
teudhi,131
hwithrans,131
arta,130
sh,129
seyth,128
leel,128
kavos,128
trenow,128
ethen,128
richard,127
truru,127
owr,127
karrygi,127
sodhogel,126
sten,126
ughelder,126
drehevyans,126
albanek,125
flogh,125
del,125
gwithadorek,124
drigoryon,124
ros,124
kales,124
moon,124
kesunyans,124
sowsesow,124
furvya,124
furvell,124
williams,123
gwir,123
golow,123
menydhyow,123
benfro,123
iwerdhon,122
diwedh,122
kenedhlow,122
ejyp,122
haval,121
david,121
marnas,121
gool,121
arvor,120
garrek,120
agan,120
kever,120
lyskerrys,120
kevres,120
gwariores,120
pella,119
arthur,119
mengleudh,119
nihon,119
arth,119
peder,118
gres,118
atomek,118
furvyes,118
duw,118
tonnas,117
sort,117
leveris,117
genas,117
frooth,117
edward,116
studhya,116
wella,116
teyr,116
arghans,116
lowr,116
resek,116
tressa,116
gaerfyrddin,116
planet,115
pobel,114
filosofers,114
studhyans,113
tevi,113
martesen,113
isel,113
kan,113
prydydh,113
nobel,113
romansow,113
gwitha,112
kowethyans,112
system,111
ruvaneth,111
pyth,111
bardh,111
chinek,111
ri,110
italek,110
hav,110
didhuwydhyon,110
resegva,110
arenebedh,109
ynno,109
wlas,109
kottha,109
wari,109
vro,109
vewnans,109
rewlys,109
nihonek,109
deg,108
sempel,108
sans,108
klass,108
hwesker,108
sj,108
chyf,107
kryjyans,107
powyow,107
kanow,107
ryb,106
norgagh,106
possybyl,106
kevarwodhoryon,106
glastan,106
iwerdhonek,105
via,105
goth,105
mars,105
wordhen,105
maria,105
tochya,105
arbennek,104
romans,104
lywydh,104
lynn,104
tanow,104
cm,104
