word,count
жана,192560
менен,99804
боюнча,54668
кыргыз,53967
суу,49226
мамлекеттик,44470
бир,44340
шилтемелер,40896
колдонулган,40869
адабияттар,37824
ал,37586
жылы,37343
коду,36646
км,36058
башкы,34777
болгон,32942
да,30763
энциклопедия,30756
болуп,29957
тышкы,27307
үчүн,27131
бул,26632
борбору,26562
же,25985
анын,25660
калкы,24917
эле,24723
киши,24498
тил,24461
кыргызстан,22860
республикасынын,22060
улуттук,21161
деп,20897
аянты,19965
чейин,18921
том,17854
башка,17822
бар,17611
шаарлары,17602
дарыянын,17504
болот,17174
дарыя,17094
штатынын,16822
расмий,16791
энциклопедиясы,16688
ги,16515
бишкек,15917
асанов,15790
кирет,15148
акш,15104
ар,14991
айыл,14919
жайгашкан,14880
дарыялары,14801
алган,14679
жогорку,14675
бардык,14374
окуу,14317
кийин,14200
жер,13961
пайда,13856
эл,13775
катары,13390
илимий,13385
ичинде,13373
жыл,13232
көп,12878
булактар,12753
деген,12600
өз,12440
жылдын,12021
болжолдуу,11969
эң,11966
жылдан,11774
негизги,11715
эмес,11712
орусиянын,11665
эки,11653
турган,11566
илл,11242
округуна,11240
манас,11210
чоң,11196
маалыматы,11139
шаары,10919
реестринин,10915
башчысы,10718
совет,10710
орун,10551
мамлекет,10377
алып,10217
бөлүгү,10120
бири,10091
ошондой,9993
редактору,9943
алардын,9712
редакциясы,9629
билим,9600
бет,9468
гана,9409
германия,9395
кара,9387
жөнүндө,9358
аркылуу,9140
районуна,8920
бирок,8916
кыргызча,8911
караган,8905
муниципалитет,8813
берүү,8795
турат,8769
бекитилген,8734
орусча,8733
алар,8720
облусунун,8720
бассейнинин,8665
жатат,8592
аны,8551
ред,8540
чыккан,8505
белгилүү,8460
изилдөө,8454
шаарларынын,8430
облусу,8410
эми,8394
узундугу,8363
кыргызстандын,8336
жылдары,8316
жөнүндөгү,8270
түндүк,8178
орто,8175
биринчи,8152
андан,8058
ошол,7988
жаңы,7981
районундагы,7976
жок,7862
табигый,7857
декабрь,7851
ак,7752
энциклопедиялык,7606
жери,7594
тоо,7537
өтөт,7525
жалпы,7519
жеринде,7504
адам,7422
куралы,7414
сайты,7359
миң,7339
ээ,7322
төмөнкү,7315
карата,7284
энциклопедиясынын,7263
айрыгы,7259
жолу,7254
аралык,7214
кызыл,7201
тарабынан,7124
административдик,7118
сөздүгү,7118
саны,7088
башкыртстандын,7088
дарыясынын,6944
түштүк,6910
федеративдик,6847
учурда,6814
пайдалануу,6678
карайт,6674
келген,6659
орусия,6632
чыгыш,6614
атындагы,6551
муниципалитеттин,6527
келип,6516
кол,6490
инсандар,6445
ага,6378
куйган,6342
агып,6268
каршы,6265
району,6235
саясий,6226
өтө,6202
азыркы,6101
юридикалык,6092
чейинки,6091
кандай,6090
калган,6082
айрым,6069
көз,6039
эмгек,5909
түшүнүктөр,5903
орус,5900
орусиядагы,5886
көркөм,5868
алуу,5815
экология,5815
бассейни,5803
бөлүнөт,5792
федерациясынын,5779
чарбачылык,5749
байыркы,5744
баш,5733
рф,5716
даярдаган,5709
ата,5694
мүмкүн,5693
маалыматтары,5676
аймактарын,5668
чыгарылышы,5653
ресурстары,5638
федералдык,5633
келет,5631
агенттиги,5597
гидрологиялык,5569
адабият,5560
ресурстар,5542
номуру,5536
болсо,5528
тарыхы,5516
айланасында,5508
колдонулат,5499
райондоштуруу,5497
акшнын,5486
бассейндин,5478
томунун,5472
министирлиги,5471
территориясынын,5465
шаар,5462
геоинформативдик,5458
батыш,5434
объектисинин,5407
реестриндеги,5390
обь,5386
жол,5328
улуу,5304
биология,5303
мисалы,5286
өзүнүн,5278
үй,5239
кеңири,5151
негизинен,5147
алгачкы,5137
кабыл,5137
үч,5127
түрү,5115
нын,5093
түрдүү,5079
мындай,5079
иш,5078
алыстыкта,5076
редактор,5028
жээгинен,5023
коомдук,5017
керек,5009
оң,5008
фрунзе,4999
сыяктуу,4929
кылымдын,4872
өнөр,4819
аталгылар,4814
ири,4797
нече,4790
долбоору,4781
экинчи,4733
түшүндүрмө,4732
баштаган,4724
ненец,4701
деңиз,4696
дагы,4659
жамааты,4647
туулган,4645
ош,4634
юридика,4626
иштеген,4622
уулу,4619
авторлор,4615
ала,4597
калкынын,4572
түшүнүктөрүнүн,4571
байланыштуу,4566
маалымдама,4550
басылыш,4550
анда,4533
жакын,4531
айылдык,4501
ард,4495
аталгылары,4493
чекки,4492
май,4477
статистикасы,4472
элдик,4463
өзү,4462
жарык,4458
англ,4449
алынган,4437
ат,4433
ички,4397
социалдык,4393
өткөн,4379
атайын,4378
берет,4364
жаткан,4348
ушул,4338
ысык,4251
башкыртстан,4234
саксония,4221
кан,4197
өзгөчө,4190
электр,4168
толук,4147
кайра,4126
сол,4126
туура,4125
ден,4114
тарых,4113
кеңеши,4081
лат,4054
тарыхый,4029
борбордук,4024
түрк,4007
мыкты,3979
аттуу,3978
түзүлгөн,3976
кен,3967
ссср,3965
аталган,3950
жеке,3936
статистикалары,3931
аз,3913
тууралуу,3891
жай,3884
жакшы,3881
почта,3873
айбанат,3872
аймагы,3862
аттарынын,3855
иштеп,3847
терминдеринин,3831
кылат,3822
дүйнөлүк,3813
күн,3789
түзөт,3783
айова,3748
кеңешине,3745
катуу,3730
нарын,3726
муниципалдык,3709
октябрь,3704
көл,3691
индекси,3663
физика,3661
январына,3657
жаш,3635
динамикасы,3623
айылдары,3616
таш,3607
болушу,3601
алат,3590
тургундардын,3562
дарыясы,3548
мектеп,3548
демографиясы,3547
окато,3544
илим,3541
мүчөсү,3537
сөз,3520
республикасы,3511
ишке,3508
негизинде,3485
химия,3464
курамы,3453
аталат,3442
саналат,3438
кытай,3429
миссури,3425
шаардык,3416
жерде,3415
сүрөт,3415
берген,3412
көптөгөн,3391
кылган,3373
сыйланган,3369
жылдык,3346
көбүнчө,3334
түз,3319
жарым,3305
пфальц,3290
ара,3271
адамдын,3266
кээ,3248
экономикалык,3236
темир,3234
нү,3232
тартып,3195
жараша,3182
кылып,3179
ылайык,3138
шаарында,3136
мында,3135
жан,3083
тилинде,3072
таануу,3068
майда,3066
ашык,3064
берилген,3061
округу,3061
чыгып,3048
тили,3046
өмүр,3041
чарба,3023
маалымат,3015
бирге,3013
тамак,3012
март,2988
аларды,2972
катар,2968
башкалар,2964
алтын,2949
рейнланд,2946
окуялар,2945
бавария,2921
жж,2920
печора,2913
кылымда,2896
согуш,2896
ачык,2890
көргөн,2879
түрдө,2877
