word,count
de,53905
la,31826
el,21563
en,20305
del,12507
kon,10825
es,10791
los,9906
ke,6972
al,6186
una,6164
las,5810
se,5577
un,5488
por,4908
sivdad,4483
su,4272
komo,3387
estado,3019
para,2804
enel,2696
vikipedya,2571
endemas,2519
artikolos,2503
grafia,2261
ladina,2182
anyo,2161
mas,2150
fue,1997
eksternos,1914
topa,1859
referensias,1838
lingua,1744
era,1711
no,1648
atamientos,1625
este,1581
meksiko,1543
djudios,1511
belediye,1424
sus,1388
sud,1366
esta,1330
tiene,1328
ver,1259
lokalidades,1245
entre,1193
kapitala,1172
parte,1150
israel,1147
norte,1060
ser,1050
nombre,1043
son,984
grande,970
governo,936
desde,904
kualo,866
sivdades,853
oeste,853
ay,851
lo,845
belediyes,843
san,841
ande,832
anyos,819
territorio,801
estados,781
espanya,772
departamento,753
jeografia,744
ma,723
rejion,722
kuando,717
lugar,702
dela,682
km,681
the,662
paiz,658
kavesera,654
repuvlika,653
ivrit,652
otros,650
uno,645
esnoga,636
sentro,636
payis,636
dos,611
povlasion,611
linguas,610
kuala,610
iva,585
mundo,584
konta,583
unidos,574
moradores,574
oy,573
mar,570
durante,563
djudia,562
of,554
kolinda,552
munchos,551
avitantes,524
gerra,519
istorya,511
djudeo,508
ansina,503
eya,498
evropa,498
que,493
dempues,493
komunita,492
tambien,485
otras,479
vilayet,464
espanyol,460
administrasion,457
mueva,456
nord,441
con,440
biervo,440
emportante,438
yamado,435
universita,432
fransia,431
primera,422
má,420
kultura,420
amerika,420
arabo,419
fueron,414
más,409
djudio,403
orijin,401
anke,398
yamada,393
le,389
kapital,389
famiya,385
yerushalayim,384
diskues,383
asta,368
yisrael,363
mayor,361
todo,358
ala,355
istoria,349
sin,348
afrika,346
izo,346
aze,343
todos,341
eran,340
chile,338
turkiya,337
grandes,335
oseano,335
etimolojia,334
payises,334
provinsia,329
vida,327
esto,327
in,324
tres,320
espanyola,320
unos,320
gran,318
munchas,317
superfisie,315
zon,314
muevo,312
primer,311
santa,311
basho,309
mujeres,305
personas,304
puede,301
dio,301
ensima,298
suya,294
brasil,293
ya,292
almania,288
komunitas,287
hue,287
alkunos,284
relijion,282
antes,282
enlasos,280
muy,279
kaji,278
forma,277
premio,275
kualos,272
paez,271
orijen,270
eyos,264
varias,263
aki,260
estos,259
venezuela,259
konosida,259
rio,259
union,259
endiya,258
reyno,257
si,253
web,253
and,250
djudias,249
kada,248
konosido,247
rejiones,246
emportantes,246
portugal,246
demografia,246
tienen,245
italia,244
partito,244
djudaismo,243
paizes,241
milyones,239
arjentina,239
edad,238
imperio,236
vilayetes,235
komunidad,232
puevlo,230
shefe,230
syéklo,229
antika,229
marroko,229
inglez,227
klima,227
madrid,227
tierra,226
kontro,225
azer,224
fina,223
sobre,222
kazal,222
anyada,220
primeros,220
aresivio,219
sinyifika,219
turizmo,219
eskola,218
ainda,218
frontiera,218
vez,217
ha,217
kastilyano,215
buto,214
york,214
ivan,214
rusia,214
sigunda,213
tiempo,211
alto,211
afilu,210
padre,209
asigun,206
como,205
egzisten,205
kolombia,205
distrito,205
empesijo,204
kaza,204
serka,203
oryente,203
va,202
otro,201
espesialmente,201
guatemala,200
santiago,200
estatos,198
ben,198
kina,197
sentrala,197
tener,196
estan,194
estas,194
alkunas,194
isbn,194
leon,194
uzado,193
ovras,193
hidalgo,193
deke,191
ofisial,190
isola,190
da,189
fragua,189
solo,187
ebrea,186
mujer,186
ebreo,185
kalifornia,185
toda,184
arte,184
antiko,184
agua,183
delos,183
musika,183
sieklo,182
livro,181
rey,181
tel,181
otonoma,181
pueden,180
otra,180
mismo,180
aviv,180
todas,178
ermanas,178
filmo,176
departamentos,176
lavoro,174
beira,174
politika,173
unitos,173
ekonomia,173
pasifiko,173
topan,172
madre,172
oro,172
izla,172
modre,171
david,171
independensia,170
medio,169
fransez,168
también,168
evropea,168
espanyoles,167
asya,167
presidente,167
uzo,166
kulturala,165
deriva,165
ofisiala,165
internasional,164
haham,164
diya,164
idish,163
kontinente,163
tora,163
lugares,162
partido,162
muncho,161
diferentes,161
azia,161
kualas,160
antonses,160
fondada,160
yisraeli,160
kanada,160
basha,160
marso,159
río,159
arjelia,158
esnogas,158
organizasion,157
sefardi,157
rumania,157
egziste,156
estudio,156
muzika,156
dize,156
sede,156
djurnal,156
oja,156
muzeyo,156
anyadas,155
onde,154
endagora,153
grupo,153
nasio,153
asia,152
nasido,152
nahuatl,151
dentro,150
mondiala,150
erensia,150
livros,149
isolas,149
sovre,148
palavras,148
viya,148
vezes,147
menos,147
komersio,146
biografiya,146
mayo,146
estambol,146
ministro,146
fin,145
mitolojiya,145
unido,145
varios,144
paz,144
kontrolo,144
zona,143
india,143
avril,143
endia,143
tanto,142
akodros,141
ayroporto,141
grafias,140
biervos,140
xix,140
aktual,140
polonia,140
tuvo,139
oksidente,138
katro,138
atlantiko,138
rejión,138
kastiya,138
partajado,138
grupos,137
sefaradim,136
peru,136
endemás,136
juan,136
máale,136
literatura,135
poko,135
ijo,135
puebla,135
ii,134
eskritores,134
nunka,133
paris,133
puerto,133
politiko,133
syeklo,132
panama,132
unas,131
xx,131
avlada,131
medalya,131
beleyide,131
epoka,130
politikos,130
majorita,129
ladino,129
sefaradi,129
bulgaria,129
juárez,129
está,128
playstation,128
arkitektura,127
dar,127
lashon,127
diyas,127
an,126
josé,126
prestor,126
pero,125
sistema,125
estudios,125
luis,125
edukasion,125
ayudo,125
latina,124
metros,124
nasional,124
abitantes,124
pedro,124
alefbet,123
djuegos,123
morelos,123
espor,122
oryentala,122
metropolitana,122
djente,122
oksidental,121
sinema,121
persona,120
gresia,120
sido,120
muerte,120
verso,120
dempués,120
uzada,120
siendo,120
alta,120
kanal,120
frontieras,120
ansi,119
avla,119
signifika,119
izlas,119
djulio,118
instituto,118
peninsola,118
shabat,118
new,118
oksidentala,118
amijor,117
numero,117
movimento,117
armada,117
diritos,117
meksikana,116
nasionala,116
poder,115
umanos,115
ombres,115
puevlos,115
sólu,115
noroeste,115
echo,114
olam,114
popular,114
endjunto,114
moshe,114
pajina,114
les,113
ley,113
jeneralmente,113
prinsipal,113
kosta,113
yama,112
maroko,112
tunesia,112
francisco,112
prinsipalmente,111
radio,111
baza,111
hahamim,111
linea,111
ayifto,110
onor,110
betahayim,110
jenero,109
primero,109
romano,109
eskrito,109
relijioza,109
salvador,109
festival,109
amerikano,109
nasida,109
araba,109
kazas,109
chiko,109
tequixquiac,109
palavra,108
djunio,108
kaleja,108
bet,108
azen,107
akeyos,107
izmir,107
ovra,107
uza,106
aktualmente,106
jeneral,106
islam,106
industria,106
chika,106
kal,106
rabino,106
komparte,106
buenos,105
sensias,105
me,105
arabos,105
honduras,105
roma,104
bosnia,104
teatro,104
golfo,104
afinkaron,104
algunos,103
proviene,103
bivir,103
ijos,103
prezidente,103
paraguay,103
karriera,103
aglutinasion,103
meldar,102
izieron,102
diskués,102
ija,102
yego,102
territoriala,102
metro,102
fraguas,102
olimpikos,102
villa,102
kariera,102
maz,101
mientres,101
ruso,101
aguascalientes,101
andaluziya,101
futbol,101
internet,100
traverso,100
tenia,100
jewish,100
sitio,100
sinyor,99
oktobre,99
priméra,99
granada,99
kazales,99
sudeste,99
ekip,99
sensia,98
punto,98
italiano,98
ken,98
fevrero,98
yegó,98
referensia,98
ubikada,98
biven,98
azerbaidjan,98
rav,98
afilú,98
agora,97
mi,97
avlantes,97
eskolas,97
madjaristan,97
primér,97
guerrero,97
toluca,97
siempre,96
lista,96
periodo,96
programa,96
sefaradis,96
parlamento,96
evropeo,96
serralada,96
ese,95
yamados,95
entreprisa,95
empiesó,95
total,95
ekvador,95
kastilyana,95
campeche,95
dia,94
ekonomiya,94
kolor,94
noviembre,94
turko,94
ez,94
ogusto,94
van,93
for,93
prima,93
tyene,93
muncha,93
com,93
antikos,92
disho,92
antikas,92
akódro,92
barselona,92
sinko,91
leyes,91
partes,91
paso,91
ombre,91
viene,91
pueder,91
rika,91
area,91
asegun,91
govierno,91
ajuntamiento,91
echa,90
ambezo,90
kuzina,90
ofisialmente,90
mondial,90
kantikas,90
manera,89
santo,89
eskritos,89
tradision,89
bolivia,89
distritos,89
apartajado,89
turkana,89
disiembre,88
enla,88
yegaron,88
famiyas,88
portugez,88
on,88
titolo,88
nikaragua,88
tinía,88
querétaro,88
zumpango,88
prinsipales,87
unesco,87
nasiones,87
turkia,87
kamino,87
sur,87
kapitalas,87
delas,87
muevas,87
trenos,87
minima,87
vino,87
fraguada,87
hasta,86
nasió,86
real,86
kinezo,86
katalunya,86
wilaya,86
treno,86
alman,85
animales,85
han,85
lado,85
fransesa,85
unika,85
frágua,85
michoacán,85
komun,84
media,84
luz,84
orden,84
estar,84
tyempo,84
enfluensia,84
djenero,84
maría,84
potosí,84
konsiderado,83
grup,83
kantika,83
desvelopamiento,82
eskrita,82
donde,82
temperatura,82
publikado,82
mediterraneo,82
eskritor,82
internasionala,82
tyerra,82
iran,82
uruguay,82
nivel,81
grego,81
frente,81
misma,81
uzan,81
artes,81
sol,81
sigundo,81
ayi,81
porto,81
tierras,81
aek,81
lokalidad,81
guanajuato,81
siglo,80
otomano,80
iglesia,80
murio,80
sefardis,80
mil,80
jerusalem,80
territorios,80
noreste,80
knesset,80
meksikanos,80
evropeos,80
sigientes,79
padres,79
avlan,79
sarajevo,79
monte,79
shanghai,79
italiana,79
eskapo,79
emportansia,78
sentral,78
modelo,78
plata,78
vieja,78
déke,78
serie,77
turkano,77
ni,77
kolonia,77
sudoeste,77
karibe,77
sovyetika,77
kampo,76
tambyen,76
ekstension,76
kreye,76
chikas,76
estava,76
iberika,76
musulmanos,76
istoriko,76
bashos,76
nombres,76
asentamientos,76
ankontra,76
ve,76
entidad,76
jurnales,76
bien,75
konose,75
ekonomika,75
ar,75
fondado,75
veracruz,75
talmud,75
aviya,75
ursus,75
chiapas,75
kual,74
direktor,74
suisa,74
alkunya,74
zionismo,74
kordova,74
amerikana,73
kipre,73
prinsipala,73
sahara,73
montanyas,73
amostra,73
shefes,73
sony,73
kedo,72
final,72
einstein,72
moderna,72
akodro,72
avlado,72
elevos,72
onra,72
orijinalmente,72
endjuntamente,72
espasio,71
konosidos,71
tras,71
katolika,71
militar,71
kilisia,71
estil,71
dechidio,71
yukatan,71
kantidad,70
teksto,70
inglesa,70
entereso,70
espozo,70
aziendo,70
komunidades,70
londra,70
aktrisa,70
red,70
yisraelis,70
irak,70
galizia,70
hueron,70
ermanada,70
herzl,70
haifa,70
monterrey,70
ama,69
momento,69
reyes,69
shalom,69
to,69
meksikano,69
jalisco,69
enerjiya,68
xvi,68
et,68
templo,68
segunda,68
romanos,68
servisio,68
filmos,68
yosef,68
tanah,68
republika,68
plasa,68
fakto,68
portugeza,68
data,68
karne,68
ubikado,68
orijinaria,68
kriar,67
eyas,67
versiyon,67
kampos,67
premios,67
uzando,67
vaye,67
keda,67
idioma,67
moderno,67
troko,67
lashones,67
selanik,67
franseza,67
relijiozos,67
konsejo,67
palestina,67
dias,67
provinsias,67
quintana,67
kale,66
