word,count
de,265547
an,255770
der,219767
vun,182533
vum,143959
den,129624
am,128897
ass,117467
déi,91301
regie,77365
huet,77043
eng,75375
haaptacteuren,74300
zu,74212
op,73774
fir,61547
vu,60698
align,56315
right,56166
mat,55317
um,55008
war,52776
gouf,50696
och,48928
et,48915
en,44664
mam,42353
dem,41480
la,36276
als,36096
the,35199
spaweck,33007
bis,32158
gebuer,32120
aus,32037
lëtzebuerg,29559
si,28844
ginn,28413
hien,28367
sech,27587
gëtt,26686
bei,25796
jean,25642
ze,24673
joer,24519
engem,24272
enger,23323
franséisch,23228
wéi,22487
sinn,22400
le,22267
gestuerwen,21985
gemeng,21229
no,20316
oder,20257
un,20245
des,19763
hie,19386
arrondissement,18825
of,18392
chr,18384
dat,18092
net,17247
iwwer,16884
méi,16536
lëtzebuergesch,16214
deen,16167
du,15949
filmer,15748
gemengen,15419
seng,15371
duerch,15297
hunn,15288
us,15053
se,14980
in,14934
saint,14867
kuckt,14822
lëtzebuergesche,14801
hat,14627
datt,13521
film,13451
les,13228
stad,13124
departement,12976
nach,12649
pierre,12517
regioun,12379
die,12148
zum,11809
awer,11274
uertschaften,11058
ëm,10842
paul,10579
do,10563
und,10538
goufen,10283
tëscht,10145
grand,10110
joerhonnert,10014
ënner,10008
dee,9976
robert,9616
luxembourg,9347
éischt,9290
isbn,9144
numm,9136
von,9063
sou,8987
lëtzebuerger,8845
canton,8734
mee,8690
hir,8598
deem,8576
schauspiller,8537
all,8507
ee,8505
wat,8287
lëscht,8246
wou,8239
een,8207
kanton,8145
zanter,8119
oktober,8106
läit,8033
john,8016
januar,7995
mäerz,7926
säi,7904
sur,7875
september,7763
juni,7751
juli,7673
dezember,7641
kierch,7618
well,7540
sengem,7501
km,7471
däitsch,7441
amerikanesch,7356
politiker,7251
februar,7223
abrëll,7128
där,7117
waren,7076
literatur,7047
august,7021
franséische,7016
november,7005
senger,6972
beim,6959
michel,6899
and,6894
websäit,6862
genannt,6826
geet,6566
claude,6537
nom,6448
geschicht,6349
fréier,6262
deel,6111
ngc,6092
haut,6089
charles,6022
frankräich,5864
amerikanesche,5843
nei,5828
france,5827
zäit,5826
jacques,5814
est,5812
gemaach,5800
krut,5768
bekannt,5726
administrativ,5669
peter,5630
richard,5626
louis,5611
andeelung,5605
dës,5586
uertschaft,5562
paräis,5507
duerno,5496
däitsche,5467
ronn,5427
lëtzebuergeschen,5392
géint,5342
zur,5304
gehéiert,5290
plaz,5238
säit,5233
ganz,5223
joseph,5172
koum,5095
tour,5062
virun,5049
kann,5040
belsch,5030
henri,4983
vill,4958
mä,4958
schauspillerin,4945
éischte,4931
serie,4869
dräi,4836
entdeckt,4795
gegrënnt,4777
land,4687
grouss,4682
marie,4681
hu,4671
offiziell,4634
säin,4623
françois,4606
er,4575
michael,4566
kuerzfilm,4566
das,4551
tv,4537
andré,4509
gi,4501
aner,4492
zesumme,4486
joren,4433
president,4425
steet,4368
provënz,4325
meter,4296
esch,4264
puer,4217
george,4130
nëmmen,4118
van,4109
leit,4087
georges,4069
enn,4016
kultur,3969
laang,3964
new,3947
gebaut,3922
astronom,3912
filmregisseur,3879
nees,3869
wéinst,3867
däitschland,3842
evenementer,3829
konscht,3827
di,3808
james,3802
hans,3794
usa,3793
il,3747
member,3745
maria,3733
ëmmer,3717
ii,3710
stärebild,3699
zwou,3640
konnt,3636
hire,3616
paris,3596
wann,3546
technik,3491
kinnek,3490
par,3486
gespillt,3471
him,3471
bernard,3453
famill,3433
au,3426
al,3420
martin,3415
wëssenschaft,3414
deenen,3373
kënnt,3371
national,3370
weider,3369
wärend,3357
nicolas,3339
gare,3331
dofir,3320
david,3310
schonn,3284
weltkrich,3248
dobäi,3248
alpes,3239
welt,3235
zweete,3207
to,3187
dann,3184
ordre,3177
schrëftsteller,3171
roger,3171
moler,3168
kader,3162
william,3156
italieenesch,3125
philippe,3117
liewen,3097
im,3081
rené,3069
äerd,3049
auteur,3020
strooss,3020
kleng,3014
ongeféier,2986
filmographie,2985
domat,2970
ufank,2965
une,2949
nr,2939
gesinn,2935
berlin,2921
foussballspiller,2895
awunner,2891
héicht,2888
keng,2885
biller,2873
york,2854
besteet,2849
just,2841
