word,count
ва,10805
тир,5932
авай,5288
йисан,4939
райондин,4884
йисуз,4579
хуьр,4396
лагьай,3865
лезги,3474
йис,3408
агьалияр,3311
элячӏунар,3160
вири,2829
са,2791
чӏехи,2641
пата,2637
галаз,2587
хуьрер,2517
кас,2479
баянар,2344
виш,2309
хуьруьн,2210
дагъустан,2196
республикадин,2121
тӏвар,2098
хьана,2090
км,1836
алай,1829
хуьре,1763
дагъустандин,1640
адан,1582
ава,1573
юкь,1567
дин,1549
килигна,1540
ам,1531
сад,1469
география,1468
кьилин,1423
район,1422
шегьер,1418
чӏал,1412
уьмуьр,1381
тарих,1378
ада,1350
урусатдин,1337
хуьруьнсовет,1331
районда,1329
пара,1318
ала,1215
виридалайни,1213
квай,1198
рагъакӏидай,1195
чӏавуз,1194
чка,1189
агьалийрин,1189
вичин,1180
пай,1163
кьадар,1151
акатзава,1138
къачунин,1136
яз,1136
администрациядин,1128
юкьван,1106
акатзавай,1105
рагъэкъечӏдай,1052
мусурманар,1047
арада,1028
кьибле,1026
арадал,1025
кьван,1014
кьурвал,1007
гьукуматдин,977
гьакӏни,929
суни,921
гзаф,921
яргъал,888
хьиз,869
сайт,859
цӏийи,858
йисара,853
талукь,839
официал,829
малуматрив,826
гьа,815
вилик,814
касди,803
маса,802
агьалидин,798
шегьердин,789
жезва,768
вини,754
дуьньядин,752
хьанвай,752
сиягьдиз,750
урусат,746
къене,742
дидедиз,734
хуьруьнсоветдик,733
чи,731
кьве,729
хва,723
халкьдин,720
галай,719
шаир,719
чӏалан,714
сифте,712
кефер,710
урус,698
азербайжандин,697
кцӏар,696
лезгияр,693
азербайжан,678
чӏалал,671
патал,667
вилаятдин,666
империядин,666
амма,665
кьулухъ,664
йисалай,640
стӏал,632
ийизвай,612
хуьруьнсоветдин,612
куьч,611
ван,607
садлагьай,602
вацӏун,596
чӏалар,589
хъачмаз,588
абур,587
хьунин,585
кьиле,584
округдин,576
патан,573
абурун,567
акуша,562
ахцегь,561
чара,560
кьунва,559
чпин,559
агъа,540
йисариз,536
дербент,532
дегь,530
эдебият,526
дегиш,525
хуьрелай,525
тарихдин,523
лап,518
хайи,518
гъилик,514
яшамиш,512
куьре,506
вакъиаяр,505
чкадал,499
шегьерар,495
авуна,493
гьалтайла,492
хьайи,483
самур,480
гьалзавай,478
жезвай,470
бине,461
сулейман,455
къавкъаздин,451
им,450
ина,449
динамика,447
административ,445
европадин,437
рутул,437
муниципалитет,437
югъ,434
пуд,430
мектеб,430
йисарин,428
асул,426
шегьерда,419
адаз,419
кьурагь,415
хьанай,414
сиягьриз,411
кеферпатан,409
империядик,409
шумуд,403
кьил,403
гьар,394
дарги,394
мукьвал,394
кефердинни,392
агъзур,392
эрадин,391
райондик,387
гьукумат,386
хуьруьнсоветар,386
ул,385
халкьарин,384
кардик,377
гъвечӏи,376
гьуьлуьн,375
агъзурни,374
шаирар,371
чилер,370
дяведин,368
кьиблединни,368
малуматар,363
патахъ,360
республика,359
халкьар,359
гилан,359
патай,358
мсб,357
майдан,356
тӏимил,355
авайди,355
жуьре,350
ксар,348
нетижайриз,343
гана,343
фена,339
гвай,334
хив,329
тӏварунихъ,326
советрин,326
кьиблепатан,325
хъсан,325
шиирар,324
санал,324
суван,320
шегьердилай,320
дуьньяда,318
округдихъ,318
пад,316
кьвепеле,313
гуьгъуьнлай,312
зурба,312
къачуна,311
авар,310
мегьарамдхуьруьн,307
абурукай,306
наибвалдиз,306
эгечӏна,305
америкадин,304
цин,304
араб,304
уьлкведин,302
чилерал,299
аваз,299
хьанва,298
алим,297
куьруь,295
яргъи,294
рехъ,292
чӏаларин,291
лугьудай,291
ботлих,291
илимрин,291
туьрк,289
эсерар,288
кьведлагьай,286
абуру,286
григорийдин,285
малуматриз,284
кӏвалахна,283
кьунвайди,282
акатнай,281
вич,280
дяве,280
авур,276
сувун,276
туш,275
ахпа,274
федерациядин,274
чилин,273
бабаюрт,273
малум,272
гафар,269
кьунвай,268
хьтин,268
буйнакск,266
умуми,265
чӏаваргандал,264
нугъат,263
куьтягьна,263
тухузвай,261
кутунай,261
ийизва,260
авунай,260
муькуь,258
сайтуна,258
тӏварар,257
кьакьан,256
вацӏ,255
гъейри,255
сиягь,255
ибарат,253
вилаят,253
