word,count
la,135552
de,95467
es,47805
ia,41294
en,40264
un,37312
per,15403
sua,12244
cual,11740
par,11461
plu,11265
como,11247
con,10301
lo,8716
el,8580
ave,7243
ce,6853
no,6756
los,6062
esta,5896
pote,5025
multe,4900
ma,4644
on,4565
otra,4230
ance,4224
alga,4179
lingua,3595
linguas,3488
du,3438
sur,3308
entre,3161
grande,3080
cuando,3067
ci,3022
pos,2894
sirca,2839
usa,2809
prima,2750
si,2713
deveni,2575
an,2493
tota,2382
sude,2375
comun,2373
sentenio,2363
norde,2331
comensa,2269
ueste,2195
me,2176
usada,2173
nom,2149
sola,2076
nomida,1986
este,1892
popla,1888
nos,1869
aec,1816
tre,1783
tra,1780
persones,1768
ante,1706
ca,1705
ta,1674
xef,1669
anios,1644
nova,1610
inclui,1562
parte,1558
mundo,1552
eda,1529
mesma,1514
se,1512
site,1481
vide,1446
cultur,1444
engles,1424
parolas,1418
mar,1412
bon,1393
fini,1392
europa,1388
loca,1375
impero,1372
forma,1347
istoria,1328
vive,1321
roman,1284
tu,1270
gera,1270
antica,1260
esemplo,1254
nomes,1242
asta,1220
su,1219
familia,1212
area,1205
the,1202
tempo,1200
car,1184
rena,1172
spesial,1161
rio,1160
franses,1149
conoseda,1146
scrive,1135
temprana,1135
cuantia,1129
aveni,1122
seguente,1100
peti,1097
latina,1095
orijinal,1089
elinica,1079
sinifia,1076
debe,1072
mori,1062
do,1051
periodo,1033
crea,1029
pais,1023
cada,1016
sistem,1012
parola,1002
person,1001
developa,998
sin,993
verbo,987
incluinte,978
tera,968
importante,967
vea,965
alta,960
estende,953
move,932
dise,931
indica,930
simil,929
america,925
re,918
modo,909
aora,907
leteratur,901
unida,899
varia,891
posible,884
va,874
causa,873
major,868
fa,868
dio,864
statos,863
tarda,857
jeneral,856
resulta,852
alora,841
min,839
verbos,837
parla,835
moderna,833
anio,832
studia,818
prosima,814
cambia,799
of,793
stato,791
capital,788
espaniol,788
cuatro,787
acel,786
crede,785
frans,781
cosa,777
sentral,776
asia,776
esiste,772
governa,768
pe,764
elefen,759
partes,754
longa,753
africa,751
composada,747
cualce,744
oji,743
contra,742
pasada,741
resta,741
etc,738
scriveda,731
ajunta,724
formas,723
tipal,722
parlada,717
jua,717
veses,712
libro,709
ofisial,707
abita,705
milion,704
isolas,702
vade,699
tal,695
veni,691
otras,691
estra,685
casa,673
spesies,670
umana,667
final,667
vera,666
deutx,665
media,664
rejion,662
ordina,650
femes,650
ojeto,647
grupo,646
continua,644
republica,639
tan,634
diferente,633
propre,629
fundida,626
donce,625
ultima,625
sosial,619
refere,618
relijio,615
european,613
nase,611
umanas,606
segue,605
animales,597
simple,596
apare,594
roma,593
espania,592
alfabeta,590
dona,589
cosas,586
mostra,584
nosa,582
come,581
pd,581
eglesa,579
in,577
medieval,573
isola,571
produi,570
trovada,570
pronomes,568
idea,567
potia,564
sujeto,563
nota,563
enfantes,559
abitores,555
natural,554
italia,548
padre,547
ambos,544
crese,544
political,543
paises,542
arabi,541
xina,541
presente,540
supra,538
san,533
deutxland,533
om,529
and,529
ancora,529
ata,528
sentenios,527
nasiones,526
acua,525
vocales,524
cuasi,524
videda,522
jeografia,520
interna,517
plural,515
des,515
demanda,514
nasional,512
normal,512
labora,506
forte,504
trova,503
ajetivos,501
conteni,500
basa,500
sinco,499
ec,499
corpo,498
uni,497
esterna,489
casos,487
estas,486
relatada,484
permete,483
american,481
aida,481
grupos,480
biografia,479
england,475
parlores,475
teoria,474
probable,472
areas,471
mundal,468
filosofia,467
colie,467
omes,460
pesos,459
obras,455
costa,454
creada,454
atenta,451
pare,450
tradisional,449
orijina,448
arte,448
libros,444
nomi,441
km,438
via,435
ala,435
gania,434
brites,433
lado,433
construida,433
fema,431
formi,431
universia,431
descrive,430
vole,430
cualias,430
locas,429
variosa,429
nesesa,428
sites,426
corta,425
xines,423
esemplos,423
santa,422
germanica,421
locada,419
negra,419
autonom,418
italian,417
direta,415
le,415
provinse,415
completa,415
influe,414
ja,414
ariva,413
caso,413
internasional,412
construi,411
sempre,410
poplas,410
cade,410
mas,409
dinastia,407
varias,404
reseta,402
economia,400
istorial,400
fio,399
posese,398
espresa,396
cultures,396
madre,395
comersia,394
ateni,394
rusce,392
rol,391
rusia,391
condui,389
numero,388
introdui,386
popular,386
ama,385
poca,380
siensa,379
frase,378
teritorio,378
consonantes,377
libre,374
desenio,374
militar,374
cilometres,372
leteras,372
acorda,372
intera,371
razona,371
table,371
economial,368
cristian,367
ses,366
membros,365
dia,363
lege,363
comunia,362
cultural,362
divideda,362
batalia,362
promove,360
controla,359
relata,359
prende,359
psicolojia,359
nara,358
india,357
sentro,356
ideas,356
frecuente,354
