word,count
mu,45040
nga,16077
ku,16034
ne,8439
era,7104
ng,6194
uganda,6057
oba,5286
ya,5128
of,5087
okuva,3828
wa,3755
the,3730
ky,3608
nti,3325
by,3304
bw,3257
kya,3056
ye,2897
abantu,2857
gwa,2839
bwe,2819
eby,2699
ey,2457
kino,2350
buli,2234
ly,2195
yali,2188
lw,1958
ate,1902
bwa,1864
gw,1863
omuntu,1856
gye,1791
ez,1773
and,1758
united,1714
in,1675
olw,1659
mwaka,1624
nsi,1614
za,1572
oluvannyuma,1535
states,1531
texas,1522
lya,1520
eky,1518
ssaza,1516
eya,1505
nnyo,1480
eno,1470
enjawulo,1455
gy,1389
kye,1388
to,1387
ensi,1315
naye,1255
bya,1237
okuba,1228
ekya,1219
omu,1217
ekibiina,1147
eri,1137
namba,1135
disitulikiti,1083
ogw,1075
kampala,1070
okukola,1020
we,1015
okutuuka,1009
kifo,984
wamu,982
ba,979
gavumenti,973
ow,968
bino,967
lwa,963
university,959
eggwanga,955
georgia,953
wakati,939
school,937
eyali,932
ebifo,928
emirimu,925
kw,914
obulamu,907
muwanga,897
embeera,891
kwe,888
ga,869
yonna,868
ebintu,866
alina,860
abaana,857
kyokka,849
yuganda,836
na,826
for,822
america,821
amazzi,820
africa,818
gwe,816
ka,804
paalamenti,804
emu,801
buganda,793
wansi,789
okubeera,787
yazaalibwa,784
erisangibwa,775
luganda,772
ali,772
ebisangibwa,772
county,769
aba,766
endala,765
bye,764
mbeera,755
amagombolola,743
national,741
awamu,739
ekyo,735
waliwo,735
wabula,734
ebirala,733
emyaka,733
ekintu,727
ttiimu,725
ddala,724
kentucky,723
ensonga,720
ekifo,704
ebitundu,704
singa,703
empalirizo,703
is,701
missouri,700
zino,688
gya,680
obw,679
ngeri,679
engeri,675
amaanyi,673
buno,668
later,666
add,661
makerere,659
maps,657
obutonde,656
kwa,655
kubanga,655
okutuusa,655
ekibuga,651
with,636
kuba,622
yalondebwa,621
ekitongole,617
be,616
ze,602
omubiri,602
lwe,601
ii,601
mulimu,599
ennyimba,594
obulwadde,591
diguli,589
eza,581
charles,579
egy,577
omupiira,574
ennyo,572
abalala,571
pulezidenti,564
ggwanga,563
omwana,560
maaso,555
okufuna,548
amateeka,548
