word,count
de,258246
in,137014
en,107636
van,79611
vaan,62790
is,50820
op,37490
veur,23937
mèt,23773
es,23207
ouch,21553
te,20751
die,20079
zien,18679
ne,17354
door,17335
oet,17322
nao,16892
tot,15914
of,15209
neet,14397
woort,12609
weurt,12234
gemeinte,11728
me,11233
wie,10920
dat,10640
waor,10520
dit,10465
ze,9944
aan,9306
aon,9305
ein,9214
nog,8808
mit,8708
nederlandse,8149
bij,7773
väöl,7717
um,7076
al,7045
wat,6970
dees,6930
heer,6830
meh,6649
heet,6457
bie,6250
euver,6010
jaor,5966
det,5716
ziech,5556
km,5420
dao,5401
va,5398
luuj,5321
ies,5255
iew,5227
nederlands,5153
zie,5062
weure,5047
vanne,5019
hae,5010
höbbe,4912
gesjtorve,4892
oonder,4842
zeen,4638
haet,4545
deil,4496
amerikaanse,4371
wel,4283
nen,4217
zoe,4194
franse,4160
land,4139
tied,4103
kump,4059
mie,3997
limburg,3991
veural,3914
ierste,3898
stad,3894
had,3860
belsj,3803
twie,3749
evels,3726
tösse,3662
mer,3651
inne,3628
dae,3578
gemeintes,3539
aander,3517
eine,3469
zich,3397
waere,3339
boe,3311
alle,3307
jaore,3224
waas,3166
hun,3099
ligk,3087
dee,3085
gans,3059
later,2975
wuuertj,2954
hei,2947
provincie,2924
woorte,2887
mei,2882
juli,2878
allein,2877
dèks,2873
jannewarie,2869
gebruuk,2864
groete,2861
wirt,2838
augustus,2829
juni,2783
häör,2767
nederland,2738
regio,2688
december,2682
kin,2630
oktober,2589
dialekte,2586
naam,2569
noe,2557
dörp,2555
november,2546
gebeed,2521
the,2498
geneump,2494
september,2488
kaom,2485
weer,2454
fibberwarie,2387
april,2371
ziene,2365
inwoeners,2334
europa,2329
naom,2329
klein,2326
gein,2291
zint,2290
taol,2287
gief,2282
kilometer,2282
anger,2281
limburgse,2231
waore,2226
sjriever,2224
geit,2189
frankriek,2189
sjtad,2188
daan,2182
ónger,2181
dus,2173
frans,2155
groet,2147
taole,2137
duutsje,2136
miert,2121
boete,2108
noord,2106
toet,2099
gesjtórve,2094
politicus,2089
gebroek,2088
óm,2083
get,2082
zuid,2075
kinne,2069
europese,2068
make,2063
kan,2057
daag,2052
veer,2044
good,2037
externe,2032
waal,2025
gebaore,2001
belzje,1997
bekind,1996
twiede,1991
keuning,1991
historie,1955
grens,1955
nui,1951
same,1950
officieel,1945
vreuger,1942
plaots,1942
ummer,1934
gemèndje,1930
het,1910
umtot,1902
website,1896
veerkante,1895
zuug,1881
mestreech,1874
biej,1839
sinds,1838
britse,1837
drei,1835
lies,1827
pas,1824
sint,1808
gemaak,1806
riek,1806
versjèllende,1795
water,1795
der,1784
link,1772
lui,1765
eige,1746
president,1721
wes,1706
nord,1706
den,1705
tege,1696
allewijl,1690
binne,1690
vörm,1673
begin,1648
noorde,1617
dialek,1612
jan,1604
ardennes,1600
óp,1586
daomèt,1581
zelf,1565
góng,1561
ardenne,1546
diverse,1521
wäörd,1519
ii,1519
algemein,1510
bevolking,1507
artikel,1487
staot,1465
wijer,1462
besteit,1456
ganse,1454
haw,1448
kèrk,1447
zelfs,1443
inweuners,1441
departemint,1423
minder,1420
dan,1416
plaats,1415
lèste,1415
gebore,1410
nuuj,1388
