word,count
de,78715
da,39256
in,23852
do,19232
di,13517
pe,10789
che,9633
âtri,8620
progètti,8550
ch,8392
se,8169
inta,8105
into,7626
architetûe,6001
inte,5901
co,5891
na,5700
provinsa,5122
ciù,5068
un,4672
stöia,4390
con,4287
du,4274
ascì,4221
gh,4137
fæti,3945
no,3618
sò,3573
pòsti,3468
àzia,3453
àfrica,3445
mòrti,3433
nasciûi,3424
coltûa,3401
euröpa,3374
fèste,3369
arte,3305
interèsse,3283
costruçión,3211
tra,3204
economîa,3171
giögrafîa,3063
inovaçión,3058
religiôze,2996
fêe,2992
comûni,2988
aministraçión,2982
civîli,2934
comûne,2853
comunicaçioîn,2832
manifestaçioîn,2829
ma,2793
chi,2788
quæ,2754
stæto,2580
so,2521
san,2310
çittæ,2245
inti,2196
cómme,2100
comme,2004
són,1995
cun,1991
zêna,1972
sce,1914
êa,1861
zena,1748
nòtte,1718
stæta,1596
çitæ,1573
ànno,1572
pàrte,1532
parte,1525
atri,1470
son,1440
ina,1409
ha,1407
ànni,1407
metropolitann,1385
ghe,1366
fu,1357
ea,1334
la,1332
fin,1324
ciü,1310
coscì,1268
dòppo,1198
sciâ,1175
ciu,1117
una,1115
àn,1073
mâ,1061
fra,1051
lengua,1034
prìmma,994
primma,993
fæto,991
abitanti,983
gêxa,976
au,975
sàn,966
seu,965
intu,955
italia,952
segondo,946
léngoa,928
nomme,928
anni,909
te,890
sécolo,889
lê,864
pi,858
fìn,847
êse,843
bén,843
mòddo,839
comùn,803
ancheu,798
unn,795
sta,792
turin,790
biografìe,783
unna,750
lìgure,743
doppo,743
quéllo,743
nobel,741
staçión,734
américa,734
cu,729
quélla,728
ben,727
zenéize,720
ògni,714
quande,713
capitâle,709
anche,707
stati,706
quella,702
za,694
pé,692
colegaménti,691
vegne,691
sun,689
mæximo,684
vìtta,671
doî,650
léngoe,645
nòrd,643
sciô,642
questo,642
esterni,642
dî,641
ne,640
âtre,638
stato,634
prémio,631
pàize,629
repùbrica,620
dôe,615
per,613
descriçion,612
italiàn,605
sôlo,603
però,600
cumme,598
tu,592
nómme,590
romma,589
del,588
ai,588
quello,577
bèrgamo,577
zenâ,575
ün,575
fa,574
re,574
famiggia,574
peu,571
questa,571
progetti,563
îzoa,561
en,558
dónca,553
ta,549
giórni,545
america,545
giórno,543
arvî,539
italian,535
segóndo,530
ti,530
int,528
tröva,528
scìnn,526
particolâ,524
lóngo,514
aprêuvo,508
solo,508
pœu,504
ancón,502
grande,501
fâ,498
feste,496
ii,493
zeneize,492
sto,489
aa,488
frevâ,484
ofiçiâ,482
to,480
milan,480
tùtto,478
mêno,477
anno,476
pöi,475
sö,475
bibliografîa,474
dónde,473
mentre,472
estèrni,471
grànde,470
doia,469
òceània,462
contra,460
gran,459
sant,456
it,452
santa,452
lengue,452
provìnsa,452
km,451
tùtti,448
il,447
segge,445
pavia,445
cóntra,442
êan,442
primmo,441
bréscia,441
han,440
sæ,438
ra,438
ligùria,436
tæra,434
via,431
levànte,427
capitâ,425
goæra,425
vitta,422
regno,421
ed,421
quélli,417
repubbrica,417
guæra,413
méntre,409
ligure,405
sud,403
genere,403
dau,403
ponénte,401
carlo,401
cô,401
nu,400
lûnäio,400
dæto,398
famìggia,398
inportànte,396
comunitæ,396
scibén,396
trêuva,394
arbenga,394
stæti,394
ségge,393
seculu,393
gregorian,391
pò,388
parlâ,387
mazzo,387
üna,384
sempre,382
fëe,382
verso,380
abitànti,380
bizestîli,380
pê,378
economia,378
prìmmo,374
françéize,374
stràdda,374
perché,372
manifestaçioin,369
dîto,367
quànde,366
comunicaçioin,366
ricorénse,366
perîodo,365
vèrso,365
gexa,364
òpere,364
liguria,364
stâto,362
tipo,362
tutti,361
sti,359
