word,count
de,265251
la,151641
te,134425
tl,131135
na,128110
ie,124974
geografia,79369
referënzes,66751
storia,61757
dl,59436
luech,58867
populazion,56115
ovel,45327
contea,42142
crëp,41260
km,36790
sun,35780
spersa,35646
chemun,33596
india,30985
zità,28672
crëps,28059
ciadëina,27070
stat,24498
chemuns,24350
federel,22908
da,22854
metri,22611
notes,22462
stac,21236
unii,21027
vest,20176
bengal,20038
videojuech,19383
raion,17386
pert,17222
fej,16909
america,16900
usa,16807
autëza,16611
spania,15722
germania,14973
ai,13547
franzia,11943
pra,11800
provinzia,11650
toca,11509
nghiltiera,11507
ovela,10568
community,9992
block,9992
development,9987
publicà,9576
svilupà,9570
ti,9505
si,8642
unì,8422
riam,8277
plu,7544
pont,6998
aut,6985
talia,6604
zeremoniela,5770
karnataka,5698
austria,5495
region,5315
cunfins,4535
talian,4481
landkreis,3977
antartis,3736
castilia,3576
svezia,3468
che,3316
new,2942
ruscia,2796
león,2791
north,2720
pfalz,2497
sadar,2470
rheinland,2423
pradesh,2380
andhra,2310
ruf,2309
di,2280
paiern,2175
ii,2135
alpes,2066
texas,2057
telangana,2046
mount,2025
pennsylvania,1900
persones,1899
california,1895
svizra,1868
taluk,1861
peru,1804
le,1783
the,1781
france,1753
dla,1742
norvegia,1732
al,1727
lombardia,1726
illinois,1694
per,1687
loire,1647
cun,1627
south,1626
iapan,1608
rhône,1581
gherdëina,1556
auvergne,1523
of,1507
mandal,1500
mexico,1473
ohio,1447
canada,1442
carolina,1438
del,1400
dipartimënt,1372
piemont,1338
australia,1325
republica,1319
mont,1311
schleswig,1307
virginia,1276
york,1274
val,1270
kreis,1266
san,1264
grand,1255
holstein,1235
baden,1234
washington,1233
west,1223
württemberg,1215
yorkshire,1215
nouvelle,1204
aquitaine,1204
est,1171
lake,1137
missouri,1136
iowa,1134
polonia,1130
florida,1123
elpes,1115
ceca,1111
peak,1090
sud,1076
catalonia,1073
hauts,1051
in,1048
mancha,1032
occitania,988
mountain,977
minnesota,973
oklahoma,960
pachistan,957
abitanc,952
niedersachsen,949
georgia,936
wisconsin,926
slovachia,925
range,925
se,921
andalusia,920
lit,918
vorpommern,909
tla,877
michigan,873
dakota,870
st,867
fova,864
europa,861
les,856
el,849
east,840
bretania,838
dal,821
pays,813
cumunità,801
saint,801
mecklenburg,798
aragon,797
indiana,791
sudan,776
jersey,770
andes,761
metropolitana,744
city,743
île,731
arkansas,731
kansas,721
gran,718
suffolk,713
santa,708
pl,700
nce,700
sachsen,700
urtijëi,684
cile,676
thüringen,676
nueva,672
auta,670
bassa,664
campania,650
kentucky,644
do,643
normandia,641
centre,636
norfolk,636
der,632
maryland,630
ladin,626
alabama,626
calënder,625
nebraska,625
nord,624
monte,613
lunghëza,605
ijules,604
en,598
an,597
somerset,596
capitela,594
veneto,593
ova,592
valenciana,590
moroder,587
colorado,576
lincolnshire,576
su,575
khrebet,569
tennessee,565
grupa,561
cerros,547
louisiana,540
mountains,537
ladins,533
montana,528
hill,523
grd,520
calabria,514
puig,511
arizona,510
mississippi,507
västra,506
brasil,502
tirol,501
oregon,496
götaland,492
brandenburg,492
franche,492
comté,492
bourgogne,491
serra,488
sënta,485
idrografich,484
ciavuel,484
sierra,483
taiwan,483
un,480
jefferson,478
ma,473
provence,473
côte,473
sardegna,471
hills,469
ne,466
massif,463
venezuela,460
nia,459
azur,459
stiria,456
kharagpur,451
devon,449
burgos,448
westfalen,444
cina,443
nordrhein,443
park,441
union,438
emilia,436
ala,435
hessen,434
sudafrica,433
sizilia,433
sur,429
american,426
kent,425
utah,423
essex,422
extremadura,420
mandya,404
romagna,403
hampshire,400
majera,399
lazio,395
bolivia,392
corea,392
diamond,391
et,388
it,385
skåne,384
tumakuru,381
zelanda,379
land,378
danter,377
ann,377
bardhaman,376
oblast,373
los,371
salamanca,371
dolomites,370
harbour,370
pro,365
ani,365
raichur,365
alaska,364
sussex,362
bad,360
dles,359
nalgonda,359
no,358
contai,356
ladina,354
galizia,354
and,352
valley,352
barcelona,347
ucraina,342
rü,339
turó,339
bishnupur,339
con,338
sant,337
abruzzo,336
tamluk,334
islampur,334
gloucestershire,331
israel,330
northumberland,330
cheshire,330
wiltshire,330
südtirol,329
des,326
creek,325
guadalajara,323
koppal,323
puerto,323
lancashire,323
sëlva,322
tossal,322
bidar,322
tudësch,321
bankura,319
zaragoza,319
und,317
rico,317
ora,315
valencia,312
navarra,311
por,309
montgomery,309
am,308
northamptonshire,308
mosambich,307
fat,306
rus,306
ávila,306
stockholm,302
cambridgeshire,300
macedonia,299
springs,298
ridge,297
toscana,297
du,297
medak,297
dala,296
malda,296
beach,295
lleida,295
basirhat,294
zamora,293
bosch,292
yadgir,292
micurà,291
dorset,286
scola,284
vën,283
mysore,283
iel,282
jackson,282
badia,281
cuenca,281
puglia,281
turchia,280
filipines,279
raiganj,278
unieja,277
las,276
die,276
