word,count
ya,20500
na,15160
mpé,3161
ezalí,2713
ba,2176
de,2056
kongó,1727
mpe,1622
kinsásá,1576
oyo,1462
la,1317
wa,1198
ezali,1015
bato,939
mwa,918
te,840
et,791
lya,787
yango,768
ma,738
ng,725
engumba,722
mpo,712
du,700
mingi,697
to,686
mbóka,658
moto,645
le,636
mokonzi,587
azalí,577
mok,575
ekólo,574
mituya,570
mp,567
miké,549
esé,548
en,526
sánzá,514
eye,504
libanda,498
moko,480
des,474
mobú,468
mbótama,456
tála,449
búku,443
congo,438
bwa,434
ye,427
the,422
les,409
brazzaville,403
kasi,386
moyémbi,385
mobu,378
nyama,373
yangó,359
óyo,348
lokótá,344
yě,344
mokolo,342
ekoki,332
mb,328
mazita,326
ndenge,322
of,318
libándá,318
ko,317
batu,314
azali,313
eza,308
yambo,305
etúká,303
baye,300
mboka,300
isbn,298
kati,296
nd,285
lisangá,283
kozala,282
ekolo,282
lingála,279
nkómbó,279
site,279
tálá,273
afríka,262
align,256
politíki,255
nzémbo,251
bango,243
soki,242
bokono,240
ezalaka,238
mbala,236
eténi,235
mokomi,234
nzóto,228
ameríka,227
nsima,226
kongo,225
mon,221
erópa,221
mw,220
in,220
sima,218
lokola,217
kosala,214
sanza,213
ete,211
kinshasa,207
mokambi,207
mambí,206
ekélami,206
likambo,205
un,203
ntángo,202
pe,202
komíni,201
lingala,200
mái,200
bya,198
lolenge,198
nzela,197
mokili,193
bok,193
azalaka,192
wana,190
bazali,190
liboso,189
mya,189
falansia,187
bazalí,185
koleka,183
yé,183
mibale,180
nsé,179
paris,178
lokóla,177
makambo,177
azía,177
yo,176
makasi,176
sika,176
moí,176
kala,175
br,175
pour,174
est,174
ezalaki,173
ntango,172
misusu,172
lingomba,172
mobimba,171
tango,171
and,170
lifalansé,170
bana,170
kombo,169
maria,169
ndakisa,168
míngi,166
nzelá,165
dans,162
ns,157
malamu,157
bisika,157
kí,156
bokonzi,155
esika,155
mosusu,154
el,153
une,153
mony,152
míbalé,152
mab,151
káti,149
nz,149
éditions,147
ndéngé,147
mpó,147
au,147
jean,146
mi,145
bomoyi,145
nzámbe,144
mbula,144
mbuma,143
si,143
liwá,143
palaki,143
mosani,143
loléngé,142
afrique,142
internet,142
bgcolor,142
mpasi,141
nzeté,141
mazíta,141
abótámí,141
koloba,139
com,139
falansé,139
awa,139
mabelé,138
nkásá,136
lokóta,136
bilembo,136
buku,136
katanga,135
sur,135
nkisi,134
pene,134
nzoto,132
kompaní,132
que,131
mwana,131
bangó,130
ebale,130
masíni,130
lisapo,130
swisi,129
likoló,128
ntina,127
loyémbo,127
ek,126
sa,125
pona,125
