word,count
ir,452094
buvo,146374
nuo,113939
iš,97181
su,96424
lietuvos,96405
yra,94916
šaltiniai,52787
iki,47565
apie,42678
rajono,41764
km,41459
kaip,41292
kad,40759
po,39519
taip,35060
bei,34945
pat,32242
nuorodos,32203
savo,31722
jo,31407
prie,30565
jis,30449
istorija,29274
tai,28022
futbolo,27289
šiaurės,26937
metų,25509
dėl,25471
kaimas,25164
per,24927
tačiau,24495
arba,24076
jų,23897
ar,23790
metu,23697
tapo,23230
kai,22972
tik,22545
savivaldybės,21704
pagal,21060
už,20980
vilniaus,20765
jos,19943
vėliau,19861
metais,19709
jav,19671
lietuvių,19329
bet,19143
miesto,18105
gali,18035
lietuvoje,17890
the,17815
tarp,17723
to,17688
gyventojai,17548
gyvenvietės,17449
dar,16297
dalis,15624
turi,15590
kuris,14613
pasaulio,14527
europos,14185
vienas,13963
prieš,13954
ji,13828
kauno,13794
karo,13495
žemės,13144
būti,12756
miestas,12661
vilnius,12315
rusijos,12260
biografija,12142
ii,11964
kultūros,11947
ne,11741
kur,11687
centras,11666
kalba,11633
jie,11619
pradėjo,11452
labai,11377
rytų,11374
kurie,11286
lenkijos,11284
tuo,11235
savivaldybėje,11056
daug,10922
vakarų,10800
de,10793
kartu,10769
birželio,10756
valstybės,10746
gegužės,10715
upės,10633
rajone,10576
gyventojų,10544
veikėjas,10384
of,10341
kurios,10291
kuri,10290
ant,10262
čia,10129
nei,10054
liepos,10044
be,10030
dalyvavo,10021
pietų,9874
kaimo,9805
rugsėjo,9801
jį,9759
muzikos,9663
pr,9609
sausio,9570
nors,9560
varžybos,9458
daugiau,9407
turėjo,9292
kovo,9248
viena,9199
mokykla,9141
priklausė,9043
balandžio,9015
xix,8925
šalies,8856
spalio,8855
du,8844
šv,8824
kurių,8804
šios,8734
kalbos,8732
rugpjūčio,8711
todėl,8708
xx,8619
teisės,8459
visuomenės,8459
respublikos,8432
apylinkės,8399
gruodžio,8383
kitų,8376
narys,8355
jau,8351
dirbo,8348
miestai,8328
vokietijos,8314
kartą,8290
klubas,8277
mokslų,8217
pirmasis,8191
baigė,8164
šis,8151
sudaro,8136
dalyje,8095
lapkričio,8079
grupės,8066
grupė,8051
tiek,7964
mokyklos,7913
vasario,7913
rytus,7856
svetainė,7756
universiteto,7576
vieta,7555
vietą,7539
bažnyčia,7483
nes,7425
žmonių,7362
mėn,7336
vakarus,7295
valsčius,7242
kt,7152
galima,7139
gyveno,7091
prasidėjo,7024
jonas,6953
ją,6854
vokiečių,6795
nėra,6765
vandens,6763
šiaulių,6745
dainų,6718
metus,6714
rytuose,6709
šeimos,6706
prancūzijos,6672
jam,6653
dabar,6628
fc,6596
dažnai,6563
kurio,6559
oro,6463
įkurta,6452
sąjungos,6423
isbn,6386
išnašos,6302
meno,6279
priklauso,6248
ši,6242
pavadinimas,6235
bažnyčios,6198
žmonės,6193
pvz,6181
buvęs,6176
kiti,6143
kurį,6100
tarybos,6086
pradžioje,6082
taurės,6056
dažniausiai,6036
klaipėdos,6004
užėmė,5982
įkurtas,5941
pasaulyje,5928
daugiausia,5872
sporto,5838
apskrities,5824
klubo,5822
administracinis,5720
ežero,5715
jūros,5692
kuriame,5674
ūkio,5659
gimė,5656
cm,5642
jog,5563
ypač,5559
vilniuje,5550
politinis,5542
šio,5533
dvi,5529
oficiali,5518
ežeras,5461
taurė,5459
įvyko,5458
vietoje,5457
tam,5438
šiuo,5435
anglų,5433
mieste,5407
paprastai,5358
