word,count
nu,1147
irā,960
ar,721
godā,683
nūvoda,522
pogosta,471
td,454
nūruodis,445
kai,442
latgolys,416
iz,397
beja,396
pogosts,386
latgaļu,382
pogostu,381
pa,343
par,332
latvejis,293
da,272
pogostā,255
daugpiļs,242
vaļsteibys,235
latgolā,225
ļauds,217
solys,217
taipoš,213
centrys,210
pi,208
goda,207
volūda,202
olūti,199
latvīšu,194
teritoriskais,192
piec,189
dzeivoj,188
km,188
gods,186
latgalīšu,182
republika,178
godu,167
ir,167
viesture,166
ka,164
padalīņs,158
volūdys,155
vaļsteiba,153
kas,146
pasauļa,144
voi,143
kod,143
ap,141
ci,140
var,139
katuoļu,137
mīsts,135
vīna,132
teritoreju,132
teiklavītys,131
fon,130
aba,129
cm,128
krīvu,125
the,125
jis,119
solu,117
lītovys,117
nazcik,115
garums,115
rēznis,112
tur,112
dzeivuotuoju,112
azars,110
tyka,109
pošu,109
mīsta,107
juo,106
volūdā,105
anglīšu,105
puolejis,103
europys,103
roksts,103
cierkva,103
tr,102
godam,101
laikā,101
krīvejis,100
jū,99
bazneica,98
zeimeigi,97
dora,97
latvejā,96
tautys,96
ludzys,96
vydzemē,95
iraid,92
volūdu,90
vīns,90
von,89
tok,86
tys,85
vaira,85
kulturys,84
upis,83
kura,81
nūvods,80
rūbežu,80
of,79
por,79
lv,78
pūstumu,78
piļs,78
giņts,77
tuo,76
europā,76
reigys,76
leidz,75
zemis,75
sovu,74
nūvodā,74
staroveru,74
daļa,72
geografeja,72
pasauka,72
kruoslovys,71
saimis,71
leopardus,71
biblioteka,71
golvysmīsts,70
kab,69
solā,69
tik,69
dobys,69
teritorejā,69
pravoslavu,69
kūpā,68
azara,68
dzeivinīki,68
rēzeknis,68
teiklavītā,68
kurs,67
navā,67
deļ,67
juos,66
pasaulī,65
kur,64
tei,63
vēļ,63
verīs,63
dīnavydu,63
daudzi,63
augstums,62
tū,61
ari,61
tai,61
lelumam,61
cīši,61
ite,60
noms,60
dagdys,60
dīnys,60
aglyunys,59
jau,59
na,59
datu,59
bejs,58
vyds,58
krystapiļs,58
vydā,57
jūs,57
pīvadumam,56
auguma,56
posta,56
corvus,56
un,55
sola,55
dīna,55
cytu,54
ii,54
rūbeži,54
bet,53
svors,53
kg,53
dzeivuotuoji,53
dzeļžaceļa,53
kurys,52
tuoļsative,52
mieneša,52
vyrtuve,52
ļeidz,52
iudiņa,51
jiuru,51
mīsti,51
vuocīšu,50
bejuse,50
vīta,50
daugovys,50
zeimeibys,50
škira,50
iedīņs,50
atsarūn,49
dzims,49
nūv,49
ha,49
solai,49
pyrmais,48
bazneicys,48
dīnā,48
reitu,48
nūvodu,48
izavierīņs,48
cyblys,48
teritoreja,48
bavārejis,48
dalejums,47
gs,47
kaču,47
jei,47
felis,47
īstateja,47
kuru,46
pluots,46
teritorejis,46
ct,46
lītaunīku,46
vītejuo,46
cylvāka,45
gruomotys,44
apleiciņa,44
vysu,44
demografeja,44
igaunejis,44
laika,43
byut,43
plieseigais,43
zviers,43
punkts,43
republikys,43
daļu,43
pats,42
jam,42
to,42
grupa,42
vysā,42
baļtejis,42
mienesī,42
daškiera,42
pyrmū,41
lītoj,41
tūlaik,41
bolvu,41
kuorsovys,41
volūduos,40
lelums,40
partū,40
augšuok,40
teiklavīta,40
leluos,40
bez,39
administrativais,39
nautrānu,39
tymā,39
vītejuos,39
vokoru,39
politika,39
romys,39
svātuo,39
kūku,39
vuords,38
sielejā,38
pyrma,37
felidae,37
cyti,37
soluos,37
jākubmīsta,37
parāds,36
ļaužu,36
parostai,36
cytys,36
leluo,36
jiurys,36
senejūs,36
leivuona,36
livonejis,36
pūstumūs,36
škārsoj,36
vileks,36
reiga,35
skaits,35
akmiņs,35
astes,35
kolns,35
ailis,35
aiļa,35
daškir,35
nūvodam,35
saimisteiba,35
vuorna,35
latgola,34
vuordu,34
lelais,34
daļā,34
kuri,34
savīneibys,34
afrikā,34
dekteru,34
html,34
viesturiskai,34
reorganizej,34
gregora,33
cylvāku,33
de,33
padūmi,33
godūs,33
reitūs,33
and,33
www,33
azaru,33
muzyka,33
škirys,33
lynx,33
atdale,33
bezdeleiga,33
tī,32
dzeive,32
saulis,32
caur,32
vītā,32
viņ,32
regiona,32
azari,32
pluotā,32
mīstu,32
transports,32
saiteibys,32
sataiseišonys,32
pyrmuo,31
nūteik,31
asv,31
muokslys,31
pogostim,31
daudzatmejeiba,31
dīnavydūs,31
iudini,31
poša,31
staceja,31
leluokais,31
pīdar,31
div,31
iudiņs,31
muižys,31
prionailurus,31
apkalpoj,31
diskografeja,31
bavāreja,31
pryušu,31
gruomotu,30
kuramā,30
rokstu,30
roksta,30
škiru,30
saime,30
daugpilī,30
universitets,30
raisteibys,30
sūpluok,30
leidzīņa,30
cieški,30
administrativu,30
dybynuota,30
ira,29
lela,29
ailinīks,29
piečuok,29
universiteta,29
romans,29
zamškiru,29
apmāram,29
iii,29
vuocejis,29
viļānu,29
preiļu,29
zeimebys,29
feļčeru,29
līk,29
tod,28
varakļuonu,28
oficialai,28
pret,28
niule,28
sasadora,28
godusymta,28
cikom,28
suomu,28
lineja,28
politiks,28
pyldys,28
milijoni,28
pūrs,28
guļbinis,28
vuiceibys,27
teik,27
rajona,27
cylvāks,27
pīterpilī,27
sīnuojis,27
īstateits,27
upe,27
ordyna,27
sovetu,27
http,27
mīstā,27
prezidents,27
līvu,27
dzeivova,27
celi,27
krīvejā,26
literaturys,26
reizi,26
tūs,26
padūmu,26
jī,26
juoņs,26
muzejs,26
reigā,26
zīmys,26
kieneste,26
centri,26
molā,26
azejā,26
religeja,26
in,26
darejs,26
panthera,26
mieness,26
puoļu,25
pīterpiļs,25
īt,25
kū,25
zeme,25
sovā,25
gon,25
lelu,25
dzeivinīku,25
viersa,25
doba,25
baltu,25
pastateita,25
slavvītys,25
ribinišku,25
buļbis,25
labi,25
osyuna,24
rakstinīks,24
no,24
process,24
volūdai,24
pīters,24
ontons,24
ceļš,24
boltkrīvejis,24
īīt,24
administrativai,24
vajag,24
vysuvaira,24
ip,24
xx,24
azarsola,24
kods,24
sovys,24
igauņu,24
vaidu,24
praņcīšu,24
parks,24
lynu,24
likvidātū,24
kam,23
viesturis,23
taisa,23
cytuos,23
itū,23
bibliotekys,23
latgale,23
rēzne,23
dorba,23
pusē,23
dzeivis,23
centra,23
pasaukys,23
suokuos,23
naleļs,23
golvonais,23
vītys,23
vaļsteibu,23
boltkrīvu,23
godusymtā,23
linejis,23
kurā,23
leptailurus,23
serval,23
pog,23
autoceļš,23
ēst,23
karaļi,23
dorbu,22
pyrmuos,22
latiņu,22
vāluok,22
sauc,22
tam,22
sātys,22
vītu,22
lai,22
kurymā,22
byun,22
jauna,22
apleicīnis,22
igauneja,22
aiz,22
vokorūs,22
caracal,22
placu,22
vīnu,22
afrikys,22
saroksts,22
pīv,22
xix,22
ļutaru,22
rajonā,22
apleikmīsta,22
kaunatys,22
suoce,22
dīvs,22
puma,22
pamatškola,22
veipa,22
kumbuļa,22
ād,22
olyuksnys,22
nacionalais,22
politiki,22
vii,22
palāda,22
strix,22
sova,21
īstateita,21
jezups,21
folklora,21
lītuot,21
byutu,21
formys,21
volūdom,21
vuorda,21
treis,21
teatra,21
sv,21
vysa,21
ombumuižys,21
centrā,21
pīminieklis,21
pasaukai,21
meža,21
nūstuošona,21
nūtyka,21
muzykys,21
vuiceibu,21
rundānu,21
pīdrujis,21
škilbānu,21
nūmyrs,21
myltu,21
cytur,20
nav,20
krystus,20
dreiži,20
kara,20
pīdzims,20
apleicīnē,20
partejis,20
auguoju,20
amerikys,20
tuoļuok,20
koč,20
beidzs,20
pocock,20
alfabets,20
iso,20
vosorys,20
sīnuoja,20
tak,20
puoleja,20
azarā,20
čūrkste,20
naškārsoj,20
cyukys,20
symta,19
raisteiba,19
pīmāram,19
vuocu,19
der,19
tuos,19
arī,19
laiku,19
godus,19
pošā,19
niu,19
runoj,19
krīveju,19
sadors,19
vikipedejis,19
žydu,19
com,19
školuotuoju,19
stacejis,19
maizis,19
rāznys,19
ix,19
mežuoris,19
lopu,19
spanīšu,19
kūka,19
jys,19
damat,19
lelbrytanejys,19
talsu,19
gruomota,18
īstots,18
autors,18
vysys,18
tautu,18
taids,18
lels,18
raksteit,18
beiguos,18
dareituojs,18
anna,18
zineibu,18
aiļu,18
rūmys,18
bārnu,18
ūtruo,18
itys,18
objekts,18
blontu,18
vuicejīs,18
pusis,18
latveja,18
myuslaikūs,18
darbeibu,18
modyunis,18
tiļžys,18
švedu,18
pastateja,18
sporta,18
silvestris,18
trešuo,18
cierkvys,18
pavasara,18
indreicys,18
cyanocorax,18
kūrzemē,18
maltas,18
impērejis,18
škeļtovys,17
vuordim,17
nakai,17
vuordi,17
darbeiba,17
ļaun,17
greku,17
cytim,17
zemnīku,17
labeibys,17
himnys,17
rēznē,17
fraņcs,17
es,17
darbeibys,17
atmeja,17
vys,17
leidumnīku,17
diveju,17
lītova,17
rufus,17
švedejis,17
oficialuo,17
pošys,17
sistema,17
web,17
zeimoj,17
jākubmīsts,17
molys,17
etniskais,17
tīseibys,17
galereja,17
leluokuo,17
skaita,17
zeime,17
krysta,17
pūri,17
buļbu,17
heinrihs,17
bārns,17
you,17
vuoceja,17
sīra,17
rudzu,17
atašīnis,17
davīnova,17
gali,17
suoļa,17
dalīk,17
goreigos,17
atteisteibas,17
trauciejumim,17
že,17
myusu,16
dīnavydreitūs,16
baļtīšu,16
byus,16
nakod,16
jezus,16
latgaliskai,16
jūrdžs,16
datim,16
mirs,16
latgales,16
dzymuse,16
dalis,16
trasuns,16
apleicinī,16
svātuos,16
jiura,16
akmiņa,16
aizjam,16
saroksti,16
itei,16
školu,16
rajonu,16
marejis,16
škīznys,16
reizis,16
augstainē,16
marta,16
universitetā,16
švedeja,16
gercogiste,16
bengalensis,16
gale,16
celim,16
jersikys,16
demokratiskuo,16
valna,16
kuovē,16
vulpes,16
ituos,16
apgabaļa,16
iudinī,16
vaļdeišona,16
tīk,16
mitologejā,16
sative,16
pūstinis,16
mežavydu,16
tradicionals,16
limbažu,16
plīkšni,16
kļuva,16
izīt,15
sasadorūšs,15
gruoveru,15
bīži,15
ūtrais,15
vairuok,15
poezejis,15
kurū,15
filologejis,15
bārnim,15
pīrakstejs,15
naviņ,15
atmejis,15
tt,15
kopi,15
bazneicu,15
pasaceļ,15
canis,15
informacejis,15
rūbeža,15
dīnu,15
klubs,15
dareit,15
norvegejis,15
mpls,15
otkon,15
moskova,15
vaļsteibuos,15
arhitekturys,15
dzymuši,15
pasauku,15
ītak,15
br,15
vītuos,15
net,15
leldīnis,15
daguojumu,15
leics,15
savīneibā,15
peisi,15
školā,15
kaleņders,15
cukra,15
wiedii,15
kolkoza,15
reitulatvejis,15
for,15
teiču,15
neicgaļa,15
sīna,15
sokolku,15
amerikā,15
iztak,15
saukts,15
johans,15
upeitis,15
azarmalē,15
norvegeja,15
turku,15
