word,count
un,556587
ir,317335
no,227133
gadā,219679
ar,212892
gada,185178
par,156889
bija,123938
arī,118970
kas,106128
tika,98782
uz,96705
kā,95105
pēc,86338
latvijas,78790
līdz,74782
bet,62010
atsauces,60918
tā,55716
saites,54328
ārējās,54011
to,49018
ka,48266
vai,46681
pasaules,42054
viņš,41749
laikā,38488
var,36075
rīgas,35865
dzimušie,35521
tiek,35406
lai,35216
dzimis,34902
atrodas,34883
pie,34381
asv,33697
tas,31925
valsts,31102
viņa,30502
iela,29522
tās,28894
latviešu,27992
gan,25865
kad,25661
tikai,24691
krievijas,24678
gadu,23923
gadam,23696
kļuva,23562
gads,23424
km,22680
pilsētas,22550
eiropas,22485
kur,22433
spēlētāji,22135
filmas,21611
kara,21577
novada,21527
nav,21150
latvijā,20725
savu,20667
šaha,19296
tam,18751
the,18180
kopā,18159
vēlāk,18070
miris,17728
kopš,17117
pret,17081
spēlēs,16768
starp,16666
vieta,16107
taču,16059
vietu,16033
vēsture,15990
notika,15964
ko,15950
vasaras,15710
viens,15670
pagastā,15523
kurā,15329
kuru,15205
jo,15050
sastāvā,14911
jau,14809
rīgā,14719
futbola,14636
kuras,14447
pirmo,14404
būt,14239
olimpiskajās,14133
tomēr,14100
piemēram,14031
pagasta,13995
ap,13835
šo,13824
sāka,13532
pilsēta,13512
vairāk,13475
viena,13465
vācu,13371
daļa,13349
izlases,13330
šajā,13100
viņu,13081
tajā,12963
čempionātā,12755
ieguva,12683
ja,12615
psrs,12584
trīs,12553
jeb,12539
kurš,12442
vēl,12423
zemes,12245
grupas,12216
pa,12065
gadsimta,11993
pirmā,11949
kura,11922
ļoti,11902
spēles,11649
vācijas,11634
pirms,11468
upes,11451
jūras,11343
parasti,11301
nekā,11244
zelta,10924
of,10900
šī,10683
tie,10655
vietā,10550
vienu,10335
francijas,10318
padomju,10244
spēļu,10185
komandu,10149
de,10139
daļā,10117
komandas,10108
gados,10082
pagasts,10015
krievu,9944
otrā,9855
laika,9770
gaisa,9722
centra,9717
centrs,9688
dēļ,9599
tautas,9589
piedalījās,9586
iedzīvotāju,9548
tad,9514
mūzikas,9448
pirmais,9440
kausa,9395
pat,9322
olimpisko,9237
visu,9233
lielākā,9212
divas,9195
amerikāņu,9192
skatīt,9090
reizes,9048
novadā,8995
rīga,8935
filma,8932
bez,8929
dziesmu,8917
vietas,8883
ciems,8868
valodā,8857
bijis,8760
sporta,8741
sezonas,8696
align,8688
ģints,8667
nosaukums,8545
lietuvas,8532
sākumā,8429
medaļu,8416
suga,8413
salas,8357
ziemeļu,8346
savukārt,8341
polijas,8309
atradās,8265
daļu,8240
teritorijā,8236
ii,8217
ziemas,8115
grupa,8110
left,8052
laiku,7999
valodas,7970
cilvēki,7954
līgas,7946
sugas,7943
spēlē,7937
sezonā,7937
universitātes,7930
reizi,7899
kultūras,7882
mirušie,7871
ielas,7833
apmēram,7723
bieži,7707
ūdens,7701
angļu,7626
šīs,7624
nosaukumu,7614
jānis,7402
medaļas,7399
aptuveni,7387
franču,7368
martā,7330
futbolisti,7329
cm,7318
izcīnīja,7273
profils,7271
ielu,7266
impērijas,7262
jūlijā,7253
partijas,7249
ne,7245
sudraba,7202
dzimta,7198
ukrainas,7184
novembrī,7128
daudz,7112
maijā,7109
mākslas,7090
decembrī,7069
septembrī,7049
jūnijā,7042
veido,7029
augustā,7014
ciemi,7012
savas,6990
oktobrī,6988
tiem,6956
armijas,6954
dienas,6919
gadus,6881
janvārī,6875
tai,6846
balvu,6844
pasaulē,6808
čempionāta,6803
beigās,6798
austrumu,6788
mūsdienās,6787
romas,6761
style,6755
izmanto,6728
dzimusi,6711
fon,6705
sākās,6691
fifa,6685
vairākas,6669
sieviešu,6660
dzelzceļa,6658
pils,6657
tāpat,6643
kurzemes,6613
skaits,6611
baltijas,6609
rietumu,6525
baznīcas,6516
bronzas,6485
text,6463
aprīlī,6424
hokeja,6384
cilvēku,6378
gadsimtā,6348
galvenokārt,6312
februārī,6278
dzimtas,6246
pilsētā,6231
viņam,6231
savā,6182
kuri,6114
ordeņa,6109
futbolists,6102
dalībnieki,6089
gandrīz,6076
darba,6073
olimpiskās,6054
ezers,6033
krastā,6028
apgabala,6025
virzienā,5984
medaļnieki,5974
visas,5973
šis,5947
uzvarēja,5946
igaunijas,5934
republikas,5913
iespējams,5912
pirmajā,5909
citu,5862
darbu,5850
režisors,5849
itālijas,5795
garums,5699
izveidoja,5683
rezultātā,5671
nebija,5661
temperatūra,5660
dienvidu,5648
īpaši,5616
and,5552
pirmās,5549
veida,5531
britu,5513
saņēma,5495
muižas,5477
stacijas,5456
notiek,5445
padomes,5413
kluba,5413
biogrāfija,5411
piedalījies,5405
viņi,5403
zviedrijas,5400
saeimas,5390
sistēmas,5386
livonijas,5381
dabas,5366
iedzīvotāji,5358
pilsētu,5356
komanda,5350
muiža,5313
ielā,5300
anglijas,5295
strādāja,5291
in,5277
gadiem,5256
mm,5220
ieguvēji,5212
skolas,5193
mājas,5183
vidzemes,5176
lielā,5140
savienības,5137
mūsdienu,5131
valstu,5130
filmu,5128
tāpēc,5122
amerikas,5118
beigām,5107
ziemeļos,5097
baznīca,5095
politiķis,5054
sākotnēji,5052
dzīvo,5034
dziesmas,5026
psr,5023
teātra,4980
dienvidos,4974
vecumā,4957
sasniedza,4945
galvenais,4921
filmā,4866
ieņēma,4866
virs,4862
kauss,4861
tiesības,4843
vēlēšanās,4842
izglītības,4841
aktieris,4824
spēlēja,4813
divi,4812
pusē,4811
rēzeknes,4811
maskavas,4781
teritorijas,4767
japānas,4762
dzīvoja,4754
turnīrā,4742
ezera,4735
balvas,4719
spānijas,4706
tos,4705
sacensībās,4699
citas,4672
kuriem,4668
attālumā,4653
šeit,4640
varētu,4624
citiem,4624
kalnu,4609
vidū,4609
karalis,4598
pašlaik,4596
atgriezās,4572
karjera,4566
paziņoja,4559
teritoriju,4558
zem,4553
čempionu,4552
atkal,4549
visā,4547
līgumu,4539
vadībā,4525
apdzīvotā,4513
dzīves,4510
starptautiskā,4506
ģimenē,4502
citi,4496
zvaigžņu,4491
čempionāts,4479
klubs,4475
nāves,4474
aizsardzības,4462
oficiālā,4460
austrumos,4451
iii,4447
sauc,4439
labākais,4432
skaitā,4429
uzņēmums,4426
lielu,4425
devās,4425
prezidents,4417
vairāki,4409
ciema,4406
universitātē,4395
liepājas,4385
mājaslapa,4376
kārlis,4352
viņas,4346
kopumā,4342
visi,4334
marker,4327
karjeras,4324
liela,4323
spēku,4286
sportisti,4262
valoda,4259
lv,4248
augusts,4244
tādējādi,4241
karjeru,4232
jaunu,4231
aleksandrs,4227
pašā,4222
darbojās,4219
ķīnas,4200
otrajā,4187
izlase,4185
darbības,4181
katoļu,4180
tagad,4172
olimpiskie,4171
grupā,4157
sākas,4138
bijušais,4123
kārtas,4123
galvenās,4101
vienā,4092
izmantojot,4088
vārdā,4052
sastāv,4048
izveidota,4045
tām,4039
uzsāka,4027
veica,4024
daļas,4016
pieder,3995
tur,3982
eiropā,3979
salu,3978
dalībnieks,3971
tādēļ,3962
treneris,3962
sasniegumi,3950
grupu,3943
rietumos,3939
startēja,3935
caur,3908
vadītājs,3891
uefa,3882
ķermeņa,3859
somijas,3854
kanādas,3853
ordeni,3840
līmeņa,3839
klubu,3807
karš,3795
kg,3791
zviedru,3776
palaists,3774
vācijā,3764
darbi,3750
rež,3742
albums,3741
ievēlēts,3740
nacionālā,3734
galvenā,3725
sala,3708
vien,3707
valodu,3704
visvairāk,3701
uzskata,3690
kosmosa,3682
jūlijs,3682
netālu,3676
radio,3657
televīzijas,3657
posmā,3655
tieši,3651
autors,3649
daugavpils,3645
lomas,3644
apgabalā,3644
saskaņā,3638
dēls,3630
treneri,3625
kravas,3612
vēstures,3611
sistēma,3611
čempionātos,3595
darbību,3589
pavadonis,3589
pārstāv,3581
valdības,3577
rakstnieks,3560
basketbola,3558
būtu,3551
spēlējis,3551
bijusi,3544
es,3544
miera,3532
jelgavas,3525
kino,3514
sava,3508
datu,3507
krasta,3506
lielāko,3505
valstis,3494
varēja,3489
kam,3488
skaita,3487
pievienojās,3486
vēsturē,3483
nhl,3480
pats,3471
izcīnījis,3464
vadīja,3459
pagastu,3456
aktrise,3454
dažādu,3452
guva,3447
kurām,3439
izcelsmes,3430
teātrī,3429
valstīs,3427
bērnu,3423
nesējraķeti,3423
pozīcijā,3413
nacionālās,3410
fc,3401
com,3386
citām,3384
sarakstā,3384
kaujas,3383
nba,3381
studijas,3377
netika,3374
kārta,3366
otro,3360
labāko,3353
diena,3352
prezidenta,3351
ēkas,3349
administratīvais,3338
darbojas,3335
draudzes,3328
sugu,3325
laiks,3325
galveno,3324
von,3322
augu,3320
dziesma,3319
latgales,3315
hokejists,3312
valdība,3310
valstī,3307
dzīvesgājums,3306
rajona,3306
putni,3306
pilnībā,3304
tirdzniecības,3300
autoceļa,3293
pārcēlās,3290
varas,3284
type,3284
der,3279
indijas,3274
stacija,3273
veidā,3271
turnīros,3259
grieķu,3258
iepriekš,3257
pirmoreiz,3255
poļu,3254
janvāris,3253
dienā,3247
la,3246
lomu,3242
cēsu,3242
krievijā,3235
koka,3233
visiem,3232
latvija,3230
izmantot,3228
karalistes,3228
robežas,3222
palīdzību,3221
futbolā,3217
līnijas,3216
notikumi,3216
skolā,3206
dibināta,3205
uzvarējis,3199
atklāja,3195
nr,3195
ebreju,3195
āzijas,3192
darbība,3192
komandā,3188
nokrišņu,3186
ietilpst,3176
gadījumā,3175
valstīm,3170
turpināja,3168
karā,3167
zinātņu,3163
dienu,3154
vasarā,3154
vairs,3153
pazīstams,3153
austrijas,3140
apriņķa,3139
zemgales,3133
literatūra,3129
marts,3128
katru,3123
teritorija,3123
domes,3122
rindās,3120
sacensības,3117
aiz,3114
zināms,3114
vārdu,3111
maijs,3104
izmaiņas,3103
utc,3101
kādu,3100
kļūst,3100
daudzi,3099
aizvadīja,3084
labi,3081
akadēmijas,3076
