word,count
bân,4674
sè,4655
arèya,2018
ka,1901
iyâ,1391
panèka,1307
taon,1283
âri,1115
kalabân,965
sèttong,952
orèng,950
sala,800
na,788
an,785
dhâddhi,744
indonesia,731
otabâ,711
in,700
bâ,651
sareng,645
mènangka,638
bhâsa,630
naghârâ,595
neng,589
al,560
jakarta,554
bi,540
dhibi,539
km,538
ta,526
islam,511
jhâbâ,506
âlem,503
tèmor,501
kotta,494
muhammad,430
bârâ,424
onèsia,396
dâri,393
dan,366
rèya,349
sombher,343
bin,333
aghi,332
bisa,326
fakultas,321
kaangghuy,318
lao,315
totombuwân,314
sampè,313
universitas,311
palèng,310
pas,309
tombuwân,301
indonèsia,298
tangghâl,289
lahèr,288
bânnya,281
lebbi,276
pendidikan,274
kabhupatèn,274
karjâ,269
en,265
kèya,263
di,256
madhurâ,251
dâlem,249
nyama,248
èlmo,246
puisi,244
sastra,236
tamaso,235
ghâbây,232
polo,228
arab,226
hatta,226
bâkto,223
èn,223
kompolan,216
aghâma,216
ampon,210
polana,209
jughân,203
ollè,203
jhâ,203
ân,202
rowa,202
provinsi,200
èkennal,198
onesia,197
asia,194
laènna,194
binè,193
panolès,189
masyarakat,189
famili,184
se,183
nabbhi,179
tengnga,177
omor,176
nèng,176
para,175
program,174
klabân,173
panyanyi,173
pustaka,172
ana,171
tak,170
pendudukna,169
pamarènta,169
inggris,168
polè,168
bhâkto,168
sumatra,166
andi,166
nasional,163
qur,163
abhâreng,162
dari,160
wilayah,159
tana,159
tapè,155
arè,155
sunan,154
bulân,153
buku,152
cinta,151
âjâ,150
bâdâ,150
asal,148
laèn,147
samarèna,147
ella,145
pan,144
rajâ,143
tombu,143
pusat,142
negeri,141
politik,141
carèta,141
ke,140
ko,138
bâgiyân,138
yang,137
angghuy,137
sakola,137
molaè,135
kasebbhut,134
sastrawan,131
dhâ,131
èkoca,130
the,130
album,130
oktober,129
tor,129
of,128
ghi,127
yakni,127
pa,126
per,125
roma,124
studi,124
republik,123
rèng,122
allah,121
ub,121
sorbhâjâ,120
sarèng,119
masa,118
novel,118
ali,118
galeri,118
malaysia,117
saèngghâ,117
sorang,117
umar,117
soekarno,116
agustus,115
referensi,115
ajhâr,115
bhujhângghâ,114
abdul,113
ahmad,113
padang,113
namong,113
laèr,112
geografi,111
ma,111
anyar,109
kapadatan,108
jhâlân,108
bâkkèl,108
malik,107
awwâl,107
kecamatan,107
satèya,107
teuku,107
blândhâ,107
tello,106
jokowi,106
uwâ,105
bhâkal,105
malang,104
asalla,103
abu,103
biografi,102
toman,102
mahasiswa,102
loas,102
sajhârâ,102
hâ,101
saampona,101
syekh,101
brâmpan,100
embu,100
prèsi,100
antara,99
dhinèng,98
èsebbhut,98
maret,97
bandung,97
la,97
drama,96
ngangghuy,95
dalam,95
