word,count
nang,16760
kuwe,12277
indonesia,11771
salah,10650
siji,10388
sing,8990
jawa,7297
kecamatan,6640
kabupaten,6492
lan,6481
propinsi,5641
tengah,5410
desa,4981
referensi,4779
di,2562
dan,2462
sekang,2456
pada,2176
dengan,2072
barat,1979
karo,1931
kota,1925
timur,1918
prastawa,1560
seda,1559
dalam,1537
kelairan,1533
basa,1416
ana,1390
selatan,1385
kiye,1369
dadi,1333
ke,1324
sebagai,1284
negara,1242
uga,1220
daerah,1219
utara,1187
pulau,1170
taun,1149
dari,1102
ini,1087
wilayah,1083
untuk,1082
adalah,1076
oleh,1035
tahun,1027
utawa,1010
yang,968
kalimantan,960
banyumas,947
sulawesi,938
juga,932
yakuwe,915
kanggo,907
kerajaan,882
sumatera,870
wong,784
ora,776
bisa,761
tenggara,757
kebumen,726
tidak,708
iki,676
menjadi,665
jakarta,653
kelurahan,633
merupakan,632
kang,626
atau,618
aceh,612
ing,606
itu,599
iku,581
papua,580
tanggal,540
bagian,533
akeh,532
ia,531
purworejo,531
memiliki,528
orang,526
kidul,524
suku,524
wis,520
paling,513
pranala,512
gunung,512
besar,511
karena,496
banjarnegara,494
antara,492
abad,492
the,492
amerika,488
nusa,470
wetan,458
purbalingga,450
lain,450
tersebut,446
secara,444
bahwa,438
kulon,435
pertama,435
seperti,433
para,432
daftar,428
nganggo,422
purwokerto,421
dina,421
satu,419
of,418
ming,417
yogyakarta,416
lebih,411
raja,411
mereka,404
liyane,402
sejarah,400
km,398
ada,398
karanganyar,397
beberapa,397
lor,394
jaba,393
blora,388
kali,387
sekitar,387
masyarakat,386
utama,383
agama,382
islam,381
malaysia,377
telah,376
tegal,370
pemalang,370
dapat,370
rembang,367
neng,367
tokoh,366
udara,366
kepulauan,365
wonosobo,365
sisi,363
negeri,363
dheweke,363
banyumasan,360
cilacap,360
bumi,359
pusat,358
nek,357
terdapat,357
masa,357
planet,353
budaya,352
banyak,348
bandar,347
sebuah,346
no,345
saat,343
serikat,341
namun,341
yaitu,340
ning,336
liya,334
wonogiri,334
kaya,333
jeneng,333
banten,331
termasuk,325
agustus,325
presiden,322
maring,321
pemerentahan,319
akan,318
asia,318
ii,315
alam,315
anak,314
deleng,313
kepada,311
grobogan,310
penduduk,308
seni,307
umum,304
setelah,303
universitas,303
belanda,301
nggo,299
januari,299
september,299
nasional,299
dikenal,297
lampung,296
juli,293
ilmu,289
gregorian,289
bandung,288
kemudian,286
situs,284
resmi,284
nama,283
sangat,282
pendidikan,281
mbalik,280
lewih,278
sebagian,277
dua,277
baru,277
jumlah,276
bali,275
jaman,275
pantai,274
maret,272
stasiun,270
disebut,270
tempat,269
laut,266
ekonomi,265
al,264
atas,264
taman,263
riau,262
air,261
hari,261
nganti,260
kesenian,260
terus,259
sekolah,259
saka,258
mei,254
duwe,254
sungai,254
bahasa,253
dunia,253
panganan,252
tinggi,251
st,250
ialah,249
sunda,247
rakyat,247
lair,247
sultan,246
keuskupan,245
musik,244
surabaya,243
kalender,243
perang,242
serta,240
jalan,240
buddha,240
sistem,239
seorang,237
partai,237
tingkat,236
luar,236
republik,236
juni,234
sragen,234
rumah,233
april,231
agung,230
februari,229
cirebon,227
menungsa,227
an,225
uu,224
raden,223
jenis,223
wikipedia,222
atawa,222
luas,221
sumber,221
tanah,221
maluku,221
hanya,220
eropa,220
pangeran,219
masih,218
pasar,216
bangsa,215
angger,214
center,213
hingga,213
vietnam,212
raya,211
india,211
sm,211
and,210
inggris,209
tentang,209
gubernur,209
kuala,209
jalur,208
kawasan,208
prakata,208
teyeng,208
ibukota,207
ya,206
bagi,206
antarane,205
influenza,205
wisata,204
mulai,204
sejak,203
oktober,203
istimewa,202
dialek,201
kabeh,201
kecil,201
anggota,201
khas,200
sampai,198
lainnya,197
bentuk,195
neptunus,195
arjuna,193
virus,193
paroki,193
yaiku,192
berbagai,191
ketika,191
hal,191
tapi,190
undang,190
putra,189
nduwe,188
luwih,188
museum,188
selain,188
siki,188
sang,188
afrika,188
mung,187
terletak,187
sering,187
kata,187
banget,186
lagi,186
sama,186
kelompok,186
tanjung,185
pemerintah,185
asal,184
samarinda,184
miturut,183
sebelah,183
tetapi,183
donya,182
pemerintahan,180
karang,179
wayang,179
rata,179
bogor,179
dong,178
penting,178
provinsi,178
bulan,178
terdiri,177
jenenge,176
desember,176
matematika,176
maning,175
brebes,175
arah,172
umume,172
melalui,171
diarani,171
bocah,171
benua,171
bengkulu,171
werna,170
lumpur,170
kedua,169
jambi,169
anyar,168
hidup,168
galuh,168
terkenal,167
ibu,167
lintang,166
karya,166
tak,166
surya,166
kira,166
kembali,165
internasional,164
semarang,164
cilik,164
tata,163
politik,163
dibagi,162
selama,162
kanthi,162
biasa,160
awal,160
organisasi,159
melayu,159
sosial,158
in,158
sementara,157
jiwa,157
masing,157
kaping,157
kurang,156
manusia,156
dia,156
langsung,155
lanang,155
sehingga,154
purwodadi,153
terhadap,153
goa,152
menurut,152
sumedang,152
bahan,151
cara,151
srengenge,151
cina,150
sudah,150
maka,149
lagu,149
november,149
chaiyya,148
khusus,147
semua,147
api,147
banyu,147
kesultanan,147
ken,147
administratif,146
biasane,146
dasar,146
juta,145
cukup,145
bersama,145
wakil,145
dewa,145
dewi,145
gede,144
waktu,144
mau,144
dibangun,144
gedhe,143
kereta,143
istilah,143
putih,142
suatu,142
tanduran,142
urip,141
apa,140
sendiri,140
tiga,139
kepala,139
pati,139
katolik,139
tradisional,138
kewan,138
industri,137
adat,137
pernah,137
lima,137
pelabuhan,136
keluarga,136
berada,135
aksara,135
jaya,135
esih,134
asale,133
de,133
merga,132
kulit,132
hasil,132
bakal,132
terbesar,131
pula,131
wektu,131
kembang,131
gus,131
artikel,130
anane,130
ciri,130
upacara,130
berdasarkan,130
masalah,129
loro,129
bidang,129
karesidenan,129
asli,128
mata,128
banjar,128
jepang,128
saturnus,126
digawe,125
majapahit,125
sekiye,124
baik,124
batu,124
keturunan,124
hutan,124
dur,124
kalendher,124
