word,count
тядде,3423
кизоня,3092
лятфтамат,2582
ошсь,2456
кучфтемат,1925
ушетфоль,1913
ушеширень,1880
географиясь,1806
климатсь,1771
кяльвалсь,1767
экономикась,1738
культурась,1718
ди,1718
эряйхне,1717
тонадомась,1658
спортсь,1653
историясь,1566
мокшень,1469
ошт,1368
ялгат,1367
ульсь,1312
лопа,1271
киза,1184
официалонь,1177
мезе,1164
энциклопедия,1154
шачсть,1148
саранск,1109
фотоархтофкс,891
кулость,721
васень,664
лятфтаматне,640
содаф,531
россии,509
эзда,489
издательство,484
пряошец,483
словарь,474
ломатть,468
мархта,465
эквадор,442
лямбеширень,440
оцю,433
народная,429
куласть,425
тя,422
аф,399
тага,397
тъналста,388
рузонь,386
сонь,380
касыкссь,380
сёрмадысь,375
коряс,372
мордовия,370
панчф,364
україни,363
масторсь,360
кялень,359
орхидея,355
сон,349
валкс,342
эди,341
видне,337
большая,328
бразилие,315
масторонь,314
российская,314
ватт,312
меле,311
мордовиянь,308
касыксне,297
аймак,295
республикась,291
ред,290
городов,287
лама,283
регионов,283
эса,272
эрзянь,272
од,269
уштефоль,267
це,262
колга,262
ащи,262
синь,261
кода,259
васьфневихть,256
книжное,251
валморайсь,248
города,247
масторса,243
панчфт,242
велесь,238
район,237
россиянь,236
кяль,229
калопне,229
мокша,222
мордовское,221
ош,221
экз,221
кона,216
колумбие,214
пяк,212
изд,212
фкясь,205
россияса,202
кяльса,201
спб,201
сембе,199
сяда,199
эрямопингсь,198
сире,197
русско,196
африка,196
энциклопедический,194
мастор,193
на,192
кунардонь,191
суоми,191
доп,191
во,188
лемоц,183
университета,179
фкя,178
эсь,178
брокгауза,175
ефрона,175
вид,174
коста,165
африконь,162
др,162
ине,160
америконь,159
финно,159
илякс,158
та,158
історії,154
кельмеширень,153
эли,150
город,149
ошне,147
кн,147
филиппин,146
илань,145
по,143
рика,143
редкол,142
районца,140
мокшанско,140
васенце,139
гл,137
кафта,136
пингста,133
енциклопедія,132
издательствась,130
мой,129
васта,127
лангс,126
украинонь,126
конань,125
башка,125
нан,124
щанкина,123
мокшанский,123
эрь,122
американонь,122
область,122
центр,120
области,120
колумбия,120
поляков,119
африкась,118
сембода,117
мордовии,117
коса,116
книгань,115
мордовского,114
конат,113
соткс,113
шачсь,113
якстерь,113
бразилия,112
тяниень,111
январьста,111
вельде,110
ули,110
галереясь,110
мааконд,110
веле,107
пиче,106
ведень,105
при,105
седова,103
мордов,103
литваса,103
грузияса,103
федерациясь,102
пингонь,101
наук,101
мордвась,101
эряма,100
народов,100
київ,100
акша,99
сядокиза,99
модать,98
кяльхнень,98
дэ,98
інститут,98
кизонь,97
ін,97
велеть,96
иля,95
сидеста,95
европа,95
культур,95
правительстве,95
угорских,94
ёмлаошсь,93
поволжский,93
келина,93
респ,93
борнео,93
украинаса,93
лия,92
мордвы,91
велеса,91
кочеваткин,91
мишина,91
панама,91
налхкись,90
мордововского,90
эрзянский,90
аймакть,90
композиторсь,90
мода,89
практикум,89
лангса,88
явомась,88
полень,87
административонь,87
аньцек,86
ульсть,86
эряфонь,86
суматра,86
правда,85
вайгяльбет,84
разговорник,84
сентябрьста,84
августста,84
офицалонь,84
июльста,83
русский,83
лямбе,82
тяфта,82
перу,82
улихть,81
равжа,81
кизоста,81
масторхне,81
тяфтама,80
ширде,80
ломань,80
мартста,80
боливие,80
велень,79
ляйть,79
содайсь,79
америка,78
валсь,78
сявомок,78
москва,78
эрямопингоц,78
масторкитьксонза,77
кучкань,77
кол,77
президентоц,77
мексика,77
инголе,76
мифологиясь,76
пингть,76
кяльхне,76
эсти,76
што,76
французонь,76
драматургсь,76
сяс,75
мзярда,75
книга,75
архтысь,75
неменцонь,75
іл,75
эряйхнеэряйхне,75
мокшэрзянь,74
штаттне,74
ёткса,74
россия,74
мордовияса,74
пряошне,74
латвияса,74
край,74
голова,74
кучка,73
советонь,73
отв,73
ёмла,72
кодама,72
сёрмадсь,72
иванова,72
ся,71
кельме,70
кизотнень,69
пензань,69
левина,69
пэру,69
кой,68
сась,68
вастса,68
эрямопингонь,68
англань,67
мокшонь,67
ниигн,67
названия,67
края,67
мордовская,66
пособие,66
лексикология,66
апрельста,66
історія,66
ломаттнень,65
кяльсь,65
музыка,65
ведь,65
италиянь,65
сайт,65
ширеса,64
арась,64
шивалгомширень,64
пря,64
истории,64
велетне,63
келин,63
им,63
колма,62
атлас,62
сост,62
конась,61
пара,61
тяса,61
ошть,61
валть,61
гришунина,61
сан,61
цебярь,60
майста,60
ётафтысь,60
сёрмадыхне,60
но,60
ноябрьста,60
университет,59
мордовский,59
омбоце,59
алямкин,59
марса,59
китай,59
проф,59
америкса,59
октябрьста,59
инь,58
пялевень,58
вал,58
ломанень,58
моли,58
республикса,58
думка,58
масторть,57
шистямаширень,57
эряйхть,57
лаца,57
субъектсь,57
декабрьста,57
аймактнень,57
федерацияса,57
наукова,57
ляйсь,56
цыганкин,56
апр,56
саранош,55
жа,55
районць,55
вастсь,55
шинь,55
мокшетнень,55
явропонь,55
азкс,55
эрзень,55
собственной,55
лемтне,55
мордовскяй,55
кола,55
азияса,55
смолій,55
мокшин,54
зубунь,54
суоминь,54
угронь,54
федерациять,54
топонимический,54
сучасної,54
ня,53
или,53
географический,53
асср,53
тиендсть,52
кизот,52
кк,52
киц,52
очерки,52
мордовской,52
июньста,52
америкась,52
покадий,52
львів,52
даба,52
райононь,51
рузмасторонь,51
лопац,51
ошень,51
ст,51
аймакса,51
красный,51
голенков,51
тяштеня,51
лемса,50
конатнень,50
языке,50
ун,50
геогр,50
осипов,50
ан,50
тяни,49
иневедсь,49
штоба,49
портал,49
нь,49
цёнга,49
республики,49
бояркин,49
научное,49
февральста,49
танзания,49
тянь,48
ниле,48
моску,48
орозаень,48
история,48
гвиней,48
тяда,47
лемсь,47
латинонь,47
мексико,47
кудонь,47
тонадомань,47
ала,47
татаронь,47
календарно,46
том,46
америкаса,46
седяма,46
вестник,46
пособия,46
пред,46
макаркин,46
веленясь,46
до,46
справочник,46
мъзярда,45
ляй,45
марстонь,45
мес,45
стане,45
ямашкин,45
вдовин,45
эряви,45
калконь,45
теенза,44
ингольдень,44
ваксса,44
ломаттне,44
тонафнема,44
интай,44
нолдама,44
пинге,44
мяль,44
корхнихть,44
алфавитсь,44
ни,44
гвинэя,44
сувсихть,43
озкс,43
эряй,43
минь,43
эрьхке,43
тиф,43
лашмань,43
фонетикась,43
исслед,43
как,43
шиньмадомаширень,43
этнографический,42
кувака,42
ошса,42
сотксонь,42
октябрь,42
ава,42
за,42
шистяма,41
сандор,41
ломанць,41
тоса,41
покаманза,41
лиссь,41
тов,41
аймаконь,41
синтаксиссь,41
владимир,41
иван,41
кяльвалонь,41
не,41
уштефтоль,41
морай,41
мадагаскар,41
судан,41
советская,41
кизось,40
азиеса,40
масторлангонь,40
васьфневи,40
валонь,40
районть,40
панда,40
мярьгихть,40
учебное,40
для,40
науч,40
кядьёнкст,40
журналистсь,40
кирдемастор,40
седямань,40
франко,40
велетнень,39
традиции,39
культуры,39
тонафтысь,39
лопась,39
кяльть,39
тонафнемань,39
эряйда,39
ширесь,39
кирдемасторть,39
іван,39
нтш,39
урср,39
девяткина,38
койгсь,38
жувататне,38
ки,38
сянь,38
греконь,38
мокшански,38
мишанин,38
вастоц,38
от,38
морайсь,38
валлувкссь,38
орлов,37
религиозные,37
ашезь,37
пяльксова,37
мокшанском,37
сюлмафксне,37
казьф,37
масторхнень,37
мордовских,37
тонадома,37
республикань,37
кяльлувкссодама,37
української,37
председ,37
кяльста,36
обрядовые,36
республикть,36
ванфтома,36
нюрьхкяня,36
модань,36
шить,36
валморайхне,36
шивалгомширеса,36
гос,36
угрань,36
туркань,36
русского,36
оцюведь,36
географиять,36
ащемась,36
вэнэзуэла,36
лексикологиясь,36
дзюба,36
шачема,35
нинге,35
да,35
из,35
шары,35
очерк,35
автономонь,35
пунктов,35
міст,35
лиякс,35
ал,34
народа,34
шись,34
ушедсь,34
маскаев,34
сери,34
япунонь,34
василь,34
коське,34
через,34
учимся,34
думать,34
говорить,34
эрзянски,34
эуропонь,34
корхтамань,34
школьнай,34
орфофафическяй,34
инжеватов,34
венгрань,34
ангола,34
нармоттне,34
нью,34
тюмень,34
касы,33
шуфтонь,33
вирь,33
шиньстямаширень,33
китап,33
няеви,33
явоманц,33
аля,33
москувонь,33
адаптация,33
топонимов,33
языковой,33
кузнецов,33
академии,33
см,33
конго,33
политикне,33
марнек,33
сіл,33
верования,32
шири,32
маластонь,32
ши,32
инкса,32
кда,32
кувалмоц,32
малады,32
китькскя,32
дефис,32
школьный,32
лац,32
мокшетне,32
сермадомань,32
тиевома,32
ананьина,32
татарстан,32
ляйхне,32
сараношть,32
казаева,32
среде,32
народных,32
инструментальная,32
музыкальные,32
инструменты,32
йорк,32
нарис,32
рср,32
досліджень,32
владивосток,32
мъзярошка,31
шиня,31
тяштсь,31
михайила,31
сонць,31
виде,31
шка,31
раздельно,31
слитно,31
атерень,31
томса,31
ащихть,31
пуромкс,31
веронь,31
кильдюшкина,31
ансамбли,31
традиционных,31
инструментов,31
основа,31
коллективного,31
народно,31
инструментального,31
исполнительства,31
балета,31
вагановой,31
са,31
михаил,31
ломаньётконь,31
историко,31
силезиянь,31
аст,31
словакияса,31
прама,31
этиопия,31
боливия,31
официальной,31
синонипне,31
енциклопедичних,31
кудса,30
сведения,30
коза,30
лофцта,30
тевс,30
литературонь,30
корхтаматнень,30
ина,30
демографиясь,30
морд,30
африкса,30
политикань,30
азома,30
смирнов,30
пиземсь,30
паронипне,30
кравец,30
ила,29
этнографические,29
тартунь,29
культура,29
потяйхтне,29
эрявикс,29
полгась,29
валда,29
куд,29
кепотьксонди,29
мокшет,29
кранцонь,29
мала,29
ижевск,29
пунктуациянь,29
норматне,29
лексикась,29
сёрмады,29
шивалгом,29
ин,29
аймаксь,29
польска,29
майнов,29
куба,29
губерниянь,29
замбия,29
англиянь,29
уре,29
тундань,28
песни,28
атянь,28
келеса,28
вад,28
эста,28
томсь,28
имярекова,28
лингвогеографиянь,28
ваномасна,28
татарско,28
корхтамолезкс,28
украина,28
биосферась,28
сухарев,28
секретарь,28
велеземсь,28
мордвать,28
покодсь,28
міста,28
под,28
ім,28
антонипне,28
франка,28
володимир,28
вяри,27
мордве,27
красно,27
слободского,27
наровчатского,27
уездов,27
пенз,27
губерн,27
вед,27
период,27
ран,27
сядокизонь,27
самс,27
ётась,27
вастова,27
эрясь,27
стака,27
рузкс,27
тялось,27
тевонь,27
вастс,27
пялешинь,27
сядокизоста,27
сыктывкар,27
морфологиять,27
гаффарова,27
гурьянова,27
нәшрияты,27
сб,27
азиянь,27
гуманитар,27
коллегия,27
юрчёнков,27
национализмась,27
языка,27
энциклопедиясь,27
англонь,27
земля,27
демократиянь,27
семантикась,27
политикась,27
монархиясь,27
джонсон,27
тула,27
сай,26
татю,26
ковсь,26
тонафтома,26
комплекс,26
вярдень,26
омба,26
тиись,26
аш,26
тись,26
вяре,26
казань,26
мельге,26
иран,26
кши,26
уездонь,26
коволхне,26
зам,26
васттне,26
литванонь,26
азиясь,26
антарктикась,26
сэнт,26
ссср,26
замки,26
проспэр,26
крэбийон,26
иняру,25
шахов,25
обрядовый,25
фольклорно,25
сибирского,25
бытования,25
оцюнякс,25
тонадоматне,25
ведьса,25
морсесть,25
лопаса,25
республик,25
содайхне,25
тейнза,25
эрясть,25
азкст,25
зимбабвэ,25
шяйгавонь,25
видеса,25
пялькссь,25
кранцмасторонь,25
фольклоронь,25
мон,25
дойчмасторса,25
васттнень,25
вып,25
векть,25
арктикась,25
вильям,25
народнай,25
мордватнень,25
